element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:website,internet_access,internet_access:fee,name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,wheelchair,geometry,check_date:opening_hours,ref:isil,access,email,opening_hours:covid19,phone,website,contact:email,contact:fax,contact:phone,toilets:wheelchair,wheelchair:website,alt_name,check_date,level,wikidata,internet_access:ssid,short_name,wheelchair:description,source,wikipedia,image,wikimedia_commons,name:en,air_conditioning,building,description,start_date,topic,language:de,language:en,name:etymology:wikidata,official_name,service:copy,service:scan,fax,wheelchair:description:de,name:de,name:fr,opening_hours:url,indoor,name:ru,nodes,architect,building:levels,roof:colour,roof:shape,building:material,est_height,roof:height,roof:material,note,room,fence,ways,type
node,7657102885,,,,,,library,,,,Bücherei St. Canisius,Tu 17:00-19:00; We 10:00-11:00; Fr 17:00-18:00; Su 09:00-11:00,Pfarrverband Hadenr,religious,,,,POINT (11.4815477 48.1138094),,,,,,,https://pfarrverband-hadern.de/buecherei_canisius/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7659391785,München,,2,80539,Professor-Huber-Platz,library,,wlan,customers,Bibliothek für Europäisches und Internationales Steuerrecht,,Forschungsstelle für Europäisches und Internationales Steuerrecht,public,,,,POINT (11.582509 48.1509147),,,yes,steuerrecht@jura.uni-muenchen.de,,+49 89 21802888,https://www.jura.uni-muenchen.de/fakultaet/lehrstuehle/drueen/bibliotheken/bib-f-eu-und-int-steuerrecht/index.html,,,,,,,,0,,,,,,,,,Library for European and International Tax Law,,,,,,,,,,,,+49 89 218016562,,Bibliothek für Europäisches und Internationales Steuerrecht,Bibliothèque de droit fiscal européen et international,https://www.jura.uni-muenchen.de/fakultaet/lehrstuehle/drueen/bibliotheken/bib-f-eu-und-int-steuerrecht/oeffnungszeiten/index.html,,,,,,,,,,,,,,,,
node,7667055094,München,,28 Rückgebäude,80539,Ludwigstraße,library,,wlan,customers,Bibliothek für Deutsches Steuerrecht,Mo-Fr 08:00-23:45; Sa 08:00-19:45; Su 10:00-17:45; PH off,Juristische Fakultät der LMU München,public,,,,POINT (11.5826025 48.1510704),2022-03-17,,,bibliothek.steuerrecht@jura.uni-muenchen.de,,+49 89 21802888,https://www.jura.uni-muenchen.de/fakultaet/lehrstuehle/drueen/bibliotheken/steuerrecht_-zi-205/index.html,,,,,,,,2,,,,,,,,,Library for German Tax Law,,,,,,,,,,,,+49 89 218016562,,Bibliothek für Deutsches Steuerrecht,Bibliothèque pour le droit fiscal allemand,,,,,,,,,,,,,,,,,
node,7684415049,,,,,,library,https://www.erzbistum-muenchen.de/pfarrei/pv-pasing/buecherei,,,Bücherei Maria Schutz,We 16:00-18:00; Fr 16:00-18:00,Pfarrverband Pasing,religious,,,,POINT (11.4615726 48.1431879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7684415052,,,,,,library,https://www.pfarrverband-salvator-mundi.de/st-willibald/buecherei/,,,Pfarrbücherei St. Willibald,We 15:00-17:30; Su 10:00-12:00,Pfarrgemeinde St. Willibald,religious,,,,POINT (11.4850473 48.1408011),,,,,,,,buecherei@stwillibald.de,,+49 (0)89 546737-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9160125934,,,,,,library,,wlan,,Münchner Stadtbibliothek HP8,Mo-Su 07:00-23:00,Münchner Stadtbibliothek,public,Q1518519,,yes,POINT (11.5537368 48.111813),,,,stb.hp8@muenchen.de,,+49 89 48098 3313,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-im-hp8,,,,,,,,2;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9456743567,München,,37,80333,Luisenstraße,library,,wlan,no,Fachbibliothek Geowissenschaften,Mo-Fr 09:00-22:00; Sa 09:00-20:00,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,,POINT (11.5646963 48.1479573),,,,geo@ub.uni-muenchen.de,,+49 89 21806522,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/2001/index.html,,,,,,,2022-10-18,,,"eduroam, BayernWlan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9502738757,München,,30-32,81669,Rosenheimer Straße,library,,wlan,,Münchner Stadtbibliothek Motorama,Mo-Sa 07:00-22:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,,POINT (11.5907758 48.1303707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9662830913,,,,,,library,,,,Teilbibliothek Sport- & Gesundheitswissenschaften,Mo-Fr 08:00-18:00,TUM,university,,,,POINT (11.5444739 48.1796302),,,,,,,,,,,,,,,,,,,,,,,,Branch Library Sport & Health Sciences,,,,,,,,,,,,,,Teilbibliothek Sport- & Gesundheitswissenschaften,,,,,,,,,,,,,,,,,,
node,9995680302,München,DE,13,81243,Radolfzeller Straße,library,,,,Münchner Stadtbibliothek Neuaubing,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,,,,,POINT (11.4352562 48.1493147),,,,stb.neuaubing.kult@muenchen.de,,+49 89 23329240,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-neuaubing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10094782334,,,,,,library,,wlan,no,,,,,,,,POINT (11.4503985 48.1419213),,,,,,,,,,,,,,,,,@BayernWLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10100802367,München,,25,80539,Ludwigstraße,library,,wlan,,Fachbibliothek Philologicum,,Universitätsbibliothek der LMU München,university,Q2496326,,,POINT (11.5800374 48.148829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10110164374,,,,,,library,,,,Archiv und Bibliothek des Erzbistums München und Freising,"Tu,We,Th 09:00-16:00; PH off",Erzbistum München und Freising,religious,,,,POINT (11.5711869 48.1403647),,DE-M111,,,,,https://www.erzbistum-muenchen.de/archiv-und-bibliothek,,,,,,,,,Q635579,,,,,de:Archiv des Erzbistums München und Freising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10980530805,,,4,80639,Aldringenstraße,library,,,,Tolstoi-Bibliothek,"Tu, Fr 13:00-18:00; Th 13:00-19:00","Tolstoi Hilfs- und Kulturwerk, e.V.",,,,,POINT (11.5310249 48.1555596),,,,tolstoi@tolstoi-bibliothek.de,,+49 89 299775,https://www.tolstoi.de/,,,,,,,,,Q1361808,,,,,de:Tolstoi-Bibliothek,,,Tolstoi library,,,,,,,,,,,,,,Tolstoi-Bibliothek,,,,Библиотека им. Л. Н. Толстого,,,,,,,,,,,,,,
way,27276683,München,,68,80797,Winzererstraße,library,,,,Stadtarchiv München,"Mo,Tu,Th 09:00-18:00; We 09:00-12:00",,,,,limited,"POLYGON ((11.5625961 48.1607213, 11.5626212 48.1607174, 11.56263 48.1607421, 11.5626662 48.1607364, 11.5626775 48.1607679, 11.5627112 48.1607623, 11.5627305 48.1607597, 11.5628883 48.1607342, 11.5627811 48.1604287, 11.5626731 48.1601207, 11.5625136 48.1601456, 11.5624964 48.1601483, 11.5624628 48.1601568, 11.5624725 48.1601839, 11.562435 48.1601899, 11.562443 48.1602121, 11.562416 48.1602164, 11.5624999 48.1604516, 11.5625961 48.1607213))",,,,,,+49 89 2330308,https://stadt.muenchen.de/infos/stadtarchivmuenchen,,,,no,,,,,,,,Zugang ist über einen Aufzug auf der Rückseite des Gebäudes möglich. Anmeldung erforderlich unter:089/2330308,,,,,,,yes,,,,,,,,,,,,,,,,,"[299411817, 2517790068, 2517790072, 2517790071, 2517790073, 2598290364, 2598290366, 2517790070, 2598290382, 299411819, 2598290373, 2598290374, 2517790064, 2517790065, 2517790066, 2517790067, 299411820, 4951421433, 299411817]",,,,,,,,,,,,,
way,27276688,München,,68,80797,Winzererstraße,library,,,,Stadtarchiv München,"Mo,Tu,Th 09:00-18:00; We 09:00-12:00",,,,,limited,"POLYGON ((11.561953 48.1606851, 11.5622126 48.1606435, 11.5621788 48.1605498, 11.5621361 48.1604315, 11.5620953 48.1603184, 11.5618357 48.1603601, 11.5618969 48.1605296, 11.561953 48.1606851))",2022-03-24,,,,,+49 89 233 0308,https://stadt.muenchen.de/infos/stadtarchivmuenchen,,,,no,,,,,Q2326571,,,Für Rollstuhlfahrer nur nach telefonischer Anmeldung und Begleitung über den rückwärtigen Eingang und Aufzug betretbar. Der Weg zum Hintereingang ist relativ steil.,,,,,,,civic,,,,,,,,,,,,,,,,,"[299411836, 299411948, 4951421480, 4951421735, 299411838, 299411949, 2598290380, 299411836]",Hans Grässel,4,brown,,,,,,,,,,
way,28082605,,,,,,library,,,,Bibliothek der Studentenstadt,Mo-Su 10:00-22:00,Studentenwerk München,,,,no,"POLYGON ((11.6099023 48.1841274, 11.6100334 48.1841123, 11.6100428 48.1841495, 11.6100755 48.1842791, 11.609946 48.1842936, 11.6099127 48.1841619, 11.6099023 48.1841274))",,,private,,,,https://lesesaal.stusta.de,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,"[617230556, 308413079, 4444148420, 503663419, 503663415, 503470551, 617230556]",,1,,flat,,,,,,,,,
way,30820398,München,DE,9,81241,Bäckerstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-pasing,wlan,no,Münchner Stadtbibliothek Pasing,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,"POLYGON ((11.4614555 48.1472437, 11.4617415 48.1472406, 11.4617407 48.1472111, 11.4617401 48.1471837, 11.4617397 48.1471689, 11.4617395 48.1471579, 11.4617383 48.1471114, 11.4614523 48.1471144, 11.4614535 48.147161, 11.4614541 48.1471867, 11.4614548 48.1472141, 11.4614555 48.1472437))",,,,,,,,,,+49 89 233 37265,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,"[342146575, 342146578, 2147724892, 2147724890, 3750642371, 2147724887, 342144229, 275561054, 2147724888, 2147724889, 2147724893, 342146575]",,3,,,brick,12,3,metal,,,,,
way,100184318,München,DE,1,80999,Pfarrer-Grimm-Straße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-allach-untermenzing,wlan,no,Münchner Stadtbibliothek Allach-Untermenzing,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,,"POLYGON ((11.4636766 48.1794612, 11.4636963 48.179402, 11.4641052 48.1794625, 11.4640373 48.1796669, 11.4639365 48.179652, 11.4638843 48.1796443, 11.463759 48.1796258, 11.4637935 48.179522, 11.4636757 48.1795046, 11.4636895 48.1794631, 11.4636766 48.1794612))",,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,"[1158008787, 3937998211, 1158008794, 1158008772, 1158008774, 663634841, 663634838, 3937998217, 1158008768, 1158008792, 1158008787]",,,,,,,,,,,,,
way,111363117,,,23,,Maria-Theresia-Straße,library,,,,Monacensia,Mo-We 09:30-17:30; Th 12:00-19:00,,,,,limited,"POLYGON ((11.5985609 48.1437937, 11.5992906 48.1437376, 11.5992333 48.1433897, 11.5985538 48.1434337, 11.5985484 48.1437483, 11.5985609 48.1437937))",,,,,,,http://www.monacensia.net/,,,,yes,,,2023-06-11,,Q1500677,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1268921311, 1268921306, 1268921314, 1268921309, 1402898956, 1268921311]",,,,,,,,,"Ausstellungen Sa, So 11:00-18:00 Uhr",,,,
way,117005299,München,DE,25,80636,Birkerstraße,library,https://www.erzbistum-muenchen.de/pfarrei/pv-st-clemens-st-vinzenz-muenchen/angebote-der-pfarreien-im-pfarrverband-neuhausen/cont/79887,,,Katholische Öffentliche Bibliothek St. Vinzenz,We 15:30-19:00,Pfarrverband St. Clemens - St. Vinzenz,religious,,,,"POLYGON ((11.5402668 48.147505, 11.5403941 48.1474566, 11.5402472 48.1472846, 11.5401835 48.1473088, 11.5401199 48.1473329, 11.5402668 48.147505))",,,,,,,,,,+49 (0)89 1211649-17,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,"[1317841982, 1317842119, 2541051908, 2541051910, 1317842020, 1317841982]",,2,#888888,flat,,,,,,,,,
way,246504472,München,DE,83,81375,Guardinistraße,library,,,,Bücherei St. Ignatius,Tu 18:00-19:30; We 09:00-11:00; Th 16:00-18:00; Su 10:00-11:00,Pfarrverband St. Canisius und St. Ignatius,religious,,,yes,"POLYGON ((11.4903414 48.1178976, 11.4902554 48.1178775, 11.4901458 48.1178557, 11.490115 48.1179165, 11.4900859 48.1179227, 11.490073 48.1179755, 11.4900769 48.1180076, 11.4900891 48.118038, 11.4901041 48.1180604, 11.4901293 48.1180575, 11.490138 48.1180801, 11.4902472 48.1180593, 11.4902669 48.1180907, 11.4902908 48.1181224, 11.4903773 48.1180827, 11.4903452 48.1180447, 11.4903279 48.1180076, 11.4903218 48.1179673, 11.4903299 48.1179223, 11.4903414 48.1178976))",,,,,,,https://pfarrverband-hadern.de/buecherei_ignatius/,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,"[2535391260, 1197266053, 1701497853, 1701497859, 1197266056, 1701497864, 1701497866, 1701497874, 1701497880, 1701497878, 1197266059, 1701497876, 1701497890, 1197266063, 1701497887, 2535391257, 2535391327, 2535391286, 2535391292, 2535391260]",,1,darkgrey,,,,,,,,,,
way,260071650,München,DE,171a,80634,Nymphenburger Straße,library,https://www.muenchner-stadtbibliothek.de/,wlan,no,Münchner Stadtbibliothek Neuhausen,"Tu,We,Th,Fr 10:00-19:00; Sa 10:00-15:00",Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,"POLYGON ((11.5318628 48.155303, 11.5319324 48.1553287, 11.5318593 48.1554174, 11.5318343 48.1554477, 11.5318611 48.15545, 11.5319831 48.1554931, 11.5321622 48.1552756, 11.5319139 48.1551917, 11.5319057 48.1552092, 11.5318628 48.155303))",,,,stb.neuhausen.kult@muenchen.de,open,,,stb.neuhausen.kult@muenchen.de,+49 89 233824-70,+49 89 233824-50,yes,,,,,,,,,,,,,,,yes,Medienrückgabe rund um die Uhr,,,,,,,,,,,,,,,,"[1195401573, 2655633408, 2655633438, 1195399280, 2655633451, 1195399794, 2655633397, 2655633348, 1195401658, 1195401573]",,5,,,,,,,,,,,
way,743807382,,,80,80336,Schwanthalerstraße,library,,,,Internationale Bücherei,"Mo,Tu,Fr 10:00-14:00; Th 16:00-19:00",Trägerkreis EineWeltHaus München e.V.,,,,yes,"POLYGON ((11.5530388 48.1381178, 11.5530661 48.1381175, 11.5530994 48.1381171, 11.5530999 48.1381364, 11.5531003 48.138156, 11.5531005 48.1381705, 11.5531009 48.138188, 11.5530405 48.1381885, 11.5530403 48.1381886, 11.5530398 48.1381588, 11.5530388 48.1381178))",2022-10-25,,,bibliothek@einewelthaus.de,,+49 89 856375-24,https://www.einewelthaus.de/das-haus/bibliothek/,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,room,,"[6961547985, 6961547785, 6961548187, 6961547790, 6961546592, 3751088060, 6961548086, 6961547788, 6961546588, 6961547887, 6961547985]",,,,,,,,,has no ISIL code,library,,,
way,982899309,,,,,,library,,wlan,no,Außenlesebereich der Stadtbücherei,,Stadtbücherei,public/government,,,,"POLYGON ((11.4946265 48.0957316, 11.4947048 48.0956585, 11.4947675 48.0956691, 11.4948392 48.0956792, 11.4949608 48.0956925, 11.4948135 48.0958256, 11.4946851 48.095761, 11.4946265 48.0957316))",,,,,,,,,,,,,,,,,M-WLAN Secure Wi-Fi,,,,,,,,,no,,,,,,,,,,,,,,,,,"[9088735573, 9088735574, 8795749770, 8795749774, 9088735576, 6269909672, 9128001238, 9088735573]",,,,,,,,,,,wire,,
way,1087238122,,,,,,library,,,,Lesesaal,,Studentenwerk München,,,,,"POLYGON ((11.5525713 48.1802257, 11.5526377 48.1802258, 11.5526492 48.1802258, 11.5526923 48.1802258, 11.5527362 48.1802258, 11.5527665 48.1802259, 11.5528299 48.1802259, 11.5528301 48.180138, 11.5528302 48.180108, 11.5528304 48.1799672, 11.5528177 48.1799672, 11.5527366 48.1799671, 11.5526924 48.1799671, 11.5526574 48.179967, 11.5526245 48.179967, 11.5525718 48.179967, 11.5525716 48.1800329, 11.5525716 48.180047, 11.5525715 48.1800812, 11.5525715 48.1800975, 11.5525713 48.1802046, 11.5525713 48.1802257))",,,private,,,,,,,,,,,,1;2,,,,,,,,,,,,,,,,,,,,,,,,,,room,,"[646873342, 646873344, 9961730369, 9959059452, 9959038786, 9959059451, 9961730368, 9959059418, 9959059417, 9961730367, 9961730365, 9959059461, 9959038797, 9959038792, 9961730366, 9959059462, 9959038793, 10592423718, 10592423717, 9959059456, 9959059453, 646873342]",,,,,,,,,,,,,
relation,52412,München,DE,16,80539,Ludwigstraße,library,https://www.bsb-muenchen.de/,wlan,,Bayerische Staatsbibliothek,"Mo-Su 08:00-24:00; 2017 Aug 15 off, 2017 Oct 03 off; 2017 Oct 31 off; 2017 Nov 01 off; 2017 Dec 24-26 off; 2017 Dec 31 off",,,,,yes,"POLYGON ((11.580785 48.1466302, 11.5803027 48.1467331, 11.5797866 48.1468432, 11.5801149 48.1475153, 11.5803915 48.1481295, 11.5809275 48.1480138, 11.5811617 48.1479633, 11.5811764 48.1479883, 11.5813985 48.1479427, 11.5810988 48.1473085, 11.5810266 48.1471557, 11.5810909 48.1471396, 11.5811017 48.1471665, 11.5819063 48.1469929, 11.5817252 48.1466413, 11.5809435 48.1468049, 11.5809502 48.1468192, 11.5809222 48.1468247, 11.5808872 48.1468311, 11.580785 48.1466302), (11.5808285 48.1472649, 11.580573 48.1473164, 11.5802986 48.1473718, 11.5801177 48.1469723, 11.5806476 48.1468655, 11.5808285 48.1472649), (11.580858 48.1478616, 11.5805545 48.1479228, 11.5803786 48.1475342, 11.5809083 48.1474275, 11.5810843 48.147816, 11.580858 48.1478616))",,DE-12,,,,,https://www.bsb-muenchen.de/,,,+49 89 28638-0,yes,https://www.bsb-muenchen.de/recherche-und-service/besuche-vor-ort/erstorientierung/fuer-nutzerinnen-und-nutzer-mit-behinderungen/,,,,Q256507,,BSB,"Personaleingang hinter dem Gebäude auf der rechten Seite verwenden, dort kann geklingelt werden",,de:Bayerische Staatsbibliothek,,,Bavarian State Library,,civic,,,,,,,,,,,,,,,,,"[[[200854665, 200854675, 4522308979, 200854668, 200854666, 200854665], [200854671, 200854669, 200854673, 200854672, 2550843879, 200854671], [966315339, 1387428870, 200854660, 4954434709, 200854658, 966315298, 200854663, 2550843877, 2550843870, 2550843873, 200854662, 4148146427, 966315235, 1387428914, 1387428873, 2550936177, 2550844043, 2550844037, 1387428891, 966315339]]]",,3,,gabled,,,,,,,,"[28494976, 28495026, 19330223]",multipolygon
