element_type,osmid,geometry,addr:country,amenity,name,religion,toilets:wheelchair,wheelchair,wikidata,wikipedia,denomination,service_times,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,wikimedia_commons,website,image,opening_hours,note,contact:website,phone,start_date,deanery,diocese,parish,addr:suburb,building,heritage,heritage:operator,ref:BLfD,alt_name,name:de,name:tr,fixme,email,level,opening_hours:covid19,polling_station,name:ar,operator,source,artwork_type,description,tourism,height,historic,fax,name:ro,name:en,contact:email,contact:phone,lastcheck,wheelchair:description,name:pt,short_name,contact:facebook,artist_name,name:bs,air_conditioning,inscription,internet_access,service_times:url,source_ref,baby_feeding,name:hr,nodes,building:architecture,building:colour,heritage:ref,name:es,name:zh,architect,architect:wikidata,building:levels,building:part,roof:shape,layer,roof:colour,url,scouts:group,scouts:organisation,scouts:website,BLfD:criteria,loc_name,roof:levels,name:ja,name:pl,name:ru,official_name,roof:material,type,roof:height,building:material,contact:fax,operator:type,capacity,old_name,source:height,maxheight,colour,addr:housename,place_of_worship,club,est_height,building:shape,building:year,name:bar,name:el,official_name:de,official_name:ru,official_name:es,designation,indoor,ways
way,25440202,"POLYGON ((11.5808701 48.149115, 11.5808412 48.1490555, 11.5808071 48.1489852, 11.5807379 48.1488423, 11.5807049 48.1487741, 11.5806725 48.1487073, 11.5807511 48.1486903, 11.5807883 48.1486823, 11.5808206 48.1487491, 11.5811595 48.148676, 11.5814311 48.1486174, 11.5816253 48.1485755, 11.5817616 48.148857, 11.5815675 48.1488988, 11.581584 48.1489329, 11.5813123 48.1489915, 11.5812958 48.1489574, 11.5812468 48.148968, 11.581012 48.1490186, 11.5809429 48.1490335, 11.5809718 48.1490931, 11.5809469 48.1490985, 11.5808701 48.149115))",DE,place_of_worship,St. Ludwig,christian,,yes,Q250951,de:St. Ludwig (München),catholic,,München,20,80539,Ludwigstraße,,,,,,,,,,,Erzbistum München und Freising,,Maxvorstadt,church,4,BLfD,,,,,,,,,,,,,,,,,,,,,,,,Aufzug im Nordturm,,,,,,,,,,,,,"[277251367, 1133140999, 3637038118, 3637038109, 1133140890, 277251368, 1387428902, 277251369, 277251370, 277251371, 277251374, 277251375, 277251376, 277251377, 277251378, 277251379, 277251380, 4466373457, 4466373453, 277251381, 277251382, 1387428913, 277251367]",rundbogenstil,,D-1-62-000-4110,,,Friedrich von Gärtner,Q66149,,,,,,,,,,,Ludwigskirche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25474858,"POLYGON ((11.5186121 48.1170064, 11.5186137 48.1169619, 11.5186172 48.1168651, 11.5186189 48.1168183, 11.5187504 48.1168204, 11.5187721 48.1168207, 11.5188745 48.1168224, 11.5190045 48.1168245, 11.5190488 48.1168252, 11.519047 48.1168751, 11.5190455 48.116915, 11.5190443 48.1169486, 11.519042 48.1170134, 11.518993 48.1170126, 11.5186121 48.1170064))",,place_of_worship,St. Heinrich,christian,,limited,Q18147775,de:St. Heinrich (München),catholic,,,,,,,"Category:St. Heinrich, Sendling-Westpark",,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[277591213, 3670035217, 3670035193, 277591214, 3670035185, 9158265491, 9158265499, 9158265494, 277591215, 9158265490, 9158265493, 3670035213, 277591216, 9158265492, 277591213]",,#FFFFFF,,,,,,3,,gabled,,#7F5F5F,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25477184,"POLYGON ((11.6422547 48.0883856, 11.6421867 48.0884816, 11.6422321 48.0885661, 11.6420931 48.0886003, 11.6420699 48.0885599, 11.6420473 48.0885216, 11.641985 48.0885019, 11.6419298 48.0884845, 11.6418273 48.0884521, 11.6419074 48.0883388, 11.6419783 48.0882387, 11.6419939 48.0882436, 11.6421302 48.0882868, 11.6421479 48.0882921, 11.6422892 48.0883367, 11.6422547 48.0883856))",,place_of_worship,St. Maximilian Kolbe,christian,,yes,,Category:St. Maximilian Kolbe (München-Neuperlach),catholic,,,,,,,,https://www.erzbistum-muenchen.de/pfarrei/christus-erloeser-muenchen/kirchen--pfarrbueros/106782,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[277621767, 277621768, 1077233424, 277621769, 2751721488, 277621770, 2751721481, 277621771, 277621787, 2751721451, 277622372, 5156996111, 2756985220, 277622374, 2751721449, 277621767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25514390,"POLYGON ((11.5768691 48.1418812, 11.5765947 48.141927, 11.5765841 48.1419017, 11.5762613 48.1419545, 11.5762713 48.141981, 11.5761389 48.1420026, 11.5761644 48.1420571, 11.5761324 48.1420651, 11.5760829 48.1420918, 11.576058 48.1421294, 11.5760651 48.1421775, 11.5760914 48.1422108, 11.5761384 48.1422353, 11.5761954 48.1422414, 11.5762513 48.1422351, 11.5762645 48.1422687, 11.5763759 48.1422527, 11.5763953 48.1423045, 11.5767072 48.1422515, 11.5766934 48.1422098, 11.5769668 48.1421638, 11.5769722 48.1421738, 11.5770084 48.142259, 11.577116 48.1422393, 11.5771395 48.1422349, 11.5771034 48.1421497, 11.5771189 48.1421356, 11.577011 48.1418599, 11.5769873 48.1418604, 11.5769684 48.1418119, 11.5769562 48.1417816, 11.576838 48.1418023, 11.5768496 48.1418319, 11.5768691 48.1418812))",DE,place_of_worship,Theatinerkirche St. Kajetan,christian,,limited,Q259799,de:Theatinerkirche (München),catholic,,München,22,80333,Theatinerstraße,,Category:Theatinerkirche (Munich),http://www.theatinerkirche.de/,,Mo-Su 06:30-20:00,,,+49 89 2106960,1675,Dekanat München-Innenstadt,Erzbistum München und Freising,,,church,yes,BLfD,,,Theatinerkirche St. Kajetan,,,info@theatinerkirche.de,,,,,,,,,attraction,29,yes,,,,,,,,,,,,,,,,,,,,"[3178064037, 278023794, 278029608, 3178064047, 3178064048, 8815736636, 278023799, 278023800, 1080583010, 278023803, 278029590, 278023813, 278023814, 278023816, 278023817, 8815736634, 8815736635, 278023819, 278023821, 278029640, 3178064081, 278023823, 278023825, 1056892615, 278023826, 3178064077, 3178064073, 3178064033, 3178064030, 649784789, 278023827, 3178064021, 278023791, 3178064037]",baroque,yellow,D-1-62-000-6847,Iglesia de los Teatinos,鐵阿提納教堂,"Agostino Barelli, Enrico Zuccalli, François de Cuvilliés der Ältere",Q395578;Q124421;Q60739,,,,,brown,,,,,,,,テアティナー教会,Kościół Teatynów w Monachium,Театинеркирхе,Katholische Stiftskirche Sankt Kajetan,copper,,,,,,,,,,,,,,,,,,,,,,,,
way,26665347,"POLYGON ((11.5279381 48.2161581, 11.5279382 48.2160931, 11.5279396 48.2160429, 11.5279435 48.2159723, 11.5283151 48.2159852, 11.5284105 48.2159885, 11.5284076 48.2160315, 11.5284322 48.2160324, 11.5284639 48.2160581, 11.528461 48.2161063, 11.5284228 48.2161267, 11.5284007 48.2161263, 11.5283732 48.2161254, 11.5283717 48.2161609, 11.5283051 48.2161588, 11.5283045 48.2161651, 11.5279381 48.2161581))",,place_of_worship,St. Peter und Paul,christian,,,,,roman_catholic,,München,403,80995,Feldmochinger Straße,,,https://www.pv-pacem.de/st-peter-und-paul/st-peter-und-paul,,,,,,~0790,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[292466568, 3614577801, 3614577807, 292466569, 3614577797, 292466571, 3614577803, 292466572, 292466573, 3614577800, 292466574, 3618322474, 3614577806, 292466575, 3614577802, 292466576, 292466568]",,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,
way,27390774,"POLYGON ((11.5655938 48.1677379, 11.5656786 48.1677324, 11.5660599 48.167708, 11.566223 48.1676976, 11.5662599 48.1676698, 11.5662405 48.1675356, 11.5662002 48.1675383, 11.5661927 48.1674922, 11.566031 48.1675025, 11.5660331 48.167517, 11.5655664 48.1675469, 11.5655877 48.1676955, 11.5655938 48.1677379))",DE,place_of_worship,St. Sebastian,christian,,yes,Q980725,de:St. Sebastian (München),roman_catholic,,München,212,80797,Schleißheimer Straße,2023-03-20,Category:St. Sebastian (Munich),https://www.pfarrverband-am-luitpoldpark.de/st-sebastian/,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[300689993, 2502495333, 2502495330, 300689994, 7702887383, 7702887384, 2789060122, 300689997, 300689999, 300690000, 300690001, 2502495327, 300689993]",,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27514388,"POLYGON ((11.6388594 48.0877867, 11.6387008 48.0877364, 11.6387656 48.0876453, 11.6388268 48.0875593, 11.6389854 48.0876096, 11.6389319 48.0876849, 11.6388594 48.0877867))",DE,place_of_worship,Dietrich-Bonhoeffer-Kirche,christian,,yes,,,protestant,,München,2,81739,Dietzfelbingerplatz,,,https://www.neuperlach-evangelisch.de/,,,,,+49 89 122280730,,,,,,church,,,,,,,,pfarramt@neuperlach-evangelisch.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[302055693, 302055698, 2655661443, 302055700, 302055696, 2750540610, 302055693]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27597513,"POLYGON ((11.6909834 48.1109502, 11.6911639 48.1107565, 11.691251 48.1107927, 11.6913179 48.110721, 11.6912601 48.110697, 11.6912761 48.1106798, 11.6912145 48.1106542, 11.6912291 48.1106386, 11.6911169 48.110592, 11.6910643 48.1106486, 11.6910342 48.110636, 11.6908675 48.110815, 11.690828 48.1108574, 11.690809 48.1108778, 11.6909834 48.1109502))",,place_of_worship,Christi Himmelfahrt,christian,,yes,Q1078603,,catholic,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[303044673, 1598068538, 1598068577, 1598068532, 1598068522, 1598068499, 1598068490, 303044674, 1598068469, 1598068486, 303044675, 7096113442, 2991440720, 303044676, 303044673]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27660128,"POLYGON ((11.5406473 48.1471503, 11.5407803 48.1472724, 11.5412442 48.1470475, 11.5411988 48.1470058, 11.5412158 48.1469976, 11.5411954 48.1469789, 11.5411736 48.1469588, 11.541155 48.1469678, 11.5411096 48.1469262, 11.5406473 48.1471503))",DE,place_of_worship,Sankt Vinzenz,christian,,,,,catholic,,München,16,80636,Klarastraße,,Category:St. Vinzenz (München),,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[303787888, 303787891, 303787890, 2541051880, 2541051878, 9592742074, 2541051870, 2541051872, 303787889, 303787888]",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27685666,"POLYGON ((11.6440977 48.1085915, 11.6440979 48.1084071, 11.6443434 48.1084072, 11.6443431 48.1085917, 11.644125 48.1085915, 11.6440977 48.1085915))",DE,place_of_worship,Lätare-Kirche,christian,,yes,,,protestant,,München,15,81735,Quiddestraße,,,https://www.neuperlach-evangelisch.de/,,,,,+49 89 122280730,,,,,,church,,,,,,,,pfarramt@neuperlach-evangelisch.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[304052114, 304052118, 304052124, 304052127, 4308321993, 304052114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27882310,"POLYGON ((11.5947092 48.1257471, 11.5946116 48.1258995, 11.5946515 48.1259114, 11.5949093 48.1259847, 11.5949528 48.1259969, 11.5949717 48.1259675, 11.5949933 48.1259737, 11.5949718 48.1260073, 11.5950825 48.1260389, 11.5951326 48.1259607, 11.5950245 48.1259299, 11.5950064 48.1259581, 11.5949801 48.1259505, 11.5950484 48.125844, 11.5950089 48.1258324, 11.5947426 48.125757, 11.5947092 48.1257471))",,place_of_worship,St. Wolfgang,christian,,yes,Q2323756,de:St. Wolfgang (Haidhausen),roman_catholic,,,8a,81669,Sankt-Wolfgangs-Platz,,Category:St. Wolfgang (Haidhausen),,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[306123130, 306123131, 306130879, 306123132, 3190094435, 3190094430, 3190094431, 3190094436, 306123134, 1326729444, 3190094427, 3190094428, 1326729441, 306123137, 1326731251, 1326731257, 306123130]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27889771,"POLYGON ((11.6029364 48.1309375, 11.6029741 48.1306981, 11.602983 48.1306415, 11.6030672 48.1306499, 11.6030372 48.1308526, 11.603128 48.1308599, 11.6031281 48.1308474, 11.60306 48.1307923, 11.6030714 48.130697, 11.6031603 48.130647, 11.6032133 48.1306505, 11.6032794 48.1306559, 11.6033393 48.130721, 11.6033202 48.1308006, 11.6032345 48.1308567, 11.6032346 48.1308685, 11.6033251 48.1308729, 11.6033369 48.1308227, 11.6033863 48.1308017, 11.6034296 48.1308228, 11.6034222 48.1308815, 11.6034647 48.130883, 11.6034475 48.1309772, 11.6029364 48.1309375))",,place_of_worship,St. Elisabeth,christian,,yes,Q104629169,de:St. Elisabeth (München-Haidhausen),catholic,,,,,,,Category:St. Elisabeth (Haidhausen),https://www.pfarrverband-haidhausen.de/index.php?id=31,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[306215619, 1365016032, 306215620, 1301362651, 1302106270, 1302106279, 1302106259, 1302106257, 1302106278, 1302106263, 1318348100, 1302106266, 1302106265, 1302106261, 1302106274, 1302106268, 306215624, 306215625, 1302106272, 1301362676, 306215626, 1301362678, 306215629, 306215619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27910913,"POLYGON ((11.5861861 48.1403129, 11.5861276 48.1403117, 11.5859548 48.1403121, 11.5858453 48.1403095, 11.5858007 48.140302, 11.5857852 48.1402764, 11.5857575 48.1402764, 11.585732 48.1402993, 11.5856883 48.1403118, 11.5856439 48.1403126, 11.5856018 48.1403023, 11.5855632 48.140283, 11.5855643 48.1401749, 11.5855902 48.1401607, 11.5855984 48.1401581, 11.5856287 48.1401483, 11.5856733 48.1401493, 11.5857131 48.1401572, 11.5857163 48.1401586, 11.5857443 48.1401709, 11.5857592 48.1401813, 11.5857903 48.1401812, 11.5857951 48.1401602, 11.585819 48.1401485, 11.5858489 48.1401449, 11.5859597 48.1401433, 11.5861191 48.140142, 11.5861855 48.1401415, 11.5861861 48.1403129))",DE,place_of_worship,Sankt-Anna-Klosterkirche,christian,,yes,Q875536,en:Klosterkirche St. Anna im Lehel,catholic,,München,21,80538,Sankt-Anna-Straße,,Category:St. Anne's in Lehel (Monastry),,,,,,,1737,,Erzbistum München und Freising,,,church,4,BLfD,,,,,,,,,,,,,,,attraction,,yes,,,,,,,,,,,,,,,,,,,,"[306379842, 306379840, 306379839, 306379843, 3391209591, 306379844, 306379845, 306379846, 306379848, 306379849, 306379850, 8220637470, 8220637471, 3391209588, 3391209585, 3391209582, 3391209583, 3391209584, 3391209587, 306379853, 306379854, 306379855, 306379856, 306379857, 306379858, 306379861, 306379866, 306379859, 306379842]",rococo,,D-1-62-000-6074,,,Johann Michael Fischer,Q72959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27927652,"POLYGON ((11.4142645 48.1459252, 11.4141958 48.14614, 11.4146324 48.1462021, 11.414704 48.1459909, 11.4142645 48.1459252))",DE,place_of_worship,St. Markus,christian,,yes,,,catholic,,München,47,81249,Wiesentfelser Straße,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[306550422, 306550419, 306550421, 306550420, 306550422]",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28071678,"POLYGON ((11.4020008 48.1369977, 11.4020225 48.1370101, 11.4020289 48.1370254, 11.4020251 48.137038, 11.402015 48.1370472, 11.4019864 48.1370554, 11.4019637 48.1370522, 11.4016858 48.1369985, 11.4017113 48.1369425, 11.4017668 48.1369531, 11.4017779 48.1369233, 11.4018591 48.1369385, 11.401869 48.1369283, 11.4019159 48.1369378, 11.401922 48.1369561, 11.4019596 48.1369653, 11.4019506 48.1369881, 11.4020008 48.1369977))",,place_of_worship,Hl. Kreuz,christian,,,,,catholic,,München,24,81249,Freihamer Allee,,,,,,,https://www.erzbistum-muenchen.de/pfarrei/pv-muenchen-west/cont/64265,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[308237327, 1195875274, 1195875056, 1195875503, 1195876098, 308237330, 308237326, 1195875829, 1195874949, 1195874959, 1195875159, 1195875444, 1195875904, 1195875033, 1195875242, 1195875594, 1195876039, 308237327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28132472,"POLYGON ((11.5833417 48.1256574, 11.5837015 48.1255175, 11.5840546 48.1253803, 11.5841212 48.1253203, 11.5841292 48.1252448, 11.5840711 48.1251822, 11.5839698 48.1251524, 11.583913 48.1251549, 11.5838959 48.125098, 11.583779 48.1251167, 11.5836136 48.1251772, 11.5836649 48.1252351, 11.5832081 48.1254152, 11.5831513 48.1254376, 11.5833417 48.1256574))",DE,place_of_worship,Maria-Hilf-Kirche,christian,,yes,Q1896579,de:Mariahilfkirche (München),catholic,,München,42,81541,Mariahilfplatz,,Category:Mariahilfkirche (Munich),https://www.erzbistum-muenchen.de/pfarrei/pv-mariahilf-st-franziskus-muenchen,,,,,,1839,Dekanat München-Giesing,Erzbistum München und Freising,Pfarrei Mariahilf,Au,church,4,BLfD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[29582375, 9641537826, 302091827, 302091828, 29582376, 302091830, 302091831, 302091832, 1147110653, 1147110634, 1147110649, 1147110646, 9641537825, 29582378, 29582375]",neo-gothic,,D-1-62-000-4229,,,"Joseph Daniel Ohlmüller, Georg Friedrich Ziebland",Q90665;Q84473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28297955,"POLYGON ((11.6529186 48.0977646, 11.6535259 48.097761, 11.6535234 48.0975752, 11.6532639 48.0975767, 11.6529161 48.0975788, 11.6529186 48.0977646))",,place_of_worship,Sankt Philipp Neri,christian,,limited,,,catholic,,,,,,2022-10-22,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[310751261, 310751263, 310751264, 1754892664, 310751262, 310751261]",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28851253,"POLYGON ((11.5744015 48.145887, 11.5745935 48.1461866, 11.5745492 48.1461992, 11.5746268 48.1463204, 11.574403 48.1463842, 11.5743335 48.1462757, 11.574316 48.1462807, 11.574116 48.1459684, 11.5744015 48.145887))",DE,place_of_worship,St. Markus,christian,,no,Q873490,de:St. Markus (München),lutheran,,München,6,80333,Gabelsbergerstraße,,Category:St. Markus (Munich),https://www.markuskirche-muenchen.de/,,,,,+49 89 2867690,1876 / 1957,Kirchenkreis München,Evangelisch-Lutherische Kirche in Bayern,Evang.-Luth. Kirchengemeinde St. Markus München,Maxvorstadt,church,4,BLfD,,,,,,pfarramt.stmarkus-m@elkb.de,,,,,,,,"wurde 1873–1876 nach Plänen des Architekten Rudolf Gottgetreu errichtet. Der heutige Bau ist faktisch ein Neubau nach Plänen von Gustav Gsaenger unter Einbezug vorhandener Mauerstrukturen, die den Zweiten Weltkrieg überstanden.",,,,,,,,,,,,,,,,,,,,,,,"[317194544, 317194545, 317194546, 317194547, 317194549, 317194550, 317194551, 317194552, 317194544]",,,D-1-62-000-1997,,,Gustav Gsaenger,Q1246610,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29257470,"POLYGON ((11.4619727 48.1441371, 11.4619725 48.1441456, 11.4619724 48.1441529, 11.4619721 48.1441686, 11.4619705 48.1442475, 11.4617188 48.1442442, 11.4617176 48.1442829, 11.4617151 48.1443667, 11.4617128 48.1444439, 11.4617116 48.1444821, 11.4620095 48.1444861, 11.4620081 48.1445305, 11.4621016 48.1445317, 11.4621084 48.1445521, 11.4621406 48.1445616, 11.4621768 48.1445532, 11.4621849 48.1445329, 11.4622648 48.1445339, 11.4622654 48.1445005, 11.4624126 48.1444999, 11.4624152 48.1444593, 11.4624636 48.1444589, 11.4624973 48.1444463, 11.4625244 48.1444288, 11.4625436 48.1444061, 11.4625469 48.1443827, 11.4625448 48.1443558, 11.4625268 48.1443311, 11.4625012 48.1443115, 11.4624658 48.1442981, 11.4624186 48.1442903, 11.4624201 48.1442379, 11.4623618 48.1442364, 11.4622755 48.1442352, 11.4622762 48.1442139, 11.4622065 48.144213, 11.462192 48.1441833, 11.4621528 48.1441753, 11.4621168 48.1441863, 11.4621033 48.1442116, 11.4620459 48.1442116, 11.462047 48.1441549, 11.4620478 48.1441376, 11.4619727 48.1441371))",,place_of_worship,Maria Schutz,christian,,yes,Q1718864,de:Maria Schutz (Pasing),catholic,,München,21,81241,Bäckerstraße,,,,https://commons.wikimedia.org/wiki/File:Baeckerstr21_Muenchen-01.JPG,,,https://www.erzbistum-muenchen.de/pfarrei/pv-pasing/pfarrbuero,,1905..1909,,,,,church,4,BLfD,D-1-62-000-543,,,,,,,,,,,,,"Katholische Pfarrkirche Maria Schutz: dreischiffig, neuromanisch, 1905–09 von Hans Schurr",,,church,,,,,,,,,,,,,,,,,,,,"[321758668, 2338452532, 2338452536, 2338452541, 1234768885, 321758649, 1694633448, 1694633450, 1694633455, 321758646, 321758664, 321758660, 1073072201, 1073070387, 1073071651, 1073069512, 1073072562, 321758661, 321758665, 1234768803, 321758647, 321758654, 321758655, 321758657, 321758651, 321758658, 321758656, 321758659, 321758653, 321758652, 321758666, 321758662, 1690442629, 1073070622, 1073071927, 1073068673, 1073069202, 1073070817, 1073070551, 1073071860, 321758663, 2338452539, 1234769339, 321758668]",,,,,,Hans Schurr,,,,,,,,,,,Baudenkmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29290596,"POLYGON ((11.6330533 48.1706447, 11.632997 48.1705616, 11.6330137 48.1705568, 11.6329601 48.1704666, 11.6330431 48.1704424, 11.6330368 48.1704342, 11.6331335 48.1704048, 11.6332036 48.1705103, 11.6332199 48.1705139, 11.6332255 48.170523, 11.6332138 48.1705369, 11.6331885 48.1705494, 11.6332156 48.1705959, 11.6330533 48.1706447))",DE,place_of_worship,Vaterunserkirche,christian,,,,,protestant,,München,11,81925,Fritz-Meyer-Weg,,,,,,,https://www.vaterunserkirche.de/,+4989955582,,,,,,church,,,,,,,,Pfarramt.Vaterunser.m@elkb.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[322092952, 1536229106, 1536229108, 322092954, 1536229109, 1536229107, 322092955, 1536229104, 1536229100, 1536229103, 1536229110, 1536229105, 322092957, 322092952]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29290600,"POLYGON ((11.6355318 48.1696383, 11.6356791 48.169616, 11.6355836 48.1693354, 11.6352513 48.1693856, 11.6353467 48.1696663, 11.6354948 48.1696439, 11.6355047 48.1696731, 11.6354702 48.169686, 11.6354428 48.1697048, 11.6354244 48.169728, 11.6354166 48.1697537, 11.63542 48.1697799, 11.6354342 48.1698043, 11.6354582 48.1698251, 11.63549 48.1698405, 11.6355271 48.1698494, 11.6355663 48.1698509, 11.6356046 48.1698449, 11.6356389 48.1698321, 11.6356663 48.1698133, 11.6356847 48.1697901, 11.6356925 48.1697643, 11.6356892 48.1697382, 11.6356749 48.1697138, 11.6356509 48.169693, 11.6356191 48.1696775, 11.6355821 48.1696687, 11.6355428 48.1696672, 11.6355419 48.1696673, 11.6355318 48.1696383))",,place_of_worship,St. Thomas Apostel,christian,,yes,Q1397633,,catholic,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8727001029, 322092973, 322092974, 322092975, 322092972, 8727001030, 8727001032, 558069852, 1142880790, 325635822, 558069891, 558069908, 558069910, 558069919, 5042727747, 1142880793, 325635825, 558069950, 558069972, 325635813, 1142880785, 8727001033, 558069679, 558069701, 558069720, 558069741, 325635818, 558069829, 8727001031, 8727001029]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29553428,"POLYGON ((11.4149433 48.1572788, 11.4145699 48.1571949, 11.4145981 48.157139, 11.4146219 48.1570918, 11.414717 48.1571132, 11.4147292 48.157089, 11.4147973 48.1571042, 11.4147782 48.1571421, 11.4148449 48.157157, 11.4148634 48.1571203, 11.4149213 48.1571333, 11.4149096 48.1571564, 11.4149935 48.1571753, 11.4150087 48.1571452, 11.4150862 48.1571626, 11.4150663 48.1572023, 11.4150966 48.1572095, 11.4151231 48.157243, 11.415106 48.1572781, 11.4150509 48.1572933, 11.4150234 48.1572871, 11.4150077 48.1573182, 11.414932 48.1573012, 11.4149433 48.1572788))",DE,place_of_worship,St. Quirin,christian,,limited,Q2322949,,catholic,,München,6,81245,Ubostraße,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1080287381, 325708093, 1260555167, 325708109, 10617402494, 10617402493, 10741713539, 1080287334, 10617402492, 10741713538, 1080287386, 1080287373, 1080287382, 1080287370, 1080287356, 1080287338, 325708104, 1080287362, 1080287357, 325708098, 1080287351, 10617402488, 10617402489, 1080287381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29559823,"POLYGON ((11.5137176 48.1139721, 11.5137068 48.1138497, 11.5134751 48.1138532, 11.5134668 48.1137449, 11.5133186 48.1137432, 11.5133212 48.1138605, 11.5131807 48.1138537, 11.5132003 48.1140166, 11.5137176 48.1139721))",DE,place_of_worship,Gethsemanekirche,christian,no,limited,Q41184045,de:Gethsemanekirche (München),protestant,,München,3,81377,Ettalstraße,,Category:Gethsemanekirche (Munich),https://www.gethsemanekirche-muenchen.de/,,,,,+49 89 7141183,,,,,,church,,,,,,,,pfarramt.gethsemane.muenchen@elkb.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[325759044, 325759051, 325759056, 325759057, 325759070, 325759074, 1714858097, 325759084, 325759044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30031516,"POLYGON ((11.5598495 48.0881281, 11.5597291 48.0881573, 11.5596166 48.0882486, 11.5596476 48.0883338, 11.5597475 48.0883737, 11.5598382 48.0884061, 11.5599629 48.0883868, 11.5600093 48.0882929, 11.5600245 48.0882597, 11.5599985 48.0881812, 11.5599223 48.088152, 11.5598495 48.0881281))",DE,place_of_worship,Maria Immaculata,christian,,yes,Q90546818,de:Maria Immaculata (München),roman_catholic,,München,55,,Seybothstraße,,"Category:Maria Immaculata (Harlaching, Munich)",https://www.erzbistum-muenchen.de/pfarrei/pv-harlaching/cont/96499,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,"[330690152, 330690144, 330690146, 330690147, 3109105807, 330690148, 330690149, 330690150, 3109105806, 3109105805, 3109105804, 330690152]",,white,,,,,,,,gabled,,grey,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
