element_type,osmid,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,denomination,name,opening_hours,religion,wheelchair,geometry,addr:city,addr:country,image,operator,phone,toilets:wheelchair,website,wheelchair:description,club,contact:email,contact:fax,contact:phone,contact:website,description,source,email,community_centre,community_centre:for,operator:type,barrier,description:de,internet_access,lgbtq,air_conditioning,check_date,gay,gay:men,gay:transgender,gay:women,level,max_age,min_age,owner,short_name,toilets,toilets:access,toilets:unisex,check_date:opening_hours,name:it,note,access,sport,addr:room,cuisine,outdoor_seating,smoking,changing_table,changing_table:fee,children,disused:contact:website,opening_hours:signed,provides,wikidata,wikipedia,name:de,name:en,name:es,fixme,office,lgbtq:women,capacity,url,name:ru,mobile,tourism,contact:mobile,old_name,check_date:currency:XBT,contact:twitter,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,nodes,building,official_name,building:levels,roof:shape,height,roof:colour,fax,operator:wikidata,start_date,historic,building:colour,building:architecture,heritage,heritage:operator,heritage:ref,roof:orientation,contact:email_1,name_1,emergency,community_center:for,operator:short,addr:housename,wikimedia_commons,roof:levels,roof:height,opening_hours:office,brewery,layer,landuse,place,building:levels:underground,dogs,est_height,opening_date,ways,type
node,6316911707,,,,,community_centre,,Ligsalz8 - Das münchner Syndikatshaus,,,limited,POINT (11.5420043 48.1379118),,,,Mietshaus Syndikat,,,https://ligsalz8.de,,,,,,,"Die Ligsalz8 ist ein Wohnprojekt im Münchner Westend, das sich im Rahmen des Mietshäusersyndikats selbstverwaltet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1432684,de:Mietshäuser Syndikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6569156486,,,,,community_centre,,Ampere im Muffatwerk,,,,POINT (11.5894872 48.1328909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ampere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6659457852,35,80807,Max-Bill-Straße,,community_centre,,Nachbarschaftstreff Domagkpark,Mo 15:00-17:00; Fr 10:00-12:00,,,POINT (11.5960078 48.1868455),München,,,,+49 89 41238246,,https://www.domagkpark.de/nachbarschaftstreff.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6716477507,45,81241,Josef-Felder-Straße,,community_centre,,Nachbarschaftstreff Pasing,,,,POINT (11.4660873 48.1477015),München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6877983814,20a,81373,Hinterbärenbadstraße,,community_centre,,Feierwerk Tatz,,,limited,POINT (11.5280976 48.1207151),München,,,Feierwerk e.V.,+49 89 51262863,,https://www.feierwerk.de/kinder-jugend-familieneinrichtungen/tatz/,,,,,,,,,tatz@feierwerk.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7597842267,3,80807,Bauhausplatz,,community_centre,,Horizont-Haus Domagkpark,,,,POINT (11.5929182 48.1868828),München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7684415053,,,,,community_centre,,Pfarrzentrum,,,,POINT (11.4850742 48.1408853),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8220281969,,,,,community_centre,,Jugendtreff Tröpferlbad,,,,POINT (11.5610054 48.1243628),,,,,,,http://www.troepferlbad.info/,,,,,,,,,,youth_centre,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8238486508,10,81737,Ottobrunner Straße,,community_centre,,Utopia - Freizeitstätte,Mo 15:00-18:00; Tu 15:00-19:00; We-Fr 15:00-21:00; PH off,,yes,POINT (11.6161041 48.1117805),München,,,Falken-Freizeitstättenverein,,,https://utopia-muc.de/,,,,,,,,,,youth_centre,,private_non_profit,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8392134385,2,,Leipziger Straße,,community_centre,,Kinder- und Jugendtreff Mooskito,,,,POINT (11.5198494 48.1771816),,,,Kreisjugendring München-Stadt,+49 89 1403850,,https://www.mooskito.de,,,,,,,,,,youth_centre,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8433287693,,,,,community_centre,,St. Lorenz,,,,POINT (11.6241856 48.1716765),,,,,,,,,,,,,,,,,,religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8434342549,5,80337,Ruppertstraße,,community_centre,,Luise,,,,POINT (11.5532273 48.1230528),München,,,Glockenbachwerkstatt e.V.,,,https://www.luise-kultur.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9324924918,5,81475,Walliser Straße,,community_centre,,Musisch Kreative Werkstatt / Intermezzo,,,,POINT (11.4825956 48.0924021),München,,,Kreisjugendring München-Stadt,,,https://www.musischkreative-werkstatt.de/,,,,,,,,,,youth_centre,,public,,,,,,,,,,,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9580248114,,,,,community_centre,,Kinder- und Jugendtreff BaLI,,,,POINT (11.6053115 48.1253467),,,,AKA e.V.,,,https://aka-muenchen.de/kinder-und-jugendtreff-bali/,,,bali@aka-muenchen.de,+49 89 4483045,+49 89 484542,,,,,youth_centre,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 176 43216204,Urban Bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9785880853,4,81379,Schertlinstraße,,community_centre,,Café Netzwerk,,,yes,POINT (11.5158357 48.0967051),München,,,Kreisjugendring München-Stadt,,,https://www.cafe-netzwerk.de/,,,team@cafe-netzwerk.de,,+49 89 54832700,,,,,youth_centre,child;juvenile,public,,,,,,,,,,,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10138422963,5,81667,Rosenheimer Straße,,community_centre,,Münchner Werkzeugbibliothek,Tu 18:30-20:00; Sa 10:00-12:00,,,POINT (11.5915828 48.1307273),München,,,Erfindergarden Foudation gUG,+49 89 5404 0612,,https://erfindergarden.de/werkzeugbib/,,,,,,,,,,,,private_non_profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10140387989,6,81369,Plinganserstraße,,community_centre,,Satoshis Coffeeshop,,,,POINT (11.5401999 48.1217178),München,,,,+49 1522 7296631,,https://bitcoinlight.house/satoshis-coffeeshop/,,,,,,,"Geöffnet an ausgewählten Sonntagen nachmittags bis abends (aktuelle Infos: siehe Website) für Vorträge, Workshops, Diskussionsgruppen oder geselliges Zusammensein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_shop,no,,,,,,,,,,,,,,,,,,,,,,,2023-05-07,https://twitter.com/btclighthouse,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10157783263,,,,,community_centre,,AWO Seniorentreff,Mo-Th 10:00-17:00,,,POINT (11.5402749 48.1615064),,,,AWO,,,,,,,,,,,,,community_hall,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10594846151,1b,80802,Nikolaiplatz,,community_centre,,Seidlvilla Verein e.V.,Mo-Su 12:00-19:00,,,POINT (11.5876179 48.1585931),München,DE,,,,,,,,info@seidlvilla.de,+49 89 3402 9566,+49 89 333 139,https://www.seidlvilla.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10741539798,20,,Welfenstraße,,community_centre,,Aktiv für interKulturellen Austausch e.V.,,,,POINT (11.5877426 48.121845),,,,,,,https://aka-muenchen.de,,,,,,,,,,youth_centre,,,,,,,,2023-03-17,,,,,0,,,,AKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10934588311,41,,Gärtnerstraße,,community_centre,,Islamisches Kulturzentrum Hidaje e.v.,"Sa 10:30-12:30, 13:30-16:00, So 10:00-14:00",muslim,,POINT (11.5315978 48.177991),München,,,,+49 89 21932912,,https://www.hidaje.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24164472,18,80331,Sankt-Jakobs-Platz,,community_centre,,Israelitische Kultusgemeinde (Gemeindezentrum),,jewish,,"POLYGON ((11.5717766 48.1343334, 11.5722006 48.1345818, 11.5718617 48.1348449, 11.571706 48.1349502, 11.5716784 48.1349674, 11.5716094 48.1350144, 11.5712511 48.1348038, 11.5716234 48.1344569, 11.5716808 48.1344107, 11.5717766 48.1343334))",München,DE,,,,,https://www.ikg-m.de,,,info@ikg-m.de,+49 9 20 24 00 -170,+49 89202400100,https://www.ikg-m.de,,survey by BenE München,info@ikg-m.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q161751,de:Jüdisches Zentrum München,,,,,,,,,,,,,,,,,,,,"[261736460, 261736461, 358489626, 2888848543, 2888848544, 261736462, 261736463, 3902869965, 358836893, 261736460]",yes,Israelitische Kultusgemeinde München und Oberbayern K.d.ö.R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27226303,32,81825,Wasserburger Landstraße,,community_centre,,Kulturzentrum Trudering,Mo-Su 10:00-20:00,,yes,"POLYGON ((11.6703488 48.1195303, 11.6701832 48.1193046, 11.6707298 48.1191259, 11.6707655 48.1191746, 11.6708953 48.1193516, 11.6707321 48.119405, 11.6706846 48.1194205, 11.6703488 48.1195303))",München,DE,,,+49 89 42018911,,,,,,,,https://www.kulturzentrum-trudering.de/ueber-uns/traegerverein/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[298800444, 298800445, 298800446, 7803341405, 298800447, 2925089126, 7803341393, 298800444]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27932813,57,81249,Wiesentfelser Straße,,community_centre,,Jugendtreff Neuaubing,"""varies by time of year, targets specific groups""",,,"POLYGON ((11.4116667 48.1458854, 11.4117373 48.1458951, 11.4117857 48.1457378, 11.411557 48.1457064, 11.4115207 48.1458244, 11.4113895 48.1458065, 11.4113506 48.1459327, 11.4115468 48.1459596, 11.4115539 48.1459366, 11.411647 48.1459494, 11.4116667 48.1458854))",München,DE,,Kreisjugendring München-Stadt,,,https://www.jt-neuaubing.de/,,,,,+49 89 871 42 42,,,,,youth_centre,juvenile,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[306594915, 306594907, 306594908, 306594909, 306594914, 306594910, 1065190064, 306594912, 1065190074, 1065190079, 306594915]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29546823,153,81927,Fideliostraße,,community_centre,,SBZ Fideliopark,"Mo-Fr 12:30-14:00, Mo,Tu,Fr 14:00-20:00, We,Th 14:00-18:00, Sa 13:00-18:00",,yes,"POLYGON ((11.6424281 48.1640081, 11.6426134 48.1639704, 11.6424507 48.1636144, 11.6422654 48.1636521, 11.6424281 48.1640081))",,,,Kreisjugendring München,,,https://www.sbz-fideliopark.de/,,,,,,,,,info@sbz-fideliopark.de,,,,,,wlan,,,,,,,,,,,,,,,,2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1533385951, 325642863, 325642865, 325642866, 1533385951]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34723727,1,81539,Giesinger Bahnhofplatz,,community_centre,,Kulturzentrum Giesinger Bahnhof,,,limited,"POLYGON ((11.5960422 48.1104658, 11.596084 48.11037, 11.5961156 48.1103761, 11.5961496 48.1102983, 11.5961057 48.1102897, 11.5961401 48.110211, 11.596181 48.1102189, 11.5961924 48.1101927, 11.5961685 48.1101881, 11.5962047 48.110105, 11.5964065 48.1101443, 11.5962783 48.1104357, 11.5962576 48.1104317, 11.5962396 48.1104282, 11.596209 48.1104982, 11.5960422 48.1104658))",München,,,Freunde Giesings e.V.,,,https://www.giesinger-bahnhof.de/,,,,,,,,,,cultural_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[393898866, 404580663, 404580664, 1452215196, 1452215192, 1452215180, 1452215191, 404580665, 404580666, 404580667, 1452215178, 1452215200, 3386284410, 1452215199, 404580669, 393898866]",yes,,2,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,36888115,1,81547,Fromundstraße,,community_centre,,FEZI,"Mo-Fr 13:30-17:30,18:00-21:00; We 13:30-17:30",,,"POLYGON ((11.5760555 48.1083504, 11.5759716 48.1082658, 11.5758508 48.1083192, 11.5757444 48.1083663, 11.5758284 48.1084509, 11.5760555 48.1083504))",München,DE,,,+49 89 6920173,,https://www.fezi-wetterstein.de/,,,,,,,Kinder- und Jugendtreff am Wettersteinplatz,,fezi-wetterstein@kjr-m.de,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2409165289, 2409165302, 3338183539, 428886375, 428886371, 2409165289]",yes,,2,,,,+49 89 69804863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37703317,1,81245,August-Exter-Straße,,community_centre,,Pasinger Fabrik,,,yes,"POLYGON ((11.4608255 48.1512006, 11.461402 48.1511643, 11.4614276 48.1513399, 11.4615568 48.1513313, 11.4615536 48.1513179, 11.4615672 48.1513163, 11.461574 48.151325, 11.4615908 48.1513285, 11.461608 48.1513242, 11.4616196 48.1513118, 11.4617237 48.1513048, 11.4616837 48.1510088, 11.4617596 48.1510021, 11.4617506 48.1509472, 11.4617368 48.150853, 11.4617277 48.1507429, 11.4616545 48.1507613, 11.4616765 48.1509188, 11.4615244 48.150928, 11.4615224 48.1509181, 11.4612152 48.1509364, 11.4611468 48.1509404, 11.461139 48.1508849, 11.4610049 48.1509324, 11.4610094 48.151002, 11.4609316 48.1510059, 11.4609323 48.1510248, 11.4608718 48.151028, 11.4608727 48.1510496, 11.4608631 48.1510498, 11.4608072 48.1510539, 11.4608255 48.1512006))",München,DE,,,,,,,,info@pasinger-fabrik.com,,+49 8982929079,https://www.pasinger-fabrik.de/,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-13,,,,,,,,,,,,,no,,Q1567979,,,,,,,,,,,,,,,,,,,,,"[442108336, 442108337, 442108338, 1234768477, 1234769044, 1234768046, 1234768583, 1234769294, 1234768839, 4908929618, 442108339, 442108340, 442108341, 2476960551, 443706929, 442108342, 442108343, 442108344, 4908929619, 4908929620, 2347938962, 442108345, 442108346, 442108347, 442108348, 1234768019, 1234769028, 442108349, 1234768650, 2196730407, 1234768946, 442108336]",yes,Pasinger Fabrik GmbH Kultur- und Bürgerzentrum der Landeshauptstadt München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39246411,14,80637,Hanebergstraße,,community_centre,,Oase Neuhausen,,,,"POLYGON ((11.5357717 48.1627885, 11.5360553 48.1621602, 11.5355672 48.1619901, 11.5340212 48.1616376, 11.5337541 48.1622057, 11.5352767 48.1625862, 11.5352407 48.1626543, 11.5357717 48.1627885))",München,,,Kreisjugendring München-Stadt,,,https://www.asp-neuhausen.de/,,,,,,,Jugendtreff und Abenteuerspielplatz,,,youth_centre,child;juvenile,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1596538913, 470238012, 470238015, 470238017, 1216396086, 1596538906, 1596538911, 1596538913]",,,,,,,,Q1330682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40951700,34,81245,Goßwinstraße,,community_centre,,Pfarrheim,,,,"POLYGON ((11.473839 48.1533691, 11.4738424 48.1534327, 11.4737958 48.1534338, 11.4737994 48.1535005, 11.4737619 48.1535014, 11.4737693 48.153639, 11.4736999 48.1536407, 11.4737015 48.1536714, 11.4735573 48.1536749, 11.4735538 48.1536085, 11.4736051 48.1536073, 11.4735996 48.1535049, 11.4736543 48.1535036, 11.4736473 48.1533736, 11.473839 48.1533691))",München,DE,,,,,https://www.erzbistum-muenchen.de/pfarrei/pv-menzing/st-leonhard-muenchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-27,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"[498836436, 498836437, 498836438, 498836439, 498836440, 498836441, 498836442, 498836443, 498836444, 498836445, 498836446, 498836447, 498836448, 498836449, 498836436]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41505637,7,80807,Anni-Albers-Straße,,community_centre,,Deutscher Alpenverein (Bundesgeschäftsstelle),,,,"POLYGON ((11.591967 48.1770395, 11.591966 48.1770897, 11.5919652 48.1771606, 11.5920251 48.1771648, 11.5921783 48.1773356, 11.5921684 48.1773433, 11.5922534 48.1774368, 11.5922642 48.1774314, 11.5923184 48.1774919, 11.5924187 48.1774507, 11.5925186 48.1774097, 11.592334 48.177198, 11.5921582 48.1770086, 11.591968 48.1770062, 11.591967 48.1770395))",München,DE,,,+49 89 14003 0,,https://www.alpenverein.de,,,,,,,,,,club_home,,,,,,,,,,,,,,,,,DAV,,,,,,Langenscheidt closed Dec 2019. Deutscher Alpenverein (DAV) moved in: Feb 2021,,,,,,,,,,,,,Q513666,de:Deutscher Alpenverein,,,,,association,,,,,,,,Langenscheidt GmbH & Co. KG,,,,,,,"[3653279402, 3653279412, 3653279404, 3653279407, 3653279399, 3653279400, 3653279408, 3653279406, 508080944, 8476477107, 508080945, 2434569622, 508080946, 3653279409, 3653279402]",office,,,,,,,,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46713752,23,80995,Gustav-Schiefer-Straße,,community_centre,,St. Johannes Evangelist,,,,"POLYGON ((11.532191 48.1988654, 11.5321911 48.1988485, 11.5321914 48.1987879, 11.5325851 48.1987886, 11.5325853 48.1987552, 11.5326978 48.1987554, 11.5326973 48.1988664, 11.532191 48.1988654))",München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[597233446, 3388903408, 597233450, 3381974523, 3381974522, 3381974521, 597233447, 597233446]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51517138,14,80469,Am Glockenbach,Villa Kunterbunt,community_centre,,Kinder- und Jugendhaus KUBU,,,,"POLYGON ((11.5661516 48.1264022, 11.566262 48.1264854, 11.566297 48.1264684, 11.5664792 48.1266198, 11.566566 48.126576, 11.5667783 48.1265321, 11.5667559 48.1264816, 11.5665283 48.1265281, 11.5663556 48.1263705, 11.5663058 48.1263251, 11.5661516 48.1264022))",München,DE,,Caritasverband der Erzdiözese München und Freising e.V.,,,,,,,,,,Kinder- und Jugendhaus,,,,child;juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[658653290, 3823380858, 3823380857, 658653287, 1722866689, 658653293, 1722866663, 1722866684, 409497564, 658653288, 658653290]",civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,77907148,14,81241,Bäckerstraße,,community_centre,,Alten- und Service-Zentrum Pasing,,,,"POLYGON ((11.4612219 48.1455755, 11.4612711 48.145572, 11.4612781 48.1456007, 11.4614181 48.1456021, 11.4613683 48.1453384, 11.4611836 48.1453525, 11.4612219 48.1455755))",,,,,,,https://www.asz-pasing.de/de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[915621717, 915621559, 915621688, 915621669, 915621656, 915621684, 915621717]",yes,,2,gabled,,red,,,,building,,,,,,,,,,,,,,,,,,,,,,,,,,
way,81158074,82a,80686,Valpichlerstraße,,community_centre,,,,,,"POLYGON ((11.498497 48.1379839, 11.4985056 48.1380691, 11.4988363 48.1380542, 11.4988288 48.1379779, 11.498718 48.1379829, 11.4987171 48.137974, 11.498497 48.1379839))",München,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[945767966, 945767972, 945767971, 945767984, 945767981, 945767978, 945767966]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87293066,6,,Fellererplatz,,community_centre,,Pfarrzentrum,,,yes,"POLYGON ((11.51737 48.0777521, 11.5173921 48.0775726, 11.5171529 48.0775572, 11.5168318 48.0775395, 11.5168097 48.077719, 11.51737 48.0777521))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"[1014961181, 1014961130, 3923769317, 1014961118, 1014960989, 1014961181]",public,,1,flat,,grey,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,
way,87407305,7,80331,Blumenstraße,,community_centre,,Glockenbachwerkstatt,,,limited,"POLYGON ((11.5738137 48.1334887, 11.5739487 48.1333939, 11.5741088 48.1334954, 11.5741827 48.1335422, 11.5740477 48.133637, 11.5738979 48.1335421, 11.5738137 48.1334887))",München,DE,https://de.wikipedia.org/wiki/Datei:Blumenstr7_Muenchen-01.jpg,,,,https://www.glockenbachwerkstatt.de/,,,,+49 89 2 60 64 34,+49 89 26 88 38,,,survey by BenE München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,,,,,,,,,,,,,,"[1016367223, 1016367203, 10568232903, 1016367229, 1016367227, 10568232902, 1016367223]",yes,,,hipped,,,,,1826,,,classicism,4,BLfD,D-1-62-000-794,along,,,,,,,,,,,,,,,,,,,,
way,94790070,,81543,Arminiusstraße,,community_centre,,Pfarrheim St. Franziskus,,,,"POLYGON ((11.5693186 48.1142748, 11.5694056 48.1142749, 11.5694054 48.1143764, 11.5692968 48.1143762, 11.5692968 48.114402, 11.5691732 48.114402, 11.5691732 48.1143897, 11.5691732 48.114376, 11.5690496 48.1143758, 11.5690499 48.1142745, 11.5691373 48.1142746, 11.5693186 48.1142748))",München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"[1100448139, 1100448132, 1100448093, 1100448207, 1100448141, 1100448156, 2811968545, 1100448121, 1100448091, 1100448171, 9687676084, 1100448139]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,95707056,5,81245,Ubostraße,,community_centre,catholic,Katholisches Pfarramt St. Quirin,"Sep-Jul Mo-Fr 08:00-12:00, Sep-Jul We,Th 14:00-15:00, Aug Mo,Tu,Th,Fr 08:00-12:00",christian,yes,"POLYGON ((11.4152413 48.1567438, 11.4149692 48.1567504, 11.4149702 48.1567683, 11.414608 48.1567771, 11.4145859 48.1563714, 11.4148305 48.1563654, 11.4148331 48.1564127, 11.4148887 48.1564114, 11.4148927 48.1564863, 11.4149022 48.1566605, 11.4149647 48.156659, 11.4149636 48.1566391, 11.4152352 48.1566325, 11.4152413 48.1567438))",München,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1109590384, 8733108039, 8733108040, 1109590440, 1109590367, 1109590403, 8733108038, 1109590122, 1109590221, 1109590131, 1109590216, 1109590398, 1109590279, 1109590384]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96132395,24,81735,Albert-Schweitzer-Straße,,community_centre,,Abenteuerspielplatz Maulwurfshausen,Mo-Fr 13:00-18:00,,,"POLYGON ((11.6460071 48.1110328, 11.646158 48.1109755, 11.6463717 48.1109194, 11.6466739 48.1108582, 11.6465686 48.1107444, 11.6464977 48.110654, 11.6464679 48.110616, 11.6463811 48.1104654, 11.6463342 48.110348, 11.6462562 48.110365, 11.646024 48.1104991, 11.6457837 48.1107165, 11.6455707 48.1109419, 11.6456783 48.1110171, 11.6458072 48.1111221, 11.6460071 48.1110328))",München,DE,,Kreisjugendring München-Stadt,,,,,,maulwurfshausen@kjr-m.de,+49 89 18922757,+49 89 670 11 31,https://www.maulwurfshausen.de,,,,youth_centre,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1113905901, 1163929487, 1113905933, 1113905929, 4878458333, 4879731813, 3750821980, 1798427955, 1798427948, 1798427949, 1798427952, 1163929682, 1163929470, 4878458335, 4878458334, 1113905901]",,"Abenteuerspielplatz Maulwurfshausen Bauspielplatz, Spielstadt & Spielhaus",,,,,,Q1330682,,,,,,,,,info@kjr-m.de,Spielstadt Maulwurfshausen,,,,,,,,,,,,,,,,,,
