element_type,osmid,amenity,geometry,access,description,fee,layer,name,parking,toilets,toilets:fee,wheelchair,opening_hours,wheelchair:description,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,barrier,bicycle,foot,created_by,motorcar,motorcycle,capacity,maxheight,ref,bus,motor_vehicle,contact:email,contact:fax,contact:phone,contact:website,old_name,park_ride,capacity:disabled,odbl,level,capacity:women,operator,smoothness,surface,website,charge,operator:type,source,note,maxstay,capacity:parent,parking:orientation,payment:coins,payment:maestro,payment:mastercard,payment:visa,maxweight,toilets:wheelchair,entrance,noexit,check_date,lit,horse,payment:cash,payment:credit_cards,description:de,name:en,email,check_date:fee,covered,supervised,maxspeed,source:capacity,maxstay:conditional,free,alt_name,phone,payment:apple_pay,payment:cards,payment:contactless,payment:debit_cards,payment:google_pay,payment:notes,payment:paypal,vehicle,nodes,building,building:levels,height,roof:colour,roof:shape,building:material,caravans,charge:bus,charge:bus:conditional,charge:conditional,hgv,operator:short,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,roof:height,roof:levels,min_height,salting,snowplowing,winter_service,access_1,name:de,fee:conditional,designation,addr:housename,lastcheck,parking:condition:area,service,aprki,landuse,addr:suburb,parking:condition:area:customers,building:part,location,type,building:colour,indoor,source_ref,orientation,goods,est_height,roof:material,stay,capacity:bus,building:levels:underground,fence_type,parking:condition,fixme,charging,massgis:PUB_ACCESS,note:de,kiss_and_ride,capacity:car,payment:electronic_purses,traffic_sign,restriction:conditional,taxi:conditional,disabled,capacity:charging,parking:condition:time_interval,no_parking,taxi,parking:condition:maxstay,restriction,ways,wikidata,wikimedia_commons
way,67816901,parking,"POLYGON ((11.461667 48.1364893, 11.4616745 48.1364133, 11.461682 48.1363367, 11.4612966 48.1363196, 11.460968 48.1363054, 11.460953 48.1364581, 11.461667 48.1364893))",customers,Parkplatz für Friedhofsbesucher,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[818783770, 818783540, 818783544, 2500885553, 818783767, 818783659, 818783770]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68115610,parking,"POLYGON ((11.6315519 48.1111451, 11.6315467 48.1107889, 11.631841 48.110787, 11.6318462 48.1111432, 11.6315519 48.1111451))",customers,nur für Mitglieder des SVN,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[821115579, 821115497, 821115758, 821115682, 821115579]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68197773,parking,"POLYGON ((11.4688427 48.2160974, 11.4688388 48.2162611, 11.4708115 48.2162824, 11.4708155 48.2161186, 11.4688427 48.2160974))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[821672497, 821672407, 821672479, 821672521, 821672497]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68197776,parking,"POLYGON ((11.4674454 48.2147452, 11.4677301 48.2147444, 11.4677258 48.2140489, 11.4674411 48.2140497, 11.4674454 48.2147452))",private,,,,Parken MAN,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[821672439, 821672359, 821672638, 821672649, 821672439]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68197788,parking,"POLYGON ((11.4688223 48.217563, 11.4689164 48.21766, 11.4692533 48.2176675, 11.4692621 48.2170012, 11.4688316 48.2170068, 11.4688223 48.217563))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[821672594, 822811570, 821672538, 821672512, 821672388, 821672594]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68197816,parking,"POLYGON ((11.4679245 48.216394, 11.4687252 48.2164066, 11.4687525 48.2176777, 11.4679424 48.2172946, 11.4679245 48.216394))",private,,,,Parken MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[821672406, 821672734, 821672604, 821672576, 821672406]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68420679,parking,"POLYGON ((11.6553012 48.0951507, 11.655369 48.0951508, 11.655369 48.0951424, 11.6554128 48.0951424, 11.6554777 48.0951424, 11.6554777 48.0951342, 11.6554778 48.0950952, 11.6554779 48.0949716, 11.6555202 48.0949716, 11.6555203 48.0948329, 11.6553923 48.0948328, 11.6553923 48.0948719, 11.6553738 48.0948719, 11.6553531 48.0948718, 11.6553531 48.0948327, 11.6552923 48.0948327, 11.6552921 48.095101, 11.6553013 48.095101, 11.6553012 48.0951507))",private,,,1,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[823280799, 7920313936, 7920485111, 823280744, 252957888, 3656715806, 3656715801, 3656715793, 252957887, 823280767, 3656715782, 3656715786, 823280777, 3656715785, 3656715781, 823280823, 1870337912, 3656715803, 823280799]",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68696404,parking,"POLYGON ((11.4330071 48.1505779, 11.4334148 48.1505782, 11.433415 48.1504294, 11.4330073 48.1504292, 11.4330072 48.1505047, 11.4330071 48.1505779))",private,,,,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing_imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[825664620, 825664653, 825664642, 825664679, 1078667997, 825664620]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68696407,parking,"POLYGON ((11.4314719 48.1505571, 11.4314718 48.1506079, 11.4314716 48.1506956, 11.4322299 48.1506961, 11.43223 48.1506531, 11.4322301 48.1505877, 11.432628 48.150588, 11.4330071 48.1505883, 11.4330071 48.1505779, 11.4330072 48.1505047, 11.4330073 48.1504292, 11.4314721 48.1504281, 11.4314719 48.1505571))",private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[825664669, 1078668007, 825664579, 825664610, 1078668005, 825664671, 825664640, 1078667970, 825664620, 1078667997, 825664679, 825664702, 825664669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68696408,parking,"POLYGON ((11.4322299 48.1506961, 11.4322299 48.1507361, 11.4326278 48.1507364, 11.432628 48.150588, 11.4322301 48.1505877, 11.43223 48.1506531, 11.4322299 48.1506961))",private,,,,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[825664610, 1078668030, 825664651, 825664640, 825664671, 1078668005, 825664610]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68807610,parking,"POLYGON ((11.6575634 48.0946088, 11.6578513 48.0946093, 11.6579345 48.0946095, 11.6579364 48.09416, 11.6575943 48.0941594, 11.6575653 48.0941593, 11.6575634 48.0946088))",private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,München Klinik gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[826721836, 2698582326, 826721864, 826721778, 2698582312, 826721929, 826721836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,69672179,parking,"POLYGON ((11.6246527 48.1054536, 11.6246566 48.1054139, 11.625274 48.105441, 11.6252701 48.1054807, 11.6246527 48.1054536))",private,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perpendicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[833338011, 833338031, 833338019, 833338016, 833338011]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70693549,parking,"POLYGON ((11.410115 48.1628085, 11.4102039 48.16282, 11.4102493 48.1626634, 11.4102002 48.162657, 11.4101604 48.1626519, 11.410115 48.1628085))",private,,,-1,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[843243999, 843244056, 843243987, 843243980, 843244068, 843243999]",garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70693555,parking,"POLYGON ((11.4107443 48.1628779, 11.4102164 48.1628103, 11.410258 48.1626657, 11.410786 48.1627334, 11.4107443 48.1628779))",private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[843243962, 843244061, 843243998, 843244046, 843243962]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,71133641,parking,"POLYGON ((11.6376686 48.1543676, 11.6378971 48.1543223, 11.6378028 48.153569, 11.6375172 48.1535458, 11.6376501 48.1541387, 11.6376686 48.1543676))",customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[847028669, 847028694, 846998318, 847028717, 2265980191, 847028669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,71392773,parking,"POLYGON ((11.5960208 48.1926454, 11.5960198 48.1926882, 11.596231 48.1926917, 11.5962333 48.192653, 11.5963173 48.1926541, 11.5963203 48.1925602, 11.5963939 48.1925617, 11.5963976 48.1923873, 11.5964511 48.1923049, 11.5964633 48.1919277, 11.5964297 48.1918783, 11.5963337 48.1918776, 11.596337 48.1918286, 11.5960932 48.19183, 11.5960401 48.1918303, 11.5960208 48.1926454))",customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mömax;JYSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[59937351, 8164460182, 8164460183, 8164460184, 849497428, 2014941667, 2014941657, 8164460185, 8164460186, 1041133818, 2014941658, 2014941655, 2014941711, 8164460197, 59937348, 59937351]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72272778,parking,"POLYGON ((11.5994715 48.1606135, 11.5993556 48.1603665, 11.5992842 48.1602124, 11.5991962 48.1601564, 11.5991288 48.1601241, 11.5989439 48.1602684, 11.5988347 48.1602796, 11.5987381 48.1604841, 11.5987118 48.1606573, 11.5987222 48.160712, 11.5988494 48.1608609, 11.5992632 48.1606606, 11.5994715 48.1606135))",,,yes,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[858752852, 858752749, 858752914, 858753074, 858752924, 858753088, 858753330, 858752719, 858752746, 858753188, 858752754, 858753312, 858752852]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72432152,parking,"POLYGON ((11.4840255 48.1456299, 11.4842999 48.1456044, 11.4842657 48.1454404, 11.484322 48.1454352, 11.4842533 48.1451059, 11.4839226 48.1451366, 11.4840255 48.1456299))",customers,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[860062892, 681421788, 681421778, 681421774, 681421773, 860062893, 860062892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,Tengelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72434116,parking,"POLYGON ((11.4769192 48.1456633, 11.4769355 48.1459219, 11.4772301 48.1459139, 11.4773274 48.1459113, 11.4773091 48.1456117, 11.4772092 48.1456144, 11.4771399 48.1456163, 11.4771427 48.1456563, 11.4769192 48.1456633))",customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[681373759, 860083748, 903762981, 860083746, 860083775, 903762724, 860083761, 681373761, 681373759]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72594002,parking,"POLYGON ((11.6264909 48.213957, 11.6259911 48.2132628, 11.6260425 48.2132477, 11.6261428 48.2132166, 11.6266911 48.213888, 11.6265783 48.2139274, 11.6264909 48.213957))",yes,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[861579505, 861579506, 861579502, 861579507, 861579508, 861579501, 861579505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,74921181,parking,"POLYGON ((11.6579138 48.1181053, 11.6580377 48.1180725, 11.6582096 48.1183443, 11.6584371 48.1182748, 11.6587113 48.1184166, 11.6582263 48.1185537, 11.6581269 48.1184129, 11.6579138 48.1181053))",customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1860509179, 884727810, 884727811, 884727812, 884727791, 1860509192, 1860509188, 1860509179]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75278486,parking,"POLYGON ((11.5651002 48.1607766, 11.5651442 48.1607788, 11.5652031 48.1603063, 11.5650587 48.1597553, 11.5650129 48.1597612, 11.5651589 48.1603072, 11.5651002 48.1607766))",,,yes,,,street_side,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1420302712, 889009738, 889009740, 889009744, 1420302774, 1420302728, 1420302712]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75279677,parking,"POLYGON ((11.5440677 48.1540791, 11.5441752 48.1539901, 11.5434441 48.153597, 11.5433367 48.1536859, 11.5440677 48.1540791))",,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[889022628, 889022631, 889022633, 889022634, 889022628]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75318871,parking,"POLYGON ((11.4813532 48.2163799, 11.4815163 48.2164586, 11.4817014 48.2165413, 11.4819251 48.2163476, 11.4822226 48.2164959, 11.4825133 48.2162501, 11.4817689 48.2158855, 11.4814829 48.2161122, 11.4815948 48.2161638, 11.4813532 48.2163799))",private,,,,MAN P51,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8488726390, 8488726389, 889419558, 6389140969, 6389140970, 889419541, 889419605, 889419631, 889419537, 8488726390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75400813,parking,"POLYGON ((11.5262138 48.1749087, 11.5270413 48.174475, 11.5269153 48.1743677, 11.5266762 48.1744844, 11.5264261 48.1746119, 11.5260765 48.1747951, 11.5262138 48.1749087))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[890364057, 890364062, 890364071, 1213970895, 4704480586, 890364076, 890364057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75444977,parking,"POLYGON ((11.5745765 48.1709161, 11.5737632 48.1708581, 11.5737876 48.1707059, 11.5746009 48.1707639, 11.5745765 48.1709161))",yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[890759093, 890759100, 903057854, 890759112, 890759093]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75444981,parking,"POLYGON ((11.5727093 48.1740309, 11.5725253 48.1740176, 11.5726565 48.1732072, 11.5726959 48.1729642, 11.5728799 48.1729774, 11.5727093 48.1740309))",yes,,no,,,surface,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[890759108, 890759089, 5046900728, 890759127, 890759110, 890759108]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75789060,parking,"POLYGON ((11.5486982 48.1920891, 11.5486692 48.1921355, 11.5486801 48.192258, 11.5490028 48.1923435, 11.5490205 48.1923415, 11.5490383 48.1923464, 11.5491078 48.1922271, 11.5493983 48.1923064, 11.5494952 48.1921699, 11.5492596 48.192104, 11.5492347 48.1921505, 11.5491598 48.1921879, 11.5489699 48.1921614, 11.5486982 48.1920891))",permissive,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[894671426, 1562376674, 894671432, 3984774337, 3984774336, 894671441, 1562376681, 1562376686, 1562376676, 1562376671, 1562376673, 894671425, 1562376675, 894671426]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75789075,parking,"POLYGON ((11.5486801 48.192258, 11.5485198 48.1925114, 11.5486945 48.1925613, 11.5486724 48.192598, 11.5491844 48.1927357, 11.5492145 48.1926966, 11.549305 48.1927221, 11.5494559 48.1924722, 11.5486801 48.192258))",permissive,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[894671432, 894671433, 3984774339, 3984774340, 3984774343, 3984774341, 894671439, 894671437, 894671432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,76703070,parking,"POLYGON ((11.4850871 48.1450323, 11.4851982 48.1455351, 11.4853071 48.1455244, 11.4852959 48.1454738, 11.4853544 48.1454681, 11.485414 48.1454622, 11.4854057 48.145425, 11.4853404 48.1451291, 11.4853141 48.1450099, 11.4850871 48.1450323))",private,,no,,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[859945896, 859945892, 903762815, 4890599111, 4890599099, 4890599110, 4890599101, 4890599102, 4890599116, 859945896]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,Aldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,76809110,parking,"POLYGON ((11.4999369 48.1648786, 11.4999638 48.1649914, 11.500051 48.1650507, 11.502522 48.1647875, 11.5024322 48.1647333, 11.5023555 48.1646917, 11.5023445 48.164628, 11.4999369 48.1648786))",yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[265155471, 2091294897, 2091294898, 904842337, 4352637964, 1467617868, 904842419, 265155471]",,,,,,,,,,,,,,,,,,,,,,,,,,,,free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,77705946,parking,"POLYGON ((11.5116146 48.1500672, 11.5122338 48.1501186, 11.5122516 48.1500421, 11.5123715 48.1500522, 11.5126109 48.1500723, 11.5126316 48.1499949, 11.5116466 48.1499027, 11.5116283 48.1499976, 11.5116146 48.1500672))",yes,,no,,Hirschgartenrestaurant,surface,,,limited,,,,,,,,,,,,,,40,,,,,,,,,,no,no,,,no,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[914027278, 914027405, 914027287, 914027345, 914027333, 29181044, 29181043, 914027337, 914027278]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,79103181,parking,"POLYGON ((11.5243746 48.2000208, 11.5243102 48.2000242, 11.5243313 48.2002013, 11.5243957 48.2001979, 11.5243746 48.2000208))",customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[924395558, 924395396, 924395389, 924395541, 924395558]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,80458046,parking,"POLYGON ((11.5110538 48.1394954, 11.5111426 48.1394978, 11.5112572 48.1396416, 11.5112338 48.1396432, 11.5111768 48.1396328, 11.5110538 48.1394954))",yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1100959248, 1100959225, 1100959114, 3799292154, 1100959368, 1100959248]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,80539275,parking,"POLYGON ((11.5720095 48.150593, 11.5721146 48.150564, 11.5720418 48.1504465, 11.5718836 48.1504901, 11.5719564 48.1506077, 11.5720095 48.150593))",private,,,,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,"[939604371, 939605342, 939602511, 939604895, 939604430, 939604371]",garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,81400196,parking,"POLYGON ((11.5059941 48.097773, 11.5059265 48.097705, 11.5058637 48.0976419, 11.5062736 48.09746, 11.5063336 48.0975204, 11.5064041 48.0975912, 11.5059941 48.097773))",private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[948468320, 7886651953, 948468282, 948468301, 948468300, 948468345, 948468320]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83249548,parking,"POLYGON ((11.5817214 48.1479978, 11.5817937 48.1481846, 11.5827296 48.1480234, 11.5826508 48.1478281, 11.5817657 48.1479902, 11.5817214 48.1479978))",private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[968591232, 968591234, 968591235, 968591236, 2548322619, 968591232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83249632,parking,"POLYGON ((11.5800406 48.1466727, 11.5799054 48.1463391, 11.5806496 48.1462381, 11.5807522 48.1465292, 11.5800406 48.1466727))",private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[968594555, 968594556, 968594559, 968594561, 968594555]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,84303381,parking,"POLYGON ((11.5338393 48.1364805, 11.5335532 48.1365046, 11.5335157 48.1365084, 11.5335266 48.1365644, 11.5334808 48.1365683, 11.5334351 48.1365723, 11.5334243 48.1365164, 11.5333885 48.1365195, 11.5331649 48.1365388, 11.5332525 48.1370378, 11.5333066 48.1370756, 11.5333385 48.1371179, 11.5333365 48.1371843, 11.5332963 48.1372268, 11.5332606 48.13726, 11.5332304 48.1375873, 11.5338755 48.1376104, 11.5338821 48.1375772, 11.5339388 48.1375296, 11.5339399 48.1373095, 11.5339326 48.1372542, 11.5338641 48.1372588, 11.5338575 48.137209, 11.5338911 48.1372065, 11.5338851 48.1371464, 11.5338801 48.1370815, 11.5339119 48.1370803, 11.5338679 48.1367141, 11.53379 48.1367179, 11.5337794 48.1366412, 11.5338561 48.1366363, 11.5338446 48.1365296, 11.5338393 48.1364805))",private,,,,Gewerbehof Westend,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[736428994, 980331085, 980331054, 980331062, 2462112153, 980331049, 980331047, 980331073, 736429009, 736429005, 736429000, 736428997, 736428987, 736429028, 736429022, 696845234, 980331060, 1193993262, 696845238, 3945554900, 696845221, 696845222, 1189028516, 1189028538, 2462112224, 1189028533, 696845223, 696845225, 696845226, 1189028560, 696845227, 2462112227, 736428994]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
