element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,phone,toilets:wheelchair,website,wheelchair,geometry,brand,brand:wikidata,brand:wikipedia,opening_hours,description,short_name,wikidata,contact:website,screen,check_date,contact:phone,drink:club-mate,wheelchair:description,check_date:opening_hours,alt_name,operator,payment:credit_cards,payment:debit_cards,payment:girocard,payment:maestro,payment:mastercard,payment:visa,opening_hours:signed,level,fee,contact:email,operator:type,contact:facebook,wikipedia,image,addr:place,email,facebook,instagram,twitter,barrier,wheelchair:description:de,wheelchair:description:en,shop,payment:cash,mapillary,note,deaf:description:de,deaf:description:en,drive_in,open_air,cinema:type,official_name,nodes,old_name,dog,architect,building,cinema:3D,heritage,heritage:operator,ref:lda,roof:shape,start_date,source,building:colour,building:levels,building:material,roof:colour,operator:wikidata,contact:fax,roof:levels,air_conditioning,contact:google_plus,fax,lda:criteria,name:de,name:en
node,7947855087,Berlin,,19,10627,Windscheidstraße,,cinema,Klick Kino,,yes,http://www.klickkino.de/,limited,POINT (13.2993996 52.5054322),,,,,,,Q47092950,,,,,,Kleine Schwelle am Eingang. Ein Platz im Kino für einen Rollstuhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9079726511,Berlin,DE,2,10115,Bergstraße,Mitte,cinema,Zinema,,,,limited,POINT (13.3958605 52.529586),,,,19:00+,"kleines Programmkino in den hinteren Räumen der Z-Bar. Auch andere Veranstaltungen wie Lesungen, Comedy...",,Q47165287,https://zbarberlin.com/kino-z-inema/,1,,+49 30 28389121,,,,,,,,,,,,,,,zinema@gmx.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9858868570,Berlin,,6,10785,Matthäikirchplatz,,cinema,Sommerkino Kulturforum,+49 3032 2931322,,https://www.yorck.de/kinos/sommerkino-kulturforum,yes,POINT (13.3671829 52.5087879),Yorck Kinogruppe,,,Jun-Aug 21:15-23:45,,,,,,,,,,,,,,,,,,,,0,,,,,,https://images.ctfassets.net/4mws6uyas4ta/2UjqVK1yZs1jIVW3PjtMrN/15aa600fa34db9f56e1ac4ec11e58cba/_MG_0446_klein.jpg,,hilfe@yorck.de,,,,,,,,,,,,,,,open _air,Sommerkino Potsdamer Platz,,,,,,,,,,,,,,,,,,,,,,,,,
node,9938090502,,,,,,,cinema,Freiluftkino Insel,,,,,POINT (13.5087287 52.4603855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10287958985,,,,,,,cinema,Sinema Transtopia,,,https://bi-bak.de/bi-bakino,,POINT (13.3672393 52.5437951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15221252,,,,,,,cinema,Freiluftkino Rehberge,,,,yes,"POLYGON ((13.32947 52.5546628, 13.329391 52.5547174, 13.3294523 52.5548669, 13.3295018 52.5549687, 13.3295744 52.5550823, 13.3296312 52.5552033, 13.3296377 52.5552238, 13.3296453 52.5552476, 13.3296952 52.5554143, 13.3297935 52.5554622, 13.32987 52.5554755, 13.3300754 52.5554228, 13.3301564 52.5554344, 13.3303115 52.555391, 13.3303533 52.5553337, 13.3304867 52.555289, 13.3305772 52.555291, 13.3305927 52.5552913, 13.3306075 52.5552918, 13.3306204 52.5552923, 13.3306829 52.555281, 13.330736 52.5551375, 13.3308015 52.554992, 13.3308469 52.554836, 13.3308735 52.5548197, 13.3309873 52.5548155, 13.3310037 52.5545639, 13.3309878 52.5545367, 13.3309899 52.5545351, 13.3310031 52.5545251, 13.3307649 52.5543944, 13.3307495 52.554386, 13.3307311 52.554376, 13.3307195 52.5543696, 13.330624 52.5543488, 13.3302354 52.5543796, 13.3300378 52.5543886, 13.3298362 52.5544029, 13.3297471 52.5544313, 13.3296109 52.5545313, 13.3295809 52.5545621, 13.3295767 52.5545757, 13.3295853 52.5545975, 13.3295935 52.5546156, 13.3295904 52.5546191, 13.3295649 52.5546292, 13.3295018 52.5546417, 13.32947 52.5546628))",,,,"""Im Sommer ab ca 20 Uhr""",,,Q105423617,https://www.freiluftkino-rehberge.de,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,"[150599648, 5417092505, 5417092504, 5417092507, 5417092506, 9697097512, 5417092485, 150599652, 5417092508, 150599654, 2395985134, 2395985143, 5417092509, 5417092510, 5417092511, 5417092512, 9697588820, 5417092484, 9697097475, 150599656, 5417092513, 5417092514, 5417092515, 5417092516, 150599658, 150599661, 5417092517, 5417092518, 9697588821, 2971306237, 2971306238, 5417092483, 9697097510, 5417092519, 5417092520, 5417092521, 5417092522, 5417092523, 5417092524, 5417092525, 5417092526, 5417092527, 5417092482, 5417092528, 9697097511, 5417092529, 5417092530, 150599648]",Freilichtbühne Rehberge,,,,,,,,,,,,,,,,,,,,,,,
way,20131071,,,,,,,cinema,Freilichtbühne Weißensee,,,http://freilichtbuehne-weissensee.de,,"POLYGON ((13.462837 52.5560857, 13.4628463 52.5560695, 13.4628937 52.5558657, 13.4629191 52.5558679, 13.4629458 52.5558778, 13.4629543 52.5558521, 13.4629612 52.5558296, 13.4629251 52.5558293, 13.4628969 52.555826, 13.4629101 52.5557721, 13.4629257 52.5556984, 13.4634232 52.5557081, 13.463462 52.5557089, 13.4636528 52.5557126, 13.4637343 52.5557147, 13.4636985 52.5563802, 13.4636239 52.5564526, 13.4636198 52.5565595, 13.4636195 52.5565672, 13.463619 52.5565798, 13.4636151 52.5566824, 13.4634512 52.5566847, 13.4632118 52.5566427, 13.4630372 52.5565192, 13.4630052 52.5564966, 13.4629929 52.5564853, 13.4628303 52.5563293, 13.4628189 52.5562739, 13.4628085 52.5562019, 13.4628283 52.5560986, 13.462837 52.5560857))",,,,"""60 Minuten vor Vorstellungsbeginn""",,,Q47086489,https://freilichtbuehne-weissensee.de,,,,,,,,Freunde der Freilichtbühne Weißensee e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10038910102, 10039528232, 10038910101, 10038888658, 10038910100, 3721318010, 10038910099, 10038910098, 10038910097, 10038910096, 10038910095, 10039542306, 10039547436, 10038910094, 10038888659, 4403325320, 3721318016, 10039547459, 10038888636, 10039547460, 55164152, 3116890658, 10038910104, 10039519082, 3721318015, 10039528204, 3721318006, 10039528202, 10039528203, 10039528221, 10038910102]",,leashed,,,,,,,,,,,,,,,,,,,,,,
way,23010077,Berlin,DE,29a,10623,Hardenbergstraße,Charlottenburg,cinema,Zoo Palast,,yes,,yes,"POLYGON ((13.3337506 52.5059712, 13.3339428 52.5058862, 13.3341627 52.5057893, 13.3342764 52.5058665, 13.3342889 52.5058744, 13.3343889 52.5059413, 13.3346654 52.5061303, 13.33462 52.5061791, 13.334538 52.5062309, 13.3344398 52.5062807, 13.3343839 52.5063027, 13.3343069 52.5063339, 13.3341565 52.5063629, 13.33385 52.506067, 13.3337506 52.5059712))",,,,,,,Q220069,https://www.zoopalast-berlin.de/,,,+49 1805 222966,,,,,Premium Entertainment GmbH,,,,,,,,,,,,,de:Zoo Palast,,,,,,,,,,,,,,,,,,,,"[248078090, 2777025787, 248078091, 3685023980, 2776004122, 3693230915, 3878628621, 3878628620, 3878628619, 3878628618, 3685024014, 3878628617, 3878628616, 3685024002, 248078090]",,,Gerhard Fritsche,cinema,yes,4,lda,"09040473,T,002",flat,1957,,,,,,,,,,,,,,
way,23093989,,,,,,,cinema,Kino in der Kulturbrauerei,,yes,https://www.cinestar.de/,yes,"POLYGON ((13.4148087 52.5388188, 13.4149084 52.5385501, 13.4140331 52.5383891, 13.414 52.5383894, 13.413984 52.5383962, 13.4139801 52.5384009, 13.4139786 52.538406, 13.4139792 52.5384103, 13.4139816 52.5384144, 13.4139855 52.538418, 13.4139907 52.538421, 13.413997 52.5384231, 13.414006 52.5384243, 13.4140152 52.5384237, 13.414021 52.5384224, 13.4140262 52.5384204, 13.414016 52.5384405, 13.4140153 52.5385115, 13.4139922 52.5385156, 13.4138905 52.5385149, 13.413888 52.5386013, 13.4138384 52.5386016, 13.4136221 52.5385976, 13.4136224 52.5384331, 13.4135345 52.5384335, 13.4134571 52.5384333, 13.4134572 52.5384306, 13.4134415 52.5384304, 13.4134414 52.5384146, 13.4134087 52.5384142, 13.4133744 52.5384141, 13.4133745 52.5384322, 13.4133619 52.5384318, 13.4133614 52.5387307, 13.4138382 52.5387327, 13.4138883 52.5387331, 13.4138878 52.5387648, 13.4139022 52.5387655, 13.4138986 52.5388227, 13.4148087 52.5388188))",CineStar,Q321889,de:Cinestar,,,,Q467867,,,,+49 30 44354416,,,,,Cinestar,,,,,,,,,,,,,,https://www.cms-event.de/fileadmin/event/images/1-cinestar/berlin-kulturbrauerei/cinestar-berlin-kulturbrauerei-aussen-2.jpg;https://www.kinokompendium.de/foto_kino_berlin/kino_in_der_kulturbrauerei_f05.jpg,,,,,,,,,,,,,,,,,,,"[249294425, 249295888, 249295889, 4135378397, 3813153874, 4135378404, 3813153876, 4135378403, 3813153878, 4135378402, 4135378401, 3813153880, 4135378400, 3813153881, 4135378399, 3813153879, 3813153882, 3813153883, 3813153885, 3813153884, 344396797, 654213221, 344396795, 344396796, 344642067, 5777233952, 5777233949, 5777233948, 5777233947, 4135378410, 5777233950, 5777233951, 344396794, 344396791, 654213222, 5777234058, 344396793, 5777234057, 249295890, 249294425]",,,,commercial,,yes,,,,,,,,,,,,,,,,,,
way,23261241,Berlin,DE,94,13353,Seestraße,Wedding,cinema,Cineplex Alhambra,,yes,https://www.cineplex.de/berlin-alhambra/,yes,"POLYGON ((13.3507669 52.5505916, 13.3508068 52.5505633, 13.350828 52.5505744, 13.3508053 52.5505899, 13.3508246 52.5506032, 13.350956 52.5505111, 13.3509129 52.5504882, 13.35094 52.5504691, 13.3510716 52.5503759, 13.3511185 52.5504003, 13.3511404 52.5504117, 13.3511518 52.5504036, 13.3511921 52.5504248, 13.3511808 52.5504328, 13.3511955 52.5504406, 13.3511993 52.5504378, 13.3513405 52.550512, 13.3514163 52.5505519, 13.3514197 52.5505537, 13.3513161 52.550612, 13.3513125 52.5506097, 13.3510378 52.5507652, 13.3507669 52.5505916))",Cineplex,Q1092476,de:Cineplex,,,,Q22573555,,,,,,Rollstuhlgerechte Kinoplätze vorhanden,,,,,,,,,,,,,,,,de:Cineplex Alhambra,,,,,,,,,,,,,,,,,,,,"[251730198, 251730205, 4192540301, 4192540305, 4192540310, 2599938459, 251730201, 2606441969, 2599938456, 4192540239, 4192540242, 4192540240, 4192540249, 4192540253, 4192540256, 4192540255, 4192540282, 4192540295, 251730199, 4192540313, 4192540311, 251730203, 251730198]",,,,cinema,,,,,,,Geoportal Berlin / Hausumringe,,,,,,,,,,,,,
way,23453625,Berlin,DE,116,10827,Hauptstraße,Schöneberg,cinema,Odeon,,no,,limited,"POLYGON ((13.3495613 52.4822052, 13.3494879 52.4821659, 13.349415 52.4821269, 13.3494386 52.4821104, 13.3494027 52.4820912, 13.3494703 52.4820441, 13.3495041 52.4820622, 13.3497562 52.4818863, 13.349905 52.481966, 13.3496138 52.4821686, 13.3495613 52.4822052))",,,,"""Täglich 15 Minuten vor Beginn der ersten Vorstellung""",,,Q47036016,https://yorck.de/kinos/odeon,1,,+49 30 78704019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3632852106, 3632851988, 3632851975, 3632851970, 3632851966, 3632851956, 3632851963, 3632851917, 3632851937, 10587920427, 3632852106]",,,,yes,,,,,flat,,,white,2,plaster,grey,,,,,,,,,
way,24240975,Berlin,DE,33,10178,Karl-Marx-Allee,Mitte,cinema,Kino International,,,,yes,"POLYGON ((13.4229292 52.5209028, 13.4234013 52.520767, 13.4231009 52.5203805, 13.422873 52.5204486, 13.4226288 52.5205215, 13.4229292 52.5209028))",,,,"""30 minutes before first screening""",,,Q1670774,https://yorck.de/kinos/kino-international,1,,+49 30 322 931 322,,,,,Yorck Kinogruppe,,,,,,,,,,,,,de:Kino International,,,,,,,,,,,,,,,,,,,,"[262463574, 262463577, 262463576, 2709913305, 262463575, 262463574]",,,,yes,,,,,,,,,,,,Q1667854,,,,,,,,
way,28018544,Berlin,DE,36,14195,Thielallee,Dahlem,cinema,Capitol Dahlem,,,,,"POLYGON ((13.2865928 52.453047, 13.2867088 52.4529302, 13.2870082 52.4530405, 13.2869437 52.4531054, 13.2868818 52.4530813, 13.2868369 52.4530864, 13.2867991 52.4531231, 13.2865928 52.453047))",,,,"""Irregular screenings, see website""",,,,https://yorck.de/kinos/capitol-dahlem,1,,+49 30 831 64 17,,,,,Yorck Kinogruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[307662737, 307662739, 307662740, 307662741, 1194229221, 1194230724, 307662743, 307662737]",,,,detached,,,,,,,Geoportal Berlin / k5_2012_sw_sued.zip,,2,,,,+49 30 21298099,1,,,,,,
way,32861687,Berlin,DE,12a,10623,Kantstraße,Charlottenburg,cinema,Delphi Filmpalast,,,https://www.yorck.de/kinos/delphi-filmpalast,no,"POLYGON ((13.3287043 52.5059667, 13.3287124 52.5060319, 13.3286815 52.5060341, 13.3286094 52.5060392, 13.3286198 52.5061066, 13.3286252 52.506146, 13.3286738 52.506144, 13.3286891 52.506262, 13.328658 52.5062625, 13.3286502 52.5062249, 13.3286427 52.5062251, 13.3286432 52.5062321, 13.328636 52.5062322, 13.3286394 52.5062729, 13.3285709 52.5062775, 13.3285732 52.5062874, 13.3284127 52.5062966, 13.328385 52.5060989, 13.3283337 52.5061014, 13.3283196 52.5060092, 13.3283064 52.5059135, 13.3283537 52.5059118, 13.3283441 52.5058489, 13.328362 52.5058481, 13.3283579 52.5058145, 13.3284808 52.5058071, 13.32856 52.5058026, 13.3285611 52.5058128, 13.3286098 52.5058099, 13.3286149 52.5058355, 13.3286247 52.5058355, 13.3286476 52.5059681, 13.3286706 52.5059675, 13.3287043 52.5059667))",,,,"""Öffnet 30min vor Beginn des ersten Films (etwa 14 Uhr), Kasse schließt um 21 Uhr, Haus schließt 30min nach Ende des letzten Films""",,,Q1184623,,1,,+49 30 3121026,,,,,Yorck Kinogruppe,,,,,,,,,,,,,de:Delphi Filmpalast,,,,,,,,,,,,407129320881738,,,,,,,,"[817899357, 817899356, 8926178751, 370164793, 1123390533, 5339387971, 5339387972, 5339387970, 5339387969, 5339387968, 5339387966, 5339387965, 5339387967, 370164769, 5339387963, 5339387964, 370164771, 370164774, 370164776, 1123390517, 370164779, 370164781, 5339387961, 5339387962, 370164783, 1123390520, 5339387977, 5339387976, 370164785, 5339387973, 5339387974, 370164787, 8926178750, 817899357]",,,,theatre,,,,,,,,,,,,,,,no,,,,,
way,35265863,Berlin,DE,48,12165,Schloßstraße,Steglitz,cinema,Adria Filmtheater,,,,limited,"POLYGON ((13.3173948 52.4548902, 13.3172591 52.4547845, 13.3172824 52.4547737, 13.3172619 52.4547266, 13.3171746 52.4547025, 13.3171435 52.454715, 13.3171202 52.4546961, 13.317323 52.4545946, 13.3173423 52.4546093, 13.3175458 52.4545096, 13.3176564 52.4545935, 13.31745 52.4546945, 13.3175828 52.4547936, 13.3173948 52.4548902))",,,,,,,,http://www.berlin.de/kino/_bin/kinodetail.php/30152,,,+49 30 7925050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[413369640, 9152791970, 413369641, 413369642, 413369643, 413369644, 413369645, 9129227619, 9129227618, 413369646, 413369647, 413369648, 413369649, 413369640]",,,,yes,,,,,,,,,,,,,,,,,,,,
way,47906427,Berlin,DE,33,14169,Teltower Damm,Zehlendorf,cinema,Bali Kino,,,,limited,"POLYGON ((13.2596827 52.4319978, 13.2596769 52.4319682, 13.2596529 52.43197, 13.2596461 52.4319455, 13.2596191 52.4318444, 13.2596014 52.4318448, 13.2595948 52.4318196, 13.2597609 52.4318038, 13.2597873 52.4319157, 13.2597952 52.4319597, 13.2597701 52.4319615, 13.2597758 52.4319911, 13.2596827 52.4319978))",,,,"PH,Mo-Su 16:00-23:00",,,Q47055870,http://www.balikino-berlin.de,,,+49 30 8114678,,,,,Helgard Gammert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3428090708, 3428090693, 3428090694, 3428090686, 3428090668, 3428090669, 3428090666, 3428090665, 3428090679, 3428090689, 3428090690, 3428090705, 3428090708]",,,,yes,,,,,,,Geoportal Berlin / Hausumringe,,,,,,+49 30 81299538,,,https://plus.google.com/+Balikino-berlinDe/posts,,,,
way,52118901,Berlin,DE,69,12487,Sterndamm,Johannisthal,cinema,Astra-Filmpalast,,,,limited,"POLYGON ((13.5074602 52.4462966, 13.5074406 52.446282, 13.507177 52.4464132, 13.5071532 52.4463942, 13.5071247 52.4463844, 13.5071023 52.4463886, 13.5070895 52.4463984, 13.5070909 52.4464142, 13.5071199 52.4464367, 13.506987 52.4465005, 13.5069588 52.4465191, 13.5069485 52.4465409, 13.5069464 52.4465617, 13.5069507 52.4465903, 13.506959 52.4466053, 13.5069804 52.4466216, 13.5070277 52.446598, 13.5071035 52.4466546, 13.5071715 52.4466208, 13.5071889 52.4466337, 13.5073861 52.4465356, 13.5075381 52.4464599, 13.5076641 52.4463972, 13.5075016 52.4462759, 13.5074602 52.4462966))",,,,,,,Q34767022,http://www.astra-filmpalast.de/,,,+49 30 6361650,,,,,,,,,,,,,,,info@astra-filmpalast.de,,,,,,,,,,,,,,,,,,,,,,,"[664165993, 664165994, 664166000, 664165995, 664165996, 664165997, 664165998, 1652675142, 664165999, 664166001, 1652675143, 664165988, 664165989, 1652675144, 664165990, 664166002, 664166003, 664166006, 664166004, 664166005, 2030862334, 2030862320, 664166007, 664165992, 664165993]",,,,cinema,,,,,,,,,,,,,,,,,,,,
way,148086368,Berlin,DE,71a,12247,Kaiser-Wilhelm-Straße,Lankwitz,cinema,Thalia Kino,+49 30 7743440,,https://www.thalia-berlin.de/,no,"POLYGON ((13.3449512 52.4351929, 13.345252 52.4349938, 13.3451259 52.434923, 13.3450049 52.4348542, 13.34496 52.4348839, 13.344871 52.434834, 13.344661 52.434973, 13.3447132 52.4350023, 13.3446667 52.4350332, 13.3446852 52.4350439, 13.3448229 52.4351206, 13.3449512 52.4351929))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@thalia-berlin.de,,,,,,,,,,,,,,,,,"[1611929840, 1611929813, 1782897889, 1611929772, 1611929803, 1611929766, 1611929805, 1611929823, 2319609518, 1611929828, 1782897899, 1611929840]",,,,yes,,,,,,,,,,,,,,,,,+49 30 76680054,,,
way,150809987,Berlin,DE,115 - 116,12435,Elsenstraße,Alt-Treptow,cinema,CineStar,,,,yes,"POLYGON ((13.4591469 52.4924556, 13.4591931 52.4924402, 13.4591388 52.4923394, 13.4591321 52.4923047, 13.459111 52.4922621, 13.4590878 52.492231, 13.4590536 52.4921983, 13.4589498 52.4920334, 13.4589388 52.4920377, 13.4589059 52.4920133, 13.4589299 52.4919997, 13.458889 52.4919331, 13.4588329 52.4918964, 13.4588582 52.4918838, 13.4588143 52.4918139, 13.4587354 52.4917582, 13.45877 52.4917407, 13.458716 52.4916551, 13.4586341 52.4915976, 13.4586717 52.4915783, 13.458614 52.4914909, 13.4581945 52.4917682, 13.4586295 52.492085, 13.4588759 52.4922646, 13.4588983 52.4922926, 13.4589342 52.4923253, 13.4589743 52.4923515, 13.4590236 52.4923751, 13.4591469 52.4924556))",CineStar,Q321889,de:Cinestar,"Mo-Fr ""15 Minuten vor dem ersten Filmstart""; Sa-Su ""30 Minuten vor dem ersten Filmstart""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1636829710, 1636829708, 5254437927, 5254437926, 5254437925, 5254437924, 5254437932, 5254437931, 5254437928, 5254437929, 5254437930, 5254437941, 5254437933, 5254437934, 5254437939, 5254437938, 5254437940, 5254437937, 5254437935, 5254437936, 1636829629, 1636829645, 5254437923, 5254437922, 5254437720, 5254437719, 5254437718, 5254437921, 1636829710]",,,,commercial,,,,,flat,,,,7,,,,,,,,,,,
way,157004206,Berlin,DE,174,13051,Wartenberger Straße,Neu-Hohenschönhausen,cinema,CineMotion,+49 30 9624 3100,,http://www.cinemotion-kino.de/berlin/,yes,"POLYGON ((13.5083263 52.5663375, 13.5086085 52.5664565, 13.5088857 52.5665735, 13.5094976 52.5660324, 13.5089374 52.5657973, 13.5083263 52.5663375))",,,,,,,Q47118867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1692379521, 10695279154, 1692379523, 1692379519, 1692006403, 1692379521]",,,,yes,,,,,,,,,2,,,,,,,,,,,
way,217402355,,,,,,,cinema,Freiluftkino Hasenheide,,,,limited,"POLYGON ((13.4159651 52.4837149, 13.4161351 52.4835953, 13.416297 52.4835258, 13.4164803 52.4834883, 13.4167846 52.4834816, 13.4167421 52.483862, 13.416426 52.4839488, 13.4159651 52.4837149))",,,,May-Sep sunset+,,,Q47089247,https://www.freiluftkino-hasenheide.de/,,,+49 30 2834603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2266759423, 2266759420, 2425536977, 2266759419, 2266759418, 2266759424, 2266759452, 2266759423]",,,,,,,,,,,,,,,,,,,,,,,,
way,279469769,,,,,,,cinema,Kino Union,,,,yes,"POLYGON ((13.6258768 52.4564028, 13.6260792 52.4563978, 13.6260799 52.4563706, 13.6262116 52.4563666, 13.6262069 52.4562186, 13.6260632 52.4562218, 13.6256177 52.456236, 13.6256381 52.4564098, 13.6258768 52.4564028))",,,,Th-Tu 12:30-24:00+; We 09:00-24:00+,,,Q35013869,https://www.kino-union.de/,,,+49 30 65013141,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Berlin-Friedrichshagen_Filmtheater_Union_B%C3%B6lschestra%C3%9Fe_69_%2809095702%29.JPG,,,,,,,,,,,,,,,,,,,"[2833278870, 2844657348, 439239167, 5918939161, 5918939162, 2836926476, 2836926473, 2833278867, 2833278870]",,,,commercial,,4,lda,09095702,flat,,Geoportal Berlin / Hauskoordinaten,,2,,,,+49 30 65013139,0,,,,Ensembleteil,,
way,326279545,Berlin,,,12587,,Friedrichshagen,cinema,Freiluftkino Friedrichshagen,,,,limited,"POLYGON ((13.6241204 52.4596184, 13.6239657 52.4596537, 13.6238097 52.459709, 13.6236826 52.4597714, 13.6234293 52.4596893, 13.6235275 52.4596077, 13.6236385 52.4595506, 13.6238373 52.4594752, 13.6240636 52.4594414, 13.6241204 52.4596184))",,,,,,,Q1971567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2119662676, 2119662669, 2119662680, 2119662675, 2119662678, 3329018992, 2119662682, 3329018991, 345549422, 2119662676]",,,,,,,,,,,,,,,,,,,,,,,,
way,918793035,,,,,,,cinema,Freiluftkino Friedrichshain,,,,yes,"POLYGON ((13.4350532 52.5248592, 13.4349993 52.5250485, 13.4348264 52.5252992, 13.4348582 52.5255465, 13.434767 52.525605, 13.4351265 52.5258313, 13.4352046 52.5257863, 13.435448 52.5259007, 13.4355757 52.5258466, 13.4358704 52.5257218, 13.4361642 52.5255974, 13.4363267 52.5253291, 13.4363419 52.5251377, 13.4363243 52.5250588, 13.4359658 52.5248155, 13.4356865 52.5247696, 13.4356222 52.5247679, 13.435161 52.5248386, 13.4350532 52.5248592))",,,,,,,Q47156065,https://freiluftkino-friedrichshain.de,1,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,yes,,,"[9342041698, 9342041697, 9342041696, 9342041695, 8533009967, 9342041694, 9342041693, 8533009965, 9342041638, 4003220737, 8533009966, 9342041692, 9342041691, 9342041690, 9342041689, 9342041688, 9342041687, 9342041686, 9342041698]",,,,,,,,,,,,,,,,,,,,,,,Freiluftkino Friedrichshain,Friedrichshain Open Air Cinema
