element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,operator,website,wheelchair,check_date:opening_hours,community_centre,community_centre:for,contact:phone,contact:website,description,opening_hours,fax,health_facility:type,lgbtq,phone,provided_for:homosexual,check_date,opening_hours:signed,operator:type,club,sport,disused,short_name,wikidata,access,alt_name,contact:email,contact:email_1,contact:name,fee,identity,indoor,interaction,internet_access,internet_access:fee,mode_of_organisation:decision_making,mode_of_organisation:hierarchy_chef,mode_of_organisation:members,mode_of_organisation:ownership_structure,mode_of_organisation:purpose,mode_of_organisation:scale_of_activity,mode_of_organisation:self_managed,owner,payment:cash,payment:donations,production_input:knowledge:free_licence,production_input:knowledge:p2p_licence,production_input:knowledge:public_domain,production_input:money:crowdfunding,production_input:money:gift,production_input:natural_recources:democratic,production_input:natural_recources:fair,production_input:natural_recources:regional,production_input:natural_resources:sustainable,production_input:supply_chain:fair,production_input:work:ilo_standards,provides,smoking,smoking:outside,source,start_date,wheelchair:description,drink:coffee,second_hand,note,level,toilets:wheelchair,contact:twitter,leisure,contact:fax,email,barrier,culture,contact:facebook,image,name:de,name:en,addr:housename,gay:women,gay,lgbtq:men,wikipedia,office,fetish:bdsm,fetish:bears,fetish:leather,fetish:rubber,fetish:sneakers,fetish:uniform,max_age,min_age,network,contact:phone:booking,opening_hours:covid19,description:de,is_in:city,is_in:country,is_in:country_code,name:fr,name:ro,education,facebook,instagram,twitter,youtube,religion,name:ar,fixme,changing_table,toilets,denomination,addr:floor,description:target_group,contact:instagram,contact:telegram,room,wheelchair:description:de,noname,opening_hours:url,operator:wikidata,wikimedia_commons,craft,height,shop,wheelchair:ramp,description:en,service:bicycle:diy,service:bicycle:repair,operator:short,social_facility:for,currency:EUR,currency:others,language:de,name:etymology:wikidata,brand,brand:wikidata,function,name:pl,name:et,nodes,building,building:colour,roof:shape,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,designation,postal_code,roof:colour,heritage:website,roof:height,building:part,official_name,amenity:old,name:old,building:use,building:levels:underground,queer,addr:inclusion,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,building:material,old_name,addr:unit,source:height,architect,heritage:description,protect_class,roof:material,landuse,building:name,building:number,military,addr:place,contact:mobile,contact:webcam,social_facility,protection_title,toilets:unisex,name:ja,proposed,loc_name,nohousenumber,addr:district,addr:state,addr:subdistrict,area,ways,type
node,4841807515,POINT (13.400323 52.5658369),Berlin,,84,13187,Florastraße,,community_centre,JUP e.V.,,https://www.jup-ev.org/,limited,,,,,,,"We 13:00-19:00; Tu,Th,Fr 13:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@jup-ev.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4870100553,POINT (13.4157005 52.5106523),Berlin,DE,101,10179,Köpenicker Straße,Mitte,community_centre,dialog 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4910789091,POINT (13.3962334 52.5419107),Berlin,,28,13355,Demminer Straße,,community_centre,Kinder- und Jugendbereich im Olof-Palme-Zentrum,Pfefferwerk gGmbH,,yes,,youth_centre,child;juvenile,+49 30 44383793,https://www.pfefferwerk.de/pfefferwerk/stadtteilarbeit-jugendfreizeit/olof-palme-zentrum-2/,,"Tu,Th 14:00-19:00; We 14:00-21:00; Fr 15:00-21:00; Sa 11:00-19:00; Mo off",,,,,,,,,,,,,,,,schmitt@pfefferwerk.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"position unsure, pls specify if necessary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4910789092,POINT (13.3960799 52.5418752),Berlin,,28,13355,Demminer Straße,,community_centre,Nachbarschaftstreff im Olof-Palme-Zentrum,Pfefferwerk gGmbH,http://www.pfefferwerk.de/pfefferwerk/index.php/olof-palme-zentrum3,yes,,,,+49 30 44383793,https://www.pfefferwerk.de/pfefferwerk/stadtteilarbeit-jugendfreizeit/olof-palme-zentrum/,,Mo-Fr 10:00-14:00; Tu-Th 19:00-21:00,,,,,,,,,,,,,,,,nachbarschaftstreff-opz@pfefferwerk.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"position unsure, pls specify if necessary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4937393975,POINT (13.4961132 52.5082304),Berlin,DE,30,10317,Margaretenstraße,Rummelsburg,community_centre,Abteilung-für-Redundanz-Abteilung,Abteilung-für-Redundanz-Abteilung e.V.,,no,,,,+49 221 596191010,https://afra-berlin.de/,,Fr 20:00-24:00+,,,,,,,,,,,,AfRA,Q42748136,,,info@afra-berlin.de,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,no,,hackerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4948142722,POINT (13.2628017 52.5160728),,,4,,Ratzeburger Allee,,community_centre,Cantate Kinder-und Jugendchor,,http://www.cantate-Chor-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4995422412,POINT (13.3145394 52.4983903),Berlin,DE,32,10707,Bayerische Straße,Wilmersdorf,community_centre,Schachschule,,,,,club_home,,,http://schachausbildung.de,,,,,,,,,,,,chess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4998526566,POINT (13.4125069 52.4887485),Berlin,DE,44,10967,Hasenheide,Kreuzberg,community_centre,GraefeKids,Nachbarschaftshaus Urbanstraße e.V.,,,,,child,,http://www.nachbarschaftshaus.de/arbeitsbereiche/bildung-und-erziehung/graefekids/,Interkulturelle Kinder- und Jugendfreizeiteinrichtung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5051931215,POINT (13.4235452 52.5037183),Berlin,DE,2 A,10997,Mariannenplatz,Kreuzberg,community_centre,Heart of Code,,http://heartofcode.org,,,,,,,,,,,,,,,,,,,,,Q48708415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,hackerspace,,hello@heartofcode.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5101437202,POINT (13.3388978 52.5985966),,,,,,,community_centre,GESOBAU-Familientreff,Albatros gGmbH,https://www.albatrosggmbh.de/kinder-jugend-und-familie/familientreff/gesobau-familientreff/beschreibung.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f33@albatrosggmbh.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5115664021,POINT (13.4934572 52.5120533),Berlin,,219,10365,Frankfurter Allee,,community_centre,FLIBB - Familienbegegnungsstätte Lichtenberger Brücke Berlin,,http://www.flibb-berlin.de/view.php,limited,,community_hall,,,,,,,,,+49 30 319 86 558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5161686114,POINT (13.2641351 52.4960485),Berlin,DE,42A,14055,Zikadenweg,Westend,community_centre,Haus Eichkamp,Stiftung am Grunewald; Siedlerverein Eichkamp e.V.,http://hauseichkamp.de/,limited,,community_hall,,+49 30 37 30 61 25,,,,,,,,,,,,,,,,,,,info@hauseichkamp.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176100544,POINT (13.3911366 52.5290059),Berlin,DE,5,10115,Borsigstraße,,community_centre,Evangelische Studierendengemeinde Berlin,evangelische Landeskirche,http://www.esgberlin.de,,,parish_hall,religious,,,,,,,,,,,,,,,,ESG Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176130920,POINT (13.4070548 52.5500389),Berlin,,17-18,10439,Dänenstraße,,community_centre,Katholische Studierendengemeinde Edith Stein Berlin,Erzbistum Berlin,http://ksg-berlin.de/,,,parish_hall,religious,,,"Partialgemeinde der römisch katholischen Kirche für Studierende und Auszubildende. Gottesdienst: Sonntag 18h Gemeindeabend: Mittwoch 18:30h mit Essen 20:15h ohne Essen EN: holy mass: sunday 6pm parish evening: wednesday 6:30pm with dinner, 8:15pm without",,,,,,,,,,,,,KSG Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,catholic,0,"Studenten, Studierende, Auszubildende, Promovierende, Promoventen, Katholiken, christlich Interessierte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5211079182,POINT (13.3902561 52.4835273),,,,,,,community_centre,Potse,Potze,,yes,2022-12-21,youth_centre,juvenile,,http://gentrifidingsbums.blogsport.de/,,,,,,,,,no,community,,,,,,,,potse_berlin@riseup.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,http://twitter.com/Potse_Berlin,,,,,,http://facebook.com/Potse-Berlin-723326324448304/,,,,,,,,,,,,,,,,,,,,,selbstverwaltetes Jugendzentrum,,,,,,,,,,,,,,,,,,,https://www.instagram.com/potse_berlin/,https://t.me/drugstoreundpotseinfochannel,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5216737648,POINT (13.3681683 52.5690616),,,,,,,community_centre,Familien- und Bildungszentrum,LebensWelt gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5216905596,POINT (13.3738857 52.570335),,,,,,,community_centre,Kinder- und Familienzentrum KreativFabrik,Evangelischer Kirchenkreis Reinickendorf,http://www.amende-berlin.de/,,,family_centre,,,,,,+49 30 40049306,,,+49 30 40049304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amende@kirchenkreis-reinickendorf.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5327404041,POINT (13.392888 52.528111),Berlin,DE,190,10115,Torstraße,Mitte,community_centre,Begegnungsstätte „Mehr Mitte“,Volkssolidarität Landesverband Berlin e.V.,https://www.volkssolidaritaet.de/berliner-volkssolidaritaet/begegnung-kultur/pankow-mitte/begegnungsstaette-torstrasse/,yes,,community_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5328117936,POINT (13.411653 52.5509919),,,,,,,community_centre,Blaugold,diekreative,https://diekreative.org/blaugold/,limited,,,,,,Ein Veranstaltungsraum der Kirche diekreative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5406827106,POINT (13.4538652 52.5078949),Berlin,DE,99,10245,Revaler Straße,Friedrichshain,community_centre,Drop In,Drop In – Forum für interkulturelle und politische Bildung e.V.,,,,cultural_centre,,,http://www.dropin-ev.de/kontakt/,,Mo-Fr 15:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5433698122,POINT (13.3216184 52.5633588),Berlin,DE,30,13405,Meteorstraße,Reinickendorf,community_centre,Bosniakische Gemeinde IKRE Berlin e.V.,,,,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5457409366,POINT (13.4275736 52.5247994),,,,,,,community_centre,Schülerladen 0-35,,,no,,youth_centre,youth;child,,http://www.grundschule-friedrichshain.de/kooperation/schuelerladen-0-35/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5460524479,POINT (13.4959551 52.632509),Berlin,,8-10,13125,Franz-Schmidt-Straße,,community_centre,Familienzentrum im Bucher Bürgerhaus,SEHstern e. V.,,yes,,family_centre,family,,,,,,,,,,,no,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5477481522,POINT (13.5451045 52.5223573),Berlin,,24-26,12681,Marchwitzastraße,,community_centre,Bürgerhaus Südspitze,Betreuung arbeitsloser Leute und Lebenshilfe e.V.,https://ball-ev-berlin.de/projekte-im-ball-e-v/buergerhaus-suedspitze/,yes,,,,,,,,,,,+49 30 54989113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Das Bürgerhaus ""Südspitze"" ist ein öffentlicher Ort für die Bürger in Marzahn und wird vom Ball e.V. betrieben.",,,,,yes,,,,karola.dobransky@ball-ev-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5503181815,POINT (13.3012958 52.522594),,,,,,,community_centre,DorfwerkStadt,DorfwerkStadt – Verein für ländliche und städtische Entwicklung der globalen Jugendarbeit Brandenburg-Berlin e.V.,,limited,,youth_centre,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5540916960,POINT (13.3524326 52.6051674),Berlin,,,13435,Senftenberger Ring,,community_centre,Ribbeckhaus,GESOBAU,,,,,,,,"Mietercafe, Modellbau Handarbeiten, Serviettentechnik","""je nach Event oder Veranstaltung""",,,,+49 30 40731411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5541049583,POINT (13.3542278 52.6045857),,,,,,,community_centre,comX,Bezirksamt Reinickendorf,https://www.comx-berlin.de/index.php/de/,,,,,,,"Kinder, -Jugend und Familienzentrum",,+49 30 40203923,,,+49 30 40203920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@comx-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5562025232,POINT (13.3690913 52.498535),Berlin,DE,34,10783,Dennewitzstraße,Schöneberg,community_centre,MediationsZentrum Berlin,,,,,meeting_room,,,http://www.mediationszentrum-berlin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe some other tags are more suited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5618342957,POINT (13.4515786 52.4972103),Berlin,DE,3,12435,Am Flutgraben,Alt-Treptow,community_centre,Alpha Nova-Kulturwerkstatt,Weibliche Visionen in Kultur Politik und Kunst e.V.,,no,,meeting_room,,,http://www.alpha-nova-kulturwerkstatt.de/kulturwerkstatt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5638166422,POINT (13.3992795 52.5252379),Berlin,DE,29,10115,Große Hamburger Straße,Mitte,community_centre,Kieztreff Koepjohann,,http://www.koepjohann.de/index.php5?pageid=139,yes,,cultural_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zugang über Hausnr. 28 ist ausgeschildert,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5642587147,POINT (13.4602707 52.5087918),Berlin,,40,10245,Wühlischstraße,,community_centre,WühlischVierzig,,https://www.wuehlischvierzig.com/,yes,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5650394474,POINT (13.4475702 52.499666),Berlin,,30,10997,Schlesische Straße,,community_centre,Native Space,Native Instruments GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5656522303,POINT (13.4105417 52.5249538),Berlin,DE,18,10178,Rosa-Luxemburg-Straße,Mitte,community_centre,Alex-Treff,Alexander Ezzat-Richard Rahimi (Alex) e.V.,,no,,meeting_room,,,http://www.alextreffberlin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5656867079,POINT (13.3723665 52.5442817),Berlin,DE,23,13347,Gerichtstraße,Gesundbrunnen,community_centre,Das Baumhaus,"Scott Bolden & Karen Wohlert, Das Baumhaus GbR",,limited,,meeting_room,,,http://www.baumhausberlin.de/en/,,,,,,,,2022-11-02,no,,,,,,,,,,,,,,,,wlan,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5744960563,POINT (13.2928884 52.6443638),Berlin,DE,63,13465,Senheimer Straße,Frohnau,community_centre,Verein für deutsche Schäferhunde,,,,,club_home,,+49 30 4061302,https://www.schaeferhunde.de/,,,,,,,,,,,dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5744960564,POINT (13.2928026 52.6448252),Berlin,DE,65,13465,Senheimer Straße,Frohnau,community_centre,Nord-Berliner Schützengemeinschaft,,,,,club_home,,+49 30 401 65 10,https://nbsg.de/,,,,,,,,,,,sport,shooting,,,,,,info@nbsg.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 30 406 37 509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5776480383,POINT (13.4526864 52.5480931),Berlin,DE,6,13088,Mahlerstraße,Weißensee,community_centre,FiPP-Nische & Freiraum,,,,,youth_centre,child;juvenile,,,,Tu-Sa 14:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5776480384,POINT (13.4496421 52.5524168),Berlin,DE,2,13086,Mirbachplatz,Weißensee,community_centre,,,https://www.kirchengemeinde-weissensee.de/,,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5822983332,POINT (13.3230836 52.5708546),,,,,,,community_centre,Familienzentrum,Albatros gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5942608061,POINT (13.4096317 52.499956),Berlin,DE,24,10969,Bergfriedstraße,Kreuzberg,community_centre,Kiezstube,MehrGenerationenHaus Wassertor 48 e.V.,,,2021-06-16,meeting_room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
