element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,description,name,opening_hours,ref:isil,toilets:wheelchair,website,wheelchair,wheelchair:description,wikidata,geometry,contact:phone,check_date:opening_hours,contact:website,internet_access,internet_access:fee,internet_access:operator,wikipedia,addr:housename,contact:email,note,operator,wheelchair:description:de,phone,name:en,ref,email,changing_table,kids_area:indoor,toilets,toilets:access,level,alt_name,opening_hours:covid19,access,entrance,source,fax,service:copy,addr:place,layer,name:etymology:wikidata,contact:fax,air_conditioning,operator:type,operator:wikidata,operator:wikipedia,check_date,fixme,old_name,books:language:de,books:language:en,books:language:es,books:language:fr,books:language:ru,dog,indoor,language:de,language:en,language:others,name:it,smoking,wheelchair:description:en,wheelchair:description:eo,facebook,loc_name,min_age,name:fr,fee,tourism,books,name:de,description:de,short_name,image,start_date,nodes,building,roof:shape,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,building:colour,building:material,roof:colour,survey:date,construction,wikimedia_commons,postal_code,heritage:website,short_name:en,roof:material,building:architecture,height,architect,building:min_level,min_height,name:ru,building:part,blind:description:de,alt_name_1,official_name,room,research_institution,addr:district,ways,architect:wikidata,name:es,name:he,name:ja,name:ko,name:pl,name:tr,name:zh,type
node,1685672555,Berlin,DE,41,10117,Mohrenstraße,Mitte,library,,Archiv für Alternativkultur,,,,http://www.fis-kultur.net/alternativkultur/,,,Q2654413,POINT (13.3957618 52.5127362),,,,,,,de:Archiv für Alternativkultur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1818848292,Berlin,DE,45,14052,Westendallee,Westend,library,WLAN frei für 30 Minuten,Johanna-Moosdorf-Bibliothek,Mo-Fr 14:00-18:00,,,,no,,Q55153202,POINT (13.2586101 52.5106578),,2022-02-13,,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1863570970,Berlin,,18,10407,Esmarchstraße,,library,,Kurt-Tucholsky-Bibliothek,"Mo,We-Fr 13:00-18:00; Tu 10:00-15:00",,,http://www.berlin.de/ba-pankow/stadtbibliothek/kurt-tucholsky/,no,,,POINT (13.4321724 52.5328818),,,,,,,,,,,"Bezirksamt Pankow von Berlin, Amt für Weiterbildung und Kultur",,+49 30 902 95 3 963,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1874529829,Berlin,DE,176,10713,Hohenzollerndamm,Wilmersdorf,library,,Artothek,"Mo off ; Tu,Th,Fr 11:00-17:00 ; We 11:00-19:00",,,,yes,,,POINT (13.3118736 52.489441),+49 30 9029-16709,,,,,,,,info@artothek.charlottenburg-wilmersdorf.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1933757018,Berlin,DE,21,14195,Ihnestraße,Dahlem,library,,"Bibliothek für Sozialwissenschaften und Osteuropastudien, Stiller Lesesaal",,,,,yes,,,POINT (13.2769658 52.449221),,,,,,,,,,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2094774970,Berlin,,6,10785,Matthäikirchplatz,,library,,Kunstbibliothek,"Tu-Su 10:00-18:00; PH 10:00-18:00; Dec 24,Dec 31 off; Jan 01 12:00-18:00",DE-B11,no,https://www.smb.museum/museen-einrichtungen/kunstbibliothek/home,yes,,Q6445022,POINT (13.3669367 52.5085131),,,,wlan,no,,,,,,,,,Berlin Art Library,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/kunstbibliothek,Kubi,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2270319509,,,,,,,library,,Buddhistisches Haus,Mo-Su 09:00-18:00,,,,no,,,POINT (13.3029182 52.635613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2402339489,Berlin,DE,2,10961,Südstern,Kreuzberg,library,,La Rayuela,Mo-Fr 10:00-19:00; Sa 10:00-16:00,,,https://la-rayuela.typepad.com/,no,,,POINT (13.4056371 52.4900049),,,,,,,,,,,,,+49 (0)30 44013293,,,info@la-rayuela.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2479053622,Berlin,DE,211,10719,Kurfürstendamm,Charlottenburg,library,,"Institut Français Berlin, Mediathek","Tu,Th 14:00-18:30; We,Fr 12:00-18:30; Sa 11:00-17:00; Mo off",DE-B452,,https://berlin.institutfrancais.de/mediathek,no,,Q28737652,POINT (13.3248746 52.5021314),,,,,,,,,,,,,,"French Institute of Berlin, library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Institut Français Berlin, Médiathèque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2571245538,Berlin,DE,182,12524,Ortolfstraße,Altglienicke,library,,Stadtteilbibliothek Altglienicke im Bürgerhaus,,,,,,,,POINT (13.5286278 52.4033811),,,,,,,,,,,,,+49 30 902976722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2644700001,Berlin,,3,10965,Fidicinstraße,,library,,Archiv der Jugendkulturen,,DE-2323,,https://jugendkulturen.de,,,,POINT (13.389689 52.4864803),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2777497901,,,4,,Bonhoefferweg,,library,,Patientenbibliothek,"Mo,Tu,Th 12:00-16:00; Fr 12:00-15:00",,,,,,,POINT (13.3766679 52.5266936),,,,,,,,,,,Charité Mitte,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2802477601,,,,,,,library,,Stadtteilbibliothek,"Tu, We, Fr 12:00-17:00; Mo, Th 13:00-19:00",,,,,,,POINT (13.1780019 52.5499724),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2807527330,Berlin,DE,25,10999,Oranienstraße,Kreuzberg,library,,Museum der Dinge,Mo 12:00-19:00; Th-Su 12:00-19:00,,,,,,Q2560329,POINT (13.4207705 52.5010562),+49 30 92106311,,http://www.museumderdinge.de,,,,de:Werkbundarchiv – Museum der Dinge,,,,Werkbundarchiv e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musée de l'objet,yes,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3203713887,Berlin,DE,63a,10999,Reichenberger Straße,Kreuzberg,library,multilingual anarchist library,kalabal!k,Fr 14:00-18:00; Su 15:00-18:00; Mo 17:00-20:00,,,https://kalabalik.blackblogs.org/,no,,,POINT (13.4307312 52.4952361),,,,,,,,,,,kalabal!k,,,,,kalabalik@riseup.net,,,,,,Kalabalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anarchism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3428467245,Berlin,DE,74-100,12249,Malteserstraße,Lankwitz,library,,Universitätsarchiv,"We,Th 09:00-16:00",,,,yes,,,POINT (13.3587376 52.4260423),,,,,,,,,,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3478842465,,,,,,,library,,Schulbiblothek,,,,,,,,POINT (13.3578235 52.4943297),,,,,,,,,,,Sophie-Scholl-Oberschule,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3518345658,Berlin,DE,58,14109,Am Großen Wannsee,Wannsee,library,"Fachbibliothek zu: Geschichte und Kultur des europäischen Judentums, NS-Verfolgung und Ermordung der jüdischen Bevölkerung Europas und anderer Opfergruppen u.a.",Joseph Wulf Bibliothek,"Mo-Fr 11:00-16:00; PH,Sa,Su off",DE-B1525,,,,,,POINT (13.1656465 52.4327843),+49 30 805 00120,,https://www.ghwk.de/de/bibliothek,,,,,,library@ghwk.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3806550974,,,,,,,library,,Bibliothek des Deutschen Bundestages,,,,,,,Q856510,POINT (13.3772992 52.5202388),,,,,,,,,,,,,,Library of the German Bundestag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3837620248,Berlin,DE,27,10785,Lützowstraße,Tiergarten,library,,Bibliothek Tiergarten-Süd,Mo-Fr 12:30-18:00,,,,yes,,,POINT (13.3634291 52.5037597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3952396497,Berlin,,1,14193,Bismarckplatz,,library,,Umweltbibliothek,,,,,,,,POINT (13.2826514 52.4921781),,,,,,,,,,,Umweltbundesamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3981795844,Berlin,DE,2,13051,Prerower Platz,Neu-Hohenschönhausen,library,,Anna-Seghers-Bibliothek,"Mo, Tu 09:00-19:00; We 13:00-19:00; Th, Fr 09:00-18:00; Sa 09:00-13:00",,,,yes,,Q28681426,POINT (13.5061185 52.5649762),+49 30 92796410,,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/anna-seghers-bibliothek/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4114649179,Berlin,DE,8,10963,Niederkirchnerstraße,Kreuzberg,library,,Bibliothek der Stiftung Topographie des Terrors,"Mo-Fr 10:00-17:00; Sa,Su,PH off",,,http://www.topographie.de/bibliothek/,yes,,Q28738920,POINT (13.383896 52.5067416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4221527005,Berlin,DE,118,10115,Invalidenstraße,Mitte,library,Zur Nutzung der Garderobenschränke bitte ein Vorhängeschloss mitbringen.,Zweigbibliothek Asien-/Afrikawissenschaften und Islamische Theologie,Mo-Fr 09:00-17:00,DE-11-103,,,yes,,,POINT (13.3859469 52.5305537),+49 30 2093-66093,,https://www.ub.hu-berlin.de/de/standorte/zwbasienafrika,yes,no,,,,asa@ub.hu-berlin.de,,Universitätsbibliothek der Humboldt-Universität zu Berlin,,,,,,,,,,0,ZwB Asien-/Afrikawissenschaften und Islamische Theologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4271022996,Berlin,,2,14089,Sakrower Landstraße,,library,,Stadtteilbibliothek Kladow,"Mo,Th 13:00-19:00; Tu,We 13:00-17:00; Fr 09:00-15:00",,,http://www.berlin.de/stadtbibliothek-spandau/bibliotheken/kladow/artikel.182136.php,yes,,,POINT (13.1429895 52.453258),,,,terminal,,,,,,,Stadtbibliothek Spandau,,+49 30 8161-5889,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4432723694,Berlin,,227-228,10405,Prenzlauer Allee,,library,,Bibliothek Am Wasserturm,"Mo-Fr 12:00-18:00; Tu,We 10:00-16:00; Sa 10:00-13:00",,yes,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bibliothek-am-wasserturm/,,,Q110501434,POINT (13.419505 52.5331584),,,,wlan,,,,,,,,,+49 30 902953921,,,,,,yes,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4706616647,Berlin,,5,12439,Britzer Straße,,library,,Bibliothek,,DE-2401,,https://www.ns-zwangsarbeit.de/bibliothek/,yes,,,POINT (13.5189284 52.4525785),,,,yes,customers,,,,,,Stiftung Topographie des Terrors,,+49 30 63 90 288 23,,,bibliothek-sw@topographie.de,,,,,,,,,,,+49 30 63 90 288 29,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4740208623,,,,,,,library,,Stadtteilbibliothek Rudow,Mo-Th 11:00-16:00,,,,,,,POINT (13.4894854 52.418094),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4805428213,Berlin,,1-2,10555,Levetzowstraße,,library,,Medienforum Berlin,"Mo,Tu 13:00-18:00; We 10:00-15:00; Th 13:00-18:00",DE-B1585,,https://www.berlin.de/sen/bildung/unterricht/medien/medienforum/,,,,POINT (13.3308065 52.5222118),,,,,,,,,,,,,+49 30 90 22 99-111,,,mf.info@senbjw.berlin.de,,,,,,,,,,,+49 30 90 22 99-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4806499594,Berlin,,15,10557,Altonaer Straße,,library,,Hansabibliothek,Mo-Fr 13:00-19:30; Tu-Th 12:00-18:00,,yes,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/hansabibliothek/,yes,,Q49677548,POINT (13.3427522 52.5170943),,,,,,,,,,,,,+4930901832156,,,service@stb-mitte.de,,,,,,Hansa-Bücherei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5062614778,,,,,,,library,,,,,,,,,,POINT (13.3638336 52.521758),,,,,,,,,,,,,,,,,,,,,1,,,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,Bibiliotek des BMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5245440325,Berlin,DE,5,10117,Am Kupfergraben,Mitte,library,,Zweigbibliothek Musikwissenschaft,"Mo-Fr 10:00-18:00; Feb 17-Apr 10, PH Mo-Fr 10:00-16:00",DE-11-128,,,,,,POINT (13.395109 52.5203781),+49 30 20932788,,https://www.ub.hu-berlin.de/de/standorte/zwbmusikwissenschaft,yes,no,,,,musikwissenschaften@ub.hu-berlin.de,,Universitätsbibliothek der Humboldt-Universität zu Berlin,,,,,,,,,,,,,,,,,,,,,,,university,Q1407819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5275440213,Berlin,,24,12627,Hellersdorfer Promenade,,library,,Peter-Weiss-Bibliothek,"Tu,We 14:00-18:00; PH off || ""nach Vereinbarung""",,,https://www.peter-weiss-bibliothek.de/,,,,POINT (13.6068282 52.5416071),,,,terminal,no,,,,,,AGRARBÖRSE Deutschland Ost e.V.,,+49 30 99282525,,,pwb-hellersdorf@peter-weiss-bibliothek.de,,,,,,,,,,,,,,,,,,,,,,,Alternative Bibliothek Hellersdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5318467222,Berlin,,142c,13439,Wilhelmsruher Damm,,library,,Bibliothek im Märkischen Viertel,,,,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/bibliothek-im-maerkischen-viertel/bibliothek-im-maerkischen-viertel-im-fontane-haus-336916.php,,,,POINT (13.3523189 52.5976675),,,,,,,,,,,"Bezirksamt Reinickendorf Abteilung Bauen, Bildung und Kultur",,+49 30 902943833,,,,,,,,,,,,,,+49 30 902943835,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5533888846,Berlin,DE,11/12,10115,Philippstraße,Mitte,library,,Charité Medizinische Bibliothek Campus Mitte,Mo-Fr 09:00-20:00,,,http://bibliothek.charite.de/,,,Q28738822,POINT (13.3801597 52.5261622),,2023-03-27,,wlan,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5643477411,Berlin,DE,17,13465,Fuchssteinerweg,Frohnau,library,,Stadtteilbibliothek Frohnau,Mo 13:00-19:00; Tu 13:00-17:00; Fr 11:00-17:00; Th 13:00-19:00,,,,yes,,,POINT (13.295141 52.63544),+49 30 4010 9171,,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/stadtteilbibliothek-frohnau/artikel.336740.php,,,,,,Bibliothek.Frohnau@gmail.com,,,,,,,,,,,,,,,,,,,,,,,+49 30 4010 9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5735063971,Berlin,DE,32b,10553,Rostocker Straße,Moabit,library,,Kurt-Tucholsky-Bibliothek,"Mo-Th 12:30-18:00; Fr,Sa,Su,PH off",,yes,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/kurt-tucholsky-bibliothek/,yes,,Q108218674,POINT (13.3262022 52.531583),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5798364681,Berlin,DE,104,13599,Gartenfelder Straße,Haselhorst,library,,Stadtteilbibliothek Haselhorst,"Mo,Fr 13:00-19:00; Tu-Th 13:00-17:00",,,,,,,POINT (13.2390484 52.5429259),,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/haselhorst/stadtteilbibliothek-haselhorst-182097.php,,,,,,,,Bezirksamt Spandau von Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5838369566,,,,,,,library,,Patientenbibliothek,"Mo,Tu,Fr 13:00-17:00; Th 15:00-18:00",,,,,,,POINT (13.347826 52.4602755),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5977960159,Berlin,DE,79,12053,Briesestraße,,library,,Bücherstube,Mo-Fr 08:00-14:00,,,,,,,POINT (13.4273818 52.4769397),+49 30 68975904,2022-12-21,,,,,,,,,Berliner Gesellschaft für Integration mbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6046124564,Berlin,DE,24,10117,Dorotheenstraße,Mitte,library,,Zweigbibliothek Germanistik,Mo-Fr 09:30-19:00,DE-11-105,,,,,,POINT (13.3927337 52.520016),,,https://www.ub.hu-berlin.de/de/standorte/zwbgermanistik,yes,no,,,,,Zur Nutzung der Garderobenschränke bitte ein Vorhängeschloss mitbringen.,Universitätsbibliothek der Humboldt-Universität zu Berlin,,+49 30 2093-9782,Branch Library of German Studies,,germ@ub.hu-berlin.de,,,,,0;-1,,,,,,,yes,,,,,,university,Q1407819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6275993185,Berlin,DE,136,10623,Straße des 17. Juni,Charlottenburg,library,,Mathematische Fachbibliothek,Mo-Fr 09:00-21:00; Sa 10:00-18:00,,,https://www.math.tu-berlin.de/mfb/mfb/,,,,POINT (13.3251316 52.5140827),,,,wlan,,,,,,,,,+49 30 314 22749,,,library@math.tu-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6508696687,,,8-10,14059,Heubnerweg,,library,,ESCP Bibliothek am Campus Berlin,Mo-Th 09:00-21:00; Fr 09:00-17:00,,,,,,,POINT (13.2890223 52.5242453),,,,,,,,,,,,,,ESCP Library on Berlin Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6720863485,Berlin,DE,8,14195,Van't-Hoff-Straße,Dahlem,library,,Bibliothek Rechtswissenschaft,Mo-Fr 09:00-22:00; Sa 09:00-20:00; Su 12:00-20:00,,yes,,yes,,,POINT (13.2813366 52.4478314),+49 30 83852161,,https://www.jura.fu-berlin.de/bibliothek/,,,,,,,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6880841994,Berlin,DE,18-19,10119,Christinenstraße,Prenzlauer Berg,library,,ICI Berlin,,,,https://www.ici-berlin.org/library/,yes,,Q28739236,POINT (13.4107782 52.5321836),,,,,,,,,,,,,+49 30 473 7291-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6976235391,Berlin,,16;18,10179,Märkisches Ufer,,library,Abteilung der Staatsbibliothek zu Berlin,"Bildagentur für Kunst, Kultur und Geschichte",Mo-Fr 09:00-17:00,DE-1b,,,,,Q860581,POINT (13.4103123 52.5128877),+49 30 27 87 92-0,,https://www.bpk-bildagentur.de/,,,,"de:Bildagentur für Kunst, Kultur und Geschichte",,kontakt@bpk-images.de,,Stiftung Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,+49 30 27 87 92-39,,,,,,,Bildarchiv Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,,,,bpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7232178641,Berlin,,10,10117,Johannisstraße,,library,,Teilbibliothek Japanologie,Mo-Th 10:00-15:30; Fr 10:00-14:00; Mar 6-31 off,,,,,,,POINT (13.3920937 52.5246239),,,,wlan,no,,,,,,Universitätsbibliothek der Humboldt-Universität zu Berlin,,+49 30 2093-66 130,,,asa@ub.hu-berlin.de,,,,,0,,,,,,,,,,,,,university,Q1407819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7798570856,,,,,,,library,,Bibliothek der Jüdischen Gemeinde,,,,,,,,POINT (13.3283687 52.5043465),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8097837782,,,,,,,library,,Katholische öffentliche Bücherei,"""Jeden 1. und 3. Sonntag im Monat von 9:30-12:30 Uhr geöffnet.""",,,,,,,POINT (13.3980521 52.3859756),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8151138614,Berlin,DE,5,12619,Neue Grottkauer Straße,Hellersdorf,library,,Stadtteilbibliothek Kaulsdorf,"Mo,Tu,Th 12:00-19:00; We,Fr 09:00-13:00; Sa,Su,PH off",,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-kaulsdorf-nord/,yes,Fahrstuhl vorhanden,,POINT (13.5928919 52.5293637),,,,,,,,,,,,,,,,,,,,,1,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8435515108,Berlin,DE,22F,13593,Obstallee,Staaken,library,,Stadtteilbibliothek Heerstraße,,,,,,,,POINT (13.1654101 52.5224043),,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/heerstrasse/stadtteilbibliothek-heerstrasse-182099.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9077951933,Berlin,DE,1,12353,Bat-Yam-Platz,Gropiusstadt,library,,Gertrud-Junge-Bibliothek,"Mo, Fr 11:00-15:00; Tu-Th 13:00-19:00",,,,,,,POINT (13.4620726 52.425675),+49 30 902391494,,https://www.gropiusstadt-berlin.de/einrichtungen-projekte/stadtteilbibliothek-im-gemeinschaftshaus,,,,,,mailto:gemeinschaftshaus@stadtbibliothek-neukoelln.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stadtteilbibliothek im Gemeinschaftshaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
