element_type,osmid,source,geometry,entrance,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,note,website,wheelchair,wheelchair:description,addr:country,contact:email,contact:fax,contact:phone,opening_hours,operator,addr:suburb,check_date:opening_hours,opening_hours:signed,community_centre,source:addr,club,denomination,community_centre:for,gay:women,name:en,contact:facebook,contact:instagram,contact:twitter,email,gay,lgbtq,phone,access,description,check_date,toilets:wheelchair,wikidata,operator:type,alt_name,contact:website,kids_area,polling_station,brand,nodes,building,building:levels,roof:shape,internet_access,roof:levels,shop,start_date,fax,religion,source:roof:shape,max_age,min_age,short_name,addr:housename,landuse,leisure
way,146841440,,"POLYGON ((9.1584169 48.8422195, 9.1584044 48.8422412, 9.1584018 48.8422594, 9.1584169 48.8422705, 9.158424 48.8422981, 9.1584071 48.842338, 9.1583804 48.8423708, 9.1583697 48.8423925, 9.1583438 48.8423568, 9.1583269 48.842338, 9.1583215 48.8423169, 9.1583215 48.8423098, 9.158244 48.8422957, 9.158236 48.8423087, 9.1582003 48.8423045, 9.1582003 48.8422957, 9.1581085 48.842277, 9.1580978 48.8422817, 9.1580746 48.8423286, 9.157973 48.8423538, 9.1579864 48.8422905, 9.1580185 48.8422312, 9.1580622 48.8421626, 9.1580639 48.8421174, 9.1581094 48.8421092, 9.1581361 48.842128, 9.1581513 48.8421403, 9.1581736 48.842125, 9.1581914 48.8421121, 9.1582529 48.8421127, 9.1582734 48.8421227, 9.1583001 48.8421426, 9.1583198 48.8421667, 9.1583367 48.8421943, 9.1584169 48.8422195))",,Stuttgart,2a,70439,Marco-Polo-Weg,community_centre,Kinder- und Jugendhaus Stammheim,,,,,DE,,,,,,Stammheim,,,,,,,child;juvenile,,,,,,,,,,,,,,,,,http://www.jugendhaus.net/stammheim/,,,,"[1600720004, 1600720016, 1600720019, 1600720021, 1600720033, 1600720051, 1600720061, 1600720069, 1600720056, 1600720050, 1600720043, 1600720041, 1600720032, 1600720040, 1600720037, 1600720031, 1600720026, 1600720027, 1600720047, 1600720055, 1600720029, 1600720010, 1600719985, 1600719963, 1600719959, 1600719971, 1600719977, 1600719968, 1600719961, 1600719962, 1600719966, 1600719978, 1600719987, 1600720000, 1600720004]",yes,,,,,,,,,,,,,,,
way,231849124,,"POLYGON ((9.2389807 48.8125644, 9.2394123 48.8116894, 9.2377524 48.8114532, 9.2375925 48.8118388, 9.2375002 48.8119038, 9.2373349 48.8119277, 9.2360906 48.8116886, 9.2359724 48.812153, 9.2360365 48.8122298, 9.2366424 48.8123156, 9.237154 48.8124109, 9.2374227 48.8124755, 9.2380043 48.8125245, 9.2389807 48.8125644))",,,,,,community_centre,Stadtteilbauernhof Bad Cannstatt,,,limited,,,,,,,,,,,youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,"[2401768806, 2401768798, 2401768797, 2359275106, 2401768800, 2401768801, 268857720, 5862909066, 5862909065, 2401768802, 2401768803, 2401768804, 2401768805, 2401768806]",,,,,,,,,,,,,,,farmyard,
way,237592048,,"POLYGON ((9.2796908 48.7745156, 9.2795889 48.7745444, 9.2795635 48.7745276, 9.2794943 48.7745492, 9.2794652 48.7745228, 9.2793888 48.7745396, 9.2793451 48.7745012, 9.2790067 48.7746139, 9.2790686 48.7746715, 9.2791668 48.7746355, 9.2792323 48.7747075, 9.2793961 48.7746475, 9.2795525 48.7745995, 9.2797126 48.7745468, 9.2796908 48.7745156))",,Stuttgart,7,70329,Passeier Straße,community_centre,Ev. Gemeindehaus Begegnungsstätte,,,,,DE,,,,,,,,,parish_hall,,,protestant,religious,,,,,,,,,,,,,,,,,,,,,"[2454713175, 2454713176, 2454713177, 2454713178, 2454713179, 2454713180, 2454713181, 2454713182, 2454713183, 2454713184, 2454713185, 2454713186, 2454713187, 2454713188, 2454713175]",yes,,,,,,,,christian,,,,,,,
way,350982644,,"POLYGON ((9.2133841 48.6985277, 9.2133804 48.6979206, 9.213801 48.6979447, 9.2141869 48.6970226, 9.2161819 48.6972966, 9.2158458 48.6978633, 9.2157183 48.6980783, 9.215509 48.6984311, 9.2143825 48.6985567, 9.2133841 48.6985277))",,,,,,community_centre,Stiftung Jugendhilfe aktiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3567021232, 3567021217, 3567021218, 3567021215, 3567021216, 8066185630, 8066185631, 3567021224, 3567021233, 3567021232]",,,,,,,,,,,,,,,,
way,394729056,,"POLYGON ((9.1415945 48.8091618, 9.1425782 48.8093668, 9.1426887 48.8091868, 9.1427923 48.8090085, 9.1428916 48.8087441, 9.1429062 48.808698, 9.1420361 48.8085924, 9.1419647 48.8086135, 9.1418335 48.8087018, 9.1417723 48.8087664, 9.1415945 48.8091618))",,Stuttgart,317,70469,Wiener Straße,community_centre,Jugendtreff Camp Feuerbach,,http://www.jugendhaus.net/feuerbach/camp/startseite.php,no,,DE,,,,"Mo,Tu,Th 14:00-21:00; We 14:00-18:00; Fr 14:00-21:00",Stuttgarter Jugendhaus gGmbH,Feuerbach,,,youth_centre,,,,child;juvenile,,,,,,,,,,,,,,,,,,,,,"[3949528001, 3949528012, 1431706985, 1431706984, 3949527998, 3949527997, 3949527996, 3949527995, 3949527994, 3949528002, 3949528001]",,,,,,,,,,,,10,,,recreation_ground,
way,394729064,,"POLYGON ((9.1601467 48.8068502, 9.1601985 48.8068787, 9.1601727 48.8068997, 9.1602426 48.8069369, 9.1601013 48.8070329, 9.1601443 48.8070614, 9.1602753 48.8071348, 9.1602938 48.8071205, 9.1603483 48.8070785, 9.16054 48.8069299, 9.1604017 48.8068538, 9.160249 48.8067696, 9.1601467 48.8068502))",,Stuttgart,2A,70469,Mühlstraße,community_centre,Kinderhaus Feuerbach,,http://www.jugendhaus.net/feuerbach/kinderhaus/startseite.php,,,DE,,,,,Stuttgarter Jugendhaus gGmbH,,,,youth_centre,,,,child,,,,,,,,,,,,,,,,,,,,,"[3976981613, 3976981614, 3976981615, 3976981618, 3976981619, 1579301615, 3410701779, 1579301618, 1579301627, 3976981617, 3976981612, 3976981611, 3976981613]",,,,,,,,,,,,,,,,
way,549943674,,"POLYGON ((9.1712183 48.7804863, 9.1712767 48.7804073, 9.171418 48.7804527, 9.1713596 48.7805317, 9.1712183 48.7804863))",,,2F,,Breitscheidstraße,community_centre,Begegnungsraum Stuttgart,,,,,,,,,,Begegnungsraum e.V.,,,,,,,,,,,,,,,,,,,,,,,,,https://begegnungsraum-stuttgart.com/,,,,"[5312265881, 5312265882, 5312265883, 5312265884, 5312265881]",yes,,,,,,,,,,,,,,,
way,551304005,,"POLYGON ((9.1046939 48.8080633, 9.1058249 48.8081696, 9.1055395 48.807898, 9.1051651 48.8075415, 9.1051286 48.8075553, 9.1050798 48.8075507, 9.1050259 48.8075759, 9.1050102 48.8076126, 9.1049563 48.8076779, 9.10489 48.8077173, 9.1048832 48.8077707, 9.104824 48.8078384, 9.1048084 48.8078968, 9.1047544 48.8079278, 9.1046918 48.8079931, 9.1046939 48.8080633))",,Stuttgart,129,70499,Solitudestraße,community_centre,Jugendhaus Weilimdorf,,http://www.jh-weilimdorf.de/,,,DE,,,,"PH,Mo-Su 08:00-22:00",,,,,,,,,juvenile,,,,,,weilimdorf@jugendhaus.net,,,+49 711 861215,,,,,,,,,,,,"[3848896508, 5324202151, 8611615858, 4342637799, 4342637802, 4342637801, 4342637803, 4342637804, 4342637807, 4342637809, 4342637813, 4342637817, 4342637818, 4342637819, 4342637820, 3848896508]",,,,,,,,+49 711 8600565,,,,,,,,park
way,723504185,,"POLYGON ((9.2432398 48.7726358, 9.2433535 48.7726983, 9.2433193 48.7727245, 9.2434899 48.7728269, 9.243452 48.7728532, 9.2435164 48.7728919, 9.2434471 48.7729519, 9.2434198 48.7729756, 9.2430749 48.7727757, 9.2432398 48.7726358))",,Stuttgart,347a,70327,Ulmer Straße,community_centre,Evangelisches Gemeindehaus Wangen,,,yes,,,,,,,,,,,,,,protestant,,,,,,,,,,,,,,,,,,,,,,"[6785882173, 6785882174, 6785882175, 6785882176, 6785882177, 6785882178, 6785883787, 6785882179, 6785882180, 6785882173]",yes,,,,,,,,,,,,,,,
way,1025779632,,"POLYGON ((9.1261511 48.77882, 9.126324 48.778763, 9.1266281 48.7786616, 9.1265488 48.7785581, 9.1265066 48.7785195, 9.1262081 48.7784689, 9.1261751 48.7785489, 9.1261679 48.7785662, 9.1261846 48.778586, 9.1262462 48.7786595, 9.126072 48.7787106, 9.1261511 48.77882))",,Stuttgart,18,70195,Griegstraße,community_centre,Bürgerhaus Botnang,,https://buergerhaus-botnang.de,,,,,,,,,Botnang,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[568390653, 568390666, 568390665, 5659045004, 2075218679, 2075218678, 9457607059, 2075218680, 3690794630, 568390668, 568390654, 568390653]",yes,,,,,,,,,,,,,,,
way,1084176695,,"POLYGON ((9.1081645 48.8042057, 9.1085157 48.8038185, 9.1081024 48.8036536, 9.1078663 48.8039054, 9.1081645 48.8042057))",,,,,,community_centre,Gemeindehaus Ev. Oswald-Wolfbusch-Kirchengemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9935133923, 9935133924, 9935133925, 9935133926, 9935133923]",,,,,,,,,,,,,,,,
way,1106650248,,"POLYGON ((9.1738073 48.7764028, 9.1737025 48.7763106, 9.1736448 48.7763416, 9.1736119 48.7763592, 9.173512 48.7764148, 9.1735711 48.7764649, 9.173539 48.7764813, 9.1735368 48.7764941, 9.1735897 48.7765382, 9.1736019 48.7765395, 9.173636 48.7765704, 9.1736524 48.776572, 9.1736599 48.7765787, 9.1736765 48.7765804, 9.173695 48.7765716, 9.1737051 48.7765809, 9.173727 48.7765705, 9.1737926 48.7765392, 9.1738174 48.7765275, 9.1738422 48.7765157, 9.1738467 48.7765202, 9.1738933 48.7764977, 9.1738896 48.776494, 9.1739425 48.7764697, 9.1738509 48.7763825, 9.1738073 48.7764028))",,Stuttgart,21,70173,Gymnasiumstraße,community_centre,Forum 3,,https://www.forum3.de/,yes,https://www.forum3.de/,DE,,,,,,,,,,,,,,,,,,,,,,+49 711 44007 4985,,,,,,,,,,,,"[10126615698, 10126615699, 1057852244, 1057852705, 1057852202, 1057852842, 1057852534, 10126604292, 10126604291, 8905714803, 10126615700, 8905714799, 8905714798, 8905714796, 8905714797, 1057851998, 10126615697, 2688889965, 10126615695, 8905714817, 8905714815, 8905714814, 8905714816, 1057852886, 1057852624, 10126615698]",,,,,,,,,,,,,,,,
