element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,name,name:de,name:en,opening_hours,phone,website,geometry,community_centre,community_centre:for,operator,wheelchair,barrier,check_date:opening_hours,internet_access,max_age,min_age,toilets:wheelchair,contact:phone,contact:website,note,source,fax,operator:type,opening_hours:signed,contact:email,internet_access:fee,internet_access:ssid,alt_name,contact:fax,description,brand,brand:wikidata,nodes,building,building:levels,roof:levels,roof:shape,building:use,short_name,club,check_date,ref,wikidata,wikimedia_commons,wikipedia,denomination,religion,ways,type
way,102591272,Frankfurt am Main,,22,65936,Siegener Straße,community_centre,,,,,,,,"POLYGON ((8.5663144 50.1225781, 8.5667099 50.1227121, 8.5666892 50.1227371, 8.5668147 50.1227796, 8.5669496 50.122616, 8.5669155 50.1226044, 8.5669323 50.122584, 8.5668517 50.1225566, 8.5668197 50.1225954, 8.5664974 50.1224862, 8.5665467 50.1224263, 8.5664629 50.1223979, 8.5663144 50.1225781))",youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,"[1184708663, 1184707774, 1184708247, 1184708374, 1184708079, 1184708668, 1184708081, 1184708597, 1184708324, 1184707786, 1184708256, 1184707667, 1184708663]",yes,,,,,,,,,,,,,,,
way,103699686,Frankfurt am Main,,2,65929,Palleskestraße,community_centre,,Jugend- und Kulturzentrum Höchst,,,,,http://jukuz-hoechst.junetz.de,"POLYGON ((8.5493693 50.1048372, 8.5494103 50.1047741, 8.5493957 50.104743, 8.549365 50.1047348, 8.5494568 50.1045932, 8.5491466 50.1045104, 8.5491547 50.1044784, 8.5488687 50.1044811, 8.5488739 50.1045531, 8.5489193 50.1045653, 8.5488557 50.1046634, 8.5489469 50.1046877, 8.5489088 50.1047464, 8.5492688 50.1048424, 8.5492732 50.1048357, 8.5493252 50.1048495, 8.5493693 50.1048372))",,,,yes,,,,,,,,,,,,,,,,,,,,,,"[2107773704, 2107773691, 2107773685, 2107773684, 1197263439, 2107773623, 2107773616, 1197262500, 2107773644, 2107773648, 1197261283, 2107773676, 2107773687, 2107773705, 2107773703, 2107773707, 2107773704]",yes,,,,,JuKuZ Höchst,,,,,,,,,,
way,103989493,Frankfurt am Main,,2,60435,Feuerwehrstraße,community_centre,,Frankfurter Wein Club,,,"Th,Fr 16:00-20:00; Sa 10:00-15:00",,,"POLYGON ((8.6910306 50.1440719, 8.6911602 50.1441029, 8.6912094 50.1440184, 8.6910797 50.1439874, 8.6910306 50.1440719))",club_home,,,,,,,,,,,,,,,,,,,,,,,,,"[1200210394, 1200210776, 1200208363, 1200208856, 1200210394]",yes,,,,,,wine,,,,,,,,,
way,111239721,Frankfurt am Main,,10,60437,Im Sauern,community_centre,,Bürgerhaus Nieder-Erlenbach,,,,,,"POLYGON ((8.7111283 50.205498, 8.711259 50.2055234, 8.7112539 50.2055343, 8.7115272 50.2055874, 8.711534 50.2055731, 8.7115893 50.2055839, 8.7116208 50.2055174, 8.7116866 50.2055301, 8.711705 50.2054913, 8.7117411 50.2054983, 8.7118234 50.2053249, 8.7112622 50.2052158, 8.7111283 50.205498))",,,,,,,,,,,,,,,,,,,,,,,,,,"[1267856455, 1267856832, 1267856334, 1267856698, 1267856125, 1267856080, 1267856628, 1267856578, 1267856646, 1267856517, 1267856395, 1267856658, 1267856455]",yes,,,,,,,,,,,,,,,
way,115884498,Frankfurt am Main,DE,40,60388,Borsigallee,community_centre,,Volkshaus Enkheim,,,,,,"POLYGON ((8.7550096 50.1427054, 8.7550698 50.1426544, 8.7550489 50.1426443, 8.7550239 50.1426323, 8.755067 50.1425956, 8.7552558 50.1424356, 8.7553106 50.1424622, 8.7553936 50.1423918, 8.7553234 50.1423578, 8.755346 50.1423387, 8.7552061 50.1422709, 8.7551831 50.1422903, 8.7551138 50.1422567, 8.7550298 50.142328, 8.7549814 50.1423045, 8.7547755 50.142479, 8.7547575 50.1424703, 8.7547456 50.1424728, 8.7546952 50.1425159, 8.7546937 50.1425151, 8.7546713 50.1425344, 8.7546726 50.1425352, 8.7546603 50.1425456, 8.7546603 50.1425528, 8.7546475 50.1425636, 8.7546801 50.1425794, 8.754692 50.1425693, 8.7547399 50.1425925, 8.754752 50.1425822, 8.7548029 50.1426069, 8.7547988 50.1426103, 8.7548427 50.1426316, 8.7548173 50.1426531, 8.754885 50.1426859, 8.7549107 50.1426641, 8.7549536 50.1426849, 8.7549585 50.1426807, 8.7550096 50.1427054))",,,,no,,,,,,no,,,,,,,,,,,,,,,,"[1307998632, 1307999594, 10251641799, 1307999094, 10251642320, 1307999751, 1307997714, 1307999253, 1307999344, 1307997656, 1307999181, 1307998532, 1307999660, 10251642323, 10251642324, 10251642322, 10251642321, 10251641805, 10251641804, 10251641801, 10251641802, 10251641803, 10251641806, 10251641807, 1307997954, 10251641808, 10251642309, 10251642310, 10251642313, 10251642312, 10251642311, 10251642319, 10251642314, 10251642315, 10251642318, 10251642316, 10251642317, 1307998632]",yes,,,,,,,,,,,,,,,
way,118193057,Frankfurt am Main,,5-7,60431,Heinzstraße,community_centre,,Bürgerhaus Ginnheim,,,,+49 69 532871,,"POLYGON ((8.6454571 50.1377033, 8.6451828 50.1377613, 8.6452391 50.1378709, 8.6455135 50.137813, 8.6454571 50.1377033))",,,,,,,,,,,,,,,,,,,,,,,,,,"[1329774001, 1329773546, 1329773589, 1329773472, 1329774001]",yes,,,,,,,,,,,,,,,
way,120718833,Frankfurt am Main,DE,6,60528,Im Mainfeld,community_centre,info@mainfeldfrankfurt.de,Mainfeld - Raum für Kultur,,,,+496967724811,http://www.mainfeld-frankfurt.de/,"POLYGON ((8.64362 50.0895109, 8.6438509 50.0895432, 8.6438701 50.0894866, 8.6438336 50.0894815, 8.6438449 50.0894484, 8.6439066 50.0894571, 8.6438888 50.0895094, 8.6441259 50.0895426, 8.6441813 50.0893798, 8.643957 50.0893483, 8.6439365 50.0894087, 8.6438747 50.0894001, 8.6438878 50.0893614, 8.6436806 50.0893324, 8.6436932 50.0892955, 8.6435598 50.0892769, 8.6434937 50.0894713, 8.6436271 50.0894899, 8.64362 50.0895109))",,,,limited,,,,,,,,,,,,,,,,,,,,,,"[1352819023, 1352819033, 1352819003, 1352819002, 1352818989, 1352818996, 1352819025, 1352819035, 1352818968, 1352818960, 1352818982, 1352818980, 1352818966, 1352818958, 2880109205, 2880109202, 2880109213, 2880109215, 1352819023]",yes,,,,,,,,,,,,,,,
way,121563022,,,,,,community_centre,,SAALBAU Niederrad,,,,,,"POLYGON ((8.6443577 50.0848158, 8.6444565 50.0848414, 8.6444895 50.0848499, 8.6445444 50.0848641, 8.6445748 50.0848157, 8.6443882 50.0847674, 8.6443783 50.0847806, 8.6443577 50.0848158))",,,SAALBAU,,,,,,,,,,,,,,,,,,,,,,,"[1360650077, 10712428095, 2867001870, 1360650129, 1360650058, 1360650019, 2867001859, 1360650077]",yes,,,,,,,,,,,,,,,
way,130730781,Frankfurt am Main,DE,32,60327,Rottweiler Straße,community_centre,,Saalbau Gutleut,,,,,,"POLYGON ((8.6619907 50.1017097, 8.661751 50.1016187, 8.6618279 50.1015367, 8.6618653 50.1014924, 8.6618401 50.1014289, 8.6618915 50.1013779, 8.6619797 50.1013648, 8.6620627 50.1013937, 8.662078 50.1014527, 8.6620305 50.1015068, 8.6619364 50.1015208, 8.6619 50.101562, 8.6621257 50.1016514, 8.6619907 50.1017097))",,,,,,,,,,,,,,,,,,,,,,,,,,"[1439028892, 995208328, 995209724, 1439028902, 1439028898, 1439028896, 1439028904, 1439028903, 1439028894, 1439028893, 2388741236, 1439028897, 1439028901, 1439028892]",yes,,,,,,,2023-05-19,,,,,,,,
way,140756961,Frankfurt am Main,DE,6,60326,Herxheimerstraße,community_centre,,Naturfreundehaus Stadtheim Frankfurt,,,,,,"POLYGON ((8.6245574 50.0986977, 8.6248657 50.0987836, 8.6249147 50.0987113, 8.6246063 50.0986254, 8.6245574 50.0986977))",,,NaturFreunde Frankfurt,yes,,,,,,,,,,,,,,,,,,,,,,"[1541383494, 1541383522, 1541383496, 1541383492, 1541383494]",yes,1,,gabled,,,,,H 044,,,,,,,
way,140756964,Frankfurt am Main,DE,4,60326,Herxheimerstraße,community_centre,,Jugend-Kultur-Werkstatt Falkenheim Gallus,,,,,https://jkwf.de/,"POLYGON ((8.625105 50.0988684, 8.6252939 50.098921, 8.6253541 50.0988321, 8.6251651 50.0987795, 8.625105 50.0988684))",,juvenile,,,,,,,,,,,,,,,,,,,,,,,,"[1541383529, 1541383532, 1541383525, 1541383517, 1541383529]",yes,1,,,,,,,,,,,,,,
way,147571481,Frankfurt am Main,,3,60311,Domplatz,community_centre,,Haus am Dom,,,,+49 69 80087180,,"POLYGON ((8.6846079 50.1110887, 8.6846225 50.1110417, 8.6846428 50.1109824, 8.6846796 50.1108355, 8.6846885 50.1108363, 8.6846912 50.1108207, 8.684563 50.1108086, 8.6845605 50.1108138, 8.6844844 50.1108068, 8.6844601 50.1109068, 8.6844304 50.1109042, 8.684402 50.1110047, 8.6843873 50.111055, 8.6843864 50.1110595, 8.6846079 50.1110887))",,,Bistum Limburg,yes,,,,,,yes,,,,,,,,,,,,,,,,"[651553, 9165295645, 9833875277, 9833875281, 9833875280, 1607739689, 9833875279, 9833875278, 1607739687, 1852182457, 1852182456, 3780891853, 3780891854, 1311995820, 651553]",house,,,,,,,,,Q1590716,Category:Haus am Dom,de:Haus am Dom,,,,
way,153041486,Frankfurt am Main,DE,24,60385,Große Spillingsgasse,community_centre,,Ev. Kirchengemeinde Frankfurt/Main Bornheim,,,,,https://www.wir-in-bornheim.de,"POLYGON ((8.7119666 50.1307487, 8.7120558 50.1306219, 8.7123282 50.1307007, 8.7123261 50.1307037, 8.7124212 50.130731, 8.7123342 50.130855, 8.7119666 50.1307487))",parish_hall,,,limited,,2022-12-29,,,,no,,,,,,,no,,,,,,,,,"[1657899445, 1657899414, 1280482149, 10195147261, 1280482681, 1657899473, 1657899445]",yes,3,0,gabled,,,,,,,,,protestant,christian,,
way,160959226,Frankfurt am Main,,111,65931,Pfaffenwiese,community_centre,,Gemeindezentrum Evangelische Kirchengemeinde Zeilsheim,,,,,,"POLYGON ((8.506301 50.0975823, 8.5062838 50.0974017, 8.5066585 50.0973869, 8.5066757 50.0975676, 8.506301 50.0975823))",,,,,,,,,,,,,,,,,,,,,,,,,,"[1729254795, 1729254794, 1729254796, 1729254797, 1729254795]",church,,,,,,,,,,,,,,,
way,164228594,,,,,,community_centre,,Evangelische Philippusgemeinde Frankfurt-Riederwald,,,,,,"POLYGON ((8.7343141 50.1283059, 8.7346839 50.1283857, 8.7347427 50.1282812, 8.7344571 50.1282156, 8.7344584 50.1282133, 8.7343446 50.1281875, 8.7343424 50.1281902, 8.7343442 50.1281907, 8.7343244 50.128211, 8.7343588 50.1282246, 8.7343141 50.1283059))",,,,,,,,,,,,,,,,,no,,,,,,,,,"[1758779921, 1758779923, 1758779920, 10221556193, 10221556192, 1758779917, 10221556191, 1758779914, 1758779918, 10221556196, 1758779921]",yes,,,,,,,,,,,,,,,
way,402520743,,,,,,community_centre,,Sankt Lioba,,,Mo 11:30-13:00; We 14:30-16:00,,,"POLYGON ((8.6609121 50.1891932, 8.6609116 50.1890664, 8.6606734 50.1890668, 8.6606727 50.1889006, 8.6606725 50.1888406, 8.6607559 50.1888405, 8.6607558 50.1888174, 8.6607557 50.1887942, 8.6608204 50.1887941, 8.66082 50.1887013, 8.6608196 50.1886033, 8.6609188 50.1886021, 8.6610682 50.1886986, 8.6610373 50.1887182, 8.6611138 50.1887677, 8.6611325 50.1887798, 8.6611634 50.1887602, 8.6613452 50.1888777, 8.6611841 50.1889799, 8.6611568 50.1889972, 8.6611904 50.1890168, 8.6609121 50.1891932))",,religious,Katholische Kirche,limited,fence,,,,,,,,,,,,,,,,,,,,,"[4049167561, 4049167559, 4049167560, 4051440141, 4049167555, 4049167554, 4049167552, 4049167550, 4049167549, 4049167542, 4053391697, 4053391696, 4053391702, 4049167543, 4053391704, 4049167547, 4049167546, 4049169069, 4053391711, 4049169076, 4049169077, 4049167561]",,,,,,,,,,,,,catholic,christian,,
way,433495887,Frankfurt am Main,DE,80,65929,Windthorststraße,community_centre,,,,,,,http://www.sozpaed-verein.de,"POLYGON ((8.5496447 50.1117041, 8.549518 50.1121877, 8.5497295 50.112208, 8.5498534 50.1117265, 8.5496447 50.1117041))",,family,Sozialpädagogischer Verein zur familienergänzenden Erziehung e.V.,yes,,,,,,,,,,,,,,,,,,,,,,"[677528350, 4322048147, 4322048148, 2076313300, 677528350]",yes,,,,,,,,,,,,,,,
way,651543120,Frankfurt am Main,,2-4,60488,Bachmannstraße,community_centre,,Brotfabrik,,,24/7,,https://brotfabrik.info,"POLYGON ((8.6259382 50.1315487, 8.625807 50.1314261, 8.6256482 50.131251, 8.6258468 50.1311413, 8.6260301 50.131266, 8.6260611 50.1312868, 8.6263134 50.1314372, 8.6263401 50.1314485, 8.6264336 50.1315028, 8.6262915 50.1316809, 8.6262396 50.1317248, 8.6260395 50.1316397, 8.6259382 50.1315487))",,,,limited,,,wlan,,,,,,,,,,,,,,,,Die Brotfabrik im Stadtteil Hausen von Frankfurt am Main ist ein selbstverwaltete Einrichtung in einer ehemaligen Brotfabrik,,,"[1732146339, 1681301268, 1681301266, 1123869140, 534311519, 534311515, 534311534, 534311562, 3221954379, 534311540, 534311545, 534311536, 1732146339]",,,,,,,,,,Q990765,,de:Brotfabrik (Frankfurt am Main),,,,
way,776530562,Frankfurt am Main,,15,,Ratsweg,community_centre,,Fanhaus am Ostpark,,,,,https://www.fsv-fanprojekt.de/,"POLYGON ((8.7207379 50.122993, 8.7207357 50.1229422, 8.7206249 50.1229442, 8.7206271 50.1229949, 8.7207379 50.122993))",,,Fanprojekt FSV Frankfurt,,,2023-03-04,,,,,,,,,,,no,,,,,,,,,"[7245324200, 7245324201, 7245324202, 7245324203, 7245324200]",yes,1,,,,,fan,,,,,,,,,
way,1155397992,,,,,,community_centre,,Jugendbüro Eschersheim,,,,,,"POLYGON ((8.665401 50.1546604, 8.6654329 50.1545945, 8.6655813 50.1546233, 8.6655486 50.1546884, 8.665401 50.1546604))",youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,"[10744918760, 10744918762, 10744918763, 10744918761, 10744918760]",yes,,,,,,,,,,,,,,,
relation,15414470,Frankfurt am Main,DE,22,60433,Alt-Eschersheim,community_centre,,Ev. Emmausgemeinde Frankfurt-Eschersheim,,,,,,"MULTIPOLYGON (((8.653654 50.1594122, 8.6538005 50.1595018, 8.6538868 50.1594438, 8.6537402 50.1593543, 8.653654 50.1594122)), ((8.6536614 50.1592299, 8.653505 50.1593292, 8.653619 50.1594028, 8.6537754 50.1593035, 8.6536614 50.1592299)))",parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,"[[[331837922, 331837926, 331837935, 331837924, 331837922], [8266469775, 8266469774, 8266469773, 8266469772, 8266469775]]]",yes,,,,,,,,,,,,protestant,,"[30113206, 889177853]",multipolygon
