element_type,osmid,geometry,amenity,brothel:eros_center,name,ref,toilets:wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,level,addr:country,phone,shop,website,wheelchair,fixme,source,contact:email,contact:phone,contact:website,office,short_name,wikidata,wikipedia,building,building:levels,building:use,man_made,description,historic,power,nodes,alt_name,height,layer,note,smoking,start_date,addr:housename,building:cladding,building:facade:material,building:levels:underground,roof:shape,wikimedia_commons,building:roof,tourism,nohousenumber,brand,brand:wikidata,brand:wikipedia,email,fax,internet_access,rooms,old_name,building:part,operator,official_name,roof:levels,building:colour,roof:colour,building:material,operator:wikidata,operator:wikipedia,telecom,brothel:saunaclub,name:shs,wheelchair:description,opening_hours:signed,area,noname,emergency,toilets,compressed_air,fuel:cng,fuel:diesel,fuel:e10,fuel:lpg,fuel:octane_95,fuel:octane_98,source:geometry,automated,self_service,year_of_construction,architect,heritage,heritage:operator,internet_access:fee,name:he,seamark:landmark:conspicuity,seamark:landmark:name,seamark:type,disused:amenity,disused:name,outdoor_seating,healthcare,second_hand,roof:orientation,generator:method,generator:output:hot_water,generator:source,architect:wikidata,building:architecture,building:min_level,noaddress,check_date,disused:shop,source:outline,craft,type,ways,addr:suburb,defibrillator:location
way,174435268,"POLYGON ((8.6695561 50.1106509, 8.6695185 50.1106344, 8.66948 50.1106178, 8.6694397 50.1105971, 8.6694069 50.1105783, 8.6693897 50.1105663, 8.6693689 50.1105505, 8.6693471 50.1105338, 8.669322 50.1105127, 8.6693019 50.1104906, 8.6692792 50.110466, 8.6692647 50.1104455, 8.6692508 50.1104239, 8.6692368 50.110398, 8.6692242 50.1103684, 8.6692144 50.110339, 8.6692087 50.110314, 8.6692052 50.1102875, 8.6692046 50.1102639, 8.6692051 50.110238, 8.6692083 50.1102128, 8.6692129 50.1101909, 8.6692201 50.1101648, 8.6692291 50.1101419, 8.6692364 50.1101259, 8.6695441 50.1102127, 8.6695389 50.1102365, 8.6695369 50.1102573, 8.6695367 50.1102793, 8.669541 50.1102991, 8.6695468 50.1103184, 8.6695562 50.1103382, 8.6695682 50.1103573, 8.6695834 50.1103754, 8.6696007 50.1103938, 8.6696158 50.1104072, 8.6696334 50.1104198, 8.6696522 50.1104309, 8.669672 50.1104426, 8.6696916 50.110452, 8.6696845 50.1104643, 8.6696277 50.1105474, 8.6695561 50.1106509))",,,Skyper,,,Frankfurt am Main,2,60329,Taunusstraße,,,,,,,yes,,,,,,,,Q166893,de:Skyper (Frankfurt am Main),commercial,39,,,,,,"[1851241885, 1851241883, 1851241881, 9844800871, 1851241878, 9844800872, 1851241877, 9844800873, 1851241874, 9844800874, 1851241871, 9844800875, 1851241868, 9844800876, 1851241864, 9844800877, 1851241861, 1851241858, 1851241842, 1851241835, 9844800878, 1851241830, 1851241827, 1851241823, 1851241821, 1851241829, 1851241831, 9844800879, 1851241834, 1851241840, 1851241844, 1851241856, 1851241860, 1851241862, 1851241863, 1851241865, 1851241866, 9844800880, 1851241867, 1851241869, 1851241887, 1851241882, 1851241885]",,154,,,,2004,,,,,flat,Category:Skyper (Frankfurt am Main),,,,,,,,,,,,,Allianz Real Estate GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,174457133,"POLYGON ((8.6635075 50.1099986, 8.6635525 50.109953, 8.6636317 50.1099668, 8.6636518 50.1099746, 8.6637338 50.1098913, 8.6636371 50.1097545, 8.6635207 50.1097706, 8.6634977 50.109774, 8.6633883 50.1098897, 8.6634416 50.109998, 8.6634828 50.1099891, 8.6635075 50.1099986))",,,,,,Frankfurt am Main,19,60329,Karlstraße,,,,,,,,,,,,,,,,,commercial,13,,,,,,"[528920369, 528920307, 9844484602, 528920306, 1851421745, 1851421720, 9844484604, 9844484605, 1851421747, 1851421763, 9844484601, 528920369]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,174501336,"POLYGON ((8.6757833 50.1116369, 8.6757978 50.1116483, 8.6758748 50.1116637, 8.6759309 50.1116738, 8.6760019 50.1116383, 8.6759839 50.1116228, 8.6760449 50.1115942, 8.6760005 50.1115623, 8.6759023 50.1116116, 8.675865 50.111609, 8.6758209 50.1115718, 8.6758271 50.1115478, 8.6759247 50.1114982, 8.6758723 50.1114554, 8.6756805 50.1115504, 8.6757833 50.1116369))",,,,,,Frankfurt am Main,,60311,Kaiserstraße,,,,,,,,,,,,,,,,,commercial,5,,,,,,"[1851742745, 9833466958, 1851742749, 9833466947, 9833466957, 9833466948, 9833466956, 1851742707, 1851742719, 1851742717, 1851742709, 1851742706, 1851742684, 1851742674, 1851742705, 1851742745]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,174501399,"POLYGON ((8.676254 50.1115271, 8.6760596 50.1113632, 8.6758917 50.111446, 8.6758723 50.1114554, 8.6759247 50.1114982, 8.6760005 50.1115623, 8.6760449 50.1115942, 8.6760687 50.1116131, 8.6760683 50.1116149, 8.6760684 50.1116168, 8.6760703 50.1116191, 8.6760725 50.1116203, 8.6760752 50.1116214, 8.6760789 50.1116218, 8.6760832 50.1116213, 8.6760925 50.1116045, 8.6761404 50.1115814, 8.676254 50.1115271))",,,,,,Frankfurt am Main,6,60311,Kaiserstraße,,,DE,,,,,,,,,,,,,,commercial,7,,,,,,"[1851742703, 1851742637, 1851742673, 1851742674, 1851742684, 1851742707, 9833466956, 9833466955, 9833466950, 9833466954, 9833466953, 9833466949, 9833466952, 9833466951, 1851742736, 9833466959, 1851742710, 1851742703]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,174789444,"POLYGON ((8.6749472 50.1122223, 8.6752103 50.1121512, 8.6752966 50.1121273, 8.6753583 50.1121105, 8.6753916 50.1121072, 8.675788 50.1122446, 8.6758277 50.1123934, 8.6758713 50.1125541, 8.6751671 50.1126914, 8.6749472 50.1122223))",bank,,Deutsche Bank,,,Frankfurt am Main,18,60311,Roßmarkt,,,,,,,,,,,,,,,,,commercial,,,,,,,"[6223229606, 2546693941, 5651908752, 9831922580, 1854476402, 1854476427, 2546693936, 1854476521, 1854476567, 6223229606]",,,,,,,,,,,,,,,,Deutsche Bank,Q66048,en:Deutsche Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,174792873,"POLYGON ((8.6756313 50.10907, 8.6752713 50.1089845, 8.6750787 50.1089395, 8.6750552 50.1089332, 8.6751397 50.1087794, 8.6751149 50.1087737, 8.675157 50.1087012, 8.6751794 50.1087069, 8.6752491 50.1085828, 8.6752743 50.1085882, 8.6758092 50.1087108, 8.67583 50.1087156, 8.6756313 50.10907))",,,Gerlinghaus,,,Frankfurt am Main,14-18,60311,Neue Mainzer Straße,,,,,,,,,,,,,,,,,commercial,,,,,,,"[1854521295, 2029222915, 1854521280, 9244483589, 9833587845, 9833587842, 9833587843, 9833587844, 9244483586, 9244483584, 9244483581, 9244483585, 1854521295]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,174815779,"POLYGON ((8.6858643 50.1130988, 8.6857562 50.112801, 8.6858886 50.1127788, 8.685947 50.1129295, 8.6859976 50.1130792, 8.6858643 50.1130988))",,,Medienzentrum Frankfurt e.V.,,,Frankfurt am Main,89,60311,Fahrgasse,,,DE,,,,,,,,,,,,,,commercial,2,,,,,,"[1854740889, 1854740786, 1854740783, 9836464798, 1854740876, 1854740889]",,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180362583,"POLYGON ((8.7067754 50.1166463, 8.7067198 50.1165892, 8.7067065 50.1165944, 8.7064121 50.1167131, 8.7064233 50.1167246, 8.7064933 50.1167964, 8.706499 50.1168023, 8.7066372 50.1167468, 8.7066699 50.1167337, 8.706807 50.1166787, 8.7067754 50.1166463))",,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[9815818157, 1613431075, 9239213772, 292613640, 9815818137, 9815818142, 9815818147, 9815818143, 9815818146, 9815818158, 9815818157]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,181372621,"POLYGON ((8.6430361 50.1229463, 8.6429552 50.1230162, 8.6430032 50.123039, 8.6430129 50.1230305, 8.6430231 50.1230218, 8.64317 50.1230916, 8.6431931 50.1230717, 8.643231 50.1230389, 8.6430361 50.1229463))",,,,,,Frankfurt am Main,69,60487,Leipziger Straße,,,,,,,,,,,,,,,,,commercial,2,,,,,,"[330334527, 1918017605, 1918017615, 1918017618, 1918017609, 1918017621, 2729054498, 1918017612, 330334527]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,183060777,"POLYGON ((8.6743137 50.1114764, 8.6742969 50.1114703, 8.6742867 50.111464, 8.6742227 50.1114075, 8.6742194 50.1114044, 8.6742222 50.1114033, 8.6741748 50.1113577, 8.6741333 50.1113153, 8.6741003 50.1112797, 8.6740356 50.1111991, 8.673989 50.1111345, 8.673985 50.1111351, 8.6739841 50.1111323, 8.6739456 50.1110724, 8.6739423 50.1110648, 8.6739402 50.1110541, 8.6739413 50.1110434, 8.6739444 50.1110339, 8.6739507 50.1110244, 8.6739589 50.1110158, 8.6739699 50.1110078, 8.6739803 50.111002, 8.6739907 50.1109977, 8.6739987 50.1109947, 8.6740083 50.1109926, 8.6740224 50.1109904, 8.6741241 50.1109829, 8.6741261 50.1109859, 8.6741354 50.1109857, 8.674195 50.1109832, 8.6742553 50.1109812, 8.6743236 50.1109804, 8.6744031 50.1109823, 8.6744742 50.1109837, 8.674541 50.1109872, 8.6745987 50.1109903, 8.6746062 50.1109907, 8.6746081 50.1109885, 8.6747059 50.1109969, 8.6747244 50.1109991, 8.6747422 50.1110054, 8.674757 50.1110128, 8.67477 50.1110225, 8.6747791 50.1110324, 8.6747865 50.1110453, 8.6747883 50.1110569, 8.674787 50.1110754, 8.67474 50.1111418, 8.6747354 50.1111409, 8.6747141 50.1111714, 8.6746804 50.1112131, 8.674638 50.1112625, 8.6745949 50.1113068, 8.674554 50.1113486, 8.6744895 50.1114056, 8.6744929 50.1114079, 8.6744223 50.1114658, 8.6744074 50.1114734, 8.6743885 50.1114784, 8.6743722 50.1114808, 8.6743531 50.1114818, 8.6743331 50.1114803, 8.6743137 50.1114764))",,,Commerzbank Tower,,,Frankfurt am Main,16,60311,Kaiserstraße,,,DE,,,,,,WSV,,,,,,Q151765,de:Commerzbank Tower,commercial,,,,,,,"[1851644202, 863709706, 863709979, 1934208709, 9833467059, 9833467058, 9833467057, 863758208, 1414949624, 9833467056, 9833467055, 9833467054, 863709738, 1851644197, 863709970, 9833467029, 1851644196, 9833467028, 102741588, 9833467027, 1851644191, 9833467026, 9833467025, 9833467024, 863709835, 9833467023, 863709901, 1414949614, 9833467031, 2841489451, 863758210, 9833467032, 863709891, 9833467033, 863758222, 9833467005, 1414949615, 9833467006, 863709636, 2841489450, 9833467034, 863709934, 1851644192, 9833467035, 102741587, 863709683, 863709750, 9833467022, 1414949622, 863758228, 9833467021, 863709848, 9833467020, 863758225, 1414949625, 863709796, 863709886, 1851644201, 9833467062, 9833467063, 9833467064, 102741589, 1851644202]",,259,,,,1997,,,,,,Category:Commerzbank Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מגדל קומרצבנק,conspicuous,Hochhaus,landmark,,,,,,,,,,,,,,,,,,,,,
way,192308138,"POLYGON ((8.6432357 50.1938257, 8.6434656 50.1940173, 8.643113 50.1941907, 8.6428719 50.1939897, 8.641757 50.1945379, 8.6415387 50.1943559, 8.6426844 50.1937925, 8.6422528 50.1934328, 8.6425934 50.1932653, 8.6430378 50.1936357, 8.6437058 50.1933073, 8.6439226 50.193488, 8.6432357 50.1938257))",,,Mercedes-Benz Nutzfahrzeugzentrum FrankfurtRheinMain,,,,33,60437,Heinrich-Lanz-Allee,,,DE,,car,https://www.mercedes-benz-frankfurt.de/,,,,,,,,,,,commercial,,,,,,,"[2028655607, 2028655612, 2028655617, 2028655611, 2028655624, 2028655618, 2028655606, 2028655599, 2028655597, 2028655601, 2028655593, 2028655598, 2028655607]",,,,,,,,,,,,,,,,Mercedes-Benz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,196992936,"POLYGON ((8.5209935 50.0905927, 8.5210699 50.0906241, 8.5211509 50.0905433, 8.5210745 50.0905118, 8.5209935 50.0905927))",,,Riga Mainz GmbH&Co. KG,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[2072893133, 2072893110, 2072893217, 2072893162, 2072893133]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,199983360,"POLYGON ((8.5843836 50.0232421, 8.5845142 50.0231941, 8.5846744 50.0233739, 8.5845438 50.0234219, 8.5843836 50.0232421))",,,583a,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[2099636562, 2099636549, 2099636603, 2099636624, 2099636562]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200570626,"POLYGON ((8.5962796 50.0548064, 8.5957979 50.0548351, 8.5957195 50.0542923, 8.5960153 50.0542747, 8.5959867 50.0540766, 8.5957119 50.054093, 8.595695 50.0539756, 8.5961511 50.0539484, 8.5962287 50.0544861, 8.5959762 50.0545011, 8.596003 50.0546873, 8.5962602 50.054672, 8.5962796 50.0548064))",,,,,,Frankfurt am Main,10,60549,De-Saint-Exupéry-Straße,,,DE,,,,,,,,,,,,,,commercial,6,,,,,,"[2105401856, 2105401858, 2105401845, 2105401843, 2105401830, 2105401832, 2105401828, 2105401825, 2105401849, 2105401851, 1614238378, 2105401854, 2105401856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,221373196,"POLYGON ((8.4927467 50.096406, 8.4927051 50.0964293, 8.4925546 50.0965113, 8.4926486 50.0965812, 8.4928398 50.096476, 8.4928048 50.0964497, 8.4927467 50.096406))",,,Autoservice Paffhausen,,,Frankfurt am Main,30,65931,Saalfelder Straße,,,,,,,,,,,,,,,,,commercial,1,,,,,,"[2303997078, 7088106699, 2303997098, 2303997104, 2303997091, 2303997085, 2303997078]",,5,,,,,,,,,,,,,,,,,,,,,,,Manuel Paffhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230033517,"POLYGON ((8.6441102 50.0972429, 8.6437301 50.0971266, 8.6434575 50.097493, 8.6438377 50.0976093, 8.6441102 50.0972429))",,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[1001277730, 1001279152, 1001277122, 1001277542, 1001277730]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231452045,"POLYGON ((8.6658052 50.1070486, 8.6661167 50.1071266, 8.6661195 50.1071221, 8.6661887 50.107009, 8.6658807 50.1069311, 8.6658052 50.1070486))",,,,,,Frankfurt am Main,56,60329,Münchener Straße,,,,,,,,,,,,,,,,,commercial,6,,,,,,"[620856255, 9842543402, 620856254, 620856257, 2398390625, 620856255]",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,233011269,"POLYGON ((8.7659828 50.1335128, 8.7659678 50.1335566, 8.7647789 50.1333863, 8.7648776 50.1331016, 8.7650836 50.1331306, 8.7651006 50.1330822, 8.7651419 50.1330636, 8.765215 50.1330742, 8.7652905 50.132867, 8.7654096 50.1328855, 8.7654111 50.1328818, 8.7657694 50.1329339, 8.7658276 50.1329417, 8.7657106 50.1332793, 8.7657707 50.1332877, 8.7657724 50.1332834, 8.765785 50.1332854, 8.7657835 50.1332893, 8.7659046 50.1333069, 8.7659066 50.1333018, 8.7659198 50.1333039, 8.7659182 50.1333087, 8.7659728 50.1333163, 8.7659744 50.1333118, 8.7659875 50.1333136, 8.7659859 50.1333181, 8.766047 50.1333266, 8.7659828 50.1335128))",,,,,,Frankfurt am Main,555,60386,Hanauer Landstraße,,,,,,,,,,,,,,,,,commercial,,,,,,,"[615589976, 10229663784, 615589862, 615589863, 10229663783, 615589864, 10229663781, 10229663782, 615589865, 10229663864, 10229663865, 615589899, 615589886, 615589925, 10229663777, 10229663776, 10229663775, 2413496314, 10229663778, 10229663774, 10229663773, 2413496315, 10229663779, 10229663772, 10229663771, 10229663780, 2413496317, 615589976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,235618705,"POLYGON ((8.6282062 50.1168564, 8.628181 50.1168302, 8.6281633 50.1168115, 8.6281754 50.116807, 8.6281627 50.116794, 8.6281506 50.1167981, 8.6281345 50.1167797, 8.6281092 50.1167508, 8.6283212 50.1166774, 8.6286236 50.1165308, 8.6286739 50.1165709, 8.6286216 50.1165971, 8.6286608 50.1166402, 8.6287877 50.1165961, 8.6288294 50.1166429, 8.6288163 50.1166479, 8.6288282 50.1166607, 8.6288421 50.1166565, 8.6288825 50.1167005, 8.6286747 50.1167754, 8.6286161 50.1168044, 8.6283687 50.1169243, 8.6283155 50.1168824, 8.6283693 50.1168575, 8.6283299 50.1168133, 8.6282062 50.1168564))",,,St. Martin Tower,,,Frankfurt am Main,61,60486,Franklinstraße,,,,,,https://www.stmartintower.de/,,,eig. Beobachtung,,,,,,Q15129939,de:St Martin Tower,commercial,,,,,,,"[2436912324, 3725666352, 3723464075, 3723464074, 3723464071, 3723464072, 3725666350, 2436912322, 3723464068, 2436912321, 3723464060, 3723464062, 3723464063, 3723464061, 3723464064, 3723464065, 3723464067, 3723464066, 2436912323, 3723464070, 3723464073, 3723464085, 3723464081, 3723464078, 3723464076, 2436912324]",,70,,,,,,,,,,,,,,,,,,,,,City West Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237112045,"POLYGON ((8.6874867 50.1627633, 8.6877896 50.1628637, 8.6878785 50.1627536, 8.6875756 50.1626532, 8.6874867 50.1627633))",,,,,,Frankfurt am Main,13,60433,August-Schanz-Straße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[319199242, 319199248, 319199254, 2450612383, 319199242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237112046,"POLYGON ((8.6872937 50.1630025, 8.6874568 50.1630565, 8.6874121 50.163112, 8.6875614 50.1631614, 8.6877538 50.162923, 8.6876045 50.1628736, 8.6875048 50.1629971, 8.6873416 50.162943, 8.6872937 50.1630025))",,,,,,Frankfurt am Main,13a,60433,August-Schanz-Straße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[319199267, 319199268, 319199229, 319199230, 319199231, 319199232, 319199233, 2450612399, 319199267]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237112047,"POLYGON ((8.6868374 50.1624916, 8.6865589 50.1628424, 8.6867508 50.1629049, 8.6870293 50.1625541, 8.6868374 50.1624916))",,,,,,Frankfurt am Main,17,60433,August-Schanz-Straße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[2450612377, 319199270, 2450612395, 2450612379, 2450612377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,247582274,"POLYGON ((8.6275805 50.0791336, 8.6270712 50.0790836, 8.6271273 50.0788484, 8.6269464 50.0788307, 8.6268632 50.0791797, 8.6275533 50.0792474, 8.6275805 50.0791336))",,,Campus Caree,,,Frankfurt am Main,7,60528,Rhonestraße,,,,,,,,,,,,,,,,,commercial,7,,,,,,"[2544699795, 1211955664, 1211953556, 1211955902, 1211953676, 2544699798, 2544699795]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,249893974,"POLYGON ((8.6672445 50.128984, 8.6672851 50.1288628, 8.6675882 50.1289045, 8.6675718 50.1289534, 8.6676113 50.1289588, 8.6676528 50.1289645, 8.6676688 50.1289166, 8.6679696 50.128958, 8.6679528 50.1290083, 8.6679293 50.1290783, 8.6672445 50.128984))",,,Landesbetrieb Bau und Immobilien Hessen,,,Frankfurt am Main,3,60323,Lübecker Straße,,,,,,https://lbih.hessen.de,,,,,,,,,,,commercial,2,,,,,,"[2564313592, 2564313593, 2564313594, 2564313595, 7060416852, 2564313596, 2564313597, 2564313598, 7060255115, 2564313599, 2564313592]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,260111773,"POLYGON ((8.6933658 50.0962054, 8.6933714 50.096208, 8.693376 50.0962036, 8.6934505 50.096239, 8.6934456 50.0962433, 8.6935521 50.0962942, 8.6935936 50.0962605, 8.6936122 50.0962694, 8.6936088 50.096274, 8.6936084 50.0962786, 8.6936106 50.0962829, 8.6936137 50.0962857, 8.6936189 50.0962883, 8.6936262 50.0962897, 8.6936316 50.0962893, 8.6936381 50.0962878, 8.6936434 50.0962846, 8.6936622 50.0962937, 8.6936223 50.0963278, 8.693748 50.0963884, 8.6939072 50.0962369, 8.6938341 50.0962011, 8.6940951 50.0959768, 8.6939425 50.0959032, 8.6936815 50.0961282, 8.6935125 50.0960476, 8.6933658 50.0962054))",,,,,,Frankfurt am Main,7,60599,Aschaffenburger Straße,,,,,,,,,,,,,,,,,commercial,5,,,,,,"[2656022006, 9856613268, 9856613269, 9856613270, 9856613271, 9856613277, 9856613274, 9856613273, 9856613267, 9856613265, 9856613263, 9856613261, 9856613260, 9856613262, 9856613264, 9856613266, 9856613272, 9856613275, 9856613276, 2656022007, 2800964605, 2656022008, 2800965061, 2800889068, 2656022009, 2800889066, 2656022006]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,262721373,"POLYGON ((8.7252449 50.1322975, 8.7251803 50.1322502, 8.7253309 50.1321657, 8.7254502 50.1320988, 8.7255148 50.1321461, 8.7252449 50.1322975))",,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[2683736206, 2683736202, 4019706191, 2683736187, 2683736191, 2683736206]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HiRes aerial imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,265286571,"POLYGON ((8.6328132 50.1082992, 8.6330344 50.1083284, 8.6330627 50.108357, 8.6330494 50.1083735, 8.6330981 50.1083897, 8.6333535 50.1082124, 8.6332463 50.1082154, 8.6331082 50.1082637, 8.6329114 50.1082639, 8.6328132 50.1082992))",,,,,yes,Frankfurt am Main,11,60486,Pariser Straße,,,,,,,yes,,,,,,,,,,commercial,1,,,,,,"[2709568775, 7577907984, 2709568780, 2709568785, 2709568788, 2709568761, 2709568765, 2709568766, 2709568769, 2709568775]",,,,,,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurant,Laube Liebe Hoffnung,yes,,,,,,,,,,,,,,,,,,
way,268011358,"POLYGON ((8.644522 50.1182313, 8.6446572 50.1181295, 8.6446685 50.1181193, 8.6445382 50.1180492, 8.6445239 50.1180598, 8.6444002 50.1181658, 8.644522 50.1182313))",,,,,,Frankfurt am Main,92,60486,Schloßstraße,,,,,,,,,,,,,,,,,commercial,,,,,,,"[2733806871, 6954553925, 2733806857, 2733806847, 1872279039, 2733806866, 2733806871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,275467572,"POLYGON ((8.6939893 50.0952183, 8.6937316 50.0950742, 8.6938603 50.0949785, 8.6941215 50.0951245, 8.6939893 50.0952183))",,,Haustrunk,,,Frankfurt am Main,25,60599,Aschaffenburger Straße,,,,,,,,,,,,,,,,,commercial,1,,,,,,"[2800889070, 2800893303, 2800888958, 2800885424, 2800889070]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,279950182,"POLYGON ((8.6730841 50.1147768, 8.6729755 50.1147999, 8.6729627 50.1148009, 8.6729485 50.1148002, 8.6729377 50.1147976, 8.6729316 50.1147933, 8.6729275 50.1147896, 8.6729227 50.1147843, 8.6729196 50.1147773, 8.6729201 50.1147706, 8.6729215 50.1147662, 8.6729251 50.114761, 8.6729295 50.1147573, 8.6730305 50.1146806, 8.6730841 50.1147768))",,,Goethe 34,,,Frankfurt am Main,34,60313,Goethestraße,,,DE,,,,,,,,,,,,,,commercial,6,,,,,,"[1852775135, 2841309967, 3730265272, 3730265271, 3730265270, 3730265269, 3730265268, 9831930239, 3730265267, 3730265266, 9831930238, 3730265265, 2841309968, 1852775124, 1852775135]",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285934956,"POLYGON ((8.6239172 50.0790585, 8.6236489 50.0790341, 8.6235795 50.0790276, 8.6235248 50.0792691, 8.6236161 50.0792776, 8.6237397 50.0792888, 8.6237326 50.079321, 8.6237523 50.0793114, 8.623768 50.0793247, 8.6237752 50.0792921, 8.6238636 50.0793001, 8.6239172 50.0790585))",,,,,,,34,,Lyoner Straße,,,,,,,,,,,,,,,,,commercial,,,,,,,"[2895726559, 290865241, 290865236, 290865240, 1211953733, 2895726564, 2895726568, 2895726567, 2895726569, 2895726565, 2895726566, 2895726559]",,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
