element_type,osmid,barrier,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:fax,contact:phone,contact:website,isced:level,name,operator,operator:type,ref,wheelchair,alt_name,wikidata,addr:country,preschool,school:type,description,email,office,opening_hours,phone,website,grades,after_school,min_age,note,isced,nodes,name:etymology:wikidata,toilets:wheelchair,wikipedia,start_date,landuse,area,fence,name:en,religion,loc_name,short_name,wikipedia:de,addr:housename,building,building:levels,roof:levels,ref:AEFE,old_name,construction,wheelchair:description,alt,roof:shape,capacity,fee,image,name:fr,name:de,name:etymology,ways,type
way,4805829,,"POLYGON ((8.62559 50.1581655, 8.6249257 50.1580527, 8.6234703 50.1577946, 8.6222202 50.1575863, 8.6221147 50.1578826, 8.622025 50.1581344, 8.6219351 50.1583456, 8.6217473 50.1587865, 8.6215192 50.1593219, 8.6216231 50.1593925, 8.6220395 50.1596754, 8.6225093 50.1598906, 8.6227577 50.1599235, 8.6229874 50.1594026, 8.6231125 50.1594207, 8.6232074 50.1594345, 8.6234634 50.1589699, 8.6234873 50.1589699, 8.6234873 50.1588862, 8.6234876 50.1587472, 8.6235062 50.1586923, 8.6235416 50.1586869, 8.6236768 50.1584358, 8.6242769 50.1585234, 8.6253443 50.1587142, 8.62559 50.1581655))",Frankfurt am Main,126,60439,Praunheimer Weg,school,list-frf-contact@eursc.eu,+49 69 92887474,+49 69 9288740,https://www.esffm.org/,1;2A;3A,Europäische Schule Frankfurt,Europäische Mitgliedsstaaten,private,,yes,,Q3577985,DE,,,,,,,,https://www.esffm.org/,,,,,,"[2636048592, 3695650498, 2636048590, 2636048587, 1471971080, 293897444, 1471971103, 3695650934, 30844642, 1471971177, 1471971202, 1471971221, 30844641, 3695650937, 7710306823, 3695650938, 3344311433, 9993248041, 339193390, 1471971124, 9993248040, 339193392, 356775451, 2967899838, 30844595, 2636048592]",,,"en:European School, Frankfurt am Main",,,,yes,European School Frankfurt,,,,,,,,,,,,,,,,,,,,,,
way,4805834,,"POLYGON ((8.625466 50.1597968, 8.6240345 50.159804, 8.6233685 50.1596952, 8.6228764 50.1599307, 8.6227577 50.1599235, 8.6229874 50.1594026, 8.6231125 50.1594207, 8.6232074 50.1594345, 8.6234634 50.1589699, 8.6234873 50.1589699, 8.6234873 50.1588862, 8.6234876 50.1587472, 8.6235062 50.1586923, 8.6235416 50.1586869, 8.6236768 50.1584358, 8.6242769 50.1585234, 8.6253443 50.1587142, 8.6260522 50.158842, 8.625466 50.1597968))",Frankfurt am Main,17a,60439,Hammarskjöldring,school,poststelle.ernst-reuter-schule-ii@stadt-frankfurt.de,+49 69 21232083,+49 69 21235531,https://www.ersii.de/,2A,Ernst-Reuter-Schule II,Stadt Frankfurt am Main,public,6059,yes,,,DE,,,,,,,,,,,,,,"[8328284595, 8328284596, 30844639, 2636048652, 30844641, 3695650937, 7710306823, 3695650938, 3344311433, 9993248041, 339193390, 1471971124, 9993248040, 339193392, 356775451, 2967899838, 30844595, 2636048618, 8328284595]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,4805840,,"POLYGON ((8.6125074 50.1632226, 8.6126332 50.1631433, 8.6126083 50.1630579, 8.6126364 50.1629846, 8.6127941 50.1629132, 8.6126848 50.1625445, 8.6123154 50.1622205, 8.6124035 50.1621828, 8.6115275 50.1614742, 8.6108265 50.1618201, 8.6125074 50.1632226))",Frankfurt am Main,240a,60439,Gerhart-Hauptmann-Ring,school,poststelle.mosaikschule@stadt-frankfurt.de,+49 69 21270040,+49 69 21270277,http://www.mosaikschule-ffm.de/,1;2A,Mosaikschule,Stadt Frankfurt am Main,public,4606,yes,,,DE,,,,,,,,,,,,,,"[30844704, 9990788318, 9990788319, 9990788320, 30844701, 107601537, 9990788321, 9990788322, 30844702, 30844703, 30844704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4805847,,"POLYGON ((8.62174 50.1622946, 8.6206873 50.1615932, 8.6209205 50.160765, 8.6211386 50.1607689, 8.6226064 50.1618173, 8.6220974 50.1621519, 8.62174 50.1622946))",Frankfurt am Main,44,60439,Praunheimer Weg,school,poststelle.erich-kaestner-schule@stadt-frankfurt.de,+49 69 21232744,+49 69 21234515,http://www.eks-ffm.de/,1,Erich Kästner Schule,Stadt Frankfurt am Main,public,3155,,,Q116494189,DE,,,,,,,,,,,,,,"[2636048716, 344145718, 344145711, 30844720, 1547786266, 1547786268, 2636048716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4823624,,"POLYGON ((8.6603118 50.153924, 8.660663 50.1536147, 8.6608386 50.1536922, 8.6612295 50.1533413, 8.6613037 50.153276, 8.6622177 50.1537024, 8.6614172 50.1544361, 8.6608643 50.1541836, 8.6603118 50.153924))",Frankfurt am Main,10,60433,Hinter den Ulmen,school,poststelle.ludwig-richter-schule@stadt-frankfurt.de,+49 69 21232746,+49 69 21233942,http://www.ludwigrichterschule.de/,1;2A,Ludwig-Richter-Schule,Stadt Frankfurt am Main,public,3120,,,,DE,,,,,,,,,,,,,,"[31001933, 31001934, 31001935, 10745035149, 31001930, 31001931, 31001932, 277837918, 31001933]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4828860,,"POLYGON ((8.703206 50.1275345, 8.7032171 50.1275298, 8.7032296 50.1275274, 8.7032412 50.1275262, 8.7032538 50.1275259, 8.7032685 50.1275274, 8.7032825 50.1275317, 8.7035728 50.127678, 8.7036882 50.1277364, 8.7036307 50.1277829, 8.7034452 50.1278788, 8.7034351 50.1278711, 8.7032478 50.1279742, 8.7031026 50.1280499, 8.703114 50.1280577, 8.7024278 50.1284559, 8.7022896 50.12853, 8.7021408 50.1286336, 8.7021314 50.1286287, 8.7020362 50.1286917, 8.7020067 50.1286965, 8.7019653 50.1286712, 8.7016278 50.1284692, 8.7015941 50.1284502, 8.701776 50.1283229, 8.702004 50.128172, 8.7022106 50.1280374, 8.7024037 50.1279192, 8.7025961 50.1278053, 8.7027906 50.1276944, 8.7029806 50.1275872, 8.7030072 50.127608, 8.7031049 50.1275543, 8.7031098 50.1275579, 8.7031354 50.1275432, 8.7031517 50.1275549, 8.7031991 50.1275296, 8.703206 50.1275345))",Frankfurt am Main,54-58,60389,Hartmann-Ibach-Straße,school,igsnordend@web.de,+49 69 21234283,+49 69 21230855,http://www.igs-nordend.de/,2A,IGS Nordend,Stadt Frankfurt am Main,public,6135,yes,Integrierte Gesamtschule Nordend,Q1653608,DE,,,,,,,,,,,,,,"[31045996, 9822666473, 9822666472, 9822666471, 9822666470, 9822666469, 1625070252, 1625070238, 31045999, 9822666456, 9822666452, 9822666451, 1625070304, 1625070328, 9822666479, 9822666480, 1625070456, 9822666481, 9822666455, 9822666454, 31045997, 31510849, 1625070467, 31045998, 9822666462, 9822666461, 9822666463, 9822666458, 9822666459, 9822666457, 9822666468, 9822666467, 9822666474, 9822666466, 9822666465, 9822666464, 1625070211, 31045996]",,yes,de:IGS Nordend,,,,,,no,,,,,,,,,,,,,,,,,,,,,
way,4828874,,"POLYGON ((8.6937241 50.1178871, 8.6939458 50.1180527, 8.6940043 50.1180964, 8.6940922 50.1180343, 8.6943532 50.1181941, 8.6933576 50.1188547, 8.6931336 50.1186889, 8.6925712 50.1182724, 8.6927386 50.1181842, 8.6927534 50.1181788, 8.6927709 50.1181775, 8.6927906 50.1181788, 8.6928138 50.1181856, 8.6929898 50.1183062, 8.6930116 50.1183123, 8.6930297 50.1183146, 8.6930525 50.1183118, 8.693074 50.1183035, 8.6937241 50.1178871))",Frankfurt am Main,10,60316,Hermesweg,school,poststelle.klingerschule@stadt-frankfurt.de,+49 69 21235838,+49 69 21233749,https://www.klingerschule.com/,3B,Klingerschule,Stadt Frankfurt am Main,public,6267,,,,,,,,,,,,,,,,,,"[31046085, 9812585550, 9812585606, 9812585605, 31046086, 31046083, 31041815, 31046084, 314697527, 9812585599, 9812585598, 9812585597, 9812585600, 9812585596, 9812585595, 9812585594, 9812585593, 314697528, 31046085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4833203,,"POLYGON ((8.7283323 50.1425282, 8.7276573 50.1428632, 8.7272175 50.1430518, 8.727248 50.1430817, 8.7272021 50.1430996, 8.7271042 50.1431395, 8.7270317 50.143168, 8.7269643 50.1431956, 8.7268247 50.1432507, 8.7268219 50.1432518, 8.7266039 50.1433397, 8.7265933 50.1433265, 8.7265019 50.1433535, 8.7264063 50.1433817, 8.7262702 50.1434221, 8.7262429 50.1434301, 8.7262259 50.1433617, 8.7262006 50.1431919, 8.7262131 50.1430949, 8.7263872 50.1430615, 8.7263908 50.1430609, 8.7264151 50.1430496, 8.7264596 50.1430442, 8.7265046 50.143021, 8.7265721 50.1429861, 8.7266915 50.1429247, 8.7269451 50.1427934, 8.7268289 50.1427005, 8.7267894 50.1426573, 8.7270408 50.1425185, 8.727017 50.1425022, 8.7279064 50.1420077, 8.7280255 50.1421257, 8.7281974 50.1423128, 8.7282664 50.1423971, 8.728344 50.1424988, 8.7283473 50.1425067, 8.7283455 50.1425141, 8.7283395 50.1425234, 8.7283323 50.1425282))",Frankfurt am Main,124,60389,Wilhelmshöher Straße,school,verwaltung@zentgrafenschule.de,+49 69 21245632,+49 69 21274050,https://www.zentgrafenschule.de/,1,Zentgrafenschule,,,3154,limited,,Q189884,DE,,primary,,,,,,,,,,,,"[31082048, 10210629159, 1784431815, 10210629157, 1298682224, 1298680472, 1298681827, 1298680641, 1787581451, 10210629122, 10210629158, 1298682288, 1298681228, 1298683014, 1298682035, 31082045, 1784431818, 1784431816, 31082046, 1787581372, 1787581371, 10210629156, 1787581365, 10210629133, 1298681710, 1298682158, 248905133, 10210629168, 248905136, 10210629166, 10210629167, 31082047, 10210629165, 10006729070, 10210629160, 10210629164, 10210629161, 10210629162, 10210629163, 31082048]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4886965,,"POLYGON ((8.7208303 50.1336411, 8.7207899 50.1336383, 8.7202262 50.133591, 8.7202366 50.1335512, 8.719757 50.1334935, 8.7198353 50.1332097, 8.7196883 50.1331903, 8.7198401 50.132657, 8.7197696 50.132648, 8.7198832 50.1322364, 8.7200165 50.1322597, 8.7203046 50.1323053, 8.7204455 50.1323276, 8.7205735 50.1323516, 8.7205934 50.1324299, 8.7212788 50.1325102, 8.7209781 50.1334806, 8.7208303 50.1336411))",Frankfurt am Main,10,60386,Am Bornheimer Hang,school,poststelle.charles-hallgarten-schule@stadt-frankfurt.de,+49 6921277050,+49 69 21277010,https://www.charles-hallgarten-schule.de/,1;2A,Charles-Hallgarten-Schule,Stadt Frankfurt am Main,public,4612,,,Q1063396,DE,,,,,,,,,,,,,,"[31722565, 7282897772, 10261254885, 10261254886, 31722562, 10261254889, 10261254890, 10261254888, 1652668270, 31722563, 10261254887, 7282897769, 1652668259, 1785631507, 1785631509, 31722564, 1785631524, 31722565]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4891105,,"POLYGON ((8.6221988 50.1329403, 8.6218476 50.1330552, 8.621531 50.1327239, 8.6216687 50.1325825, 8.6222429 50.1321639, 8.6228974 50.1325792, 8.6221988 50.1329403))",Frankfurt am Main,2,60488,Am Spritzenhaus,school,poststelle.kerschensteinerschule@stadt-frankfurt.de,+49 69 21245190,+49 69 21245192,http://www.kerschensteinerschule-hausen.de/,1,Kerschensteinerschule,Stadt Frankfurt am Main,public,3118,limited,,,,,,,,,,,,,,,,,"[31805549, 117304079, 31805555, 3846269719, 31805561, 31805567, 31805549]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4903605,,"POLYGON ((8.7646714 50.1477847, 8.7644362 50.1479991, 8.7642177 50.1482194, 8.7640192 50.1484516, 8.7638936 50.148621, 8.7638457 50.1486836, 8.7635449 50.1491749, 8.7634391 50.1492964, 8.7630495 50.1492491, 8.7629429 50.1492402, 8.7628283 50.149234, 8.7627171 50.1492323, 8.7626082 50.1492338, 8.7619403 50.1492755, 8.7619099 50.1492768, 8.7618864 50.1492753, 8.7618674 50.1492731, 8.7618535 50.1492707, 8.7618584 50.1492583, 8.7617135 50.1492328, 8.7615236 50.1491001, 8.7609157 50.1489928, 8.7608613 50.1489832, 8.7608534 50.1489892, 8.7608448 50.1489942, 8.7608338 50.148998, 8.7608198 50.1490006, 8.7608071 50.1490008, 8.7607977 50.1490006, 8.7607902 50.1489995, 8.7609111 50.1486464, 8.7609584 50.148657, 8.7613839 50.1476355, 8.761509 50.1473064, 8.7615382 50.1472382, 8.7615432 50.1472269, 8.7615385 50.147226, 8.7615477 50.1472044, 8.7629532 50.1474518, 8.7630541 50.1472198, 8.763162 50.1472816, 8.7634103 50.1474141, 8.7634567 50.1474296, 8.7638184 50.147545, 8.7639749 50.1475819, 8.7646361 50.1477197, 8.7646832 50.1477444, 8.7646714 50.1477847))",Frankfurt am Main,65,60388,Barbarossastraße,school,Poststelle.Schule-am-Ried@stadt-frankfurt.de,+49 69 212 47538,+49 69 21241256,http://www.schule-am-ried.de/,2A,Schule am Ried,Stadt Frankfurt am Main,public,6055,limited,,,DE,,,,,,,,,,,,,,"[32002503, 10248965352, 10248965354, 10248965353, 1674327259, 10248965355, 10248965356, 1674327264, 10248965360, 10248965358, 10248965359, 10248965357, 1674327261, 1674327263, 10248965362, 10248965363, 10248965364, 10248965365, 10248965366, 1674327262, 1674327260, 1314316863, 10248965373, 10248965368, 10248965369, 10248965370, 10248965371, 10248965372, 10248965367, 32002500, 10248965348, 1674327258, 10248965349, 10248965184, 10248965183, 10248965179, 10248965180, 1674327243, 1674327246, 1674327244, 1674327245, 10248965350, 32002502, 10248965351, 1674327249, 1674327251, 1674327252, 32002503]",,,,,,,,,,Riedschule,SaR,,,,,,,,,,,,,,,,,,,
way,4903627,,"POLYGON ((8.7515607 50.1349805, 8.7515642 50.1349953, 8.7515733 50.1350105, 8.7515884 50.1350262, 8.7516091 50.1350404, 8.7516333 50.1350505, 8.7516578 50.1350572, 8.7521702 50.1351553, 8.7523308 50.1350075, 8.753193 50.1351664, 8.7532619 50.135015, 8.7532279 50.1349897, 8.7532007 50.1349663, 8.7531771 50.1349426, 8.7531601 50.1349237, 8.7531427 50.1349027, 8.7531182 50.1348644, 8.7530988 50.1348244, 8.7530901 50.134798, 8.7530824 50.1347657, 8.7530793 50.1347309, 8.7530793 50.1347015, 8.7530827 50.1346708, 8.7530894 50.1346403, 8.7531011 50.13461, 8.7531115 50.1345842, 8.7531271 50.1345592, 8.753146 50.1345302, 8.7531698 50.1345031, 8.753191 50.1344799, 8.7532111 50.13446, 8.7532362 50.1344406, 8.7532627 50.1344221, 8.7532973 50.1343998, 8.7533402 50.1343772, 8.7533821 50.1343572, 8.7534176 50.1343435, 8.7534545 50.134331, 8.7534951 50.1343192, 8.7535397 50.1343082, 8.7535819 50.1343005, 8.7536689 50.1341072, 8.7526317 50.1339383, 8.7517204 50.1338007, 8.7516983 50.1338006, 8.7516829 50.1338025, 8.7516651 50.1338049, 8.751643 50.1338118, 8.7516242 50.1338202, 8.7516088 50.1338309, 8.7515974 50.1338427, 8.751588 50.1338558, 8.7515843 50.1338722, 8.7515424 50.1341129, 8.751529 50.1342483, 8.751521 50.1343953, 8.7515203 50.1345251, 8.7515257 50.1346794, 8.7515397 50.1348324, 8.7515607 50.1349805))",Frankfurt am Main,2,60386,Lauterbacher Straße,school,info@konrad-haenisch-schule.com,,+49 69 21245397,https://konrad-haenisch-schule.de/,1;2A,Konrad-Haenisch-Schule,Stadt Frankfurt am Main,public,3179,no,,,,,,,,,,,,,,,,,"[32002838, 10231413744, 10231413743, 10231413742, 10231413741, 10231413740, 10231413745, 10231413644, 10231413643, 9987827458, 9987827459, 10231413769, 10231413770, 9987827460, 10231413766, 10231413767, 10231413768, 10231413765, 10231413764, 9987827461, 10231413761, 10231413762, 10231413763, 10231413760, 10231413759, 10231413758, 1830008472, 10231413756, 10231413757, 10231413755, 9987827464, 10231413754, 10231413753, 10231413752, 10231413751, 9987827463, 10231413750, 10231413749, 10231413748, 10231413747, 9987827462, 32002836, 9987827465, 1830008043, 10231413732, 10231413733, 10231413734, 10231413735, 10231413736, 10231413737, 10231413738, 10231413739, 32002837, 10231413730, 10231413727, 10231413731, 10231413728, 10231413729, 10231413726, 32002838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4904710,,"POLYGON ((8.6843652 50.1500766, 8.6846561 50.1493836, 8.6851081 50.149455, 8.6854014 50.1487893, 8.6858932 50.1488953, 8.6853523 50.1501172, 8.6847877 50.1501491, 8.6843652 50.1500766))",Frankfurt am Main,34,60435,Engelthaler Straße,school,,+49 69 21238582,+49 69 21238756,https://muenzenbergerschule.de/,1,Münzenbergerschule,Stadt Frankfurt am Main,public,3102,yes,,,,,,,,,,,,,,,,,"[32016572, 32016568, 1800643663, 1800643662, 32016569, 32016570, 32016571, 32016572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4917988,fence,"POLYGON ((8.69132 50.1865614, 8.6912307 50.1865522, 8.691062 50.1865752, 8.6909615 50.186605, 8.6903692 50.18613, 8.6915132 50.1855503, 8.6921806 50.1861281, 8.6919299 50.1862438, 8.6918837 50.1862076, 8.691669 50.1863107, 8.6917331 50.1863594, 8.69132 50.1865614))",Frankfurt am Main,25,60437,In den Schafgärten,school,poststelle@grundschule-harheim.frankfurt.schulverwaltung.hessen.de,+49 69 21244432,+49 69 21244430,http://www.grundschule-harheim.de/,1,Grundschule Harheim,Stadt Frankfurt am Main,public,3654,,,,,,,,,,,,,,,,,,"[32215119, 2475372223, 3328913990, 3328917593, 32215116, 615892142, 32215118, 2475372202, 2475372198, 2475372205, 2475372208, 32215119]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4925531,,"POLYGON ((8.6370606 50.1776918, 8.6378354 50.1775237, 8.6382942 50.1773075, 8.6393015 50.1777709, 8.6374676 50.1782871, 8.6370606 50.1776918))",Frankfurt am Main,15,60438,Zur Kalbacher Höhe,school,poststelle.grundschule-riedberg@stadt-frankfurt.de,+49 69 21273330,+49 69 21273300,http://www.grundschule-riedberg.de/,1,Grundschule Riedberg,Stadt Frankfurt am Main,public,4380,yes,,,,,,,,,,,,,,,,,"[503719844, 4271146567, 32331791, 32331792, 503719845, 503719844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4938199,,"POLYGON ((8.717568 50.1408478, 8.7164511 50.140402, 8.7158704 50.1401218, 8.7154553 50.13994, 8.715096 50.1401562, 8.7147225 50.1403914, 8.7144484 50.1402862, 8.7137883 50.1408074, 8.7161647 50.1416046, 8.7167251 50.1417977, 8.7168346 50.1418168, 8.7169245 50.1418099, 8.717013 50.1417815, 8.7170707 50.141748, 8.7171163 50.1417007, 8.7171699 50.1416096, 8.717568 50.1408478))",Frankfurt am Main,11,60389,Arolser Straße,school,poststelle.friedrich-ebert-schule@stadt-frankfurt.de,+49 69 21247711,+49 69 21247390,https://www.friedrich-ebert-schule.de/,2A,Friedrich-Ebert-Schule,Stadt Frankfurt am Main,public,6097,,,Q1457727,DE,,,,,,,,,,,,,,"[32537079, 10202837567, 10202837566, 32537080, 32569508, 1783770313, 1783770299, 32537081, 432852906, 32537082, 10202861836, 10202861837, 10202861835, 10202861833, 10202861834, 10202861838, 32537079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4948503,,"POLYGON ((8.6367064 50.1166468, 8.6365323 50.1157197, 8.6367657 50.1157014, 8.6367361 50.1155529, 8.638196 50.1154388, 8.6385221 50.1165117, 8.6367064 50.1166468))",Frankfurt am Main,15-19,60486,Pfingstbrunnenstraße,school,poststelle.georg-buechner-schule@stadt-frankfurt.de,+49 69 21239006,+49 69 21234130,http://gbs-ffm.de/,1;2A,Georg-Büchner-Schule,Stadt Frankfurt am Main,public,6002,,,Q48261187,,,,,,,,,,,,,,,"[32622472, 1762339808, 1762339807, 32622469, 1675802347, 32622471, 32622472]",,,,,,,,,,,,Georg-Büchner-Schule (Frankfurt am Main),,,,,,,,,,,,,,,,,,
way,5057434,,"POLYGON ((8.6689487 50.2018169, 8.6688023 50.2017979, 8.6673052 50.2016035, 8.6668976 50.202261, 8.6662429 50.2030353, 8.6661821 50.2030971, 8.6660047 50.2033919, 8.6673071 50.2037039, 8.6675253 50.2032593, 8.6678803 50.2033321, 8.6678358 50.2034223, 8.6680065 50.2034568, 8.6681056 50.2032559, 8.6683719 50.2032615, 8.6689487 50.2018169))",Frankfurt am Main,27,60437,Urseler Weg,school,Poststelle.Otto-Hahn-Schule@stadt-frankfurt.de,+49 69 21244222,+49 69 21244200,https://ohs-frankfurt.de/,2A;3A,Otto-Hahn-Schule,Stadt Frankfurt am Main,public,6091,no,,Q47482349,,,,,,,,,,,,,,,"[34030794, 3927334058, 34030795, 1069381952, 1465411416, 34030796, 1069382900, 8251376501, 8251376502, 34030797, 1069382902, 1069382297, 1069381691, 8251376500, 34030794]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5061770,,"POLYGON ((8.7567173 50.1523267, 8.7568009 50.1523887, 8.756905 50.1527387, 8.7570297 50.1528852, 8.7569578 50.1531045, 8.756816 50.1531239, 8.7567489 50.1532154, 8.7559085 50.1529513, 8.7555342 50.1527581, 8.7550219 50.152494, 8.7550276 50.1524796, 8.7548308 50.1523814, 8.7544947 50.1523262, 8.7544664 50.1523142, 8.7544409 50.152294, 8.7544328 50.1522712, 8.7544429 50.1522476, 8.7544268 50.1522379, 8.7544771 50.1521421, 8.7548462 50.1518856, 8.7557454 50.1521131, 8.7562329 50.15223, 8.7567173 50.1523267))",Frankfurt am Main,23,60388,Am Bächelchen,school,poststelle.schule-am-hang@stadt-frankfurt.de,+49 69 21241259,+49 69 21241257,http://www.schule-am-hang.de/,1,Schule am Hang (im Umbau),Stadt Frankfurt am Main,public,3822,no,,,DE,,,,,,,,,,,,,,"[34074954, 10241176548, 34074951, 34074952, 10241176547, 10241176546, 34074949, 34074948, 34074946, 10241176541, 34074945, 34074944, 34074942, 10241176532, 10241176533, 10241176534, 10241176535, 10241176536, 10241176537, 34074955, 10241176539, 10241176540, 34074954]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5062162,,"POLYGON ((8.7320993 50.1323416, 8.7339794 50.1324065, 8.7340946 50.1329559, 8.7330838 50.1331167, 8.7322346 50.1332511, 8.7321148 50.1327738, 8.7320993 50.1323416))",Frankfurt am Main,1,60386,Vatterstraße,school,poststelle@pestalozzischule.frankfurt.schulverwaltung.hessen.de,+49 69 21248356,+49 69 21248685,https://www.pestalozzischule-frankfurt.de/,1,Pestalozzischule,Stadt Frankfurt am Main,public,3104,limited,,,DE,,,,,,,,https://www.pestalozzischule-frankfurt.de/,,,,,,"[34077860, 34077856, 34077854, 603823798, 34077852, 1690130318, 34077860]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5184205,,"POLYGON ((8.6025161 50.1028127, 8.601371 50.1030165, 8.6012875 50.10365, 8.6019677 50.1036905, 8.6019891 50.1035787, 8.6023352 50.1036088, 8.6025161 50.1028127))",Frankfurt am Main,83,65933,Waldschulstraße,school,poststelle@eichendorffschule.frankfurt.schulverwaltung.hessen.de,+49 69 21242912,+49 69 21243113,,1,Eichendorffschule,Stadt Frankfurt am Main,public,3138,,,,,,,,,,,,,,,,,,"[36153830, 36153831, 10159075690, 10159075691, 10159075692, 10159075693, 36153830]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,7829222,,"POLYGON ((8.586485 50.0864443, 8.5865492 50.0864728, 8.5878242 50.0862308, 8.5874901 50.0853158, 8.5873439 50.0853662, 8.587179 50.0853927, 8.5862484 50.0854726, 8.5862012 50.0855144, 8.586485 50.0864443))",Frankfurt am Main,18,60529,Lilo-Günzler-Straße,school,poststelle.minna-specht-schule@stadt-frankfurt.de,+49 69 21245556,+49 69 21245563,https://minna-specht-schule.com/,1,Minna-Specht-Schule,Stadt Frankfurt am Main,public,3101,limited,,,DE,,,,,,,,,,,,,,"[1115661313, 9990684358, 645701018, 1964274364, 9990684357, 9990684356, 9990684355, 57406025, 1115661313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8079184,,"POLYGON ((8.6084826 50.0981703, 8.6103699 50.0983521, 8.6107008 50.097257, 8.6087617 50.0972668, 8.6084826 50.0981703))",Frankfurt am Main,1,65933,Am Mühlgewann,school,poststelle.georg-august-zinn-schule@stadt-frankfurt.de,+49 69 21240256,+49 69 21236100,http://www.georg-august-zinn-schule.de/,2A,Georg-August-Zinn-Schule,Stadt Frankfurt am Main,public,6108,yes,,,,,,,,,,,,,,,,,"[60474471, 1678572031, 60474469, 60474470, 60474471]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8604016,,"POLYGON ((8.6429381 50.0788493, 8.6435031 50.0789584, 8.6436408 50.07873, 8.6444151 50.0789453, 8.6436775 50.0799367, 8.6433491 50.0804435, 8.6424009 50.0802125, 8.6429381 50.0788493))",Frankfurt am Main,3,60528,Else-Alken-Straße,school,sekretariat@ffs-frankfurt.de,,+49 69 21243316,http://www.ffsfrankfurt.de/,1,Friedrich-Fröbel-Schule,Stadt Frankfurt am Main,public,3133,no,,,DE,,,,,,,,,,,,,,"[61165985, 9969753022, 9969753023, 61165986, 299053331, 299053329, 61165988, 61165985]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12164907,,"POLYGON ((8.6593435 50.1569783, 8.6593533 50.1561464, 8.6602571 50.1561922, 8.6602518 50.1565833, 8.6603599 50.1565843, 8.6603506 50.1567601, 8.6603359 50.1572556, 8.6601227 50.1574329, 8.6597221 50.1577969, 8.6588184 50.1577962, 8.6588117 50.157538, 8.6585483 50.1575399, 8.6585454 50.1573084, 8.658306 50.1573082, 8.6581888 50.157308, 8.6580835 50.1573063, 8.6580849 50.1569829, 8.6593435 50.1569783))",Frankfurt am Main,9,60433,Josephskirchstraße,school,sekretariat@ziehenschule.de,+49 69 21232060,+49 69 21234147,https://www.ziehenschule.de/,2A;3A,Ziehenschule,Stadt Frankfurt am Main,public,5105,,,Q198888,DE,,secondary,,,,,,,,,,,,"[110297926, 110297932, 110297935, 7815935589, 110297937, 110297943, 110297945, 336004789, 336004791, 336004792, 2298125998, 5502642404, 7815820183, 7815935588, 7815935587, 335999342, 7815820184, 110297926]",,,de:Ziehenschule,,,,,,,,,,Ziehenschule,,,,,,,,,,,,,,,,,
way,12164911,,"POLYGON ((8.6605242 50.1590847, 8.6598613 50.1587033, 8.6595664 50.1589121, 8.6591991 50.1587047, 8.6590087 50.1588339, 8.6589604 50.1588667, 8.6593334 50.1590858, 8.6586872 50.1595249, 8.6590556 50.159794, 8.6593735 50.1600262, 8.6605242 50.1590847))",Frankfurt am Main,20,60433,Zehnmorgenstraße,school,poststelle.igs-eschersheim@stadt-frankfurt.de,,+49 69 21238751,https://igs-eschersheim.de/,1;2A,IGS Eschersheim,Stadt Frankfurt am Main,public,6090,,,,DE,,,,,,,,,,,,,,"[110298013, 110298020, 9985325544, 9985325545, 4309483367, 9985325542, 9985325543, 110298023, 4309483379, 110298029, 110298013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
