element_type,osmid,addr:postcode,amenity,cuisine,name,opening_hours,phone,website,geometry,addr:city,addr:country,addr:housenumber,addr:street,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,email,indoor_seating,operator,outdoor_seating,smoking,takeaway,wheelchair,fax,url,contact:email,contact:fax,contact:phone,toilets:wheelchair,access:covid19,description:covid19,drive_through:covid19,opening_hours:covid19,takeaway:covid19,check_date:opening_hours,opening_hours:signed,description,wheelchair:description,source,created_by,delivery:covid19,reservation,note,survey:date,check_date,payment:credit_cards,payment:maestro,payment:mastercard,payment:visa,delivery,diet:dairy_free,diet:egg_free,diet:lactose_free,diet:pescetarian,level,tourism,alt_name,diet:gluten_free,changing_table,website:menu,short_name,internet_access,air_conditioning,payment:debit_cards,name:de,phone:mobile,survey_date,toilets,internet_access:fee,payment:cash,opening_days,opening_season,designation,check_date:diet:vegetarian,contact:website,addr:suburb,old_name,diet:halal,check_date:website,disused:website,note:website,addr:housename,capacity,contact:facebook,shop,opening_hours:kitchen,name:en,contact:instagram,name:ja,name:ko,changing_table:location,kids_area,start_date,cash_withdrawal:foreign_cards,payment:contactless,payment:cryptocurrencies,payment:electronic_purses,toilets:access,contact:mobile,diet:meat,fast_food,lunch,lunch:menu:choices,lunch:menu:course:drink,lunch:menu:course:main,lunch:menu:course:soup,lunch:menu:delivery,lunch:menu:price,lunch:menu:takeaway,lunch:saladbar,self_service,bar,nodes,building,building:levels,indoor,room,layer,note:editor,building:colour,building:material,building:use,roof:shape
node,878722579,55118,restaurant,regional,MA:DORO,We-Su 18:00-23:00,+49 61314929270,https://www.madoro.de/,POINT (8.260168 50.0069901),Mainz,DE,34,Leibnizstraße,,,,,,d.roemer@madoro.de,,,yes,no,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madoro,,,,Madoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,921660308,55120,restaurant,italian,La Primavera,"Mo-Su 11:30-14:00,17:30-23:00",+49 6131 2501110,http://www.ristorantelaprimavera.com/,POINT (8.2166076 50.0123844),,,30,Obere Kreuzstraße,,,,,,ameziane@ristorantelaprimavera.com,,Kamal Ameziane,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,925477940,55129,restaurant,italian,La Siciliana,"Tu-Su 11:30-14:30,17:30-22:30, PH,Su 11:30-14:30,17:30-22:00",+49 6131 6334692,https://lasiciliana-mainz.de/,POINT (8.2784644 49.9598022),Mainz,DE,14a,Heuerstraße,,,,,,lasiciliana-mainz@gmx.de,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,925765505,55116,restaurant,international,Pomp,Mo-Fr 10:00-00:00; Sa 09:00-02:00; Su 09:00-00:00,+49 6131 235119,http://www.pomp-mainz.de/,POINT (8.2659562 50.0023814),,,29,Große Bleiche,,,,,yes,,,Pomp Gastronomie GmbH,yes,,,yes,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1014420339,55128,restaurant,,Weyer's Erntehof,Tu-Su 16:00-23:00,,https://strausswirtschaft-weyer.eatbu.com/,POINT (8.2341444 49.976453),Mainz,DE,24,Am Heckerpfad,,,,yes,yes,,yes,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1037348285,55116,restaurant,,Santiago,"Su-Th 17:30-24:00, Fr,Sa 17:30-02:00",+49 6131 1434216,http://www.santiago-bar.de,POINT (8.2680686 49.9986351),Mainz,DE,3,Kötherhofstraße,,,,no,yes,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1141056060,,restaurant,,Gourmet Mondial,,,https://www.gourmet-mondial.de/,POINT (8.2144864 50.0042667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1164104998,55124,restaurant,,Gonsenheimer Hof,,+49 6131 42163,http://www.gonsenheimer-hof.de,POINT (8.2181608 50.0013605),Mainz,DE,,Mainzer Straße,,,,,,,,,,,,,+49 6131 467204,,,,,,,,,,,,,Der „Gonsenheimer Hof“ ist Restaurant und auch Hotel,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1175615255,55128,restaurant,asian,Asia Snack Fu Loi,Mo-Sa 10:30-20:00,+49 6131 6009596,,POINT (8.2289273 49.9674317),Mainz,,1,Haifa-Allee,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1211222691,55120,restaurant,chinese,Fuh Guei,"Mo-Fr 11:30-14:15,17:30-22:30; Sa 17:30-22:30; Su 11:30-22:30",+49 6131 686025,http://www.restazrantfuhguei.de,POINT (8.2314641 50.0199859),Mainz,DE,,Hauptstraße,,,,,,,,Han Vin-Puh,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1211223000,55120,restaurant,pizza,Pizza Jelapi,"Tu-Sa 11:00-14:30,17:30-23:30; Su 17:00-23:30",+49 6131 688444,,POINT (8.2314806 50.0197716),Mainz,DE,,Hauptstraße,,,,,,,,,,,yes,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1211223182,55120,restaurant,indian,Adam Tandoor Restaurant,,+49 6131 6233323,https://www.adamtandoor-mainz.de/,POINT (8.2324183 50.0192807),Mainz,DE,,Hauptstraße,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1211833352,55124,restaurant,german,Wanderheim,Mo-Su 11:30-18:30,+49 6131 469948,http://www.gasthaus-wanderheim.de,POINT (8.2001243 50.0059531),Mainz,DE,44,Kapellenstraße,,,,,,info@gasthaus-wanderheim.de,,Fam. K. Giunio,,outside,,no,+49 6136 81394,,,,,no,,,,,,,,,,eigene Recherche,,,,,,,,,,,,,,,,,,,,,,,,,,Wanderheim Gasthaus & Café,+49 173 9141122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1224865189,55116,restaurant,german,Weintorklause,,+49 6131 1433425,,POINT (8.2767656 49.997945),,,11-13,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1237333947,55126,restaurant,,Steins Traube,"Mo off, Tu 18:00+, We-Su 11:30+",+49 6131 40249,www.steins-traube.de,POINT (8.1747617 49.983966),Mainz,DE,4,Poststraße,,,,,,peter.stein@steins-traube.de,,Peter Stein,yes,no,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1269406301,55127,restaurant,,Ristorante Roseto,,,,POINT (8.1923857 49.9788352),,,,Daniel-Brendel-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1328894957,55130,restaurant,,Gaul´s Restaurant,,,,POINT (8.3091547 49.9484955),Mainz,,5,In den Weinbergen,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1417469132,,restaurant,,Zur Birke,,,,POINT (8.2739342 49.9681712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1418251571,55128,restaurant,thai,Bobby's Restaurant,Tu-Su 18:00-21:30,+49 6131 4906727,https://www.bobbysrestaurant.de/,POINT (8.2437067 49.9818137),Mainz,,,Zaybachstraße,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1421368944,,restaurant,,Bistro 23,"PH,Mo-Su 15:00-23:00",,,POINT (8.2638696 50.0071768),,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1421374561,55116,restaurant,regional,Zeitungsente,Mo-Su 11:00+,+49 6131 22 27 28,http://www.zeitungsente-mainz.de,POINT (8.2649964 50.002319),Mainz,DE,7a,Neubrunnenstraße,,,,,,,,,,yes,,no,,,,,,no,,,,,,,,"keine eigene Küche, Bestellungen werden von den umliegenden Restaurants geliefert",,survey,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2011-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1421374562,55116,restaurant,italian,"Como-Lario ""Da Bruno""","Tu-Su 11:00-15:00,17:30-23:00",+49 6131 234028,,POINT (8.2651818 50.0022278),Mainz,DE,7,Neubrunnenstraße,,,,,yes,,,,yes,no,yes,limited,,,,,,,,,,,,,,Da Bruno Pizzeria,,survey,,,,,,2023-05-11,,,,,,,,,,0,,,,,,,no,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1426837299,,restaurant,italian,Cucina San Marco,,+49 6131 82962,https://sanmarco-mainz.de/,POINT (8.2799641 49.9878989),,,4,Am Stiftswingert,,,,,,info@sanmarco-mainz.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1446331454,55118,restaurant,regional,Gasthof Grün,Mo-Fr 09:30-16:00; Sa-Su off,+49 6131 9087600,https://gasthofgruen.gpe-mainz.de,POINT (8.2596791 50.0069074),Mainz,DE,27-29,Leibnizstraße,,,,,,ghg@gpe-mainz.de,,,yes,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,wlan,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1446344156,55118,restaurant,indian,Punjab Tandoori,"Mo 11:00-14:30,17:00-23:00; Tu 17:00-23:00; We-Fr 11:00-14:30,17:00-23:00; Sa 15:00-23:00; Su 11:00-14:30,17:00-23:00",+49 6131 8862544,http://www.punjab-tandoori-mainz.de,POINT (8.2603393 50.0110553),Mainz,DE,52,Wallaustraße,,,,,,info@punjab-tandoori-mainz.de,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1447382563,55116,restaurant,,Brasserie und Weinstube im Hilton,,+49 6131 2450,http://www.hilton.de/HiWayWeb/appmanager/portals/hotel?_nfpb=true&_pageLabel=hotel_dining_detail&diningId=56457&ctyhocn=QMZHITW,POINT (8.2756192 50.0032231),Mainz,,68,Rheinstraße,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,Podestlift zur Terassenebene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1447398777,55116,restaurant,italian,Gusto,Tu-Sa 12:00-15:00; 18:00+; Su-Mo off,+49 6131 1449049,https://www.gusto-winebar-mainz.de/,POINT (8.2742126 49.9970594),Mainz,DE,55,Augustinerstraße,,,,,,gustowinebar@aol.com,,,yes,outside,,yes,,,,,,yes,,,,,,,,,Rollstuhl-WC im UG,,,,,,,2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1454087694,55126,restaurant,bistro,Bistro Alte Markthalle,Tu-Sa 10:00-23:00; Su 10:00-21:00,+49 6131 6988400,http://www.bistro-markthalle.de,POINT (8.1767466 49.9837526),,,17,Kurmainzstraße,,,,,,info@bistro-markthalle.de,,Oliver Günther,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1570253447,55126,restaurant,,Zum Turnerheim,,+49 6131 40383,,POINT (8.1748949 49.9856134),Mainz,DE,41,Poststraße,,,,,,,,Christine & Lothar Schmitt,,,,,+49 6131 476364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1578175854,55116,restaurant,italian,Aposto Mainz,"Mo-Th 11:30-24:00,Tu-Fr 00:00-01:00; Fr-Sa 11:30-24:00,Sa-Su 00:00-02:00; Su 11:30-24:00",+49 6131 6931620,https://www.aposto.eu/mainz/,POINT (8.2719637 49.9987058),Mainz,DE,8-12,Gutenbergplatz,,,,no,yes,mainz@aposto.eu,yes,Aposto Mainz GmbH,yes,,,yes,+49 6131 6931621,,,,,yes,,,,,,,,,"Aufzug vorhanden, großräumiges behindertengerechtes WC im UG, Eingangstür leider nicht automatisch; OG aufgrund von leichten Anhöhen der Sitzflächen nicht barreirefrei, dafür das gesamte UG.",,,,,,,2018-03-24,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1579716699,,restaurant,greek,Dionysos,"PH,Mo-Su 11:30-15:00,17:30-24:00",+496131 572511,http://www.restaurant-dionysos.eu/,POINT (8.2638715 49.9951641),,,,,,,,no,yes,dionysos1@live.de,yes,,yes,,,limited,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1580163222,55116,restaurant,greek,Delphi,"11:30-15:00,17:30-24:00",+49 6131 22 43 43,http://www.delphi-mainz.de/,POINT (8.270862 50.00303),Mainz,DE,2,Hintere Flachsmarktstraße,,,,no,yes,info@delphi-mainz.de,,,yes,outside,,no,,,,,,,,,,,,,,,"Am Eingang befindet sich eine ca.20 cm hohe Stufe, kein Behinderten-WC, normale WC`s nur über Treppen erreichbar",survey,,,,"Öffnungzeiten gelten laut Schild nur im ""Winter""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1584116805,55127,restaurant,italian,Pizzaria Da Raffaele,"Mo-Fr, Su 17:30-22:10; Sa 17:30-22:10",,https://raffaele-mainz.de/2530,POINT (8.2304623 49.9639402),Mainz,,86,Im Borner Grund,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1584888422,,restaurant,asian,Asia World,"Tu-Su 11:30-14:30, 17:30-22:30",,,POINT (8.2411053 49.967701),,,,,,,,,yes,,yes,,no,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1599037353,,restaurant,,Strausswirtschaft Peter-Dhom,,+49 6131 957004,http://www.dhomwein.de,POINT (8.2837039 49.9552094),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mi,Do,Fr,So_ab17Uhr",4_Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1599315592,,restaurant,pizza,Taormina,"Mo-Su 11:30-15:00,17:30-24:00",+49 6131 234335,https://taormina-mainz.de/,POINT (8.2628432 49.9992711),,,,,,,,no,yes,info@taormina-mainz.de,,,,no,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1615818507,55116,restaurant,regional,Weinstube Bacchus,,,http://www.bacchus-mainz.de/,POINT (8.2763724 49.9952871),Mainz,DE,7,Jakobsbergstraße,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1615853548,55116,restaurant,indian,Indian Tandoori,,,https://www.indian-tandoori.de/,POINT (8.2774988 49.9950847),Mainz,DE,19,Neutorstraße,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1618090175,55116,restaurant,italian,Beviamo,Mo-Su 12:00-23:00,+49 6131 6366 774,https://www.beviamo.de,POINT (8.281575 49.9958076),Mainz,DE,4g,Rheinstraße,,,,yes,yes,mainz@beviamo.de,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1642188678,,restaurant,lebanese;syrian,Damas,Mo-Su 16:00-24:00,+49 6131 224025,http://www.restaurant-damas.de,POINT (8.2782727 49.9969378),,,,,,,,no,yes,info@restaurant-damas.de,yes,,yes,,,no,+49 6131 2407347,,,,,,,,,,,,,"""Syrisch-Libanesische Spezialitäten""",,,,,,,,,no,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,Persian Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1665994177,55122,restaurant,portuguese,Restaurant U. D. P. Mainz,"Tu-Fr 18:00-23:00; Sa,Su,PH 12:00-15:00,18:00-22:30; Mo off",+49 6131 373214,http://www.udp-mainz-restaurante.de,POINT (8.2479493 50.0078642),Mainz,DE,38b,Mombacher Straße,,,,,,restaurante@udp-mainz.de,,Agustinho Da Silva,yes,no,,limited,+49 6131 373215,,,,,no,,,,,,,,,noch keine Rollitoilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1667444432,55116,restaurant,arab,Orientalisches Bistro,,,,POINT (8.2704706 50.002975),Mainz,DE,22,Flachsmarkt,,,,yes,yes,,,,,,,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1676018150,,restaurant,,Mensa K3,Mo-Fr 11:00-14:00; PH closed,,,POINT (8.2251844 49.9889568),,,,,,,,,yes,,,Studierendenwerk Mainz,,,,yes,,,,,,,,,,,,2023-01-14,,,,https://www.studierendenwerk-mainz.de/essentrinken/hochschule-mainz/mensa-k3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.studierendenwerk-mainz.de/essentrinken/hochschule-mainz/mensa-k3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1717993618,55116,restaurant,sandwich,Vinotheka Moguntia,"Mo,We,Th 15:00-23:00; Tu,Fr 11:00-23:00; Sa 11:00-19:00",,,POINT (8.2761412 49.9993777),Mainz,,3,Fischtorstraße,,,,,,,,,,,,limited,,,,,,,,,,,,,,,no steps but toilet not accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1717993620,55116,restaurant,regional,Weinhaus Schreiner,"Tu-Fr 17:00-23:30; Sa 11:30-23:30; Su,Mo,PH off",+49 6131 225720,https://www.weinhausschreiner.de/,POINT (8.2774197 49.998895),Mainz,DE,38,Rheinallee,,,,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1717993624,55116,restaurant,seafood,Fischrestaurant Jackob,"Mo-Sa 11:00-14:30; Fr,Sa 17:00-21:00; PH off",+49 6131 229299,http://www.fischjackob.de/,POINT (8.2765355 49.9994777),Mainz,DE,7,Fischtorstraße,,,,no,yes,,,,yes,no,,limited,,,,,,,,,,,,,,,,,,,,,,2023-05-30,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1744017532,55120,restaurant,german;croatian,Hotel-Restaurant Zum Brünnchen,"We-Fr,Su,Mo 11:30-14:00,17:00-22:00; Sa 17:00-22:00",+49 6131 9716665,http://www.hotel-zum-bruennchen-mainz.de/,POINT (8.2264353 50.0219096),Mainz,,1,Turnerstraße,,,,,,post@hotel-zum-bruennchen-mainz.de,,Fam. Mikulić,yes,outside,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,hotel,,,,,,,,,,,,,,,,,,,,Mombach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1759923594,55116,restaurant,,La Souperie,Mo-Th 11:00-19:00; Fr 11:00-18:00; Sa 11:00-17:00,,http://www.souperie.de/,POINT (8.2689734 49.9990938),Mainz,DE,6,Große Langgasse,,,,yes,yes,,,,,,,yes,,,,,,no,,,,,,2023-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1768998475,,restaurant,greek,Naxos,,,,POINT (8.2782035 49.9985013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1771418913,,restaurant,pizza,Pizzeria La Stella,Mo-Th 17:00-23:00; Fr-Su 12:00-23:00,,,POINT (8.3033284 49.9829316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1803973098,,restaurant,regional,Zum Gebirg,Tu-Su 17:00-24:00; Mo off,+49 6131 6192575,http://www.zumgebirg.de,POINT (8.2688027 49.9948646),,,,,,,,yes,yes,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1808770761,55116,restaurant,,Lehmanns,"Mo-Su 12:00-14:30,17:00-21:30",+49 6131 9453630,,POINT (8.27708 49.9967717),Mainz,DE,19,Holzstraße,,,,,,,,,yes,,,limited,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chez Maman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1812227341,55128,restaurant,italian,Da Marcello,"Mo-Fr, Su, PH 11:30-14:30, 17:30-22:00",+49 6131 35798,https://pizzeria-ristorante-la-trattoria-da-marcello.eatbu.com/,POINT (8.2466339 49.9764412),Mainz,,8A,Hans-Böckler-Straße,,,,no,yes,,,,,,,yes,,,,,,,,,,,,2021-08-04,,,keine Behindertentoilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1837589879,55127,restaurant,arab,Babylon Grill,,,,POINT (8.1997974 49.9595525),Mainz,,25,Hindemithstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1837589885,,restaurant,vietnamese,Dao's Kitchen,"Mo-Fr 11:30-15:00,17:30-22:00; Su 12:00-15:00,17:30-22:00; PH 12:00-22:00",,,POINT (8.1985546 49.959283),,,41,Regerstraße,,,,,,,,,,,,yes,,,,,,no,,,,,,2023-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1876266980,55124,restaurant,german,Pollers Häusje,We-Su 17:00+; Su 11:30-14:30,+49 6131 43730,,POINT (8.2095256 50.000361),Mainz,DE,55,Grabenstraße,,,,,,kontakt@pollers.de,,,,,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-28,https://www.pollers.de/,"Die Website scheint ein temporäres Problem zu haben, aber prinzipiell noch die richtige zu sein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
