element_type,osmid,geometry,barrier,amenity,check_date:opening_hours,education,name,office,opening_hours:signed,website,wikidata,wikipedia,addr:city,addr:postcode,addr:street,alt_name,operator,addr:housenumber,isced:level,operator:type,ref,school:de,building,wheelchair,nodes,Gesamtschule,addr:country,phone,building:levels,roof:levels,roof:shape,url,email,fax,opening_hours,description,fixme,note,school,denomination,religion,toilets:wheelchair,name:etymology:wikidata,addr:suburb,school:DE,type,loc_name,old_name,short_name,landuse,start_date,designation,source,addr:housename,level,school:type,ways
way,129445949,"POLYGON ((8.2086023 50.0022358, 8.2072329 50.0018489, 8.2076951 50.0012254, 8.2090416 50.0017059, 8.2086023 50.0022358))",,school,,,Maler-Becker-Schule,,,https://www.maler-becker-schule.de/,Q21040661,,Mainz,55124,Schulstraße,,Stadt Mainz,7,1,public,11442,,,limited,"[1428170363, 1428170340, 1428170321, 1428170330, 1428170363]",,,+49 6131 41720,,,,,schule.maler-becker@stadt.mainz.de,+49 6131 41722,,,,,,,,,,,Grundschule,,,,,,,,,,,,
way,137712504,"POLYGON ((8.1950393 49.9582505, 8.1942907 49.9599704, 8.1952378 49.9603143, 8.1962862 49.960488, 8.196493 49.9600278, 8.1960609 49.9598634, 8.1958249 49.9595839, 8.1959322 49.9593285, 8.1965748 49.959447, 8.1967025 49.9591451, 8.1968471 49.9588823, 8.1969393 49.958734, 8.1969739 49.9586767, 8.196375 49.9584818, 8.1955811 49.9582678, 8.1950846 49.9581689, 8.1950393 49.9582505))",,school,,,Carl-Zuckmayer-Schulzentrum,,,,,,Mainz,55127,Hindemithstraße,,,1-5,,,,,,yes,"[1510200853, 1510200976, 1510200948, 1510200951, 1510200888, 1510200966, 1510200950, 1510200871, 1510200890, 1510200869, 1510200889, 1510200964, 1510200943, 1510200875, 1510200910, 1510200895, 1510200853]",,,,,,,,,,,,Remove amenity=school when landuse=education is rendered.,,,,,,,Lerchenberg,,,,,,education,,,,,,,
way,137712515,"POLYGON ((8.1964458 49.9590596, 8.1964627 49.9590156, 8.1965032 49.959022, 8.1965198 49.9589789, 8.1964788 49.9589724, 8.196475 49.9589824, 8.1964346 49.958976, 8.1964621 49.9589044, 8.1963157 49.9588811, 8.1962965 49.9588581, 8.1962534 49.9588258, 8.1961803 49.9588049, 8.1961297 49.9587998, 8.1961016 49.9588105, 8.1960881 49.9588238, 8.1960878 49.9588449, 8.1960723 49.9588424, 8.1960472 49.9589079, 8.1960068 49.9589015, 8.1959754 49.958983, 8.1962714 49.9590301, 8.1962613 49.9590564, 8.1963939 49.9590775, 8.1964033 49.9590528, 8.1964458 49.9590596))",,school,,,Grundschule Mainz-Lerchenberg,,,,,,Mainz,55127,Hindemithstraße,,Stadt Mainz,1,1,public,10148,Grundschule,school,,"[1510200854, 1510200977, 6687149888, 6687149889, 1510200929, 1510200898, 8618196255, 6687149891, 6687149892, 6687149893, 6687149894, 6687149895, 6687149896, 6687149900, 1510200970, 8618196254, 6687149899, 6687149898, 1510200852, 1510200944, 6687148484, 6687149885, 6687149886, 6687149887, 1510200854]",,DE,,4,,,,,,,,,,,,,,,,,,,,,,2004-12,,,,,,
way,142738965,"POLYGON ((8.227 49.9983675, 8.2272726 49.9981284, 8.2274883 49.9981903, 8.2284448 49.9984674, 8.2285821 49.9984955, 8.228633 49.9984316, 8.2295901 49.9987009, 8.2295297 49.9987873, 8.2300259 49.9989203, 8.2300097 49.9989457, 8.2297754 49.9993111, 8.2299138 49.9993592, 8.2298848 49.9994056, 8.2298749 49.9994216, 8.2284892 49.9990322, 8.2286239 49.9988673, 8.2282537 49.9987325, 8.227 49.9983675))",,school,,,Münchfeldschule,,,https://www.muenchfeldschule.de/,,,Mainz,55122,Watfordstraße,,Stadt Mainz,30,1,public,11619,Grundschule,,yes,"[1323882154, 1562087928, 1562087930, 1562087942, 1562087944, 1562087938, 1562087956, 1562087964, 1562088006, 2299973182, 1562088039, 1562088035, 6435711753, 1562088037, 1323882103, 1562087976, 1562087958, 1323882154]",,DE,+49 6131 324723,,,,,schule.muenchfeld@stadt.mainz.de,+49 6131 324725,"Mo-Fr 08:00-13:00, SH off, PH off",,,,,,,,,,,,,,,,,Grundschule,,,,,
way,156513305,"POLYGON ((8.1919904 49.9760984, 8.1921366 49.9760863, 8.1921847 49.9763273, 8.1920361 49.9763396, 8.1920162 49.9762398, 8.1919772 49.976243, 8.1919642 49.9761777, 8.1920055 49.9761742, 8.1919904 49.9760984))",,school,,,Marc Chagall Schule,,,https://marc-chagall-schule.de/,,,Mainz,55127,Daniel-Brendel-Straße,,Stadt Mainz,11,1,public,15273,Grundschule,school,yes,"[1687531395, 1687531394, 1687531400, 1687531401, 1687531398, 1687531399, 1687531397, 1687531396, 1687531395]",,,+49 6131 477553,,,,,schule.marc-chagall@stadt.mainz.de,+49 6131 477511,,,,,,,,,,,,,,,,,,,,,,,
way,156552099,"POLYGON ((8.2432096 50.0073414, 8.2435595 50.0069687, 8.2438197 50.00707, 8.2438641 50.0070865, 8.2439695 50.0071278, 8.2436195 50.0075004, 8.2436056 50.0074956, 8.2434714 50.0074423, 8.2432096 50.0073414))",,school,,,Berufsbildende Schule I-Gewerbe und Technik,,,,,,Mainz,55122,Am Judensand,,,12,3B,,60675,Berufsbildende Schule,school,yes,"[1687837253, 1687837233, 1687837247, 1687837248, 1687837249, 1687837272, 1687837271, 1687837254, 1687837253]",,,+49 6131 90603-0,5,0,,http://www.bbs1-mainz.de,,,,,,,,,,,,,,,,,,,,,,,,,
way,156552105,"POLYGON ((8.2437808 50.0082183, 8.2434139 50.0083919, 8.2431797 50.0086124, 8.2429263 50.0086024, 8.2427452 50.0085363, 8.242512 50.0084824, 8.2422342 50.0085769, 8.2421407 50.0085302, 8.2421784 50.0084412, 8.2418741 50.0083488, 8.2426715 50.0074904, 8.2435311 50.0065549, 8.2451412 50.0050175, 8.2466243 50.0056574, 8.2460411 50.0061886, 8.2458927 50.006131, 8.2450651 50.0070678, 8.2449586 50.00719, 8.2447855 50.0073785, 8.244575 50.0075695, 8.2443552 50.0079313, 8.2437808 50.0082183))",,school,,,Berufsschulzentrum,,,,,,,,,,,,,,,,,limited,"[1687837319, 1687837340, 1687837359, 1687837358, 1687837354, 1687837345, 1687837357, 1687837353, 1687837341, 1687837324, 1687837265, 1687837228, 1687837213, 2060750792, 1687837219, 8486756655, 1687837239, 1687837250, 1323906799, 1687837273, 1323906772, 1687837319]",,,,,,,,,,,,,,,,,,,,,site,,,,,,,,,,,
way,166499454,"POLYGON ((8.2615075 50.0057865, 8.2616844 50.005989, 8.2616938 50.0059997, 8.2618077 50.0061058, 8.2619394 50.00605, 8.2623606 50.0058716, 8.2625843 50.0057698, 8.2626087 50.0057175, 8.26238 50.0054762, 8.262067 50.0055935, 8.2615075 50.0057865))",,school,,,Leibnizschule,,,https://www.leibnizschule-mainz.de/,,,Mainz,55118,Leibnizstraße,,Stadt Mainz,13,1,public,18730,Grundschule,,yes,"[1779408844, 1779408906, 1779408921, 263679926, 1779408935, 263679927, 263679928, 1779408822, 1779408758, 1779408791, 1779408844]",,,,,,,,,,,,gemeinsame Grenze der beiden Schulgelände zu überprüfen,,primary,,,,,,,,,,,,,,,,,,
way,166617608,"POLYGON ((8.2242985 50.0197072, 8.2236818 50.0195761, 8.223845 50.0192573, 8.2237869 50.019245, 8.2238338 50.0191533, 8.2241542 50.0192214, 8.2241598 50.0192103, 8.2242324 50.0192258, 8.2241962 50.0192966, 8.2241404 50.0192848, 8.2241232 50.0193183, 8.2239992 50.0192919, 8.223894 50.0194975, 8.2243557 50.0195956, 8.2242985 50.0197072))",,school,,,Pestalozzigrundschule,,,,,,Mainz,55120,Pestalozziplatz,,,6,,,,,yes,yes,"[1780537015, 1780537012, 1780537003, 1780537002, 1780536987, 1780537000, 1780536999, 1780537001, 1780537006, 1780537004, 1780537008, 1780537005, 1780537010, 1780537013, 1780537015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180989114,"POLYGON ((8.2960219 49.9772478, 8.2962975 49.9773384, 8.2966306 49.9769191, 8.296355 49.9768285, 8.2960219 49.9772478))",,school,,,Martinusschule Weisenau,,,,,,Mainz,55130,Heinrich-Schrohe-Straße,,Bistum Mainz,10,1,private,20753,Grundschule,school,,"[1914288037, 1914288044, 1914288022, 1914288019, 1914288037]",,DE,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191819060,"POLYGON ((8.265452 50.0112392, 8.2652348 50.0110855, 8.2651363 50.0110301, 8.2650432 50.0109778, 8.2649278 50.0108657, 8.2647985 50.0107572, 8.264705 50.0106678, 8.2643397 50.0108255, 8.2643062 50.0107874, 8.2639185 50.0109545, 8.2638048 50.0110036, 8.2638703 50.0110636, 8.2637917 50.0111047, 8.2646342 50.0117415, 8.2649561 50.0115424, 8.2653391 50.0113051, 8.265452 50.0112392))",,school,,,Feldbergschule,,,,,,Mainz,55118,Feldbergplatz,,Stadt Mainz,4,1,public,11335,Grundschule,,,"[4436111195, 4436111196, 4436111204, 4436111197, 4436111198, 4436111199, 2023861833, 2440435760, 2440435759, 2023861839, 4397383089, 2023861835, 1269638318, 2023861842, 2023861841, 4436111192, 4436111195]",,,+496131679901,,,,,,,,,,,,,,,Q677873,,,,,,,,,,,,,,
way,193639452,"POLYGON ((8.2752016 49.9610384, 8.2756938 49.9610834, 8.2757837 49.9606767, 8.2752915 49.9606317, 8.2752016 49.9610384))",,school,,,Theodor-Heuss-Schule,,,,,,,,,,,,,,,,school,,"[2041640292, 2041640298, 2041640218, 2041640214, 2041640292]",,,,2,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,
way,194243104,"POLYGON ((8.2762881 49.9618025, 8.2765227 49.9608105, 8.2766185 49.9599972, 8.2751196 49.9599079, 8.2745199 49.9600486, 8.2744293 49.96014, 8.2743457 49.9603596, 8.2742787 49.9605356, 8.2741194 49.9609967, 8.2741283 49.9614698, 8.2748898 49.9615499, 8.2762881 49.9618025))",,school,,,IGS Hechtsheim,,,http://www.igs-hechtsheim.de/,,,Mainz,55129,Ringstraße,,Stadt Mainz,41b,2;3,public,70351,,,no,"[2047648507, 2047648504, 2047648501, 2047648500, 2047648502, 3866822509, 9265281108, 2047648503, 3866822538, 2047648505, 2047648506, 2047648507]",,,+49 6131 250760,,,,,schule.igs-hechtsheim@stadt.mainz.de,,08:00-16:00,integrierte Gesamtschule,,,,,,,,,Gesamtschule,,,,,,,,,,,,
way,235283833,"POLYGON ((8.1681677 49.9860213, 8.1692624 49.9863585, 8.1696859 49.9857801, 8.1697157 49.9857393, 8.1694606 49.9856622, 8.1694708 49.9856486, 8.169631 49.9854359, 8.1696977 49.9853443, 8.1696421 49.9853168, 8.1695058 49.9852617, 8.1693831 49.9852262, 8.1689653 49.9850976, 8.1689162 49.9850916, 8.168856 49.9851043, 8.16881 49.9851325, 8.1687406 49.9852195, 8.1682804 49.9858658, 8.1683174 49.9858767, 8.1683873 49.9858974, 8.1683126 49.986, 8.1682428 49.9859785, 8.1682078 49.9859676, 8.1681677 49.9860213))",,school,,,Peter-Härtling-Schule Standort Layenhofstraße,,,http://grundschule-finthen.de/,,,Mainz,55126,Layenhofstraße,,Stadt Mainz,26,1,public,26930,Grundschule,,limited,"[2433655673, 2433655679, 4008869193, 2433655593, 2433655586, 2434107542, 2434107516, 2433655541, 2434107502, 2434107500, 2433655519, 2433655515, 8857526675, 2433655516, 8857526676, 8857526677, 2433710842, 2433710843, 2433710844, 2433710866, 2433710861, 2433710859, 2433655673]",,,+496131 475764,,,,,,,,,,,,,,,,,,,,,,,,,bing;survey,,,,
way,235363906,"POLYGON ((8.1735335 49.9855259, 8.1731657 49.9855917, 8.1732221 49.9856557, 8.1732483 49.9856855, 8.1733344 49.9858438, 8.1733556 49.9858953, 8.1733318 49.9859222, 8.1729956 49.9859351, 8.1728083 49.9859423, 8.1727878 49.985908, 8.1726316 49.9859257, 8.1725437 49.9859356, 8.1725076 49.9858035, 8.1719921 49.9858616, 8.1719335 49.985644, 8.1719133 49.9855648, 8.1722254 49.9854837, 8.1723152 49.9854579, 8.1723413 49.9854817, 8.1725076 49.9854247, 8.1726164 49.9853796, 8.1726628 49.9853633, 8.1726727 49.9853755, 8.1727038 49.9853653, 8.1728823 49.9853071, 8.1730294 49.9852771, 8.1731028 49.9852736, 8.1731336 49.9852689, 8.1732551 49.9852499, 8.1734104 49.9852256, 8.173435 49.9852921, 8.1735133 49.9854779, 8.1735335 49.9855259))",,school,,,Peter-Härtling-Schule Standort Lambertstraße,,,http://www.grundschule-finthen.de,,,Mainz,55126,Lambertstraße,,Stadt Mainz,14,1,public,26930,Grundschule,,limited,"[2434312361, 2434312368, 3448274280, 3448274283, 3448274292, 3448279595, 2434312392, 2434312395, 2434312399, 2434312393, 10178523108, 2434312396, 2434312386, 2434312389, 4059565886, 2434312366, 2434312343, 2434312339, 2434312347, 2434312335, 2434312324, 2434312318, 2434312323, 2434312320, 2434312309, 2434312296, 2434312293, 2434312285, 2433655522, 2434312271, 2433655528, 2433655564, 2434312361]",,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,
way,282891458,"POLYGON ((8.223764 50.0191413, 8.2235844 50.0195873, 8.2246241 50.0197928, 8.2248037 50.0193924, 8.2247901 50.0193478, 8.2238425 50.0191277, 8.223764 50.0191413))",,school,,,Pestalozzigrundschule,,,http://www.pestalozzigrundschule-mainz.de,,,Mainz,55120,Pestalozziplatz,,Stadt Mainz,6,1,public,11472,Grundschule,,yes,"[2868363441, 2868363444, 2868363447, 2868363443, 2868363442, 2868363440, 2868363441]",,,+496131683410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,378294987,"POLYGON ((8.2750851 49.9611971, 8.2750622 49.9613055, 8.2755588 49.9613489, 8.2755817 49.9612405, 8.2750851 49.9611971))",,school,,,IGS Mainz Hechtsheim H-Bau,,,,,,,,,,,,,,,,container,,"[3816951116, 3816951118, 3816951119, 3816951117, 3816951116]",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,378873137,"POLYGON ((8.2048397 50.0012089, 8.2053189 50.0007529, 8.2061157 50.0008588, 8.2054188 50.0015074, 8.2049901 50.0013965, 8.2050808 50.0013078, 8.2048426 50.0012069, 8.2048397 50.0012089))",,school,,,Martinus-Schule-Gonsenheim,,,http://www.martinusschulegonsenheim.de/,,,Mainz,55124,Breite Straße,,Bistum Mainz,2,1,private,20723,Grundschule,,,"[3822338926, 3822338919, 3822338920, 3822338927, 4596642901, 4596642900, 4596642903, 3822338926]",,,+49 6131 41830,,,,,sekretariat@martinusschulegonsenheim.de,+49 322 2159 6243,,,,,,,,,,,,,,,,,,,,,,,
way,383419449,"POLYGON ((8.2758066 49.9603136, 8.2758956 49.9603219, 8.2762621 49.9603561, 8.276267 49.9603344, 8.2762997 49.9601891, 8.2759518 49.9601566, 8.2759371 49.9602215, 8.2758296 49.9602115, 8.2758066 49.9603136))",,school,,,IGS Mainz Hechtsheim J-Bau,,,,,,,,,,,,,,,,school,,"[3866822522, 9265292530, 3866822526, 9265292531, 3866822513, 3866822511, 3866822516, 3866822514, 3866822522]",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,383419450,"POLYGON ((8.2763583 49.9604051, 8.2763464 49.9604726, 8.2764204 49.960478, 8.2764323 49.9604105, 8.2763583 49.9604051))",,school,,,IGS Mainz Hechtsheim D-Bau,,,,,,,,,,,,,,,,container,,"[3866822529, 3866822531, 3866822532, 3866822530, 3866822529]",,,,,,,,,,,Spieleausleihe,,,,,,,,,,,,,,,,,,,,,
way,383419451,"POLYGON ((8.2763681 49.9603782, 8.2764421 49.9603836, 8.2764538 49.9603168, 8.2763798 49.9603114, 8.2763681 49.9603782))",,school,,,IGS Mainz Hechtsheim D-Bau,,,,,,,,,,,,,,,,container,,"[3866822527, 3866822528, 3866822523, 3866822521, 3866822527]",,,,,,,,,,,Schulsozialarbeit,,,,,,,,,,,,,,,,,,,,,
way,383419452,"POLYGON ((8.2748738 49.9612512, 8.2749869 49.9612593, 8.2750086 49.9611335, 8.2748955 49.9611254, 8.2748738 49.9612512))",,school,,,IGS Mainz Hechtsheim H-Bau,,,,,,,,,,,,,,,,container,,"[3866822543, 3866822544, 3866822542, 3866822541, 3866822543]",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,383419454,"POLYGON ((8.276336 49.9601043, 8.2764714 49.9601168, 8.2764937 49.9600173, 8.2763583 49.9600047, 8.276336 49.9601043))",,school,,,IGS Mainz Hechtsheim: Freiluftwerkstadt,,,,,,,,,,,,,,,,school,,"[3866822506, 3866822507, 3866822505, 3866822504, 3866822506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,383419455,"POLYGON ((8.2742316 49.9609965, 8.2749068 49.9610584, 8.2749287 49.9609595, 8.2749342 49.9609346, 8.274259 49.9608728, 8.2742316 49.9609965))",,school,,,Theodor-Heuss-Schule,,,,,,,,,,,,,,,,school,,"[3866822537, 3866822539, 3866822535, 3866822534, 3866822533, 3866822537]",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,411498174,"POLYGON ((8.2377077 50.0005725, 8.2389388 50.0007915, 8.239376 49.999876, 8.2378096 49.9996398, 8.2377077 50.0005725))",,school,,,Elisabeth-von-Thüringen-Schule,,,http://www.elisabeth-von-thueringen-schule.de,,,Mainz,55122,Rektor-Plum-Weg,,,14,,,,,,yes,"[4131512136, 4131512151, 4131512127, 4131512134, 4131512136]",,,+49 6131 671137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,443000718,"POLYGON ((8.3111167 49.9628707, 8.3118637 49.9627398, 8.3119668 49.9627218, 8.3123038 49.9637559, 8.3120905 49.963904, 8.3113155 49.9639847, 8.3111439 49.9635102, 8.3111167 49.9628707))",,school,,,Grundschule Laubenheim,,,,,,Mainz,55130,Longchampplatz,,Stadt Mainz,2,1,public,15290,,,limited,"[4406516859, 9487029813, 4406516858, 8568855204, 8568855203, 4406516866, 4406516864, 4406516859]",,,+49613187483,,,,,,,,,,,,,,,,,Grundschule,,,,,,,,,Grundschule Laubenheim,primary,,
way,528901239,"POLYGON ((8.2783524 49.9797681, 8.2782244 49.9806572, 8.2782469 49.9807352, 8.2781769 49.9812598, 8.2779859 49.9813735, 8.2775459 49.9813489, 8.277437 49.9813583, 8.2771947 49.9813404, 8.2772055 49.9812741, 8.2763467 49.9812277, 8.2762536 49.9809762, 8.276229 49.9809181, 8.2761837 49.9806861, 8.2760712 49.9800655, 8.2760264 49.9798179, 8.2760009 49.9796318, 8.2783524 49.9797681))",,school,,,Gustav-Stresemann-Wirtschaftsschule,,,http://www.gsw-mainz.de/,Q5621233,,,,Hechtsheimer Straße,,,31,,,,,,,"[5138671827, 6128259902, 6128259903, 5138671832, 5138671833, 6128259890, 6128259889, 6128259888, 6128259887, 5138671831, 4684860145, 4684860121, 10611933473, 4684860144, 5803082290, 6115266517, 5138671827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,528901240,"POLYGON ((8.2784146 49.9806799, 8.2784226 49.9806257, 8.2785002 49.9800944, 8.2785469 49.979775, 8.2787403 49.9797888, 8.2787457 49.9797482, 8.2801903 49.9798341, 8.2800566 49.9807501, 8.279926 49.9807424, 8.2797686 49.9807332, 8.2797446 49.9807318, 8.2796986 49.9807348, 8.2796521 49.9807431, 8.2795865 49.9807483, 8.2795182 49.9807447, 8.2791385 49.9807227, 8.2787807 49.980702, 8.2784146 49.9806799))",,school,,,Gymnasium Mainz-Oberstadt,,,https://www.gymnasium-oberstadt.de/,,,Mainz,55131,Hechtsheimer Straße,,Stadt Mainz,29,2;3,public,51485,,,,"[5138671829, 6128173505, 6128173515, 590064173, 6128173509, 6128173510, 427470717, 5138671830, 9265296560, 10171508857, 6128173500, 6128173501, 6128173502, 6128173504, 6128173503, 10171508856, 6128173507, 5138671829]",,,,,,,,,,,,,,,,,,,,Gymnasium,,,,,,,,,,,,
way,614464609,"POLYGON ((8.2682499 50.0082691, 8.268588 50.008089, 8.2686791 50.0080421, 8.2687422 50.0080055, 8.2689013 50.0078844, 8.2694923 50.0074187, 8.2694462 50.0073945, 8.2696234 50.0072549, 8.2699779 50.0074408, 8.2700224 50.0074606, 8.2699916 50.0074922, 8.2699279 50.0075498, 8.2700458 50.0076108, 8.2695099 50.0080864, 8.2692519 50.008282, 8.2691128 50.0082062, 8.2690797 50.0082578, 8.2689032 50.0083811, 8.2689196 50.0083908, 8.2686631 50.0085149, 8.2685248 50.0085543, 8.2683436 50.0083623, 8.2682499 50.0082691))",,school,,,Schlossgymnasium,,,https://www.schloss-online.de/,Q1558279,,Mainz,55116,Leo-Trepp-Platz,,Stadt Mainz,1,2;3,public,50567,Gymnasium,,,"[583265131, 583265122, 583265139, 264840601, 567359092, 264840610, 264840609, 264840608, 264840607, 5812335091, 583265191, 5812335090, 5812335089, 5812335088, 5812335087, 264840602, 2448347368, 2448347370, 5812335081, 5812335082, 5812335080, 5812335084, 583265131]",,,,,,,,,,,,,,secondary,,,,Q454121,,,,,,,,1914,,,,,,
way,616752639,"POLYGON ((8.2718518 49.9955711, 8.2717726 49.9955013, 8.2717518 49.9954931, 8.2717202 49.9954931, 8.2716965 49.9954988, 8.2715877 49.9955331, 8.2715512 49.9955026, 8.2715269 49.9955147, 8.2715027 49.9955268, 8.2714098 49.9954492, 8.2718359 49.9952427, 8.2720337 49.9951595, 8.2722378 49.9953332, 8.2722854 49.9953723, 8.2722224 49.9954033, 8.2724249 49.9956083, 8.2724843 49.9956655, 8.2723609 49.9957082, 8.2720717 49.9957659, 8.2720611 49.9957563, 8.2718518 49.9955711))",,school,,,Martinus-Schule Weißliliengasse,,,https://www.martinus-schule-mainz.de/,,,Mainz,55116,Weißliliengasse,,Bistum Mainz,11,1;2,private,42397,Grundschule;Realschule Plus,,,"[264525554, 5830513721, 5830513722, 5830513723, 5830513724, 5830513725, 5830513726, 5830513729, 5830513727, 5830513728, 264525552, 264525551, 264525550, 264525549, 264525547, 264525546, 5830513731, 5830513732, 5830513733, 264525545, 264525554]",,,,,,,,,,,,,,,roman_catholic,christian,,,,,,,,,,,,,,,,
way,655255272,"POLYGON ((8.2680882 49.9946933, 8.2681053 49.99464, 8.2681401 49.9945318, 8.2681291 49.9945315, 8.2681113 49.9944554, 8.2683895 49.9944228, 8.2684745 49.9944106, 8.2685363 49.9944028, 8.2685391 49.9943983, 8.2685922 49.9944024, 8.2685922 49.9944061, 8.2687025 49.9944202, 8.2689946 49.9944579, 8.2691995 49.9944844, 8.2692711 49.9944922, 8.269252 49.9945772, 8.2692503 49.9945835, 8.2692861 49.9945872, 8.2692809 49.9946091, 8.2693074 49.9946121, 8.2693011 49.9946392, 8.269346 49.9946442, 8.2693367 49.9946809, 8.2692939 49.9946767, 8.2692731 49.9947723, 8.2693114 49.994776, 8.2692935 49.9948467, 8.2692872 49.9948755, 8.2691042 49.9948501, 8.2689879 49.9948379, 8.2688677 49.9948262, 8.2688837 49.9947585, 8.2685751 49.9947334, 8.268563 49.9947324, 8.2685604 49.99474, 8.2685546 49.9947572, 8.2684496 49.9947434, 8.2680882 49.9946933))",,school,,,Eisgrubschule,,,https://www.eisgrubschule-mainz.de/,,,Mainz,55116,Eisgrubweg,,Stadt Mainz,3,1,public,15257,Grundschule,,,"[2129664496, 2129664490, 2129664462, 2129664461, 2129664440, 2129664435, 2129664433, 2129664431, 2129664428, 2129664430, 2129664432, 2129664434, 5492238800, 2129664449, 2129664453, 2129664468, 2129664469, 2129664470, 2129664474, 2129664476, 2129664489, 264523789, 264523788, 264523787, 264523786, 264523785, 264523784, 2129664550, 264523783, 2129664535, 2129664533, 2129664516, 6142461287, 6142039604, 4068333998, 2129664515, 2129664512, 2129664496]",,,+496131221235,,,,,,,,,,,,,,,,,,,,,,,1888,,,,,,
way,667143348,"POLYGON ((8.2635707 49.9763481, 8.2626286 49.9763833, 8.2627552 49.9772916, 8.2638242 49.9772319, 8.2637 49.9771686, 8.2635707 49.9763481))",,school,,,Martinusschule Oberstadt Mainz Private Grundschule,,,http://martinusschule-oberstadt.de,,,Mainz,55129,Generaloberst-Beck-Straße,,Bistum Mainz,9,1,private,20737,Grundschule,,,"[603365349, 6246524938, 6246524937, 6246524936, 603365357, 603365349]",,,+49613195300-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,722721103,"POLYGON ((8.265231 50.007918, 8.2654367 50.0078105, 8.2655805 50.0077543, 8.2657626 50.0076831, 8.2658034 50.0076672, 8.2659502 50.00761, 8.2657705 50.0074189, 8.2657512 50.0073872, 8.2657307 50.0073659, 8.2655537 50.0071816, 8.2651738 50.0073526, 8.2647815 50.0075307, 8.2649676 50.0076922, 8.264984 50.0077068, 8.265231 50.007918))",,school,,,Rabanus-Maurus-Gymnasium,,,https://www.rama-mainz.de,Q1596922,,Mainz,55118,117er Ehrenhof,,Stadt Mainz,2,2;3,public,50224,Gymnasium,,,"[261734417, 261734418, 6779369288, 261734589, 6779318574, 261734590, 261734591, 1405239175, 261734424, 261734425, 751917084, 261734426, 751917336, 6779318561, 261734417]",,,,,,,,rama-mainz@stadt.mainz.de,,,,,,,,,,Q160441,,,,,,RaMa,,,,,,,,
way,929291432,"POLYGON ((8.1948601 49.9591961, 8.1951332 49.9592426, 8.1950236 49.9595104, 8.1952979 49.9595571, 8.1954541 49.9591753, 8.1951798 49.9591285, 8.1952925 49.9588531, 8.1950194 49.9588066, 8.1948601 49.9591961))",,school,,,Realschule Plus im Carl-Zuckmayer-Schulzentrum,,,https://www.rsplus-mainz-lerchenberg.de/,,,Mainz,55127,Hindemithstraße,,Stadt Mainz,1,2,public,41016,Realschule Plus,,,"[1510200945, 1510200968, 1510200894, 1510200927, 1510200879, 1510200881, 1510200900, 1510200952, 1510200945]",,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Realschule plus,
