element_type,osmid,amenity,name,geometry,cuisine,delivery,email,opening_hours,phone,takeaway,website,addr:postcode,indoor_seating,outdoor_seating,wheelchair,level,addr:housenumber,addr:street,alt_name,toilets:wheelchair,diet:vegan,diet:vegetarian,operator,addr:city,fast_food,addr:country,brewery,smoking,air_conditioning,payment:credit_cards,payment:debit_cards,tourism,check_date:opening_hours,opening_hours:delivery,capacity,currency:EUR,currency:USD,wheelchair:description,bar,microbrewery,source,biergarten,contact:facebook,brand,brand:wikidata,brand:wikipedia,official_name,contact:phone,description,nodes,building,wikidata,wikipedia,building:levels,fax,roof:levels,diet:halal,website:menu,addr:suburb,ref,building:part
node,5050014077,restaurant,Julien,POINT (7.7807625 49.4435534),french,,,"Tu-Sa 18:00-23:00; Su 11:00-14:00,18:00-22:00",+49 631 64887,,http://www.restaurant-julien.de/,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5503325343,restaurant,Buongusto,POINT (7.7743936 49.4472793),italian,,,"Mo-Su 11:30-14:00,17:30-23:00; Th off; Fr,Sa 11:30-14:00,17:30-24:00",+49 631 65992,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5503325364,restaurant,Zur Burg,POINT (7.7728379 49.4464143),steak house,,,"Mo-Su 11:00-14:00,17:00+",+49 631 5349543,,http://www.zur-burg.com/index.php/de/,,,,no,,18,Steinstraße,,,,,,,,,,,,,,,2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5503325367,restaurant,St. Martin,POINT (7.7721418 49.4460525),,,,Mo-Su 12:00-22:00,,,https://st-martin-kl.de/,,,,limited,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5503325370,restaurant,Boll Burger,POINT (7.7726367 49.4465268),burger,,,"Tu-Th 16:00-21:00, Fr,Sa 16:00-01:00, Su 16:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5839620142,restaurant,Centro Português de Kaiserslautern,POINT (7.7697801 49.4402489),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5981613287,restaurant,TSG Gastro Unterschiedlich,POINT (7.7571251 49.4284784),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6282814894,restaurant,Lutra Burger,POINT (7.7749903 49.4455005),burger,,,We-Su 17:30-22:00,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6450370286,restaurant,Chacarero,POINT (7.6570424 49.4362244),steak_house,,,We-Th 17:00-21:30; Fr-Sa 17:00-23:00; Su 17:00-21:00,+49 631 75009222,,https://www.chacarero.eu,67661,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7217068550,restaurant,Mr. Lian,POINT (7.6529376 49.4382368),vietnamese,,,"Mo-Th 11:00-22:00; Fr, Sa 11:00-23:00; Su 12:00-22:00",+49 631 350 6768,,http://www.mr-lian.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sushi bar, Pan Asian",,,,,,,,,,,,
node,7452577322,restaurant,Hans im Glück,POINT (7.770618 49.4454956),burger,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans im Glück,Q22569868,de:Hans im Glück (Restaurantkette),,,,,,,,,,,,,,,
node,9190447873,restaurant,Zum Gockel,POINT (7.7781473 49.4470465),regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9928189645,restaurant,Rizzi cucina e bar,POINT (7.7637011 49.4367481),italian,,,Mi-Su 18:00 - 22:00,+49 179 2072612,,,67663,,,,,25,Trippstadter Straße,,,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10782515334,restaurant,Kirschblüte,POINT (7.7599458 49.4367379),asian,,,"Mo,We-Fr 11:00-14:00, 16:00-22:00; Tu off; Sa,Su 12:00-22:00",+49 631 31197285,,https://kirschbluete.online/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30654738,restaurant,Old Station,"POLYGON ((7.754403 49.4472906, 7.7547461 49.4472846, 7.7547456 49.4472726, 7.7549299 49.4472693, 7.7549291 49.4472497, 7.7549248 49.4471454, 7.7547506 49.4471485, 7.7547513 49.4471646, 7.7546605 49.4471662, 7.7546602 49.4471587, 7.7543911 49.4471634, 7.7543925 49.4471979, 7.7543419 49.4471988, 7.7543449 49.4472723, 7.7544022 49.4472713, 7.754403 49.4472906))",,,,Mo-Sa 11:00-24:00; Su 11:00-23:00,+49 631 41459990,,https://www.oldstation-kl.de/,67659,,,,,15,Schoenstraße,,,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[339011488, 1145343397, 1145343221, 1145343242, 339011490, 339011492, 1145343332, 1145343451, 1145343351, 1145343468, 339011489, 1145343549, 1145343418, 1145343791, 1145343183, 339011488]",yes,,,,,,,,,,
way,30654739,restaurant,Pizzeria Milano,"POLYGON ((7.7549291 49.4472497, 7.7549738 49.4472489, 7.7549742 49.4472584, 7.7553157 49.4472525, 7.7553149 49.4472122, 7.75548 49.4472025, 7.7554771 49.4471337, 7.7549247 49.4471434, 7.7549248 49.4471454, 7.7549291 49.4472497))",italian,,,,,,,67659,,yes,no,,15,Schoenstraße,,,,,,Kaiserslautern,,,,no,,,,,,,,,,,,,,,,,,,,,,"[339011490, 1145343498, 1145343373, 339011493, 1145343171, 1145343598, 339011495, 1145343727, 339011492, 339011490]",yes,,,,,,,,,,
way,30695912,restaurant,Sportheim SV Morlautern,"POLYGON ((7.7646982 49.4646428, 7.764673 49.4646394, 7.7646147 49.4648178, 7.7644824 49.4647995, 7.7644749 49.4648223, 7.7642741 49.4647946, 7.7642967 49.4647252, 7.7644975 49.4647529, 7.7645241 49.4646716, 7.7645388 49.4646267, 7.7644462 49.4646139, 7.7644812 49.4645069, 7.764546 49.4645151, 7.7647314 49.4645414, 7.7646982 49.4646428))",,,,,,,,67659,,,limited,,12,Freiherr-vom-Stein-Straße,,no,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[339440219, 1070863649, 1070863411, 1070863346, 1070863023, 1070862946, 1070863587, 1070863682, 339440225, 339440241, 339440234, 339440238, 270491096, 339440221, 339440219]",yes,,,,,,,,,,
way,33421469,restaurant,Bremerhof,"POLYGON ((7.7635259 49.4167104, 7.7636535 49.4167723, 7.7634877 49.416917, 7.7634675 49.4169072, 7.7633851 49.4169791, 7.7632776 49.4169269, 7.7633826 49.4168354, 7.7635259 49.4167104))",german,,info@bremerhof-kl.de,Mo-Su 11:30-21:00,+49 631 316320,,http://bremerhof-kl.de/,67663,,,yes,,1,Bremerhof,,no,,,,Kaiserslautern,,DE,,,,,,hotel,,,,,,,,,,,,,,,,,,"[380277478, 380277480, 1287701011, 1287701131, 380277481, 380277479, 1795431044, 380277478]",hotel,,,,,,,,,,
way,95796190,restaurant,Il Mondo,"POLYGON ((7.7710328 49.446324, 7.7710146 49.4463718, 7.7709715 49.4464889, 7.7710328 49.4464978, 7.7710438 49.4464697, 7.7711547 49.4464872, 7.7711855 49.4463493, 7.7710328 49.446324))",italian,,,Tu-Sa 17:30-22:00,,,,67657,,,limited,,5,Unionstraße,,no,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1110285628, 1110285731, 1110285696, 1110285751, 1110285261, 1110285287, 1110285302, 1110285628]",yes,,,,,,,,,,
way,95796195,restaurant,Cardinale,"POLYGON ((7.7705926 49.4469629, 7.7706301 49.446906, 7.7708117 49.4469657, 7.770744 49.4471467, 7.7706407 49.4471294, 7.7706824 49.4469876, 7.7705926 49.4469629))",italian,,,Mo-Sa 17:30-23:00,+49 631 75008755,,http://www.restaurant-cardinale.de/,67657,,,no,,14,Rittersberg,,,,yes,,Kaiserslautern,,DE,,,,,,,2023-05-06,,,,,,,,survey Oct 2016,,,,,,,,,"[1110285143, 1110285586, 1110285497, 1110285247, 1110285367, 1110285184, 1110285143]",yes,Q27478821,,,,,,,,,
way,96050354,restaurant,Spinnrädl,"POLYGON ((7.7703525 49.444735, 7.770383 49.4447107, 7.7704311 49.4447366, 7.7704906 49.4447686, 7.7704631 49.4447893, 7.7705131 49.4448134, 7.77049 49.4448437, 7.7703152 49.4448352, 7.7703525 49.444735))",german,,,Mo-Fr 17:00+; Sa 10:00+,,,https://www.spinnraedl.de,67655,,,no,,1,Schillerstraße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1112875618, 1112875401, 1112875536, 1112875511, 1112875564, 1112875529, 1112875449, 1112875463, 1112875618]",yes,,de:Zum Spinnrädl,,,,,,,,
way,98200709,restaurant,Sam Kullman's Diner,"POLYGON ((7.7966683 49.4560396, 7.7965139 49.4559828, 7.7965309 49.4559633, 7.7964773 49.4559435, 7.7964614 49.4559618, 7.7963107 49.4559064, 7.7962353 49.4559929, 7.7964125 49.456058, 7.7964001 49.4560723, 7.7965409 49.4561241, 7.7965527 49.4561106, 7.7965935 49.4561256, 7.7966683 49.4560396))",burger,,,"Mo-Th,Su 09:00-24:00; Fr,Sa 09:00-01:00",+49 631 4150916,,http://www.kullmans.de/,67657,yes,yes,yes,,119,Mainzer Straße,,,,,,Kaiserslautern,,DE,,,,,,,,,,yes,yes,,,,,,,,,,,,,"[1136052828, 1136053263, 1136053618, 1136052987, 1136053873, 1136053527, 1136053480, 1136052725, 1136053332, 1136053147, 1136053716, 1136053022, 1136052828]",retail,,,1,+49 631 4150918,,,,,,
way,98776918,restaurant,Gourmet World,"POLYGON ((7.7940915 49.4549811, 7.7936483 49.4548208, 7.7934295 49.4547416, 7.7932354 49.4549684, 7.7938973 49.4552079, 7.7940503 49.4550292, 7.7940915 49.4549811))",asian,,,"Mo,We-Fr 11:30-15:00,17:30-23:00; Tu off; Sa 11:30-22:30; Su,PH 11:30-23:00",+49 631 3615188,,http://gourmetworld-kaiserslautern.de/,67657,,,yes,,105,Mainzer Straße,,yes,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[1142768268, 3962406662, 1142767959, 1142768081, 1142769739, 1142769508, 1142768268]",retail,,,1,,,,,,,
way,98863069,restaurant,"Cheese ""n"" Salsa","POLYGON ((7.7955723 49.4550288, 7.7954842 49.4549947, 7.795371 49.4549509, 7.7953149 49.4549292, 7.7952035 49.4550509, 7.7951922 49.4550633, 7.7952482 49.455085, 7.7954496 49.4551629, 7.7955723 49.4550288))",,,,,,,,67657,,,limited,,122,Mainzer Straße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1143727009, 5568555687, 5568555664, 1143726853, 5568555662, 1143726765, 5568555665, 1143727628, 1143727009]",yes,,,2,,,,,,,
way,98997887,restaurant,Brauhaus,"POLYGON ((7.7515689 49.4465561, 7.7515756 49.4465677, 7.7515235 49.4465804, 7.7515777 49.4466741, 7.751623 49.446663, 7.751639 49.4466906, 7.7518329 49.4466432, 7.7519232 49.4467996, 7.7521036 49.4467555, 7.7520867 49.4467263, 7.7521929 49.4467003, 7.7521251 49.446583, 7.7525176 49.4464871, 7.7524351 49.4463445, 7.7515689 49.4465561))",german,,,"Su-Th 11:00-23:00,Fr-Sa 11:00-00:00",+49 631 7100750,,https://www.das-brauhaus-kl.de/,67659,,,yes,,6,Forellenstraße,,yes,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1145343292, 1145343287, 1145343431, 1145343338, 1145343067, 1145343600, 1145343729, 1145343649, 1145343176, 1145343789, 1145343681, 1145343205, 1145343136, 1145343240, 1145343292]",yes,,,,,,,,,,
way,103144898,restaurant,Zur Wackenmühle,"POLYGON ((7.7635611 49.439219, 7.7634811 49.4392998, 7.7635296 49.4393201, 7.7634996 49.4393504, 7.7635447 49.4393693, 7.7635584 49.4393555, 7.7636626 49.4393992, 7.763759 49.4393019, 7.7635611 49.439219))",german,,,"Mo,We-Fr 11:00-13:30,17:00-22:00; Sa 17:00-18:00+; Su 11:00-14:00,17:00-18:00+",,,,67655,,,no,,58,Pirmasenser Straße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1190957689, 1190957367, 1190957533, 1190958301, 1190957913, 1190958938, 1190957009, 1190959773, 1190957689]",retail,,,2,,1,,,,,
way,103145099,restaurant,Bächle,"POLYGON ((7.7639018 49.4396189, 7.7637558 49.4397243, 7.7638098 49.439735, 7.7639636 49.4397628, 7.7640009 49.4396774, 7.7639018 49.4396189))",german,,,,,,,67655,,,,,60,Moltkestraße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1190957413, 1190959847, 1190959044, 1190958387, 1190957957, 1190957413]",yes,,,,,,,,,,
way,103399942,restaurant,Goodies Food Factory,"POLYGON ((7.7681815 49.4374766, 7.768118 49.4375977, 7.7682779 49.4376327, 7.7683646 49.4376517, 7.7683884 49.4376059, 7.7683378 49.4375948, 7.768354 49.4375635, 7.7683177 49.4375555, 7.7683574 49.4374845, 7.7681815 49.4374766))",burger;pizza,,,Mo-Do 12:00 - 22:30 Fr-Sa 12:00-00:00 So 14:00-22:30,+4963131164343,,https://thegoodies.de,67655,,,,,93,Richard-Wagner-Straße,,,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[1193995921, 1193995785, 1193995079, 1193994973, 1193996076, 1193995418, 1193996169, 1193995020, 1193995004, 1193995921]",yes,,,3,,1,yes,goodies.simplywebshop.de,,,
way,103400098,restaurant,Urbino,"POLYGON ((7.7666295 49.4375998, 7.7665172 49.4376804, 7.7666221 49.4377422, 7.7666592 49.4377642, 7.7667182 49.4377219, 7.7666946 49.4377079, 7.766748 49.4376697, 7.7666295 49.4375998))",italian,,,,,,,67655,,,no,,6,Rudolf-Breitscheid-Straße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1193996277, 1193996288, 1193995280, 1193995053, 1193994864, 1193995411, 1193995809, 1193996277]",yes,,,,,,,,,,
way,103400134,restaurant,La Nuova Mamma,"POLYGON ((7.7675349 49.4387092, 7.767488 49.4388021, 7.7675122 49.4388296, 7.767643 49.4388444, 7.7676933 49.438744, 7.7675349 49.4387092))",italian,,,,,,,67655,,,no,,71,Richard-Wagner-Straße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1193996181, 1193995089, 1193996157, 1193995009, 1193996274, 1193996181]",yes,,,,,,,,,,
way,107426441,restaurant,Quack,"POLYGON ((7.8086721 49.4376239, 7.8085754 49.4375435, 7.8085913 49.4375355, 7.8084958 49.4374562, 7.8086249 49.4373905, 7.8088171 49.4375501, 7.8086721 49.4376239))",german,,,May 01-Sep 30: 11:30-21:30; Oct 01-Apr 30: 11:30-21:00,+49-631-42828,,http://www.quack-kl.de/,67657,,,limited,,74,Entersweilerstraße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1234678528, 1272893493, 2177212431, 1272893495, 1234678534, 1234678531, 1234678528]",yes,,,,,,,,,,
way,109369835,restaurant,Blechhammer,"POLYGON ((7.740472 49.4519714, 7.7402459 49.4518687, 7.7399452 49.4521487, 7.73999 49.452169, 7.7399523 49.4522041, 7.7401128 49.4522769, 7.7401942 49.4522011, 7.7401823 49.452161, 7.7402412 49.4521878, 7.7403143 49.4521197, 7.7402749 49.4521018, 7.7403398 49.4520414, 7.7403781 49.4520588, 7.740472 49.4519714))",,,info@blechhammer-kl.de,,+49 631 4147350,,http://blechhammer-kl.de/,67659,,,limited,,1,Am Hammerweiher,,,,,,Kaiserslautern,,DE,,,,,,hotel,,,,,,,,,,,,,,,,,,"[1252239520, 1252239507, 1252239516, 1934990867, 1934990871, 1934990873, 1934990870, 1252239509, 1252239492, 1252239491, 1252239518, 1934990853, 1934990855, 1252239520]",yes,,,,+49 631 41473529,,,,,,
way,113688775,restaurant,,"POLYGON ((7.7559624 49.450244, 7.7560456 49.4501271, 7.7557939 49.4500514, 7.7557107 49.4501683, 7.7559624 49.450244))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1288893483, 1288893289, 1288893398, 1288893505, 1288893483]",yes,,,,,,,,,,
way,114553024,restaurant,Zur Feiermaus,"POLYGON ((7.6891689 49.4697819, 7.6890832 49.4696772, 7.6888792 49.4697477, 7.6889649 49.4698524, 7.6891689 49.4697819))",german,,,"Mo-Sa 11:00-22:00,Su 10:00-22:00",+49 6301 7988277,,http://www.zur-feiermaus.de,67661,,,,,6,Auf der Brücke,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1297373405, 1297373481, 1297373422, 1297373450, 1297373405]",yes,,,,,,,,Siegelbach,,
way,132905397,restaurant,Sommerhaus,"POLYGON ((7.7575812 49.4245672, 7.7577061 49.4245297, 7.7578887 49.4244749, 7.7578222 49.4243812, 7.7576737 49.4244258, 7.7575147 49.4244735, 7.7575812 49.4245672))",,,info@restaurant-sommerhaus.de,Mo-Sa 11:00-00:00; Su 11:00-16:00,+49 631 25566,,http://www.restaurant-sommerhaus.de/,67663,,,limited,,114,Pfaffenbergstraße,,,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[1462110033, 6475423080, 1462110032, 1462110030, 6475423079, 1462110031, 1462110033]",yes,,,1,,,,,,7,
way,151072956,restaurant,Licht Luft,"POLYGON ((7.8035325 49.4383024, 7.8036121 49.4385043, 7.8037467 49.4384819, 7.8037175 49.4384077, 7.8036873 49.4383311, 7.8040573 49.4382695, 7.8040981 49.4382627, 7.8040796 49.4382156, 7.8040707 49.4381931, 7.8036392 49.438265, 7.8036464 49.4382834, 7.8035325 49.4383024))",german,,,11:00-22:00,+49 631 42225,,https://www.gasthaus-lichtluft.de,67657,,,limited,,51,Entersweilerstraße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[1639094290, 1639094293, 2315763800, 2315763799, 2315763795, 2315763794, 2315763792, 2315763791, 1639094297, 2315763793, 1639094300, 1639094290]",yes,,,,+49 631 3402102,,,,,,
way,177891627,restaurant,"Servus, Speisekneipe","POLYGON ((7.7804012 49.4319981, 7.7803527 49.4319972, 7.7802042 49.4319949, 7.7802041 49.4319405, 7.7802057 49.4318959, 7.7802582 49.4318966, 7.7802588 49.4318795, 7.7803467 49.4318808, 7.7804177 49.4318795, 7.780414 49.4319238, 7.7803793 49.4319232, 7.780378 49.4319535, 7.7804031 49.431954, 7.7804012 49.4319981))",,,,,,,,67663,,,no,,64,Kantstraße,,,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[1871944930, 1871944929, 1882927617, 1882927612, 1882927605, 1882927606, 1882927598, 1882927600, 1882927599, 1882927610, 1871944925, 1871944927, 1871944928, 1871944930]",yes,,,,,,,,,,
way,200142363,restaurant,Vai Vai,"POLYGON ((7.7880464 49.4382894, 7.7880522 49.4381661, 7.7883541 49.4381722, 7.7883483 49.4382955, 7.7880464 49.4382894))",,,villatiberio@gmx.de,,+49 631 3405002,,,67657,,,yes,,4,Kniebrech,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[2101282374, 2101282362, 2101282365, 2101282376, 2101282374]",yes,,,,,,,,,,
way,205318363,restaurant,Barbarossahof,"POLYGON ((7.821857 49.4597612, 7.822083 49.4597731, 7.8220764 49.4598264, 7.8222529 49.4598357, 7.8222787 49.4596272, 7.8222146 49.4596238, 7.8221601 49.459621, 7.8221549 49.4596632, 7.8220496 49.4596577, 7.8218711 49.4596483, 7.821857 49.4597612))",,,,,+49 (0) 631 41 44 - 0,,http://www.barbarossahof.com/de/restaurant,67657,,,,,10,Eselsfürth,,,,,,Kaiserslautern,,,,,,,,,,,,,,,,,,,,,,,,,,"[2152944149, 2152944117, 2152944160, 2152944124, 2152944131, 2152944182, 2152944179, 2152944133, 2152944156, 2152944162, 2152944149]",yes,,,,,,,,,,
way,223134725,restaurant,China Town,"POLYGON ((7.7427584 49.4418347, 7.7427697 49.4417906, 7.742721 49.4417853, 7.7427363 49.4417251, 7.7426743 49.4417185, 7.7426771 49.4417071, 7.7425906 49.4416978, 7.7425877 49.4417092, 7.7424728 49.4416968, 7.7424704 49.4417059, 7.7424462 49.4418011, 7.7427584 49.4418347))",chinese,,,,,,,67663,,,,,19,Reichswaldstraße,,,,,,Kaiserslautern,,DE,,,,,,,,,,,,,,,,,,,,,,,,"[2320676984, 2320676979, 2320676977, 2320676969, 2320676966, 2320676958, 2320676950, 2320676961, 2320676949, 2320676957, 2320676981, 2320676984]",yes,,,,,,,,,,
way,608837627,restaurant,Gebäude G,"POLYGON ((7.7564241 49.4469881, 7.7569391 49.4469584, 7.7569357 49.4469171, 7.7568857 49.446566, 7.7563707 49.4465957, 7.7564241 49.4469881))",,,,Mo - Do 07:45-14:30; FR 08:00-14:00,,,https://www.studierendenwerk-kaiserslautern.de/kaiserslautern/essen-und-trinken/hs-kaiserslautern/,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mensa, Aula","[5767441145, 5767441144, 6691243331, 5767441143, 5767441142, 5767441145]",university,,,,,,,,,,
way,1131980027,restaurant,Ristorante Verica,"POLYGON ((7.7650345 49.4707495, 7.7648336 49.4707226, 7.764718 49.4707067, 7.7647423 49.4706307, 7.7650436 49.4706683, 7.7650588 49.4706702, 7.7650345 49.4707495))",,,,"Mo,We-Sa 17:30-22:00; Su 11:30-14:00,17:30-22:00; Tu off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10554715643, 7160197807, 1771324847, 10554715645, 10556941850, 10554715646, 10554715643]",,,,1,,,,,,,yes
