element_type,osmid,amenity,name,operator:wikidata,geometry,wheelchair,operator,addr:city,addr:housenumber,addr:postcode,addr:street,website,description,email,grades,operator:type,phone,contact:website,isced:level,max_age,min_age,short_name,alt_name,contact:instagram,name:etymology:wikidata,old_name,contact:phone,office,nodes,wikidata,wikipedia,building,addr:country,toilets:wheelchair,addr:suburb,contact:fax,contact:email,contact:twitter,name:fr,short_name:fr,wikimedia_commons,denomination,area,source,polling_station,polling_station:ref,historic,image,name:en,institution:pedagogy,contact:facebook,school:de,ways,building:levels,roof:shape,type
way,124014221,school,Gemeinschaftsschule Saarbrücken-Bellevue,,"POLYGON ((6.9753489 49.2277541, 6.9755162 49.2277157, 6.9759067 49.2276261, 6.9760858 49.227585, 6.9768315 49.2274135, 6.9768731 49.227402, 6.9767513 49.2271914, 6.9767155 49.2271383, 6.9767101 49.2270572, 6.9765327 49.2265618, 6.9761724 49.2266216, 6.9759626 49.2263085, 6.9758189 49.2261238, 6.9757985 49.2261153, 6.9757683 49.2261158, 6.9753724 49.2262421, 6.9753328 49.2262536, 6.9752843 49.2262676, 6.9751828 49.226297, 6.9751251 49.2263137, 6.9753381 49.2266259, 6.9753394 49.226628, 6.975365 49.2266686, 6.9754398 49.2267717, 6.9749069 49.2269313, 6.9750751 49.2272463, 6.9752435 49.2275637, 6.9753489 49.2277541))",,Regionalverband Saarbrücken,,,,,,,,,public,,https://www.gts-bellevue.de/,2;3,,,,,,,,,,"[1381365457, 9978601033, 9978551768, 9978601078, 9978601132, 1381365393, 9978551741, 9978551802, 9661907165, 1381365419, 1381365399, 9661743729, 1381365453, 9978601141, 9978601065, 9978551755, 9978551766, 9978551759, 9978551769, 1381365415, 9978551762, 9978601049, 9978551799, 1381365443, 1381365461, 9978601149, 9978601184, 1381365457]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125309721,school,Integrierte Montessori-Gesamtschule Saarbrücken,,"POLYGON ((7.049203 49.2254024, 7.0497985 49.2258123, 7.0500882 49.2255705, 7.0505361 49.2251764, 7.0499567 49.2248383, 7.049203 49.2254024))",,,,,,,,,,,,,http://www.montessori-sb.de/,2;3,,,,,,,,+49 681 8910166,,"[1392210084, 1392210075, 1392210072, 1392210073, 1392210071, 1392210084]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125311573,school,Ausbildungszentrum AGV Bau Saar - Außenstelle,,"POLYGON ((7.0439084 49.2223621, 7.0437986 49.2223473, 7.0436737 49.2223414, 7.0436109 49.2223437, 7.0435551 49.2223543, 7.0434616 49.2224083, 7.0434428 49.2224537, 7.0434414 49.2225382, 7.0434635 49.2226115, 7.04352 49.2227523, 7.0435756 49.2228908, 7.0435885 49.222923, 7.0436264 49.2230298, 7.0436734 49.2231623, 7.0437871 49.2234731, 7.0447408 49.2229146, 7.0445142 49.2227488, 7.0444989 49.2227589, 7.0439084 49.2223621))",,Ausbildungszentrum AGV Bau Saar GmbH,,,,,,,,,,,,,,,,,,,,,,"[662778132, 1406943550, 1406943547, 1406943546, 1406943559, 1406943569, 1406943571, 1406943573, 1406943582, 1406943590, 1406943607, 1406943610, 1406943626, 1406943630, 1406943669, 1392117573, 1406943589, 1406943591, 662778132]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125315103,school,Ausbildungszentrum AGV Bau Saar - Zentrale,,"POLYGON ((7.0443783 49.2241947, 7.0448552 49.2246544, 7.0449169 49.2246386, 7.0456356 49.2243169, 7.0462813 49.2240383, 7.0455123 49.2235035, 7.0443783 49.2241947))",,Ausbildungszentrum AGV Bau Saar GmbH,,,,,,,,,,,,,,,,,,,,,,"[1392294226, 1392294227, 1392152925, 669837279, 267353478, 1392294221, 1392294226]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125450263,school,Grundschule Hohe Wacht,,"POLYGON ((6.9847855 49.2204141, 6.9860189 49.2214933, 6.986965 49.2209293, 6.9866627 49.2207142, 6.9865341 49.220671, 6.9863109 49.2205495, 6.9863462 49.2203586, 6.9863058 49.2203544, 6.9850338 49.2202216, 6.9847855 49.2204141))",,Landeshauptstadt Saarbrücken,,25,66119,Hohe Wacht,,"Schulhof darf bis 14 Jahren an Mo-Fr 17:00-20:00; Sa,So,Feiertag,Ferien 10:00-20:00 bzw. bis Dunkelheit genutzt werden",,,public,,http://www.grundschulehohewacht.de/,1,,,,,,,,+49 681 55826,,"[1393366537, 1393366535, 1393366521, 1393366522, 1393366530, 1393366529, 1393366527, 8758821219, 1393366528, 1393366537]",,,,,,,+49 681 5893786,gshohewacht@saarbruecken.de,,,,,,,,,,,,,,,,,,,
way,125500519,school,Gymnasium am Schloss,,"POLYGON ((6.9925276 49.2291887, 6.9925787 49.2291554, 6.9928274 49.228995, 6.9928688 49.2289685, 6.9931447 49.2287932, 6.9931899 49.2287649, 6.9932106 49.2287509, 6.9930906 49.2286742, 6.9930707 49.2286616, 6.993063 49.2286566, 6.9929747 49.2286002, 6.9929074 49.2286372, 6.9926597 49.2287008, 6.992583 49.228658, 6.9924769 49.2285956, 6.9923452 49.2285103, 6.9923039 49.2285093, 6.9922699 49.2285018, 6.9922274 49.228479, 6.9922596 49.2284587, 6.9921371 49.2283812, 6.9920737 49.2284195, 6.9919049 49.2285197, 6.9917125 49.228642, 6.9921004 49.2289015, 6.9923125 49.2290442, 6.9924541 49.2291404, 6.9925276 49.2291887))",,Regionalverband Saarbrücken,Saarbrücken,15,66119,Spichererbergstraße,,,,,public,,http://www.gymnasium-am-schloss.de/,2;3,,,,,,,,+49 681 581884,,"[6177724985, 1167745889, 1167745890, 6177724984, 1393770380, 7613224745, 1059307890, 9657295397, 7636282335, 1059307904, 2278495704, 2283001157, 9657295398, 1393770408, 10816830372, 2283009188, 10816830370, 10816830389, 10816830390, 10816830375, 1393770386, 6182847972, 1167745891, 1167745886, 2240225193, 7395314127, 1167745892, 6177724985]",Q1517001,,,,,Alt-Saarbrücken,+49 681 52084,gymnasium-am-schloss@web.de,,,,,,,,2019,1121,,,,,,,,,,
way,125528426,school,Europäische Schule Saarland,,"POLYGON ((6.9676697 49.2399295, 6.9676993 49.2399784, 6.9676443 49.2399912, 6.9676542 49.2400095, 6.9676854 49.24007, 6.9680114 49.2399865, 6.9679438 49.239865, 6.9679321 49.239868, 6.9676697 49.2399295))",,Regionalverband Saarbrücken;Landeshauptstadt Saarbrücken,Saarbrücken,68,66115,Paul-Schmook-Straße,https://europaeische-schule.saarland/en,Nach der Zerstörung im 2. Weltkrieg wurde an der Stelle des Rathauses von Malstatt-Burbach in den Jahren 1950-52 das Gebäude als Schulgebäude wieder aufgebaut (Architekt: Peter Paul Seeberger),,,,,,,,,,,,,,,,"[1393976500, 1116008117, 1116008003, 9883739017, 1116008422, 1116008329, 1116008374, 10695945147, 1393976500]",,,yes,,,,,,,École Européenne de la Sarre,,,,,http://institut-aktuelle-kunst.de/kunstlexikon/saarbruecken-bezirk-mitte-malstatt-pestalozzischule-1820,,,townhall,File:RathausMalstatt1900L1010598.JPG,European School Saarland,,,,,,,
way,125534652,school,Gebundene Ganztagsgrundschule Kirchberg,,"POLYGON ((6.9730034 49.2412808, 6.972997 49.2413136, 6.9730753 49.2413221, 6.9731425 49.2413293, 6.9735332 49.2413661, 6.9735478 49.2413676, 6.9735645 49.2413696, 6.9736189 49.241375, 6.9737357 49.2413833, 6.9737502 49.2412953, 6.9737616 49.2412322, 6.9738081 49.2412346, 6.9739849 49.2412458, 6.9739918 49.2412071, 6.9740486 49.2412107, 6.9740538 49.2411755, 6.9738306 49.2411607, 6.9738843 49.2407053, 6.9733411 49.2406612, 6.9731347 49.240879, 6.9730861 49.2409303, 6.9729356 49.2412156, 6.9729642 49.2412182, 6.9729937 49.241221, 6.9730404 49.2412249, 6.9730289 49.241283, 6.9730034 49.2412808))",,Landeshauptstadt Saarbrücken,,,,,,,,,public,,https://www.saarbruecken.de/de/bildung/schulen/grundschulen/grundschule_kirchberg,1,,,,,,,,+49 681 42090,,"[7921031636, 7921031665, 9084272921, 10713110439, 9084272898, 7921031674, 9084272939, 9084272842, 7921031668, 10713110480, 10713110482, 7921031628, 7921031629, 7921031630, 7921031631, 7921031632, 7921041787, 1394022832, 1394022842, 9088321593, 1394022817, 1394022840, 7921031680, 1394022820, 7921031635, 7921031637, 7921031636]",,,,,,,+49 681 4171585,gskirchberg@saarbruecken.de,,,,,,,,,,,,,,,,,,,
way,125536039,school,Freiwillige Ganztagsgrundschule Wallenbaum,,"POLYGON ((6.9754516 49.2415266, 6.975546 49.2415464, 6.9755439 49.2415657, 6.9755411 49.2415939, 6.9755352 49.2416512, 6.9755292 49.2417084, 6.9755281 49.2417191, 6.9755208 49.2417895, 6.9755886 49.2417933, 6.9755815 49.2418502, 6.9755802 49.2418662, 6.9755742 49.2419302, 6.9757535 49.2419313, 6.9761337 49.2419359, 6.9761639 49.2418961, 6.9761722 49.241622, 6.9761735 49.2415988, 6.9761784 49.2415383, 6.976217 49.241293, 6.9754815 49.2412345, 6.9754516 49.2415266))",,Landeshauptstadt Saarbrücken,,,,,,,,,public,,http://www.saarbruecken.de/de/bildung/schulen/grundschulen/grundschule_wallenbaum,1,,,,,,,,+49 681 42001,,"[5250956348, 6462966992, 1677391499, 10713110418, 10713110484, 10713110374, 3453682580, 9098725780, 9098725761, 9098725771, 10733650317, 1677391502, 9098725763, 9098725752, 9098725777, 1677391491, 9573528367, 9573528328, 5250956346, 6462966994, 5250956348]",,,,,,,+49 681 4170211,gswallenbaum@saarbruecken.de,,,,,,,,,,,,,,,,,,,
way,129101605,school,Grundschule Herrensohr / Jägersfreude (Theodor Heuss),,"POLYGON ((7.0097874 49.2747238, 7.0098385 49.2749807, 7.0098612 49.2751178, 7.0107223 49.2752385, 7.0109452 49.2747704, 7.0108032 49.2747316, 7.01084 49.2744966, 7.0107563 49.2744867, 7.0107829 49.2742004, 7.0103959 49.2741562, 7.0102109 49.2741634, 7.0100639 49.2742112, 7.0097368 49.2742451, 7.0095085 49.2742574, 7.009658 49.2744673, 7.0097606 49.2744707, 7.0097874 49.2747238))",no,,,,,,,,,,,,,,,,,,,,,,,"[1425048045, 1425048048, 1425048049, 1425048050, 1425048047, 1425048046, 1425048044, 1425048043, 1425048040, 4256016176, 4256016183, 1425048041, 1425048042, 4256016181, 4256016177, 4256016182, 1425048045]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,140061487,school,Grundschule,,"POLYGON ((7.0452587 49.182815, 7.0455424 49.1828478, 7.0456801 49.1823104, 7.0457553 49.1818303, 7.044954 49.1818385, 7.0448247 49.1819449, 7.0448122 49.1821113, 7.0447871 49.1822859, 7.0449123 49.1824713, 7.04505 49.1826568, 7.0452587 49.182815))",,,,,,,,,,,,,,,,,,,,,,,,"[1534659064, 1534659066, 1534659057, 1534659039, 1534659043, 1145302347, 1534659049, 1534659054, 1534659062, 1145302665, 1534659064]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,162141019,school,Freie Waldorfschule Saarbrücken,,"POLYGON ((6.9136979 49.2581475, 6.9141213 49.2582003, 6.9140958 49.2582985, 6.9145726 49.2583435, 6.9151981 49.2584533, 6.9151514 49.2577869, 6.9150266 49.2578148, 6.9141133 49.2576381, 6.9140593 49.2577818, 6.9138174 49.2577427, 6.9136979 49.2581475))",,Waldorfschulverein Saarbrücken e. V.,Saarbrücken,11,66126,Schulstraße,,,,,,,http://www.waldorfschule-saarbruecken.de/,,,,,,,,,+49 6898 8520201,,"[1740729496, 1740729494, 1740729492, 5019533295, 1740729501, 1740729505, 1740729504, 1740729503, 1740729502, 1740729500, 1740729496]",Q56250038,,,DE,,,+49 6898 8475,info@waldorfschule-saarbruecken.de,,,,,,,,,,,,,waldorf,,,,,,
way,188513472,school,Lehrinstitut für Gesundheitsberufe der Saarland-Heilstätten GmbH,,"POLYGON ((7.0425387 49.2172264, 7.0424126 49.2167411, 7.0423885 49.2166903, 7.0423536 49.216664, 7.0422919 49.2166465, 7.0420686 49.2166033, 7.0418332 49.2165711, 7.041465 49.2165626, 7.0414039 49.2169941, 7.0414206 49.2170792, 7.0414718 49.2171925, 7.0415705 49.2173548, 7.0425387 49.2172264))",,,Saarbrücken,35,66130,Scheidter Straße,,,,,,,http://lehrinstitut.shg-kliniken.de/,,,,,,,,,+49 681 87009-0,,"[1991404011, 1991404006, 1991404022, 1991404019, 1991404004, 1991426328, 1991404016, 1991404014, 525178901, 525178904, 1991426326, 1028101315, 1991404011]",,,,,,,+49 681 87009-16,sekr.lehrinstitut@sb.shg-kliniken.de,,,,,,,,,,,,,,,,,,,
way,192232248,school,Sozialpflegerisches Berufsbildungszentrum Saarbrücken,Q6805,"POLYGON ((7.0036012 49.2362898, 7.0038081 49.2362701, 7.0040406 49.2362471, 7.0042693 49.2363018, 7.0050924 49.2364985, 7.0051257 49.2363807, 7.0052799 49.2361063, 7.0053067 49.2360585, 7.005318 49.2360321, 7.005327 49.2360171, 7.0053359 49.2359705, 7.0053974 49.2357948, 7.0053854 49.2357958, 7.0052723 49.2358023, 7.0052304 49.2358048, 7.0051265 49.2358912, 7.0050656 49.2359383, 7.0050411 49.2357348, 7.0050131 49.2357362, 7.0049847 49.2354987, 7.0049759 49.2354242, 7.0048329 49.2354021, 7.0044312 49.2353664, 7.0037043 49.2352373, 7.003651 49.2353477, 7.0036413 49.2353457, 7.0036314 49.2353651, 7.0035357 49.2353476, 7.0035305 49.2353466, 7.0034596 49.2353333, 7.0033822 49.2353188, 7.0033346 49.2354343, 7.0032997 49.2355229, 7.003284 49.2356039, 7.0033279 49.2356258, 7.003327 49.2356358, 7.0033222 49.2356724, 7.0033186 49.2357004, 7.0033169 49.2357074, 7.0032627 49.2357248, 7.00326 49.2357644, 7.003505 49.2357689, 7.0035251 49.2357693, 7.0035277 49.2358045, 7.0035494 49.2358089, 7.003556 49.2358863, 7.0035424 49.2358873, 7.0034672 49.2358921, 7.0034766 49.2359675, 7.0035534 49.2359627, 7.0036012 49.2362898))",,Regionalverband Saarbrücken,,,,,,,,,public,,https://sbbzsb.de,,,,SBBZ,,,,,+49 681 938020,,"[2027927876, 2027927817, 2027927879, 2027927837, 2027927872, 8758943691, 10665363858, 2027927814, 5687300504, 8773945229, 8770575347, 837882392, 8770574488, 8770575354, 837882388, 1278419111, 1052021104, 8766337806, 8766337807, 1052021103, 10665166149, 10665166157, 1278419114, 1278419112, 10665363855, 10665363864, 1278419145, 10065106138, 10665185143, 10665166168, 2027927857, 10065106139, 10065106129, 10065106140, 10065106130, 10065106137, 10065106133, 10065106147, 2027927806, 1278419122, 10065106132, 10665363866, 10065106131, 10665363876, 10665363824, 10665363842, 10665363830, 10665363828, 10665363825, 10665363880, 2027927876]",,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/SBBZSB,,,,,
way,204676964,school,Technisch-Gewerbliches Berufsbildungszentrum I & II,,"POLYGON ((7.000369 49.2401828, 7.0005054 49.2403182, 7.0007651 49.240424, 7.000865 49.2404178, 7.0011721 49.2403985, 7.001419 49.240383, 7.0015432 49.2403741, 7.0016049 49.2403679, 7.00166 49.240361, 7.0020201 49.2403158, 7.0020127 49.240206, 7.0020106 49.2401499, 7.0020107 49.2401171, 7.0022224 49.2401109, 7.0022844 49.2399, 7.0023354 49.2397983, 7.0023907 49.239695, 7.0024331 49.2396167, 7.0024561 49.2395689, 7.0024141 49.2395784, 7.0023643 49.2395296, 7.001509 49.2395237, 7.001564 49.2393899, 7.0015769 49.239355, 7.0015837 49.2393366, 7.0014994 49.2393239, 7.0015836 49.2390518, 7.0015819 49.2390518, 7.0015599 49.2390423, 7.0015609 49.2390071, 7.0015889 49.2389937, 7.0015943 49.2388968, 7.001594 49.238874, 7.0015669 49.2388661, 7.0015102 49.238866, 7.0014509 49.238864, 7.0013744 49.2388818, 7.0013377 49.2388901, 7.0013342 49.2388681, 7.0011317 49.2388707, 7.0009982 49.2388794, 7.0008277 49.2388856, 7.0007886 49.2384994, 7.0005114 49.2385284, 7.0003633 49.238544, 7.0003506 49.2384986, 7.0002662 49.2385027, 7.0000254 49.2385142, 7.0000431 49.2387036, 7.000045 49.2387177, 7.0000502 49.2387553, 6.9998643 49.238762, 6.9998201 49.2387636, 6.999909 49.2389214, 6.999946 49.2389874, 7.0002657 49.2395161, 7.0006078 49.240071, 7.000369 49.2401828))",yes,,,,,,,,,,,,,,,,TGBBZ I & II,Mügelsbergschule,,,,,,"[1147903918, 5536832537, 1143607575, 10767001872, 10767001883, 10767018807, 10767001898, 1145302633, 10767001871, 1089217278, 1089217658, 2291418109, 1145302302, 1145302554, 1145302781, 1375943543, 1375943531, 8750916661, 8756303499, 1145302240, 1145302561, 1145302590, 8756252136, 1263179120, 8756246213, 8756246190, 8756246149, 8756246156, 8756252137, 8756246164, 8756246154, 1145302251, 8756246184, 1340022278, 1263179136, 8750916697, 8750916647, 8807467215, 8807467722, 8756252118, 8756246189, 1145302509, 1145302721, 1263166549, 1263145695, 1145302758, 1990648687, 1268700248, 1032946863, 8968888791, 8959759096, 8957913801, 1145302663, 8959759103, 1268700253, 8959759113, 1147904611, 1147903918]",Q87659503,,,,,,,,,,,,,,,,,,,,,,,,,,
way,219084075,school,Grundschule Am Ordensgut,,"POLYGON ((6.9698947 49.2310713, 6.9707047 49.2311537, 6.9709542 49.2311998, 6.9711001 49.2306079, 6.9709818 49.2305935, 6.9708603 49.2305598, 6.9706849 49.2305453, 6.9703807 49.2305378, 6.9702466 49.2305728, 6.9701255 49.2305932, 6.9700211 49.2305815, 6.9698947 49.2310713))",yes,Landeshauptstadt Saarbrücken,,,,,,,gsordensgut@saarbruecken.de,,public,,http://www.grundschule-am-ordensgut.de/,1,,,,,,,,+49 681 581882,,"[2282914613, 10828017574, 2282914651, 1385992064, 2282845154, 2282845136, 2282845144, 1385992081, 1385992074, 1385992082, 2282914683, 2282914613]",,,,,yes,,+49 681 581877,gsordensgut@saarbruecken.de,,,,,,,,,,,,,,,,,,,
way,220056793,school,Max-Ophüls-Grundschule - Schulhaus Am Homburg,,"POLYGON ((7.0090518 49.248291, 7.0089965 49.2483306, 7.0086765 49.2485595, 7.0082981 49.2488306, 7.0082444 49.2488688, 7.0086146 49.2490544, 7.0091939 49.2489511, 7.0093603 49.2488429, 7.0094273 49.2487993, 7.0095211 49.2487146, 7.0095559 49.2486824, 7.0095824 49.248639, 7.0095995 49.2485188, 7.0095936 49.2484066, 7.0095882 49.2483155, 7.0090518 49.248291))",,Landeshauptstadt Saarbrücken,,,,,,,,,public,,https://typo3.lpm-saarland.de/gsmax_ophuels/index.php?id=147,1,,,,"Grundschule Am Homburg (Dependance von „Max Ophüls"")",,,Rotenberg-Schule,+49 681 32419,,"[2291747305, 2291757002, 2291756990, 6575178602, 2291746446, 2291746435, 2291746444, 2291756984, 343139012, 343139013, 343139031, 343139014, 343139015, 2291586718, 2291747307, 2291747305]",,,,,,,+49 681 8308808,gsmaxophuels@saarbruecken.de,,,,,,,,,,,,,,,,,,,
way,231601441,school,Staatliche Förderschule soziale Entwicklung,,"POLYGON ((6.9526204 49.276828, 6.9527411 49.2765899, 6.9528441 49.2763748, 6.9529207 49.276223, 6.9533151 49.2763114, 6.953636 49.2762941, 6.9537449 49.2767358, 6.9535977 49.2768587, 6.9534093 49.2770335, 6.9533593 49.2770892, 6.9526204 49.276828))",,Saarland,,,,,,,,,,,,,,,,,,,Staatliche Schule für Erziehungshilfe,+49 681 7535950,,"[2399492471, 2399492468, 2399492467, 2399492464, 2399492466, 2399492465, 2399492469, 2399492472, 2399492474, 2399492475, 2399492471]",,,,,,,+49 681 7539520,SfeVonDerHeydt@web.de,,,,,,,,,,,,,,,,,,,
way,290579112,school,Grundschule Saarbrücken-Am Geisberg,,"POLYGON ((7.0660049 49.2220789, 7.0671153 49.2224398, 7.0673063 49.2221575, 7.0672333 49.2221366, 7.0674 49.2217641, 7.0670252 49.2217107, 7.0667838 49.2217072, 7.0666068 49.2217283, 7.0662903 49.2216547, 7.0660049 49.2220789))",,,Saarbrücken,23,66132,Friedrich-Ebert-Straße,,,,,,,,,,,,,,,,+49 681 9893045,,"[2940932921, 2940932920, 2940932922, 1109493125, 2940932919, 1225746713, 1225746733, 1225746714, 1225746715, 2940932921]",,,,,,,+49 681 9893044,GsAmGeisberg@saarbruecken.de,,,,,,,,,,,,,,,Grundschule,,,,
way,366644540,school,Gebundene Ganztagsgrundschule Rastpfuhl,,"POLYGON ((6.9668527 49.2517684, 6.9667949 49.2517123, 6.9667896 49.2517083, 6.9667853 49.2517048, 6.9667311 49.2516621, 6.9666962 49.251642, 6.9666624 49.2516179, 6.9664817 49.2515058, 6.9665485 49.2514392, 6.9666197 49.2513652, 6.966709 49.2512684, 6.9665407 49.2511953, 6.966484 49.2511735, 6.9664636 49.2511655, 6.96634 49.2512892, 6.9663213 49.2513081, 6.9662728 49.2513574, 6.9662303 49.2514022, 6.9660184 49.2516137, 6.9655033 49.2514018, 6.9649723 49.2519674, 6.9650547 49.2520039, 6.9649649 49.2521018, 6.9649326 49.252137, 6.9660435 49.2525293, 6.9660936 49.2525479, 6.9661662 49.2524879, 6.966318 49.2523624, 6.9666331 49.2520296, 6.9668527 49.2517684))",,Landeshauptstadt Saarbrücken,,,,,http://www.saarbruecken.de/bildung/schulen/grundschulen/ganztagsgrundschule_rastpfuhl,,,,public,,https://gtgs.info/,1,,,,,,,,,,"[3706340625, 10771881897, 9240847525, 10771881825, 4895511731, 4895513842, 10771897636, 3706340626, 10844860545, 9240847528, 3706340627, 10771881865, 10771881878, 3706340628, 10771881822, 10771897642, 10771881855, 10771881890, 3706340629, 3706340630, 3706340631, 3706340632, 10771881900, 3706340633, 10771881888, 3706340634, 10771881895, 10771897618, 10771881891, 3706340625]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,366644542,school,Freiwillige Ganztagsgrundschule Rastpfuhl,,"POLYGON ((6.9649723 49.2519674, 6.9641989 49.2516339, 6.9646064 49.2512142, 6.9645491 49.2511917, 6.9641814 49.2510475, 6.9641971 49.2510316, 6.9645402 49.2506831, 6.9649355 49.2508459, 6.9650213 49.2507604, 6.965059 49.2507221, 6.9651438 49.250634, 6.9656881 49.2508467, 6.9660843 49.2510101, 6.9661042 49.2510176, 6.9664081 49.2511431, 6.9664636 49.2511655, 6.96634 49.2512892, 6.9663213 49.2513081, 6.9662728 49.2513574, 6.9662303 49.2514022, 6.9660184 49.2516137, 6.9655033 49.2514018, 6.9649723 49.2519674))",,Landeshauptstadt Saarbrücken,Saarbrücken,2,66113,Im Knappenroth,,,,,public,,https://www.gsrastpfuhl.de/,1,,,,,,,,,,"[3706340631, 3706340635, 3706340636, 3706265842, 3706340637, 10844860532, 342783814, 342783811, 10844860460, 10844860412, 3706340640, 10771897663, 10771897638, 10771881814, 10771897619, 3706340628, 10771881822, 10771897642, 10771881855, 10771881890, 3706340629, 3706340630, 3706340631]",,,,DE,,,,,,,,,,,,,,,,,,,,,,,
way,366646156,school,Grundschule Rodenhof,,"POLYGON ((6.9860936 49.2479666, 6.9865691 49.2476398, 6.9869982 49.2468904, 6.987021 49.246825, 6.9865993 49.246689, 6.9865724 49.2466803, 6.9866374 49.2465708, 6.9863207 49.2464351, 6.986194 49.2463808, 6.985877 49.2470178, 6.9856313 49.2469714, 6.9855474 49.247076, 6.9849168 49.2469289, 6.9847132 49.2473057, 6.9860936 49.2479666))",,Landeshauptstadt Saarbrücken,,,,,,,,,public,,https://www.saarbruecken.de/bildung/schulen/grundschulen/freiwillige_ganztagsgrundschule_rodenhof,1,,,,,,,,,,"[1368906667, 1368906666, 1368906684, 7727352198, 7727352195, 1368906683, 7727352199, 7727352196, 7727352197, 1368906685, 1368906681, 1368906668, 1368906673, 1368906671, 1368906667]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,400466562,school,Freiwillige Ganztagsgrundschule Saarbrücken-Folsterhöhe,,"POLYGON ((6.9619867 49.2167578, 6.9630037 49.2159628, 6.9626078 49.2156724, 6.9620736 49.2154386, 6.9611688 49.2163634, 6.9619867 49.2167578))",,Landeshauptstadt Saarbrücken,,,,,,,,,public,,https://typo3.lpm.uni-sb.de/folsterhoehe_saarbruecken/,1,,,,Grundschule Heidenhübel,,,,,,"[1385723378, 1385722953, 1385722961, 1385722965, 1385722964, 1385723378]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,401626169,school,Gemeinschaftsschule Güdingen,,"POLYGON ((7.0297909 49.2012833, 7.0303573 49.2013945, 7.030476 49.2001957, 7.0298967 49.20008, 7.0298326 49.2002212, 7.0289749 49.2000383, 7.0288415 49.2003769, 7.0287498 49.200657, 7.0286873 49.200839, 7.0290427 49.2008962, 7.0291559 49.200914, 7.0290685 49.2011362, 7.0296389 49.2012524, 7.0297909 49.2012833))",,,,,,,,,,,,,http://www.gems-guedingen.de/,,,,,,,,Grund- und Erweiterte Realschule Güdingen,,,"[4040364534, 4040354971, 4040354959, 4040354945, 4040354952, 4040354970, 4040354953, 7885278178, 7885278177, 4040357210, 4040354956, 4040354972, 9970273087, 4040364534]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,402650530,school,Gemeinschafts- und Gesamtschule Saarbrücken Ludwigspark,Q6805,"POLYGON ((6.9846853 49.2464149, 6.9848159 49.2461535, 6.9849739 49.2458359, 6.9850995 49.2456829, 6.9849924 49.2456386, 6.9850087 49.2454527, 6.9843379 49.2449488, 6.9838605 49.2449137, 6.9835114 49.2448421, 6.9830131 49.2458134, 6.9830129 49.2463811, 6.9846853 49.2464149))",yes,Regionalverband Saarbrücken,Saarbrücken,17,66113,Ziegelstraße,,,,,public,,http://www.gemsludwigspark.de/,,,,,,,,Erweiterte Realschule Im Ludwigspark,+49 681 9471970,,"[4772589717, 4772589718, 4772589719, 4050273198, 4050234901, 4050234903, 4050234905, 4050234902, 423372246, 4050234904, 4050234906, 4772589717]",,,,DE,,,+49 681 47652,,,,,,,,,,,,,,,,,,,,
way,444030750,school,Grundschule Saarbrücken Eschberg,,"POLYGON ((7.0422616 49.2367636, 7.0423547 49.2367632, 7.0423539 49.2368103, 7.0423884 49.2368102, 7.0425809 49.2368099, 7.0425811 49.2367824, 7.0426337 49.2367823, 7.0426497 49.2367823, 7.0426488 49.236795, 7.0427658 49.2367931, 7.0430553 49.2368093, 7.0430527 49.2365586, 7.0430363 49.2365583, 7.0430369 49.2365433, 7.0430365 49.2364819, 7.0430695 49.2364818, 7.0430657 49.2361641, 7.0430581 49.2355326, 7.0418863 49.2355305, 7.0418988 49.2364914, 7.0421715 49.2364899, 7.0421727 49.236561, 7.042173 49.2366525, 7.0422621 49.2366516, 7.0422616 49.2367636))",,Landeshauptstadt Saarbrücken,,,,,,,,,,,https://www.grundschule-eschberg.de/,1,,,,freiwillige Ganztagsschule Eschberg,,,,,,"[1091950544, 1091945773, 10313696428, 10313692142, 10313696379, 10313696466, 10313696320, 10313696401, 10313696445, 10313696472, 4720599424, 10313696433, 10313696213, 10313696214, 10313696424, 10313696318, 10313692202, 4720599425, 4720599423, 1267011394, 1091951232, 1091952761, 1091951443, 1091953786, 1091950544]",,,,,,,,,,,,,,,,,,,,,,,,,,,
