element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:phone,cuisine,level,name,old_name,opening_hours,operator,outdoor_seating,smoking,strapline,toilets,geometry,contact:email,contact:fax,contact:website,diet:vegetarian,indoor_seating,stars,tenant,wheelchair,wikidata,opening_hours:kitchen,wheelchair:description,alt_name,brewery,brand,brand:wikidata,brand:wikipedia,lastcheck,phone,website,diet:vegan,email,delivery,payment:cash,payment:credit_cards,payment:debit_cards,start_date,takeaway,toilets:wheelchair,website:menu,contact:facebook,contact:instagram,diet:halal,organic,short_name,description,fixme,microbrewery,name:etymology:wikidata,opening_hours:covid19,brewery:wikidata,brewery:schwarzbier,brewery:weizen,payment:girocard,payment:mastercard,payment:visa,reservation,check_date:opening_hours,addr:floor,contact:tripadvisor,internet_access,surveillance,opening_hours:signed,capacity,source,culture,addr:suburb,highchair,payment:maestro,payment:v_pay,air_conditioning,payment:edenred_ticket,payment:vpay,note,name:fr,vacant,diet:lacto_vegetarian,surveillance:type,payment:girocard_contactless,payment:mastercard_contactless,payment:visa_electron,addr:neighbourhood,payment:sodexo,terrace,dispensing,name:ja,opening_hours:note,pub,check_date,delivery:partner,ref:vatin,contact:whatsapp,mobile_phone:repair,disused:amenity,disused:opening_hours:signed,disused:outdoor_seating,disused:wheelchair,building,internet_access:fee,bar,contact:takeaway,delivery:description,payment:ep_geldkarte,description:covid19,toilets:access,description:delivery,fax,wheelchair:step_height,description:payment,operator:wikidata,payment:account_cards,reusable_packaging:accept,reusable_packaging:network,reusable_packaging:offer,safety:hand_sanitizer:covid19,safety:mask:covid19,takeaway:covid19,university,drink:cola,drink:soft_drink,url,contact:mobile,note:de,ice_cream,barrier,height,leaf_cycle,leaf_type,tourism,payment:mensa_card,internet_access:captive_portal,internet_access:password,internet_access:ssid,drink:beer,drink:coffee,drink:lemonade,drink:liquor,drink:milk,drink:soda,drink:tea,drink:wine,indoor,nodes,building:part,roof:orientation,roof:shape,building:colour,building:levels,historic,roof:levels,wikimedia_commons,wikipedia,payment:jcb,image,payment:alipay,payment:american_express,payment:apple_pay,payment:diners_club,payment:discover_card,payment:google_pay,payment:unionpay,payment:visa_contactless,atm,addr:housename,location
node,814151640,Saarbrücken,,17-19,66111,St. Johanner Markt,restaurant,+49 681 59099197,asian;japanese,0,Yedo,milk Bar,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 13:00-23:00,,pedestrian_zone,,,,POINT (6.9956027 49.2327208),,,https://www.yedo-sushi.de/,,,,,limited,,,1 kleine Stufe,,,,,,,,,,,,,,,,,,,https://www.facebook.com/yedosaarbruecken,https://www.instagram.com/yedo_saarbruecken,,,,,,,,,,,,,,,,,,,no,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,814655083,Saarbrücken,DE,1,66111,Kronenstraße,restaurant,,mexican,0,Café Especial,,"Mo-Sa 11:30-23:00+; PH,Su 12:00-23:00+",,yes,,,,POINT (6.9959665 49.2322967),,,,yes,,,,no,,,,,,,,,,+49 681 3906619,http://www.cafe-especial.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815496115,Saarbrücken,DE,1,66111,Am Stiefel,restaurant,+49 681 98846300,spanish,0,Aioli am Markt,Masons;Zum Kuckuck;Da Caruso;Allegro,Tu-Su 17:30-23:00; Mo closed,Aruran Chandralingam,,,Restaurant & Tapas Bar,,POINT (6.9952543 49.2326912),,,http://aioli-sb.de,,,,,limited,,,1 Stufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815506755,,,,,,restaurant,,,,Rizzo,,"Mo-Fr 11:00-15:00,17:00-24:00; Sa 11:00-03:00; Su,PH off","Rizzo Ristorante GmbH, Geschäftsführer: Giuseppe Rizzo",,,,,POINT (6.9948556 49.2330311),,,,,,,,no,,,,,,,,,,+49 681 9580313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815682121,Saarbrücken,DE,2,66111,Kappenstraße,restaurant,+49 681 8591688,,,Gasthaus Gemmel,,"Tu-Th 17:30-23:00, Fr 10:00-15:00,17:30-24:00, Sa 10:00-16:30,17:30-24:00, Su 10:00-16:30,17:30-23:00; Mo off, Tu-Th 10:00-15:00",Markus Federkeil,yes,,,,POINT (6.9962916 49.2330006),,,http://www.gasthaus-gemmel.de/,,,,,limited,,,,Gaststätte Gemmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815682123,Saarbrücken,DE,1a,66111,Katholisch-Kirch-Straße,restaurant,+49 681 9103265,arab;lebanese,0,Restaurant Kerwan,,Tu-Su 12:00-23:30; Mo off,"""Kerwan"" Gaststättenbetriebsgesellschaft mbH",yes,no,,,POINT (6.9968371 49.2333155),,,,yes,,,,no,,,,,,,,,,,,no,,,,,,,no,,,https://www.facebook.com/Kerwan66111,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815682126,Saarbrücken,DE,7,66111,Kappenstraße,restaurant,,thai,0,Mei Thai,,"Mo-Sa 12:00-15:00, 17:30-22:00; Su,PH off",Kanittha Leber,yes,,,,POINT (6.996813 49.2331303),,,,yes,,,,no,,,2 Stufen,,,,,,,,,,,,,,,,yes,,,https://www.facebook.com/meithaisb/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815717616,Saarbrücken,,15,66111,Saarstraße,restaurant,,,,ALEX,,"Mo-Th 08:30-00:30; Fr,Sa 08:30-02:00; Su 09:00-00:30",,sidewalk,,... das Leben ist schön,,POINT (6.9951772 49.2321974),,,,,yes,,,limited,,,,,,ALEX,Q18018122,,,+49 681 37995950,https://www.dein-alex.de/saarbruecken,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dein-alex.de/dein-alex-saarbruecken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815717620,Saarbrücken,,10,66111,Saarstraße,restaurant,+49 681 33421,italian,0,Porto vecchio,,"Mo-Su 12:00-14:30,18:00-23:00",,pedestrian_zone,outside,,,POINT (6.9954084 49.2320763),,,,,yes,,,limited,,,1 kleine Stufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,815717623,Saarbrücken,,8,66111,Saarstraße,restaurant,+49 681 9611431,chinese,0,Sake,Dampfschiff,"Tu-Th,Su 11:30-14:30, Tu-Su 17:30-23:00; Fr,Sa 11:30-14:30,17:30-24:00; Mo off",Kevin Ip Man Ho,pedestrian_zone,,asia.bar.risto.cafe.,,POINT (6.9955394 49.2321423),info@sake-restaurant.de,,http://www.sake-restaurant.de,,,,,limited,,,1 hohe Stufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,817707832,Saarbrücken,DE,7,66111,Cecilienstraße,restaurant,+49 681 398034,japanese,0,Hashimoto,,"Tu,We,Fr,Su 12:00-14:00,18:30-22:00; Sa 18:30-22:00; Mo,Th off",Hashimoto GmbH,,,,,POINT (6.9970784 49.2363104),,,http://restaurant.hashimoto-saar.de/,no,,,Katsuyuki Hashimoto,limited,,,1 Stufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,817707840,Saarbrücken,DE,5,66111,Cecilienstraße,restaurant,,,0,Hallo Kleines,Mingo Due,07:00-12:00,,,,,,POINT (6.9969285 49.2363055),,,,,,,,limited,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,832381579,Saarbrücken,DE,14,66115,Dr.-Tietz-Straße,restaurant,,,,Westside,,,,,,,,POINT (6.9567046 49.2381449),,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,832618532,Saarbrücken,DE,5,66111,Nauwieserstraße,restaurant,+49 681 8596566,,0,Esplanade,Canapé,"Mo,Tu,Th-Sa 12:00-14:30, Mo,Tu,Th 18:00-22:30, Fr,Sa 18:00-23:00, Su 10:30-14:30,18:00-22:30",MZV Verwaltungs GmbH & Co. KG,yes,,,,POINT (6.9997089 49.234941),info@esplanade-sb.de,,http://www.esplanade-sb.de/,yes,,2,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,833390854,Saarbrücken,,7,66121,Goethestraße,restaurant,+49 681 93312050,italian,0,Cantina Calabrese,Goethe-Stube,"Tu-Sa 11:30-14:00,17:30-22:00; Mo,Su closed",,sidewalk,,,,POINT (7.0050419 49.2299962),,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,833406972,Saarbrücken,DE,8,66111,Mainzer Straße,restaurant,,,0,Zapata Social Plates,,,,yes,,,,POINT (6.9997662 49.2321364),,,,,,,,no,,,,,,,,,,,https://m.zapata.saarland,,zapata@zapata.saarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,837460433,Saarbrücken,,3,66111,Nauwieserplatz,restaurant,+49 681 9102516,italian,0,Angelini,,"Mo-We closed, Th-Sa 17:30-21:00, Su 12:00-14:30",,yes,,,,POINT (6.9997242 49.2354961),,,http://www.restaurant-angelini.de,yes,yes,,,no,,,4 Stufen am Eingang; Außenbereich barrierefrei,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,928834812,Saarbrücken,,77,66133,Kaiserstraße,restaurant,,italian;german,0,Pizzeria Ristorante Aromi,,"Tu-Su 11:30-14:00,17:30-22:30; Mo closed",,no,,,,POINT (7.0589454 49.2451003),,,,,yes,,,no,,,,,,,,,,+49 681 83901313,https://www.aromi-online.de,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,931697667,Saarbrücken,DE,31,66115,Bergstraße,restaurant,+49 681 792966,german,0,Restaurant Anthes-Neumüller,,,,yes,,,,POINT (6.9405832 49.24258),info@anthes-neumueller-burbach.de,,http://www.anthes-neumueller-burbach.de/,,,,,no,,,3 Stufen;Außenbereich barrierefrei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,946408306,,,,,,restaurant,,,,Rolands Eck,,,,,,Pilsstube,,POINT (6.9455989 49.2409252),,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,964960708,Saarbrücken,,1,66125,Sudstraße,restaurant,+49 6897 766161,,0,Monsieur Hulot,,,,,,,,POINT (7.0355582 49.2795283),markus.schmid@hulot.de,,http://www.hulot.de/,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webseite (Stand: Februar 2017),,Dudweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,972640285,Saarbrücken,DE,22,66128,Hauptstraße,restaurant,+49 681 97044144,italian,,Ristorante Enoteca Carlo,Vecchia Stazione;Bahnhof Gersweiler,"Tu-Fr 12:00-14:00,18:00-22:00; Sa 18:00-22:00; Su 12:00-14:00; Mo closed",Carlo Pistone,yes,,,,POINT (6.9390734 49.237196),,,https://www.ristorantecarlo.de,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1032854547,Saarbrücken,,68,66117,Eisenbahnstraße,restaurant,+49 681 5846365,greek,0,Dimitra,,"Tu-Su 11:30-14:30,18:00-22:30; Mo closed",,,,,,POINT (6.9897633 49.2356385),,,,,,,,limited,,,1 Stufe,,,,,,,,https://www.speisekarte24.de/restaurant/ansicht/Dimitra_in_Saarbruecken_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alt-Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1224175939,Saarbrücken,DE,11,66111,Saarstraße,restaurant,,,0,Gusto Steakhouse,,"Tu-Sa 12:00-14:00,17:30-21:00; PH,Mo,Su closed",,,,,,POINT (6.9955104 49.2323211),,,https://www.gustosteakhouse.com/,,,,,no,,,2 Stufen,,,,,,,+49 681 5893524,,,,,,,,,,,,https://www.facebook.com/gustosteakhouse/,https://www.instagram.com/gustosteakhouse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1267075091,,,,,,restaurant,+49 681 83901350,italian,,Ristorante-Pizzeria Eschberger Hof,,"Tu,We,Th,Su 12:00-14:00,18:00-21:30; Fr,Sa 12:00-14:00,18:00-22:30; Mo closed",Eschberger Hof Gastronomie GmbH,,,,,POINT (7.0426476 49.2348704),info@eschbergerhof.de,,https://www.eschbergerhof.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1269584652,,,152,66121,Mainzer Straße,restaurant,+49 681 9681100,asian,0,Hokkaido,,"Tu-Su 11:30-15:00,17:30-23:00; PH,Mo closed",,no,,,,POINT (7.0199923 49.2275962),,+49 681 9681099,,,yes,,,limited,,,1 kleine Stufe,,,,,,,,,,,,,,,,,,,https://www.facebook.com/hokkaido.sb/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1270147629,Saarbrücken,,2,66111,Dudweilerstraße,restaurant,,german,,Diskonto Schenke,,Mo-Fr 11:30-20:30; Sa 12:00-20:30; Su closed,,yes,,,,POINT (6.9939217 49.2347705),,,https://www.diskontoschenke-saarbruecken.de/,,,,,yes,,,,Diskontoschenke,,,,,,,,,,yes,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Johann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1290876214,Saarbrücken,,1b,66111,Kronenstraße,restaurant,+49 681 31064,french,0,La Bastille,,"Tu-Fr 11:30-14:30,17:00-23:00; Sa 11:30-23:30,17:00-23:00; Mo,Su closed",,yes,,,,POINT (6.9962027 49.2321242),,,http://www.la-bastille.de,yes,,,,limited,,"Tu-Sa 12:00-14:00,17:00-22:00; Mo,Su closed",1 Stufe; Außenbereich frei zugänglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1290889388,Saarbrücken,,49,66111,St. Johanner Markt,restaurant,+49 681 3798279,,,Pablo Kunst und Wein,,"We-Fr 17:00-24:00; Sa 12:00-24:00; PH,Mo,Tu,Su off",,pedestrian_zone,,,,POINT (6.9973844 49.2321113),,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1326871230,Saarbrücken,,129,66121,Bismarckstraße,restaurant,+49 681 6853353,german,,Undine,,"Mo-Sa 12:00-14:30,18:00-23:00 open ""Winteröffnungszeiten""; PH,Su 12:00-22:00 open ""Winteröffnungszeiten""",Undine Gastronomie GmbH,yes,outside,,,POINT (7.0121421 49.2252604),info@undine-restaurant.de,,http://www.undine-restaurant.de/,yes,yes,,Britta Bruch,limited,,,,,Bruch,,,,,+49 681 6853353,,yes,,,yes,,,,,,,,,,,,,,,,,Q991894,,,,yes,yes,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1327611064,Saarbrücken,,71,66121,Mainzer Straße,restaurant,+49 681 64695,thai,0,Krua Thai,,Tu-Su 18:00+; Mo off,,no,,,,POINT (7.0065701 49.229676),kruathai1@web.de,+49 681 6851339,http://www.kruathai-sb.de/,,yes,,Vichuta Rotjanawanit,no,,,3 Stufen am Eingang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1359653262,Saarbrücken,,6,66113,Rastpfuhl,restaurant,,salad;pizza;pasta;italian,0,Little Italy,,"Mo,We-Su 11:30-14:00,17:30-22:45; Tu closed",,yes,,,,POINT (6.963026 49.2513751),,,,,,,,yes,,,,,,,,,,+49 681 59097151,https://pizzeria-littleitaly.de/saarbruecken/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1373689218,Saarbrücken,DE,2,66117,Deutschherrnstraße,restaurant,+49 681 52841,french,,Zum Adler,,Mo-Su 18:00+,Annie Lecomte-Jehl,,,,,POINT (6.9828573 49.23173),info@adler-sb.de,,http://www.adler-sb.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1375731520,,,,,,restaurant,,salad;sandwich,0,dean&david,,"May-Sep: Mo-Sa 10:00-21:00; Oct-Apr Mo-Sa 10:00-19:30; PH,Su off",,pedestrian_zone,,fresh to eat,,POINT (6.9966168 49.2326923),,,,yes,yes,,,limited,,,1 Stufe; Außenbereich barrierefrei,,,dean&david,Q66132404,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1376290849,,,1,66111,Fröschengasse,restaurant,+49 681 3906563,japanese,0,Izakaya Hashimoto,,Mo-Sa 12:00-14:30; Tu-Sa 18:00-22:30,Hashimoto GmbH,,,,,POINT (6.9953614 49.2324304),,,https://hashimoto-saar.de,yes,,,Katsuyuki Hashimoto,no,,,,,Karlsberg,,,,,,,yes,,,,,,,,,,,,,,,,,,,,Q520174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1376758276,,,,,,restaurant,,thai,0,Mutter Original Thai,Food House,"Mo-Th 17:30-22:00; Fr-Sa 17:30-23:30; Su,PH 17:30-22:00",,no,,,,POINT (6.996181 49.2351949),,,,,yes,,,yes,,,,,Bitburger,,,,,,,,,,,,,,,,,,,,,,,name:th?,,,,Q61925105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1376770773,Saarbrücken,DE,10,66111,Betzenstraße,restaurant,+49 681 32772,steak_house,0,Buffalo,,Mo-Su 11:30-24:00,,sidewalk,,Das Steakhouse,,POINT (6.9958566 49.234962),,,http://www.buffalo-saar.de/,,yes,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1376905675,Saarbrücken,,37,66111,Dudweilerstraße,restaurant,+49 681 91042990,indian,0,Taj Tandoori,Restaurant Asia Star; Al Bacio,"11:30-14:30, 17:30-22:30",,no,,,,POINT (6.9969349 49.2369009),,,https://www.tajtandoorirestaurantsaarbruecken.de/,yes,yes,,,yes,,,,,,,,,,,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neueröffnung Mitte April 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1377635315,,,18-22,66111,Fröschengasse,restaurant,+49 681 93289386,german,,Camelot,Terra e Mare;Trattoria Toscana,We-Su 17:00+; Mo-Tu closed,,,,,,POINT (6.995264 49.2333931),,,https://www.camelot-restaurant.de/,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1377640037,,,,,,restaurant,,,,Gasthaus Zahm,,"Mo-Sa 12:00-24:00; PH,Su 17:00-24:00",,yes,,,,POINT (6.99571 49.2322514),,,https://www.zahm-sb.de/,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,Gasthaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1381418768,,,,,,restaurant,,german,0,Gasthaus Zum Ehrental,,,W. Bentz,,,,,POINT (6.9699993 49.2231451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1382843187,,,,,,restaurant,,,0,Brasserie Chez Victor's,,12:00-22:00,,,,,,POINT (6.9616526 49.2261094),,,,,,,,limited,,"12:00-14:00,18:00-21:00",,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
