element_type,osmid,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,capacity,capacity:disabled,capacity:women,contact:email,contact:phone,contact:website,fee,maxheight,name,opening_hours,operator,parking,geometry,wheelchair,addr:country,layer,maxweight,trailer,surface,bicycle,foot,vehicle,created_by,level,phone,description,entrance,horse,lit,traffic_sign,informal,note,smoothness,motorcycle,source,capacity:charging,check_date:opening_hours,bus,ref,maxspeed,access:description,park_ride,motorcar,fixme,capacity:charging:note,old_name,old_operator,website,owner,wheelchair:description,elevator,toilets:wheelchair,surveillance,payment:karlsruher,maxstay,operator:type,supervised,access:conditional,covered,building,motor_vehicle,agricultural,emergency,goods,hgv,tourist_bus,type,wikidata,wikipedia,start_date,customers,capacity:caravans,power_supply,sanitary_dump_station,nodes,parking:orientation,building:levels,source:geometry,surface:note,disused,check_date,source:addr,capacity:parent,brand,parking:condition,payment:coins,payment:maestro,payment:mastercard,payment:notes,payment:others,payment:v_pay,payment:visa,capacity:hgv,capacity:trailer,addr:housename,addr:suburb,ele,charge,payment:account_cards,payment:american_express,payment:debit_cards,payment:electronic_purses,payment:telephone_cards,parking:condition:area,parking:condition:area:customers,capacity:car_sharing,capacity:bus,landcover,access:note:de,capacity:private,parking:condition:default,parking:condition:time_interval,proposed:access,demolished:building,removed:office,fee:disabled,orientation,maxstay:conditional,fee:conditional,landuse,roof:material,roof:shape,parking:condition:maxstay,last_renovation,demolished:leisure,capacity:taxi,parking:condition:residents,capacity:note,operator:wikidata,leisure,fee:description,roof:levels,comment,location,parking:condition:capacity,access:customers,payment:contactless,payment:girocard,check_date:fee,capacity:conditional,capacity:short,indoor,lit:note,payment:bahncard,payment:credit_cards,room,source:capacity,alt_name,disused:bunker_type,disused:location,disused:military,disused:military:note,capacity:large,maxstay:monitoring,parking_space,mofa,moped,car,capacity:coach,service,hoops,car_sharing,source:outline,area,tunnel,paving_stones:shape,payment:cash,note:editor,capacity:bus:conditional,motor_vehicle:conditional,tourist_bus:conditional,ways,parking:condition:both
way,37846975,yes,,,,,parking,,,,,,,,,,,,surface,"POLYGON ((8.4840936 49.0026091, 8.4840813 49.0026482, 8.4838294 49.002616, 8.4835561 49.0025638, 8.4836345 49.002366, 8.483974 49.0024281, 8.4841958 49.0024564, 8.4841609 49.0026158, 8.4840936 49.0026091))",,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[443856143, 443856145, 10556621966, 443856148, 443856153, 443856165, 443856167, 443856170, 443856143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37943318,yes,,,,,parking,,,,,,,no,,,,,surface,"POLYGON ((8.4726845 48.9504992, 8.4728043 48.9505582, 8.4730205 48.9503688, 8.4730781 48.9503971, 8.4732252 48.9502682, 8.473074 48.9501938, 8.4730178 48.9502431, 8.4729915 48.9502302, 8.4726845 48.9504992))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,"[445518358, 445518362, 2632628066, 2632628083, 445518364, 2632628023, 2632628030, 445518365, 445518358]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37947254,private,,,,,parking,,,,,,,no,,Parkplatz Seniorenzentrum,,,surface,"POLYGON ((8.4719821 48.9515362, 8.4724578 48.9515823, 8.4724875 48.9514502, 8.4720118 48.9514041, 8.4719821 48.9515362))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[445622456, 445622460, 445622464, 445622468, 445622456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38891832,customers,,,,,parking,,,,,,,no,,,,Hornbach,surface,"POLYGON ((8.3543848 48.9983592, 8.3543368 48.998254, 8.3561593 48.9976772, 8.3563399 48.998076, 8.3559754 48.9981485, 8.3559349 48.9980589, 8.3543848 48.9983592))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[461991253, 461991254, 461991255, 461991256, 1266686352, 1266686390, 461991253]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42024298,private,,,,,parking,,,,,,,,,,,,surface,"POLYGON ((8.4242529 49.0122941, 8.424252 49.0123208, 8.4242509 49.012351, 8.424249 49.0124063, 8.4240377 49.0123858, 8.4240386 49.0123757, 8.4240342 49.0123755, 8.4240291 49.0123752, 8.4240264 49.0123847, 8.4238541 49.012368, 8.4238649 49.0122634, 8.4240971 49.0122691, 8.4242536 49.0122733, 8.4242529 49.0122941))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1656033998, 3559037208, 3559037214, 1656034002, 1796420606, 1796420604, 1656034000, 1796420603, 1796420605, 1656033999, 1480157104, 3559037205, 3448377376, 1656033998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42602856,private,,,,,parking,30,,,,,,no,,,,Karlsruher Institut für Technologie,surface,"POLYGON ((8.4110393 49.011716, 8.4116159 49.0115265, 8.4117312 49.0114886, 8.4117029 49.011461, 8.4116741 49.0114328, 8.411636 49.0114253, 8.4115826 49.011412, 8.4115548 49.011407, 8.4115224 49.011404, 8.4115013 49.0114035, 8.4114756 49.0114053, 8.4113915 49.0114339, 8.4110036 49.0115841, 8.4109996 49.0116181, 8.4109967 49.0116225, 8.4109919 49.0116253, 8.4109866 49.0116273, 8.4109777 49.0116282, 8.4109795 49.0116604, 8.410981 49.0116822, 8.4110393 49.011716))",yes,,,,,cobblestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[532255139, 10577882883, 532255166, 532255159, 578064026, 578064035, 578064033, 10577882898, 578064028, 10577327917, 578063845, 1795574573, 532255138, 10577327894, 10577327893, 10577327916, 10577327892, 1795574729, 532255135, 3481955516, 532255139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42602859,private,,,,,parking,20,,,,,,,,,,Karlsruher Institut für Technologie,surface,"POLYGON ((8.4132485 49.0120118, 8.4133075 49.0120099, 8.4133946 49.0120071, 8.4133771 49.0117736, 8.4132311 49.0117782, 8.4132485 49.0120118))",,,,,,,,,,,,,,,,,,,,,,,,,,,,nur mit Parkausweis oder Transportkarte des KIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[532255200, 3298703707, 532255203, 532255197, 532255199, 532255200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43946107,yes,,,,,parking,,,,,,,no,,,,,surface,"POLYGON ((8.4770103 48.9530277, 8.4770267 48.9531702, 8.4774129 48.9531465, 8.4774069 48.9529976, 8.4772896 48.9530002, 8.4771399 48.9530096, 8.4770103 48.9530277))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[558868083, 558868084, 558868097, 558868089, 558868077, 1151918633, 558868083]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,44122895,customers,,,,,parking,,,,,,,no,,,,,surface,"POLYGON ((8.3505445 49.0371734, 8.3505033 49.0372048, 8.35095 49.03746, 8.3509925 49.037428, 8.3510419 49.0374563, 8.3514571 49.0371378, 8.3522312 49.0375725, 8.3522701 49.0375427, 8.3523063 49.037478, 8.3525363 49.037304, 8.3526293 49.037272, 8.3526728 49.0372392, 8.3525932 49.0371933, 8.3518892 49.0367882, 8.3513589 49.0364879, 8.3508086 49.0369101, 8.3504975 49.0371468, 8.3505445 49.0371734))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 minutes,,,,,,,,,,,,,,,,,,,,"[5555231572, 5555231573, 5555231577, 5555231575, 5555231576, 560666043, 5555231578, 560666055, 5555230612, 5555230609, 5555231221, 560666048, 5555230620, 603645111, 9522443784, 4030599407, 5555231574, 5555231572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46335448,yes,,,,,parking,10,,,,,,no,,,,,surface,"POLYGON ((8.3532544 49.0157096, 8.3533676 49.0157109, 8.3533656 49.015052, 8.3532534 49.0150532, 8.3532544 49.0157096))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[591724769, 591724771, 591724768, 591724766, 591724769]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47263609,customers,,,,,parking,,11,,,,,no,,,,MEC METRO-ECE Centermanagement GmbH & Co. KG,surface,"POLYGON ((8.4491729 49.0042313, 8.4491499 49.0041747, 8.4491319 49.0041203, 8.4491187 49.0040975, 8.4488006 49.0041554, 8.448773 49.0040833, 8.448726 49.0039608, 8.448569 49.0039868, 8.4480465 49.004073, 8.4478351 49.0041079, 8.4477842 49.0041163, 8.447764 49.0041196, 8.447776 49.0041545, 8.4477867 49.0041814, 8.4477974 49.0042083, 8.4478081 49.0042352, 8.4478188 49.0042621, 8.4478296 49.004289, 8.4478403 49.0043159, 8.447851 49.0043428, 8.4478617 49.0043697, 8.4478794 49.0044163, 8.4478728 49.0044174, 8.4478279 49.0044251, 8.4478414 49.0044591, 8.4478573 49.0044989, 8.4479022 49.0044912, 8.4480295 49.0048147, 8.4480436 49.0048124, 8.4481735 49.0051429, 8.4481094 49.0051538, 8.447632 49.0052339, 8.4475451 49.0052378, 8.4475341 49.0052124, 8.4474691 49.0052243, 8.4474376 49.005159, 8.4467918 49.0052673, 8.4467701 49.0052236, 8.4466963 49.0052364, 8.4466326 49.005115, 8.4466262 49.0051068, 8.4466175 49.0051026, 8.4466071 49.0051, 8.4465168 49.0051172, 8.4465003 49.0050635, 8.4464677 49.0049804, 8.4464047 49.0049326, 8.4463706 49.0048457, 8.4463226 49.0047948, 8.4462901 49.0047121, 8.4462407 49.0046638, 8.4462062 49.0045761, 8.4461508 49.0045281, 8.4461499 49.0045256, 8.446134 49.0044849, 8.4461182 49.0044444, 8.4461172 49.0044418, 8.4461309 49.0043834, 8.446114 49.0043405, 8.4461471 49.0043349, 8.4461803 49.0043293, 8.4462134 49.0043237, 8.4461975 49.0042833, 8.4461965 49.0042808, 8.4461863 49.0042565, 8.4473218 49.0040652, 8.447291 49.0039749, 8.447287 49.0039618, 8.4472705 49.0039186, 8.4472682 49.0039125, 8.447246 49.0038516, 8.4472272 49.0038023, 8.4472616 49.0037967, 8.4472959 49.003791, 8.4473303 49.0037854, 8.4473646 49.0037798, 8.447399 49.0037742, 8.4474162 49.0037714, 8.4474505 49.0037657, 8.4474849 49.0037601, 8.4475021 49.0037573, 8.4475364 49.0037517, 8.4475708 49.003746, 8.4475879 49.0037432, 8.4476223 49.0037376, 8.4476411 49.0037869, 8.4476464 49.0038009, 8.4476703 49.0037972, 8.4477135 49.0037909, 8.4477379 49.0037873, 8.4477313 49.0037679, 8.4477167 49.0037253, 8.4477523 49.0037201, 8.4477842 49.0037154, 8.4478162 49.0037107, 8.4478482 49.003706, 8.4478801 49.0037013, 8.4479121 49.0036966, 8.4479266 49.0037391, 8.4479286 49.0037449, 8.4479331 49.0037513, 8.4479422 49.0037551, 8.4479507 49.0037574, 8.4479606 49.0037589, 8.4480772 49.0037394, 8.4480806 49.003748, 8.4481427 49.0037376, 8.4481511 49.0037591, 8.4481595 49.0037807, 8.4481679 49.0038022, 8.4481762 49.0038238, 8.4481846 49.0038453, 8.4482124 49.0039141, 8.4482462 49.0039086, 8.44828 49.003903, 8.4483138 49.0038975, 8.4483476 49.003892, 8.4483551 49.0038908, 8.4483657 49.0039186, 8.4483799 49.0039163, 8.4484109 49.0039112, 8.4484136 49.0039108, 8.4484473 49.0039053, 8.4484809 49.0038998, 8.4485146 49.0038943, 8.4485483 49.0038888, 8.4485819 49.0038833, 8.4485974 49.0039242, 8.4486445 49.0039165, 8.4488233 49.0039345, 8.448835 49.003966, 8.4489004 49.0039559, 8.4489441 49.0039491, 8.4489649 49.0040021, 8.4490094 49.003995, 8.4491361 49.0039748, 8.4491785 49.003968, 8.4492019 49.0040274, 8.4492392 49.004021, 8.4492426 49.0040204, 8.4493103 49.0040088, 8.4493197 49.0040323, 8.449329 49.0040558, 8.4493384 49.0040793, 8.4493505 49.0041098, 8.4493627 49.0041402, 8.4493748 49.0041707, 8.4493037 49.0041828, 8.4493134 49.0042072, 8.4492915 49.0042109, 8.4491729 49.0042313))",yes,,,,,,,,,,,,,,,yes,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4158321515, 309303377, 4158321502, 4158321500, 4158321506, 4484227291, 4158321497, 309303374, 5405791686, 4158321501, 2729405875, 4158321503, 6430333011, 6430332996, 6430332997, 6430332998, 6430332999, 6430333000, 6430333001, 6430333002, 4158321532, 4158321537, 1372876045, 1372876048, 4152042810, 1372876055, 1372876053, 4278714840, 4278714839, 602218236, 4278714842, 4152068250, 778584428, 4152068247, 4152068249, 778584430, 4152068252, 4152068248, 4152068251, 4152068245, 4152068244, 4152068243, 4152068242, 4152068246, 4152042830, 4152042828, 4152042826, 4152042824, 4152042822, 4152042819, 4152042818, 4152042816, 4152042814, 7528901854, 7528902127, 7528901855, 4152042811, 4152042809, 4152042807, 7040704304, 7040704306, 4152042806, 7040683873, 4152042805, 3935624276, 602218220, 6430333094, 6430333102, 6430333101, 7528901843, 8223834104, 1239239435, 8223834102, 8223834099, 8223834097, 8223834106, 8223836918, 8223836921, 8223836923, 8223836924, 8223836927, 8223832825, 8223832826, 8223832829, 8223832830, 8223832831, 6430333169, 6430333168, 6430333167, 6430333173, 6430332934, 1239239744, 6430332933, 6430332932, 6430332931, 6430332929, 6430332930, 1239239736, 6430332940, 6430333183, 6430333182, 6430333181, 6430333180, 1239239718, 6430333184, 6430333185, 1239239725, 6430332944, 6430332943, 6430332942, 6430332941, 1239239701, 6430332911, 7528901791, 7528901793, 7528901795, 7528901809, 5405791628, 5405791629, 7528901811, 6430332909, 7528901781, 7528901783, 7528901785, 7528901787, 7528901789, 5405791630, 5405791631, 5405791632, 5405791659, 5405791667, 5405791666, 5405791633, 5405791634, 5405791657, 5405791656, 5405791635, 5405791636, 6430332900, 5405791568, 5405791637, 6430332903, 6430332904, 5405791641, 6430332906, 6430332905, 5405791642, 5405791643, 5405791638, 5405791639, 4158321515]",,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47263616,permissive,,,,,parking,21,,,,,,no,,,,,surface,"POLYGON ((8.4451504 49.0001273, 8.4451935 49.0000976, 8.4457202 49.0004258, 8.4457033 49.0004374, 8.4456771 49.0004555, 8.4451504 49.0001273))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[602218176, 602218177, 602218185, 1473085941, 602218184, 602218176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47263619,customers,,,,,parking,,,,,,,no,2,,24/7,Durlach-Center;XXXL Mann Mobilia,multi-storey,"POLYGON ((8.4458299 49.0042347, 8.4458632 49.0042291, 8.445882 49.004226, 8.4459827 49.0042089, 8.4459776 49.0041959, 8.4461059 49.0041742, 8.4461113 49.0041879, 8.4470324 49.0040321, 8.4470212 49.0040035, 8.4470934 49.0039913, 8.4470835 49.003966, 8.4470114 49.0039782, 8.4469943 49.0039348, 8.4470394 49.0039272, 8.4470079 49.0038469, 8.4469631 49.0038545, 8.446952 49.0038264, 8.446941 49.0037983, 8.446722 49.0038354, 8.4467052 49.0037926, 8.4464477 49.0038362, 8.4464643 49.0038785, 8.4462784 49.00391, 8.4462616 49.0038673, 8.4460032 49.003911, 8.4459973 49.0038962, 8.4458924 49.003914, 8.4458691 49.0039179, 8.4458748 49.0039323, 8.4457213 49.0039583, 8.4458299 49.0042347))",yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,no,,,,,,,,,,,indoor,,,,no,,,parking,,,,,,,,,,~1995,Durlach-Center;XXXL Mann Mobilia,,,,"[602218212, 6430333136, 1213017900, 3935624275, 3935624274, 3935624272, 3935624273, 602218213, 3935624271, 3935624270, 3935624268, 3935624269, 3935624267, 3935624265, 3935624260, 3935624261, 3935624259, 602218208, 602218214, 602218209, 602218215, 602218216, 602218217, 602218218, 3935624263, 3935624262, 2405546392, 3935624264, 3935624266, 602218201, 602218212]",,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47975504,customers,,,,,parking,92,2,,,,,no,,,24/7,Opti-Wohnwelt Föst GmbH & Co. KG,surface,"POLYGON ((8.4564919 49.0208002, 8.4564807 49.0207846, 8.4564451 49.0207352, 8.456402 49.0206755, 8.4562713 49.0204939, 8.4562327 49.0204403, 8.4562202 49.020423, 8.4562601 49.0204106, 8.4568407 49.020228, 8.4569149 49.0202054, 8.4569294 49.0202258, 8.4569439 49.0202463, 8.4569584 49.0202667, 8.4569729 49.0202872, 8.4569786 49.0202951, 8.4569874 49.0203076, 8.457002 49.0203281, 8.4570165 49.0203486, 8.457031 49.020369, 8.4570455 49.0203895, 8.45706 49.0204099, 8.4570745 49.0204304, 8.457089 49.0204508, 8.4571035 49.0204713, 8.457118 49.0204918, 8.4570559 49.0205316, 8.4567687 49.0207184, 8.4565392 49.0207837, 8.4564919 49.0208002))",,,,,,paving_stones,,,,,,,,,,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,,,no,,,,,,Opti-MegaStore,,,,"[610218977, 610218975, 7965077947, 5523202941, 7965077955, 610218970, 610218973, 1881067182, 9106118684, 255866406, 9106118533, 9106118531, 9106118529, 9106118527, 6030425547, 9106118525, 9106118523, 9106118521, 9106118519, 9106118517, 9106070615, 9106070613, 9106070611, 9106070609, 255866403, 9106118683, 255866414, 1881067321, 610218977]",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49156500,private,,,,,parking,32,,,,,,,,Weinbrennerschule,,,surface,"POLYGON ((8.3768031 49.0049297, 8.3768565 49.0049141, 8.3768891 49.0048883, 8.3769135 49.0048685, 8.3769698 49.0048521, 8.3767524 49.0045322, 8.3765694 49.0045857, 8.3768031 49.0049297))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[623511956, 3818041109, 3818041108, 3818041107, 623511958, 623511963, 623511966, 623511956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,52282195,customers,,,,,parking,,,,,,,no,,,,,surface,"POLYGON ((8.3554375 49.0189618, 8.3553773 49.0187899, 8.3555397 49.0187557, 8.3554631 49.0186097, 8.3558496 49.0185225, 8.3555589 49.0182971, 8.3552904 49.0184519, 8.3551232 49.0183245, 8.3555231 49.0180846, 8.3552101 49.0180134, 8.354944 49.0180948, 8.3548509 49.0179353, 8.3549105 49.017921, 8.3547512 49.0176384, 8.3549 49.0175862, 8.3549975 49.0176666, 8.3551209 49.0177545, 8.3549906 49.0178126, 8.3550637 49.0179314, 8.3551975 49.0179219, 8.355527 49.0180285, 8.3556339 49.0180669, 8.3563643 49.0176434, 8.356496 49.0177377, 8.3558712 49.0181127, 8.3560089 49.0182165, 8.3566734 49.0187813, 8.3554375 49.0189618))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[665324138, 1458859990, 1458860020, 1458860032, 1458860061, 1458860030, 1458860033, 665324135, 1458860053, 1458860023, 1458859994, 665324133, 3363013580, 3363013569, 3363013579, 3363013571, 3363013566, 3363013561, 1458860014, 665324136, 2284820947, 1458860050, 1458860057, 1458860042, 1458860018, 9900311809, 665324145, 665324138]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,52282196,customers,,,,,parking,,,,,,,no,,,,,surface,"POLYGON ((8.357139 49.0195311, 8.3567621 49.0197845, 8.3567389 49.0198003, 8.3562496 49.0194645, 8.3563636 49.0193831, 8.3561584 49.0192376, 8.3561917 49.0192109, 8.356125 49.0191615, 8.3555346 49.0192514, 8.3554393 49.0189758, 8.3566523 49.0187975, 8.3566798 49.018879, 8.3564309 49.0190448, 8.357139 49.0195311))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[665324152, 2058199757, 9900311799, 665324143, 1458860027, 1458859988, 1458859985, 665324142, 665324140, 665324139, 665324146, 665324148, 665324141, 665324152]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,52474423,private,,,,,parking,,5,,,,,,,,,Robert Bosch GmbH,surface,"POLYGON ((8.4775911 49.0160806, 8.477532 49.0160237, 8.4775063 49.015999, 8.477476 49.0159699, 8.4776366 49.0159011, 8.4776887 49.0158816, 8.4777336 49.0158699, 8.4775774 49.015641, 8.4774457 49.0154478, 8.4774118 49.0153982, 8.4773641 49.0153736, 8.4773134 49.0153639, 8.4772517 49.01537, 8.477195 49.0153874, 8.4771684 49.0153581, 8.4768139 49.0154981, 8.4767462 49.0154371, 8.4766939 49.0154398, 8.4765783 49.0154922, 8.4765386 49.0154531, 8.4762107 49.0156015, 8.4761964 49.0155874, 8.476119 49.0155075, 8.4760354 49.0155451, 8.4760047 49.0155133, 8.4755993 49.0156899, 8.475561 49.0157075, 8.475461 49.0156139, 8.475358 49.0156606, 8.4753259 49.0156301, 8.4751215 49.0157247, 8.4751551 49.0157569, 8.4751247 49.0157709, 8.4751722 49.0158165, 8.4752074 49.0158506, 8.4752185 49.0158615, 8.4752555 49.0158973, 8.4752998 49.0159402, 8.4753378 49.0159769, 8.47535 49.0159888, 8.4753865 49.0160241, 8.4754655 49.0161011, 8.4754804 49.0161154, 8.4755962 49.0162277, 8.4756123 49.0162427, 8.4757277 49.0163523, 8.4757445 49.0163681, 8.4758604 49.01648, 8.4758755 49.0164945, 8.4759904 49.0166056, 8.476006 49.0166203, 8.4761218 49.0167322, 8.4761391 49.0167483, 8.4762532 49.0168589, 8.4762706 49.0168751, 8.4763844 49.0169847, 8.4763984 49.0169984, 8.4765146 49.0171105, 8.4765602 49.017153, 8.4765861 49.0171771, 8.476459 49.0172356, 8.4762971 49.0173065, 8.4762216 49.0173396, 8.4761524 49.0173723, 8.4761486 49.017473, 8.4761372 49.0174784, 8.4760665 49.0175103, 8.4760115 49.0175339, 8.4760204 49.0175424, 8.476147 49.017666, 8.4762022 49.0177224, 8.476482 49.0175961, 8.4764967 49.0175896, 8.4765113 49.0175831, 8.4771283 49.0173038, 8.4771446 49.0172839, 8.4771466 49.0172565, 8.4771372 49.0172306, 8.477117 49.0172093, 8.4771062 49.0171957, 8.4771015 49.0171826, 8.477105 49.0171744, 8.4771143 49.0171674, 8.4771211 49.0171648, 8.4771544 49.0171966, 8.4774764 49.0170501, 8.4774487 49.0170236, 8.4775534 49.0169773, 8.4775805 49.0170037, 8.4780599 49.0167904, 8.4780263 49.0167568, 8.4780762 49.0167371, 8.4774788 49.0161558, 8.4774598 49.0161373, 8.4774516 49.0161293, 8.4775911 49.0160806))",,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5308122566, 4372203351, 5674808392, 5674808391, 5674808390, 4372203350, 5656315277, 5679687907, 5679687904, 5679687906, 5679687905, 1189476776, 5679687903, 5679687902, 5679687901, 1189477703, 5656315276, 4372203338, 1189477390, 4372203339, 4368702839, 5678263104, 1189476989, 1189477832, 667071479, 5656315268, 667071480, 1189476756, 1189477671, 667071481, 667071482, 5654783024, 5654783025, 5654783021, 5650712283, 5650712271, 5654783022, 5654783029, 5650709820, 5650709808, 5654783030, 5678263069, 5678263085, 5678263643, 5678263628, 5678263662, 5678263647, 5678263679, 5678263666, 5678263696, 5678263683, 5678263715, 5678263700, 5678263734, 5678263719, 5678263753, 5678263738, 5678263766, 5678263757, 667071483, 5673722258, 5673722259, 5652687307, 1189476835, 1189477257, 5652687305, 5652686505, 5678263782, 5652686503, 5652686502, 3102001793, 5678263779, 5983632289, 5678263780, 1189477476, 5678263767, 5678263768, 5678263769, 5678263770, 5678263771, 5678263772, 5678263773, 5678263774, 5678263775, 1189477212, 5678286677, 5678286679, 5678286680, 5678286678, 667071476, 5678263777, 5678263776, 5679667240, 5679667264, 667071477, 5308122566]",,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
