element_type,osmid,amenity,name,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,contact:email,contact:fax,contact:phone,contact:website,fixme,isced:level,website,grades,phone,addr:country,description,addr:suburb,note,operator,operator:type,school,school:de,email,fee,start_date,old_name,nodes,source,wikidata,wikipedia,polling_station,building,fax,building:levels,check_date,toilets:wheelchair,area,education,roof:levels,roof:shape,network,school:DE,name:etymology:wikidata,addr:subdistrict,name:en,name:fr,capacity,official_name,landuse,short_name,source:geometry,opening_hours,ways,type
way,111185536,school,Max-Planck-Gymnasium,limited,"POLYGON ((8.4132858 48.9773504, 8.4149181 48.9778675, 8.4154092 48.9771415, 8.4158412 48.9765447, 8.4159537 48.9754778, 8.4148188 48.975608, 8.4148034 48.9756994, 8.4140163 48.9756805, 8.4139632 48.9760107, 8.4139309 48.976138, 8.4139942 48.9761535, 8.4138521 48.9765221, 8.4137451 48.9767235, 8.4136112 48.9769234, 8.4132858 48.9773504))",Karlsruhe,49,76199,Krokusweg,,,,,,,2;3,,,,,,,,,,,,,,,,"[1267427783, 1267427724, 1267427755, 1267427902, 1267427735, 10694908464, 10694908465, 1267427780, 10694908463, 1267427905, 1389889143, 1267427718, 10694908462, 1389889193, 1267427783]",,Q1912052,,,,,,,,,,,,,,,,,,,,,,,,,
way,113132673,school,Parzival-Zentrum,yes,"POLYGON ((8.4577478 49.0360194, 8.4575561 49.0360381, 8.4575054 49.0360457, 8.4573548 49.0360597, 8.4573041 49.0360668, 8.4572575 49.0360709, 8.457146 49.0360865, 8.4571445 49.0360822, 8.4571387 49.036083, 8.4570839 49.0360907, 8.4570829 49.0360875, 8.4570701 49.0360893, 8.4570546 49.036091, 8.4569952 49.0360992, 8.4569581 49.0361039, 8.4568147 49.0356331, 8.4567002 49.0352776, 8.4566698 49.0351794, 8.4566591 49.035088, 8.4566678 49.0350783, 8.456683 49.0350678, 8.4566954 49.0350612, 8.4567165 49.0350568, 8.4567442 49.0350537, 8.4577289 49.0349981, 8.4578415 49.0349961, 8.4578377 49.0349771, 8.4579396 49.0349537, 8.458085 49.0349346, 8.4582244 49.0349461, 8.4583354 49.0349679, 8.4584481 49.0349943, 8.45855 49.0350237, 8.4586596 49.0350656, 8.4590072 49.0352078, 8.459018 49.0352256, 8.4590184 49.0352507, 8.4589735 49.0353355, 8.4589234 49.0353978, 8.4588129 49.0355504, 8.4587815 49.0356049, 8.4587673 49.0356296, 8.4587432 49.0357228, 8.4587458 49.0357896, 8.4587753 49.0358511, 8.4586314 49.035893, 8.4587051 49.0360514, 8.4586304 49.0360595, 8.4584828 49.0360717, 8.4583501 49.0361014, 8.4583293 49.0360682, 8.4583245 49.0360271, 8.4583066 49.0359918, 8.4582728 49.0359665, 8.4582199 49.0359597, 8.4582174 49.035952, 8.4582133 49.0359341, 8.458111 49.0359286, 8.458012 49.0359282, 8.4579224 49.0359126, 8.4579032 49.0359118, 8.4578888 49.0359198, 8.4578727 49.0359374, 8.4578522 49.0359444, 8.4578191 49.0359467, 8.4577881 49.0359561, 8.4577755 49.0359636, 8.4577629 49.0359761, 8.4577576 49.0360048, 8.4577567 49.036013, 8.4577478 49.0360194))",,,,,,info@parzival-schulzentrum.de,+49 721 680786666,+49 721 68078660,http://www.parzival-zentrum.de/,,,,,,,,,,Karlsruher Verein zur Förderung junger Menschen e.V.,community,,,,yes,1999,,"[3853207373, 1283887983, 3852810274, 3852810279, 3852810281, 3852810284, 3852810285, 6222475474, 3852810286, 3852810287, 6222475475, 3853207378, 3852994896, 3852994897, 1283844110, 1283844423, 1283844426, 1283844403, 1283844465, 1283844434, 4743888477, 4743888476, 4743888475, 1283844086, 1283844351, 1283844106, 3853201608, 1283844274, 1283844260, 1283848892, 4743893708, 1283844128, 4743893710, 1283848854, 1283848891, 3853201617, 1283844504, 1283844342, 1283848859, 1283844449, 1283888019, 1283844470, 1283844356, 1283844185, 1283844386, 3852809946, 3852810283, 5580909893, 1283844277, 3852810290, 3852810282, 3852810270, 3852810263, 3852810257, 3852809955, 3852809953, 3852809949, 1283844108, 1283844299, 1283844315, 3853207359, 3853207360, 3853207362, 3853207363, 6222475479, 3853207365, 6222475480, 3853207367, 3853207370, 3853207372, 3853207373]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,
way,115413447,school,Weinbrennerschule,,"POLYGON ((8.3770662 49.0048592, 8.3774942 49.0047342, 8.3778301 49.0047163, 8.3778263 49.004678, 8.3778218 49.0046318, 8.3777987 49.0044457, 8.3777235 49.0044485, 8.3776062 49.0033467, 8.3768808 49.0032279, 8.3769477 49.0040456, 8.3769963 49.0043956, 8.3767969 49.0044553, 8.3770662 49.0048592))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1304101046, 1304101047, 1304101048, 1266977818, 1266977847, 1287672647, 1287672646, 1287672645, 1284962486, 623511911, 1304101050, 1304101051, 1304101046]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115853080,school,Friedrich-Schlick-Schule,,"POLYGON ((8.3630794 48.988205, 8.3640316 48.9882015, 8.3640357 48.9875745, 8.3640366 48.9875303, 8.364037 48.9874781, 8.3639479 48.9874802, 8.3627388 48.987508, 8.3627422 48.987636, 8.3628271 48.9877182, 8.36283 48.9877544, 8.3629185 48.9879744, 8.3629265 48.9880395, 8.3629775 48.98808, 8.3630016 48.9880871, 8.3630794 48.988205))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1307725807, 1307725802, 9520722324, 10288532099, 1307725801, 9520717689, 1307725804, 1307727485, 1307727520, 1307725803, 1307725798, 1307725806, 1307725799, 1307725805, 1307725807]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116001854,school,Anne-Frank-Schule Karlsruhe,,"POLYGON ((8.3641164 48.9881759, 8.3641317 48.9873334, 8.3645018 48.987228, 8.3651099 48.9872237, 8.3662433 48.9872261, 8.3664605 48.987403, 8.3666055 48.987498, 8.3666981 48.9875624, 8.3667024 48.9878282, 8.3666939 48.9878285, 8.3666948 48.9884609, 8.3666947 48.9885066, 8.3660656 48.9885105, 8.3646623 48.988505, 8.364666 48.9883642, 8.3646052 48.9883639, 8.3643596 48.9883629, 8.364367 48.9881755, 8.3641164 48.9881759))",Karlruhe,12,76189,Bonhoefferstraße,,,,,,,,https://www.anne-frank-schule-karlsruhe.de,,,DE,,,,,,,,,,,,"[1309199613, 1309199602, 1309199617, 9630352497, 1309199615, 10067245589, 1309199600, 1309199596, 10067245592, 9561315776, 9561315758, 1309199593, 10067459108, 1309199597, 1309199618, 9688821024, 1316576062, 1309199619, 1309199613]",,Q64211220,,,,,,,,,,,,,,,,,,,,,,,,,
way,118944135,school,Grundschule Aue,limited,"POLYGON ((8.4541846 48.9912929, 8.4541189 48.9911929, 8.4546503 48.9910425, 8.4547882 48.9912522, 8.4546074 48.9913034, 8.4545352 48.9911937, 8.4541846 48.9912929))",Karlsruhe,9,76227,Grazer Straße,,,,,,,,,,,DE,,,,,,,,,,,,"[1337098034, 1337098011, 1337098024, 1337098012, 1337098026, 1337098021, 1337098034]",LA-KA,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,119931062,school,Hardtschule,,"POLYGON ((8.3553045 49.0107813, 8.3553347 49.0107726, 8.3553046 49.0107284, 8.3555867 49.0106474, 8.3556757 49.0107499, 8.3553785 49.0108352, 8.3553603 49.0108107, 8.3553301 49.0108194, 8.3553045 49.0107813))",Karlsruhe,3,76185,Hardtstraße,,,,,,,,,,,DE,,,,,,,,,,,,"[1345935967, 1345935807, 5225057933, 5225057932, 1345935895, 1345936094, 1345936067, 1345935742, 1345935967]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,123271222,school,Adam-Remmele,,"POLYGON ((8.3395657 48.9999338, 8.3398299 48.9998425, 8.3407462 48.9994163, 8.3406242 48.9993061, 8.3409916 48.9991301, 8.3408481 48.9989738, 8.3407483 48.9990366, 8.3400744 48.9985806, 8.3401222 48.9985568, 8.3399339 48.9984333, 8.3391762 48.998761, 8.3396156 48.9991438, 8.3389377 48.9994577, 8.339469 48.9999161, 8.3395657 48.9999338))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1375288649, 1375288645, 1375288620, 1375288613, 1375288595, 1375288590, 1375288591, 1375288586, 1375288585, 1375288583, 1375288587, 1375288598, 1375288624, 1375288648, 1375288649]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123816079,school,Grundschule Beiertheim,no,"POLYGON ((8.3865189 48.992918, 8.3864919 48.992721, 8.3867126 48.9927114, 8.386723 48.9928137, 8.3870523 48.9927992, 8.3870476 48.9927528, 8.3871109 48.99275, 8.3871099 48.9927398, 8.3871602 48.9927376, 8.3871611 48.9927464, 8.3871984 48.9927448, 8.387207 48.9928294, 8.3871442 48.9928322, 8.3871494 48.9928827, 8.3865189 48.992918))",Karlsruhe,51,76135,Marie-Alexandra-Straße,,,,,,,,,,,DE,,,,,,,,,,,,"[1379460018, 1379459953, 1379459950, 1379459988, 1379459984, 1379459968, 1379459966, 1379459962, 1379459956, 1379459964, 1379459963, 1379459989, 1379459992, 1379460012, 1379460018]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,125626167,school,Eichelgartenschule,,"POLYGON ((8.4139182 48.9749043, 8.4139196 48.9745711, 8.4125005 48.9745686, 8.4124781 48.974645, 8.4124139 48.9747267, 8.4124132 48.9749016, 8.4139182 48.9749043))",,,,,,,,,,,1,http://www.eichelgartenschule.de,,,,,,,,,,Grundschule,,,,,"[931700686, 915834834, 915834833, 1394947249, 919561809, 1394947243, 931700686]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125983786,school,Schülerhort,,"POLYGON ((8.4066999 48.9779538, 8.4065834 48.9778819, 8.4064708 48.9779607, 8.4065852 48.9780312, 8.4066136 48.9780114, 8.4066537 48.9780361, 8.4067083 48.977998, 8.4066702 48.9779745, 8.4066999 48.9779538))",Karlsruhe,19,76199,Blütenweg,,,,,,,,,,,,,,,,,,,,,,,"[1397785102, 1397785098, 1397785104, 1397785121, 1397785119, 1397785124, 1397785115, 1397785107, 1397785102]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,126129628,school,Riedschule,,"POLYGON ((8.4031346 48.9685716, 8.40375 48.9684039, 8.4037561 48.9683055, 8.4034382 48.9682836, 8.4034311 48.9681563, 8.4033916 48.9681041, 8.4033376 48.9680842, 8.4032611 48.9680782, 8.4030007 48.9681018, 8.4028236 48.9681505, 8.4027751 48.9680809, 8.4022665 48.968221, 8.4026919 48.9688769, 8.4032329 48.9687272, 8.4031346 48.9685716))",Karlsruhe,11,76199,Riedstraße,,,,,,,,,,,,,,,,,,,,,,,"[1399073829, 1399073817, 1399073812, 1399073808, 1399073801, 1399073797, 1399073795, 1399073793, 1399073796, 1399073799, 1399073794, 1399073804, 1399073844, 1399073842, 1399073829]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129991043,school,Freie Waldorfschule Karlsruhe,limited,"POLYGON ((8.4427868 49.033905, 8.442709 49.033829, 8.4426251 49.0338099, 8.4424593 49.0337889, 8.4423427 49.0338221, 8.4419189 49.0338679, 8.4413288 49.0332665, 8.4416731 49.0330962, 8.4417064 49.0330912, 8.441703 49.0330664, 8.4416997 49.0330428, 8.4416431 49.033044, 8.4416299 49.0330151, 8.4415609 49.032947, 8.4413805 49.0327778, 8.4412087 49.0326065, 8.4407254 49.0321178, 8.4416487 49.0317299, 8.4417544 49.031745, 8.4417989 49.0318, 8.4418894 49.0318976, 8.4420336 49.0320277, 8.4420696 49.0320532, 8.4421758 49.0321596, 8.4428425 49.0328232, 8.4435039 49.033471, 8.4435869 49.03355, 8.4434643 49.033608, 8.443529 49.0336715, 8.4434428 49.0337081, 8.4433928 49.0337292, 8.4433532 49.0336878, 8.4433176 49.0336846, 8.443268 49.0337046, 8.4432416 49.0337056, 8.4427868 49.033905))",Karlsruhe,2,76139,Neisser Straße,,,,,,,1;2;3,https://www.waldorfschule-karlsruhe.de/,,,DE,,Waldstadt,,Gemeinnützige Genossenschaft zum Betrieb der Freien Waldorfschule Karlsruhe eG,community,primary;secondary,,,yes,1977,,"[9379962389, 1433091166, 1433091446, 3077276968, 1433091407, 2700429376, 2700429380, 2700429383, 6017566390, 267377930, 6017566389, 1433091437, 6017566387, 6017566388, 6017566303, 1433091140, 6017566297, 6053037497, 6053037496, 5212659900, 5212659901, 5212659902, 1433118188, 1433091090, 1433091150, 1433091319, 1433091059, 9379962391, 3077276970, 9379962400, 3077276967, 9379962397, 9379962396, 9379962395, 9379962394, 9379962389]",,Q56476657,,,,,,,,,,,,Bund der Freien Waldorfschulen e. V.,Waldorfschule,,,,,,,,,,,,
way,131712834,school,Augustenburg Gemeinschaftsschule Grötzingen,,"POLYGON ((8.5004257 49.0038767, 8.5002378 49.0038699, 8.4999509 49.0038603, 8.499761 49.0038524, 8.4997108 49.0040501, 8.4996223 49.0040527, 8.4994634 49.0040533, 8.4988177 49.0040555, 8.4988169 49.0041781, 8.4983032 49.0041764, 8.4983032 49.004111, 8.4979982 49.0041118, 8.4979788 49.003572, 8.4992549 49.0035688, 8.4992461 49.0031851, 8.4992458 49.0031723, 8.4992456 49.003164, 8.4995274 49.0031925, 8.5006646 49.0036482, 8.5007118 49.003826, 8.5004437 49.0038236, 8.5004402 49.0038327, 8.5004257 49.0038767))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1449339607, 2299427246, 2299427244, 2299323981, 2299323984, 1449339621, 2299474028, 1636733079, 1636733085, 2299870890, 1449339624, 2299870892, 1449339597, 1449339602, 4784061703, 10083268609, 1449339605, 10083268608, 1449339606, 2299607152, 2299607153, 2299551220, 1449339607]",,Q64211224,,,,,,,,,,,,,,,,,,,,,,,,,
way,132049336,school,Nordschule,,"POLYGON ((8.3817526 49.0526466, 8.3811524 49.0530839, 8.3811132 49.0530626, 8.3811277 49.0530547, 8.381102 49.0530347, 8.3810921 49.0530402, 8.3810417 49.053001, 8.3809896 49.0530298, 8.3809619 49.0530146, 8.3808324 49.0529392, 8.3810353 49.0527894, 8.3810111 49.0527753, 8.3810816 49.0527233, 8.3810905 49.0527285, 8.3814304 49.0524746, 8.3814028 49.0524587, 8.3815211 49.0523703, 8.3817239 49.0524869, 8.3817561 49.0525054, 8.3817444 49.0525142, 8.3818494 49.052577, 8.3817526 49.0526466))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1453011158, 1453011276, 1453011274, 1453011271, 1453011267, 1453011270, 1453011262, 1453011266, 1453011264, 1453011254, 1453011229, 1453011224, 1453011185, 1453011193, 1453011109, 1453011104, 1453011100, 2478055077, 1453011112, 1453011116, 1453011129, 1453011158]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,132472258,school,Grund- und Realschule am Rennbuckel,,"POLYGON ((8.3615578 49.0240724, 8.3616925 49.0242695, 8.3618313 49.0244165, 8.3620081 49.0245954, 8.3620696 49.0248243, 8.3622849 49.0250991, 8.36247 49.0254822, 8.3625701 49.0256895, 8.3623657 49.0257867, 8.3623304 49.0257993, 8.3622989 49.0258057, 8.3622657 49.0258155, 8.3621598 49.0258798, 8.3621433 49.0258143, 8.3621302 49.025786, 8.3620995 49.025732, 8.362065 49.0256965, 8.3620027 49.0256554, 8.3619295 49.025628, 8.3617681 49.0255979, 8.3617281 49.0255828, 8.3616936 49.0255659, 8.3616629 49.0255376, 8.361642 49.0255118, 8.3616321 49.025482, 8.3615653 49.0254826, 8.361538 49.0255008, 8.361445 49.0254371, 8.361173 49.0251206, 8.361172 49.0250417, 8.3610376 49.0248838, 8.3609786 49.0247922, 8.3607379 49.0242779, 8.3615578 49.0240724))",Karlsruhe,22,76185,Bonner Straße,,,,,https://rennbuckel.de,,,,,,DE,,,,,,,,,,,,"[1457254410, 1457254441, 1457254450, 1457254473, 1457254520, 1457254530, 10271450604, 1457254612, 1457254637, 1457254647, 1457254650, 1457254656, 1457254657, 1457254654, 1457254635, 1457254624, 1457254621, 1457254606, 1457254604, 1457254601, 1457254599, 1457254585, 1457254584, 1457254583, 1457254578, 1457254579, 1457254581, 1457254576, 1457254532, 1457254529, 1457254527, 1457254506, 1457254438, 1457254410]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,132825637,school,Ernst-Reuter-Schule,,"POLYGON ((8.4380119 49.0311174, 8.437955 49.0311266, 8.4378889 49.0311373, 8.4378797 49.0311388, 8.437848 49.0310568, 8.4378221 49.0310611, 8.4378067 49.0310212, 8.4378326 49.0310169, 8.4378004 49.0309334, 8.4376759 49.0309541, 8.4376827 49.0309715, 8.4376241 49.0309812, 8.4376173 49.0309638, 8.4375545 49.0309742, 8.4375237 49.0308945, 8.4375866 49.030884, 8.4375547 49.0308014, 8.437531 49.0308053, 8.437517 49.0307691, 8.4375407 49.0307652, 8.4375083 49.0306812, 8.4373833 49.0307019, 8.4373894 49.0307177, 8.4373323 49.0307271, 8.4373263 49.0307114, 8.4372629 49.0307219, 8.437232 49.0306419, 8.4372954 49.0306314, 8.4372641 49.0305502, 8.4372394 49.0305543, 8.4372244 49.0305154, 8.4372491 49.0305113, 8.4372175 49.0304293, 8.4371972 49.0303765, 8.4372402 49.0303693, 8.4372293 49.0303408, 8.4372032 49.0302722, 8.4366498 49.0303839, 8.4362823 49.0304243, 8.4358049 49.0295995, 8.4356368 49.0292938, 8.4355179 49.0289444, 8.4352908 49.0288629, 8.4348232 49.0289277, 8.4347351 49.028999, 8.4347534 49.0292274, 8.4347803 49.0294949, 8.434909 49.0299662, 8.4352188 49.0306037, 8.4356271 49.0318145, 8.4365403 49.0318091, 8.4379868 49.0316395, 8.4384803 49.0315472, 8.4384209 49.0314103, 8.4383436 49.0314232, 8.4382966 49.0313001, 8.4382142 49.031225, 8.4380631 49.03125, 8.4380375 49.0311837, 8.4380119 49.0311174))",,,,,,,,,,,,http://www.ers-karlsruhe.de/,,,,,,,,,,,,,,,"[1461345722, 6053110843, 6053110844, 1461345645, 1461345630, 1461345626, 1461345550, 1461345546, 1461345548, 1461345611, 1461345680, 1461345612, 1461345572, 5856833786, 5856833785, 1461345559, 1461345620, 1461345625, 1461345720, 1461345700, 1461345675, 1461345606, 1461345533, 1461345581, 1461345627, 5856833079, 5856833080, 1461345643, 1461345538, 1461345539, 1461345512, 1461345518, 1461345511, 6017661105, 6053110881, 5984112784, 6053110882, 1461345628, 1461345577, 1461345564, 1461345575, 1461345684, 1461345656, 1461345571, 1461345556, 7178126625, 1461345513, 1461345569, 1461345678, 432476998, 1497158830, 1461345562, 1461345631, 1461345549, 5856833797, 5856833798, 1461345609, 5984112887, 5984112885, 1461345722]",,Q64211245,,,,,,,,,,,,,,,,,,,,,,,,,
way,150660501,school,Schule am Turmberg,,"POLYGON ((8.4827964 49.0008613, 8.4826132 49.0007625, 8.48268 49.0007091, 8.4828288 49.0007893, 8.4829222 49.0007148, 8.4827991 49.0006484, 8.4828815 49.0005827, 8.4830042 49.0006488, 8.4830833 49.0005857, 8.482967 49.0005231, 8.4830543 49.0004534, 8.4831737 49.0005178, 8.4832641 49.0004456, 8.4831664 49.000393, 8.4832317 49.0003409, 8.4833535 49.0004066, 8.4833809 49.0003848, 8.4836192 49.0005132, 8.4835907 49.000536, 8.4837064 49.0005983, 8.4836289 49.0006602, 8.4835251 49.0006043, 8.4834465 49.000667, 8.4835551 49.0007256, 8.4834723 49.0007916, 8.4833616 49.0007319, 8.4832798 49.0007972, 8.4833959 49.0008598, 8.4833075 49.0009304, 8.4831913 49.0008677, 8.4831157 49.0009281, 8.4832011 49.0009741, 8.4831194 49.0010393, 8.4830289 49.0009905, 8.482971 49.0010368, 8.4827356 49.0009099, 8.4827964 49.0008613))",Karlsruhe,20,76227,Am Steinbruch,,,,,,,,http://www.schule-am-turmberg.de/,,,DE,,Durlach,,,,,,,,,,"[1635527957, 1635527939, 1635527923, 1635527946, 1635527924, 1635527907, 1635527881, 1635527908, 1635527884, 1635527864, 1635527853, 1635527866, 1635527855, 1635527847, 1635527841, 1635527851, 1635527848, 1635527862, 1635527868, 1635527898, 1635527915, 1635527896, 1635527912, 1635527931, 1635527949, 1635527927, 1635527951, 1635527962, 1635527986, 1635527960, 1635527984, 1635527997, 1635528016, 1635528004, 1635528012, 1635527971, 1635527957]",LA-KA,,,,yes,,,,,,,,,,,Q871505,,,,,,,,,,,
way,154916407,school,Kant-Gymnasium,limited,"POLYGON ((8.4108564 49.0105812, 8.4106784 49.0104296, 8.4108474 49.0103439, 8.4109222 49.0104094, 8.4111024 49.0103179, 8.4110894 49.0102115, 8.4108255 49.0102211, 8.4108187 49.0101287, 8.4107655 49.0101313, 8.4107391 49.0101508, 8.4106901 49.0101885, 8.4105866 49.010264, 8.410504 49.0102144, 8.4104328 49.0101768, 8.4102414 49.0100634, 8.4102252 49.0100539, 8.4102078 49.0100451, 8.4101782 49.0100276, 8.4101219 49.0099954, 8.4100872 49.0099717, 8.4100739 49.0099647, 8.4099296 49.0100797, 8.4098419 49.0100293, 8.4095202 49.0102892, 8.4091187 49.0105901, 8.4092037 49.0106381, 8.4099272 49.0110508, 8.4101041 49.0109602, 8.4102967 49.0108641, 8.4103236 49.0108873, 8.41053 49.0107843, 8.4105039 49.0107618, 8.410597 49.0107154, 8.4106991 49.0106644, 8.4107778 49.0106228, 8.4108564 49.0105812))",,,,,,,,,,,,http://www.kantgymnasium.de,,,,,,,,,,,,,,,"[1795574304, 1022579289, 1022579268, 1022579258, 1022579243, 1022579215, 1022579265, 1022579282, 1247007452, 2922225988, 1247007298, 1245458896, 1247007656, 1247007605, 4057042070, 1247007634, 1247007523, 1247007466, 1247007546, 1247007331, 1247007238, 1247007582, 1673731196, 1673731203, 1673731225, 1481190969, 30247458, 1247007543, 1247007400, 1247007234, 1247007581, 1247007433, 4824752868, 1247007450, 1795574315, 1795574304]",,Q1698463,,,,,,,,,,,,,,,,,,,,,,,,,
way,156959753,school,Europäische Schule Karlsruhe,yes,"POLYGON ((8.4441234 49.0453392, 8.4441558 49.0466253, 8.4455347 49.0477962, 8.4458141 49.0481591, 8.4477849 49.0481532, 8.4477861 49.0474799, 8.4477747 49.0469221, 8.4475636 49.0469221, 8.4475688 49.046123, 8.447569 49.0460955, 8.447569 49.0460885, 8.4475691 49.0460781, 8.446971 49.0460814, 8.446971 49.0460471, 8.446971 49.0460207, 8.4469123 49.0460207, 8.4467958 49.0460207, 8.4467526 49.0460207, 8.4467509 49.0456028, 8.4468408 49.0452964, 8.4468135 49.0450732, 8.4466715 49.0447369, 8.4463256 49.0447426, 8.4451983 49.0447603, 8.4441234 49.0453392))",Karlsruhe,1,76139,Albert-Schweitzer-Straße,,,,,http://www.eskar.org,,,http://www.es-karlsruhe.eu/,,,DE,,Waldstadt,,,,,,,,1953,,"[1264733741, 1691975879, 9967856860, 1691975884, 1691975880, 5062729556, 1691975881, 9967856847, 9380126767, 5062729561, 9380126775, 1691975877, 1830659894, 6053062756, 1264714594, 1830659885, 1830659886, 6053063588, 1691975875, 7873771043, 1691975861, 1691975854, 2742275852, 9967856859, 1264733741]",,Q1377507,,,,,,,,,,,,,,,Europaviertel,European School Karlsruhe,École Européenne de Karlsruhe,,,,,,,,
way,157500118,school,Gutenberg-Schule,no,"POLYGON ((8.376876 49.0104714, 8.3763076 49.0094253, 8.3757151 49.0094582, 8.375534 49.0094682, 8.376084 49.0104516, 8.3761782 49.0104295, 8.3762766 49.010613, 8.376876 49.0104714))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1697310988, 1697310985, 2420951722, 1262155092, 1262155119, 1727796808, 1727796810, 1697310988]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,157528324,school,,,"POLYGON ((8.3818617 48.9962079, 8.3832894 48.995856, 8.3841545 48.9965609, 8.3849172 48.9973283, 8.3849385 48.997897, 8.3851574 48.9979014, 8.3852154 48.9984731, 8.3850232 48.9984815, 8.3849682 48.9984839, 8.3846674 48.9984971, 8.3846816 48.9986316, 8.3810129 48.9988006, 8.3808397 48.9970511, 8.3807992 48.9964435, 8.3818617 48.9962079))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8224390184, 1697653256, 1697653288, 1697653319, 5762136340, 5762136341, 1697653350, 9889726298, 9889726294, 9889726276, 9889726275, 1697653351, 8224390175, 8224390178, 8224390184]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,157561467,school,Albschule und Weiherwaldschule,,"POLYGON ((8.3911188 48.9812683, 8.3914172 48.9811311, 8.3914482 48.9810384, 8.3920825 48.9807382, 8.3930568 48.9802876, 8.392821 48.9800506, 8.392988 48.979972, 8.3927197 48.9797022, 8.3929277 48.9796033, 8.3932388 48.9795557, 8.3932559 48.9794469, 8.3927422 48.9794297, 8.3910397 48.9794555, 8.3908005 48.9801434, 8.3907732 48.9806589, 8.390822 48.9809702, 8.3911188 48.9812683))",Karlsruhe,23,76199,Scheibenhardter Weg,,,,,,,,,,,,,,,,,,,,,,,"[1623898726, 9937289233, 9937289234, 9937289232, 1717686311, 1697922969, 1697922967, 1697922961, 1697922957, 1623898786, 1623898758, 1702363823, 1623898715, 1623898805, 1623898812, 1697922972, 1623898726]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,159321110,school,,,"POLYGON ((8.3873918 48.9928872, 8.3875017 48.9928817, 8.3874836 48.9926599, 8.387453 48.9926666, 8.3874182 48.992565, 8.3872099 48.9925981, 8.3871025 48.9925801, 8.3870845 48.9924547, 8.3863414 48.9924986, 8.3862691 48.9924079, 8.3861984 48.9924309, 8.3862348 48.992479, 8.3860578 48.9925367, 8.3860214 48.9924887, 8.385764 48.9925726, 8.3857961 48.9929657, 8.3873918 48.9928872))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1714264212, 1714264214, 9230972201, 1247766686, 1247766652, 1379459923, 1247766689, 1247766661, 1247766685, 1714264210, 8537395468, 8537395467, 8537395466, 8537395465, 9230972198, 9230972197, 1714264212]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,159696053,school,Lessing-Gymnasium Karlsruhe,yes,"POLYGON ((8.3744246 49.0082193, 8.3742926 49.0080044, 8.3744643 49.0079634, 8.374639 49.0079192, 8.374534 49.0077142, 8.3747947 49.0076459, 8.3751484 49.0075488, 8.3752152 49.0075358, 8.3753899 49.0075018, 8.3755569 49.0074693, 8.3756023 49.0074602, 8.3758309 49.0079534, 8.3757708 49.0079651, 8.3757011 49.007978, 8.3756313 49.0079908, 8.3749152 49.0081229, 8.374865 49.0081322, 8.3748148 49.0081414, 8.3744246 49.0082193))",Karlsruhe,147,76135,Sophienstraße,,,,,,,2;3,https://lessing-gymnasium-karlsruhe.de/cm3/index.php,5 - 12,+49 721 1334536,DE,,Weststadt,,,,,,info@lessing-gymnasium-karlsruhe.de,,,,"[1718038779, 1730900244, 1262359877, 1730900241, 1730900237, 1262360059, 1262347507, 1262360116, 1262359961, 1262347340, 1730900228, 1730900242, 1016598016, 1718038775, 1016598029, 1262347431, 5151486058, 1262347385, 1718038779]",,Q1820914,de:Lessing-Gymnasium Karlsruhe,,,+49 721 1334533,,,,,,,,,,,,,,800,,,,,,,
way,159871038,school,Hebel- Grund- und Realschule,,"POLYGON ((8.3966382 49.0153153, 8.3965734 49.0144833, 8.3957488 49.0145171, 8.39544 49.0145234, 8.3954478 49.014586, 8.3954007 49.0145871, 8.3953519 49.0145872, 8.3953484 49.0145468, 8.3951702 49.014552, 8.3952175 49.0151464, 8.3953899 49.0155372, 8.3966382 49.0153153))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1719582902, 1719582888, 6564908996, 9458270505, 9458270504, 9458270502, 9458270506, 9458270507, 1719582890, 1719582898, 1719582905, 1719582902]",,,,,,,,,,,,,,,,,,,,,,,,,,,
