element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,opening_hours:covid19,outdoor_seating,phone,website,geometry,opening_hours:signed,wheelchair,addr:country,addr:suburb,alt_name,email,beer_garden,toilets:wheelchair,contact:email,contact:phone,contact:website,access:covid19,brewery,cuisine:description,operator,takeaway:covid19,check_date,kitchen_hours,start_date,note,source:addr,source,addr:subdistrict,takeaway,kitchen,check_date:opening_hours,diet:vegan,diet:vegetarian,indoor_seating,smoking,toilets,fixme,delivery,description,contact:fax,microbrewery,note:en,reg_name,fax,toilets:access,internet_access,internet_access:fee,internet_access:ssid,level,created_by,drive_in,lunch,lunch:warm,old_name,alt_name:note,old_operator,bar,branch,brand,opening_hours:kitchen,website:menu,diet:halal,halal,shop,short_name,lastcheck,payment:contactless,payment:girocard,payment:mastercard,payment:visa,payment:cash,toilets:female,toilets:male,toilets:unisex,capacity,diet:gluten_free,payment:maestro,payment:mastercard:min_payment,payment:others,payment:visa:min_payment,air_conditioning,wifi,delivery:partner,drink:afri-cola,front_cooking,wheelchair:description,contact:facebook,FIXME,changing_table,changing_table:location,ref,table_service,toilets:disposal,operation,tourism,mapillary,survey:date,image,surveillance,reservation,wheelchair:description:de,todo,note:covid19,diet:kosher,drive_through,payment:credit_cards,payment:debit_cards,seating,payment:cryptocurrencies,payment:electronic_purses,ref:vatin,access,description:payment,payment:account_cards,official_name,changing_table:count,description:de,payment:cards,addr:housename,dog,max_level,min_level,wikidata,contact:mobile,name:zh,brand:wikidata,brand:wikipedia,kids_area,kids_area:fee,kids_area:outdoor,kids_area:supervised,loc_name,organic,smoking:outside,source:url,payment:american_express,running_sushi,name:note,name:de,buffet,self_service,designation,old_name_1,old_name_2,service_times,theme,brewery:wikidata,craft,delivery:covid19,description:covid19,payment:diners_club,old_name:1,addr:floor,contact:whatsapp,indoor,craft_beer,contact:instagram,payment:apple_pay,seats,opening_date,seats:indoor,seats:outdoor,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,sport,currency:EUR,currency:others,access:description,cocktails,happy_hours,lunch:menu,addr:place,breakfast,nodes,building,roof:colour,roof:levels,roof:shape,building:levels,source:outline,internet_access:operator,layer,indoor_slide,source:geometry,disused:amenity,roof:material,height,source:height,ele,building:part,room,capacity:indoor,capacity:outdoor,all_you_can_eat,all_you_can_eat:type,outdoor_seating:capacity,payment:credit_card,wood_oven,delivery:brand,level:ref
node,368178248,,,,,restaurant,mediterranean;german,Rintheimer Stuben,"Tu-Su 11:00-14:30, 17:00-23:00",,,,https://www.tsv-rintheim.de/index.php/rintheimer-stuben,POINT (8.4409182 49.0110978),,yes,,,,,,yes,,,,,Fürstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369736690,,,,Gudrunstraße,restaurant,vietnamese,Mam Mam,"Mo-Fr 11:30-15:00,17:30-21:30; Su,PH 17:00-21:30; Sa off",,no,+49 721 46713929,https://mammam-vietnamesischekueche.business.site/,POINT (8.4558744 48.9965407),,no,,,,,,,,,,,,,,,,,,,,,,yes,,2023-05-17,,yes,yes,,,,,,,,,,+49 721 46713931,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369736728,Karlsruhe,30,76227,Raiherwiesenstraße,restaurant,asian,Bambus-Garten,"Mo-Sa 17:00-22:00, Tu-Sa 11:30-14:30; Su off",,yes,+49 721 6803875,https://www.bambus-garten.com/,POINT (8.4574763 48.997854),,yes,DE,Durlach,,info@bambus-garten.com,,,,,,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369736896,Karlsruhe,64,76227,Auer Straße,restaurant,german,Zum Auerhof,Mo-Sa 17:00+; Su off,,no,,http://www.auerhof-durlach.de/,POINT (8.4624631 48.994068),,no,DE,,,,,,,,,,,,,,,,,,,,,,,2022-08-01,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,371078961,,12,76228,Kirchplatz,restaurant,italian,Pizzeria Salento,"Tu-Su 11:30-14:30,17:30-23:00; Mo off",,,,,POINT (8.4786262 48.9664884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,371805509,,,,,restaurant,,Cafeteria,,off,,,,POINT (8.4447681 49.0255045),,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,380540084,Karlsruhe,1,76199,Nürnberger Straße,restaurant,french;german;italian,erasmus,"Tu-Sa 18:30-23:00; Th,Fr 12:00-15:00; Mo,Su off",,,,https://erasmus-karlsruhe.de/,POINT (8.4031634 48.9847417),,no,DE,,,,,,,+49 721 40242391,,,,,Andrea & Marcello Gallotti,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,381526384,Karlsruhe,6,76227,Lissenstraße,restaurant,italian,Fabio's Pinsa Romana,"Mo-Fr 11:00-14:00,17:00-22:00; Sa 17:00-22:00",,,,,POINT (8.4543283 48.9954913),,limited,DE,,,,,,info@pinsa-romana-karlsruhe.de,+49 721 49088838,https://pinsa-romana-karlsruhe.de/,,,,,,,,2020-02-02,,,,,yes,,,,,,,,,yes,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,389014907,,,,,restaurant,,Sonne,,,,,https://www.sonne-karlsruhe.de/,POINT (8.5089433 48.9541442),,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,389014911,Karlsruhe,21,76228,Ortsstraße,restaurant,indian,Haveli Restaurant,,,,+4972149048050,,POINT (8.5100985 48.9529682),,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,395247771,Karlsruhe,21,76227,Grötzinger Straße,restaurant,greek,Brousko,,"We-Mo 11:30-14:30,17:30-23:00; Tu off",,,http://brousko.de/,POINT (8.4795497 49.0002241),,no,,,,,,,,+49 721 48467373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphi,,,,,,,,,,,,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,395247776,Karlsruhe,23,76227,Grötzinger Straße,restaurant,indian,Maharani Palace,"Mo-Su 11:30-14:30,17:30-24:00",,no,,http://www.maharani-palace.de/,POINT (8.4798374 49.0003728),,no,,,,,,,,+49 721 408839,,,,,,,,,,,,,,,,,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.maharani-palace.de/DasEssen_Shorba.htm,,,,,2019-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,406509727,Karlsruhe,24,76227,Ochsentorstraße,restaurant,regional,Judy's Pflug,"Mo-Th 09:00-01:00; Fr-Sa 09:00-03:00; PH,Su 10:00-01:00",,yes,,,POINT (8.4729704 49.0005876),,no,DE,Durlach,,,yes,no,kontakt@judys-pflug.de,+49 721 1837972,https://judys-pflug.de/,,,,Judith Conlon,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,yes,,,,flush,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,409852839,Karlsruhe,40,76228,Steinkreuzstraße,restaurant,,Zum Schwanen,,,,,,POINT (8.453465 48.9743269),,no,DE,Wolfartsweier,,,,,,,,,Hoepfner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPOnzmlh4P8nUDsMNGwXNQ,2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,410852263,Karlsruhe,24,,Breite Straße,restaurant,italian,Ristorante Adria,"Tu-Sa 12:00-15:00,18:00-23:00; Su 12:00-15:00",,,,https://www.ristorante-adria.de/,POINT (8.3925698 48.9917053),,,DE,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,413321213,Karlsruhe,1,76228,Schilling-von-Canstatt-Straße,restaurant,italian,Gatto Nero,,,,+49 721 705 685.,https://www.mygattonero.de,POINT (8.4704409 48.9639591),,,DE,Hohenwettersbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,414198043,Karlsruhe,52,76131,Friedrichstaler Allee,restaurant,regional,DJK Karlsruhe-Ost,"Tu-Fr 11:00-14:30,17:00-01:00, PH,Sa,Su 11:00-01:00",,,+49 721 751675,,POINT (8.4130581 49.0258345),,limited,DE,,,,,,,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,415259454,,,,,restaurant,french;regional,Oberländer Weinstube,"Tu-Sa 12:00-15:00; Su,Mo off, Tu-Sa 18:00-23:00",,,,https://oberlaender-weinstube.de/,POINT (8.3981736 49.0117136),,no,,,,,,,,+49 7121 25066,,,,,Franke Jörg Hammer,,,,,,,,,,,,,,,,,,,"opening hours kitchen Tu–Sa 12:00–14:00, 18:00–22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Küchenöffnungszeiten Di–Sa 12.00–14.00, 18.00–22.00 Uhr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,415402485,Karlsruhe,24 - 28,76133,Waldstraße,restaurant,japanese;vietnamese,Soki Garden,"Mo-Sa 11:30-23:00; Su,PH 12:00-23:00",,yes,,https://sokigarden.com/,POINT (8.3977787 49.0105928),,yes,DE,,,,,yes,sokigarden@web.de,+49 721 1832857,,,,,,,,,,,,,,yes,,2022-08-31,yes,yes,,,,,no,,,,,,,,no,,,,,,,,,,,,,,,,no,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,419877404,Karlsruhe,98,76135,Breite Straße,restaurant,pizza;kebab,Firo Kebab,,,,+49 721 95783361,,POINT (8.3854489 48.9926872),,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe am Eingang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,428638899,Karlsruhe,,76189,,restaurant,,Steuermann,,,,,https://www.hotel-steuermann.de/,POINT (8.3336516 49.0091364),,,DE,,,,,no,,+49 721 950900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,430499289,Karlsruhe,16a,76137,Ebertstraße,restaurant,italian,Sole D'Oro,"11:30-14:30,18:00-22:00",,,+49-721-359060,http://ka.stadtwiki.net/Sole_D%27Oro,POINT (8.3936526 48.9949116),,limited,DE,,,,,no,,,,,Hoepfner,,,,2023-03-01,,,,,,,,,,,,,,,,,Ristorante Pizzeria,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enger Eingang mit Windfang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,440742322,Karlsruhe,3,76131,Ludwig-Wilhelm-Straße,restaurant,,Oktave,"Mo-Th 17:00-01:00, Fr-Sa 17:00-02:00, Su 13:00-24:00",,yes,,,POINT (8.4203113 49.0094199),,limited,DE,,,,,,,,,,,,,,2018-04,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,442956482,Karlsruhe,7,76131,Adenauerring,restaurant,canteen,Mensa am Adenauerring,"Mo-Fr 11:00-14:00, 14:00-14:30 open ""Spätausgabe an Linie 1""; Sa,Su,PH off",off,yes,,http://www.studentenwerk-karlsruhe.de/de/essen/,POINT (8.4168247 49.0119318),,yes,DE,,,,,yes,,,,,,,Studierendenwerk Karlsruhe,,,,,,,,,,,,yes,yes,yes,no,yes,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01.13,no,2,-1,Q109279664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,443652182,,,,,restaurant,italian,San Marco,"Tu-Su 11:30-15:00,17:00-23:15; PH open",,,,https://www.sanmarco-ka.de/,POINT (8.3365188 48.9975243),,no,,,,,,no,,,,,Hoepfner,,,,,,,,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,454975637,Karlsruhe,23,76133,Steinstraße,restaurant,regional,Café Palaver,Mo-Su 09:00-19:00,,yes,,http://www.cafepalaver.de/,POINT (8.4071084 49.0064903),,no,DE,,,,,,,+49 721 377647,,,,,,,2023-03-25,,,,,,,,,,yes,yes,,no,,,,,,,,,,,wlan,no,,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,460827021,Karlsruhe,6,76227,An der RaumFabrik,restaurant,italian,Pavarotti,Su-Fr 11:00-22:30; Sa off,,yes,+49 721 79080466,http://www.pavarotti-durlach.de,POINT (8.4639854 48.9985261),,yes,DE,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,472981566,Karlsruhe,32,76133,Akademiestraße,restaurant,syrian,La Rose,Mo-Sa 11:00-22:00,,,,https://www.larosekarlsruhe.de,POINT (8.3960249 49.0111614),,no,DE,,,,,,larosekarlsruhe@gmail.com,+49 721 6698441,,,,,,,,,,,,,,yes,,,,yes,,outside,,,no,,+49 721 60951210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,https://www.facebook.com/LaRoseKarlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 1511 9107352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,519656828,Karlsruhe,7,76199,Ettlinger Allee,restaurant,chinese,Yangda,"Tu-Su,PH 11:30-15:00,17:00-23:00",,yes,,,POINT (8.4044796 48.9853932),,no,DE,,,,,,,+49 721 881231,http://www.fc-suedstern.de/gaststaette/,,,,,,,,,,,,,,,,,yes,,,,,,Chinesisch-/Deutsches Restaurant,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,扬大中餐馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,524525457,Karlsruhe,31,76133,Erbprinzenstraße,restaurant,pizza,Pizza Hut,"Mo-Sa 11:00-23:00; PH,Su 12:00-23:00",,yes,+49 721 205183,https://pizzahut.de/restaurants/pizza-hut-karlsruhe,POINT (8.3961913 49.009338),,limited,,,,,,no,,,,,,,,,,,,,,,,yes,,,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,Q191615,en:Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,530908198,Karlsruhe,15,76227,Wachhausstraße,restaurant,italian,La Terrazza,,,yes,,,POINT (8.4418347 48.9923475),,,DE,Durlach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534790866,Karlsruhe,50,76131,Kapellenstraße,restaurant,regional,der Vogelbräu,Mo-Th 11:00-24:00; Fr-Sa 10:00-01:00; Su 10:00-24:00,,yes,,,POINT (8.4140291 49.007447),,yes,DE,,Das unfiltrierte Original,,yes,no,karlsruhe@vogelbraeu.de,+49 721 377571,https://www.vogelbraeu.de/,,Vogelbräu,,,,2022-07-14,,,,,,,yes,,,,yes,yes,separated,yes,,,,,yes,,,,customers,,,,0,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,yes,,,,,,,,,no wheelchair toilet,,,,,,,,,,,,,,,keine barrierefreie Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,535491306,Karlsruhe,11,76131,Durlacher Allee,restaurant,thai,Chiang Mai,"Mo-Fr 11:30-15:00, Tu-Fr 18:00-23:00; Sa-Su 17:00-23:00",,yes,,https://chiangmai-karlsruhe.eatbu.com,POINT (8.4208767 49.0085155),,limited,DE,Oststadt,,,,,,+49 721 6624883,,,Hoepfner,,,,,,,"restaurant is located in Bernhard-21, however address indicated by owner (e.g. flyer) is Durlacher Allee 11",,,,yes,,,,yes,yes,outside,,,no,,+49 721 6634636,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,539735094,Karlsruhe,11,76187,Eggensteiner Straße,restaurant,thai,Emily’s Thai Spezialitäten,"Mo off; Tu-Fr 11:30-14:30,17:00-22:00; Sa,Su,PH 12:00-22:00",,yes,,,POINT (8.3377354 49.0335826),,limited,DE,,,,,no,,+49-721-86486901,https://www.emilysthaispezialitaeten.de/,,,,Emely Fischer,,2022-01-08,"Mo off; Tu-Fr 11:30-14:30,17:00-22:00; Sa,Su,PH 12:00-22:00",,,,,,yes,,2022-01-08,,,,,,,,,,,,,,,,,,,,,warm,Tu-Fr 11:30-14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,546912202,Karlsruhe,,76131,Engesserstraße,restaurant,,Heinrich Hertz,"""nach Vereinbahrung""",,,,,POINT (8.4083023 49.0129848),,yes,DE,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,587823481,Karlsruhe,38-40,76133,Akademiestraße,restaurant,italian,Mille Stelle,"Mo-Fr 11:30-15:00,17:30-22:00; Sa 11:30-23:00; PH,Su 17:00-22:00",,no,+49 721 1510248,https://www.mille-stelle.de/,POINT (8.3942349 49.0108923),,yes,DE,,,info@mille-stelle.de,,yes,,,,,,,,,2022-11-26,,,,,,,,,,,yes,yes,,,,,,,,,,,,wlan,customers,,0,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,602278199,,,,,restaurant,,D'Accord,,,yes,,,POINT (8.4486809 48.9941416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,610218932,Karlsruhe,9,76139,Kleingärtnerweg,restaurant,regional,"Flammaurant ""Zur Kuhweide""","Mo-Su,PH 12:00-16:00,16:00-24:00 open ""Reservierung erforderlich""",,yes,,,POINT (8.4540114 49.0174548),,,DE,,,,,,,+49 721 62696096,https://www.kuhweide-ev.de/Flammaurant.html,,Hoepfner,,,,2018-10,,2018-05-01,,,,,,,,,,,outside,,,no,,,,,,,,no,,,0,,,,,Restaurant Kuhweide Romanca,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speisegaststätte Kuhweide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
