element_type,osmid,geometry,amenity,denomination,name,religion,addr:city,addr:housenumber,addr:postcode,addr:street,contact:email,contact:phone,official_name,website,addr:country,wheelchair,level,source,toilets:wheelchair,addr:suburb,description:covid19,opening_hours:covid19,operator,phone,service_times,short_name,contact:website,start_date,check_date,description:de,historic,image,building,wheelchair:description,description,email,operator:type,place_of_worship,access,nodes,architect,heritage,heritage:operator,ref:lda,wikidata,alt_name,building:levels,construction:start_date,roof:shape,source:geometry,wikipedia,fax,opening_hours,patron_saint,wheelchair:description:de,wikimedia_commons,building:architecture,contact:fax,heritage:description,tomb,building:material,roof:levels,roof:material,fixme,source:addr,architect:wikidata,architect:wikipedia,old_name,building:colour,roof:colour,source_ref:url,url,denomination:de,addr:source,height,disused:amenity,source:outline,old_operator,old_owner,owner,building:part,loc_name,indoor,name:de,ref,room,ways,type
way,24883742,"POLYGON ((8.467872 48.9984104, 8.4678701 48.9984163, 8.4678775 48.9984173, 8.4678735 48.9984297, 8.4678699 48.9984409, 8.4678557 48.9984389, 8.4678541 48.998444, 8.4678492 48.9984433, 8.4678467 48.9984511, 8.4678325 48.9984491, 8.4678355 48.9984398, 8.4677743 48.9984313, 8.4677712 48.9984411, 8.4677582 48.9984393, 8.4677615 48.9984289, 8.4677567 48.9984283, 8.4677578 48.9984248, 8.4677424 48.9984227, 8.4677455 48.9984129, 8.4677598 48.9984149, 8.4677668 48.9983933, 8.4677507 48.998391, 8.4677534 48.9983828, 8.4677698 48.9983851, 8.4677742 48.9983715, 8.4677644 48.9983652, 8.4677763 48.9983538, 8.4677553 48.9983329, 8.4677366 48.9983377, 8.4677295 48.9983271, 8.4677534 48.9983213, 8.46776 48.998299, 8.4677395 48.9982896, 8.4677499 48.9982793, 8.4677691 48.9982878, 8.467806 48.9982729, 8.4677976 48.9982624, 8.467811 48.9982576, 8.467823 48.9982203, 8.4678094 48.9982047, 8.4678235 48.998199, 8.4678392 48.9982129, 8.4678526 48.9982147, 8.4678626 48.9982042, 8.4678767 48.9982027, 8.4678913 48.9982076, 8.4678982 48.9982211, 8.4679055 48.9982221, 8.4679316 48.998211, 8.4679401 48.9982211, 8.467922 48.9982282, 8.4679193 48.9982368, 8.467925 48.9982376, 8.4679225 48.9982455, 8.4679715 48.9982523, 8.4679744 48.9982434, 8.4679902 48.9982456, 8.4679874 48.9982543, 8.4680412 48.9982617, 8.4680446 48.9982513, 8.4681259 48.9982626, 8.4681234 48.9982706, 8.4681491 48.9982741, 8.4681758 48.9982778, 8.4681785 48.99827, 8.4681951 48.9982721, 8.4681918 48.9982801, 8.4682426 48.9982871, 8.4682458 48.9982793, 8.4682611 48.9982814, 8.4682589 48.9982894, 8.4683091 48.9982964, 8.468312 48.9982875, 8.4683279 48.9982899, 8.4683253 48.9982986, 8.4683776 48.9983059, 8.468381 48.9982957, 8.4683948 48.9982978, 8.4683908 48.9983077, 8.4684197 48.9983117, 8.4684348 48.9983035, 8.468444 48.9983119, 8.4684286 48.9983183, 8.4684184 48.9983502, 8.4684444 48.9983538, 8.4684406 48.9983654, 8.4684131 48.9983616, 8.4684107 48.998369, 8.4684243 48.9983783, 8.4684179 48.998398, 8.4684121 48.9984159, 8.4683973 48.9984219, 8.468395 48.9984289, 8.4684212 48.9984325, 8.4684179 48.9984429, 8.4683926 48.9984394, 8.4683829 48.9984696, 8.4683959 48.998478, 8.4683828 48.9984863, 8.4683674 48.9984769, 8.4683423 48.9984735, 8.4683389 48.9984829, 8.468324 48.9984812, 8.468327 48.9984713, 8.4683011 48.9984677, 8.4682752 48.9984641, 8.468272 48.9984745, 8.468256 48.9984724, 8.4682592 48.9984619, 8.4682079 48.9984548, 8.4682038 48.998466, 8.4681898 48.998464, 8.4681936 48.9984528, 8.4681406 48.9984454, 8.4681363 48.9984572, 8.4681209 48.9984549, 8.4681247 48.9984432, 8.4680725 48.998436, 8.4680689 48.998447, 8.4679866 48.9984356, 8.4679895 48.9984268, 8.4679373 48.9984195, 8.4679335 48.9984293, 8.4679199 48.9984273, 8.4679239 48.9984177, 8.467872 48.9984104))",place_of_worship,roman_catholic,Sankt Peter und Paul,christian,Karlsruhe,2,76227,Kanzlerstraße,,,,http://ka.stadtwiki.net/St._Peter_und_Paul_%28Durlach%29,DE,limited,,LA-KA,,,,,,,,,,1900,,,,,church,,,,,,,"[270386288, 6135808568, 6135808567, 270386303, 270386267, 2125905212, 6482400053, 6482400054, 2125905220, 2125905218, 2125905211, 2125905206, 2125905215, 2125905213, 6482400055, 6482400056, 270386269, 2125905205, 2125905199, 2125905200, 2125905198, 2125905197, 2125905195, 2125905196, 6135808561, 6135808562, 270386271, 270386273, 2125905188, 2125905185, 2125905186, 2125905179, 2125905175, 2125905168, 270386274, 270386275, 6135808565, 6135808566, 2125905158, 270386276, 2125905150, 2125905153, 2125905154, 2125905151, 6135808570, 2125905152, 2125905156, 2125905157, 270386278, 2125905155, 2125905159, 6135808563, 6135808564, 270386279, 2125905162, 2125905160, 2125905161, 2125905163, 270386280, 270386281, 270386282, 270386284, 270386291, 2125905169, 2125905164, 2125905165, 2125905171, 2125905173, 2125905166, 2125905167, 2125905176, 2125905178, 2125905170, 2125905172, 2125905180, 2125905181, 2125905174, 2125905177, 2125905182, 2125905183, 270386286, 2125905184, 2125905187, 2125905189, 2125905190, 2125905192, 2125905191, 2125905193, 2125905194, 270386293, 2125905202, 2125905208, 6135804565, 2125905210, 2125905219, 2125905217, 2125905229, 2125905235, 270386287, 2125905233, 2125905231, 2125905237, 2125905236, 2125905230, 270386299, 2125905226, 2125905234, 2125905232, 2125905225, 2125905222, 2125905228, 2125905227, 2125905221, 2125905216, 2125905224, 2125905223, 2125905214, 1308003159, 1308003126, 1308003149, 1308003156, 2125905203, 2125905209, 2125905207, 2125905201, 270386288]",,,,,Q69062626,,,,,,,,,,Toilette im UG; Kirche nur als Besucher (Chorraum nicht für Rollstuhl),Category:St. Peter und Paul (Durlach),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25000998,"POLYGON ((8.4711165 48.9987486, 8.4711072 48.998866, 8.471076 48.9988656, 8.4709979 48.9988656, 8.4709921 48.9989418, 8.4710733 48.9989425, 8.4710892 48.9989423, 8.4710893 48.998955, 8.4711104 48.9989638, 8.4712301 48.9989669, 8.4714434 48.9989756, 8.4714858 48.9989466, 8.4714886 48.9989298, 8.4714943 48.9989306, 8.4714967 48.9989159, 8.4715359 48.9989231, 8.4715456 48.9989324, 8.4715572 48.9989282, 8.4715482 48.9989184, 8.4715918 48.9988863, 8.4716008 48.9988531, 8.4716016 48.9988432, 8.4715765 48.998801, 8.4715895 48.9987926, 8.4715791 48.9987865, 8.4715637 48.9987948, 8.4715015 48.9987914, 8.4714457 48.9987591, 8.4711165 48.9987486))",place_of_worship,protestant,Evangelische Stadtkirche,christian,Karlsruhe,31,76227,Pfinztalstraße,,,,,,yes,,,,,,,,,,,,,,,building,,yes,,,,,,,"[271787499, 271787500, 4063060549, 271787501, 271787502, 4063060551, 271787503, 6135808573, 271787504, 689167102, 271787505, 271787506, 6135808575, 6135808576, 271787507, 6135808574, 6135808572, 6135808571, 271787508, 26372500, 271787510, 271787511, 6135804568, 6135804566, 6135804567, 271787512, 271787513, 271787514, 271787499]",,,,,Q2327384,,,,,,de:Stadtkirche Durlach,,,,,Category:Stadtkirche Durlach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25102208,"POLYGON ((8.4203399 49.0200212, 8.4202867 49.0200214, 8.4202609 49.0200512, 8.4202525 49.020048, 8.4202571 49.0200427, 8.420232 49.0200333, 8.4202217 49.0200452, 8.4202081 49.0200401, 8.4202027 49.0200464, 8.4201942 49.0200432, 8.4201996 49.0200369, 8.4201261 49.0200095, 8.4201207 49.0200158, 8.4201118 49.0200125, 8.4201173 49.0200062, 8.4201071 49.0200024, 8.4201128 49.0199959, 8.4200434 49.01997, 8.4200377 49.0199765, 8.4200295 49.0199734, 8.4200352 49.0199669, 8.4199913 49.0199505, 8.4199856 49.0199571, 8.4199761 49.0199535, 8.4200043 49.0199211, 8.4199897 49.0199157, 8.4200041 49.0198991, 8.4199951 49.0198957, 8.4200069 49.0198821, 8.4200159 49.0198854, 8.4200424 49.019855, 8.4200334 49.0198516, 8.4200449 49.0198383, 8.4200539 49.0198417, 8.4200618 49.0198326, 8.4200764 49.0198381, 8.4200996 49.0198113, 8.4201461 49.0198286, 8.4201504 49.0198237, 8.420161 49.0198277, 8.4201568 49.0198326, 8.4202214 49.0198567, 8.4202248 49.0198527, 8.4202386 49.0198578, 8.4202476 49.0198475, 8.4202571 49.0198511, 8.4202481 49.0198614, 8.4203286 49.0198914, 8.4203375 49.0198811, 8.4203468 49.0198845, 8.4203378 49.0198949, 8.4203764 49.0199092, 8.4204073 49.0199033, 8.4204098 49.0199094, 8.4203792 49.0199149, 8.4203455 49.0199537, 8.420376 49.0199795, 8.4203905 49.0199849, 8.4203858 49.0199904, 8.4203713 49.019985, 8.4203453 49.0200149, 8.4203608 49.0200207, 8.4203553 49.020027, 8.4203399 49.0200212))",place_of_worship,,Großherzogliche Grabkapelle,christian,,,,,info@grabkapelle-karlsruhe.de,+49 721 46722869,,,,no,,,,,,,Staatliche Schlösser und Gärten Baden-Württemberg,,,,https://www.grabkapelle-karlsruhe.de/,1896,2022-04-02,,tomb,https://commons.wikimedia.org/wiki/File:Karlsruhe_Grabkapelle.jpg,chapel,,,,,,,"[3439701729, 3430676232, 3430676235, 3439701736, 3439701733, 3430676234, 273218212, 3439701732, 3439701735, 3439701734, 3439701731, 3439701722, 3439701725, 3439701723, 3439701721, 3439701719, 3439701718, 3439701711, 3439701713, 3439701712, 3439701710, 3439701707, 3439701709, 273218208, 3430676229, 3430676228, 3439701700, 3439701699, 3439701693, 3439701695, 3439701689, 3439701688, 3439701684, 3439701685, 3430676224, 3430676225, 273218210, 3439701682, 3439701680, 3439701681, 3439701683, 3430676227, 3430676226, 3439701690, 3439701686, 3439701687, 3439701691, 3439701697, 3439701692, 3439701694, 3439701698, 3439701702, 273218211, 3439701703, 3439701704, 3430676230, 3439701715, 3430676231, 3439701717, 3439701716, 3439701724, 3439701728, 3430676233, 3439701729]",Friedrich Hemberger;Hermann Hemberg,4,lda,,Q883348,,,1889,,"Maps4BW, LGL, www.lgl-bw.de",de:Großherzogliche Grabkapelle Karlsruhe,,"Apr-Oct: Th 11:00-14:00; Apr-Oct: Fr 14:00-17:00; Apr-Oct: Sa,Su,PH 13:00-17:00; Nov-Mar: off",,,Category:Grabkapelle_(Karlsruhe),gothic_revival,+49 7251 742664,Kulturdenkmal von besonderer Bedeutung,mausoleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28225542,"POLYGON ((8.3921614 48.9909794, 8.3925205 48.9909629, 8.3925152 48.9909133, 8.3925179 48.9909132, 8.3925164 48.990899, 8.3925342 48.9908982, 8.3925277 48.9908372, 8.3925096 48.990838, 8.3925087 48.9908296, 8.392503 48.9908299, 8.3924976 48.9907793, 8.3921407 48.9907957, 8.392145 48.9908362, 8.392141 48.9908364, 8.3921421 48.9908475, 8.3921465 48.9908473, 8.3921488 48.9908684, 8.3921421 48.9908687, 8.3921429 48.990877, 8.3921499 48.9908767, 8.3921515 48.9908917, 8.3921524 48.9909001, 8.3921453 48.9909004, 8.3921463 48.9909097, 8.3921536 48.9909094, 8.392156 48.9909317, 8.3921518 48.9909319, 8.3921531 48.990944, 8.3921576 48.9909438, 8.3921614 48.9909794))",place_of_worship,protestant,Paul-Gerhardt-Kirche,christian,Karlsruhe,49a,76135,Breite Straße,,,,,DE,yes,,,yes,,,,,,,,,,,,,,yes,,,,,,,"[310009610, 310009611, 6482402317, 6482402316, 6482402312, 6482402311, 6482402310, 6482402313, 6482402314, 6482402315, 310009612, 310009613, 6482400079, 6482402319, 6482400073, 6482400080, 6482400081, 6482402318, 6482400074, 6482400082, 2386657221, 6482402324, 6482400075, 6482400076, 6482402325, 6482402326, 6482400077, 6482400078, 6482402327, 310009610]",,,,,Q15849170,Stephanienbad,3,,gabled,,,,,,,,,,,,plaster,2,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,
way,28430988,"POLYGON ((8.3870453 49.0268239, 8.3870571 49.0268858, 8.3870682 49.0269436, 8.3873607 49.0269195, 8.38737 49.0269685, 8.3876177 49.0269481, 8.3876038 49.0268755, 8.3874803 49.0268857, 8.3874832 49.0268839, 8.3875044 49.0268503, 8.3875041 49.0268459, 8.3874832 49.0268167, 8.3874654 49.0268082, 8.3875852 49.0267983, 8.3875716 49.0267273, 8.3873181 49.0267482, 8.3873281 49.0268006, 8.3870453 49.0268239))",place_of_worship,orthodox,Serbische orthodoxe Gemeinde der ehrwürdigen Mutter Paraskeva von Serbien,christian,Karlsruhe,170,76149,Erzbergerstraße,,,,,DE,yes,,,,,,,,,,,,,,,,,yes,,,,,,,"[312375279, 248933425, 312375282, 312375290, 312375297, 312375299, 312375300, 312375305, 2470524156, 2470524155, 2470524153, 2470524150, 355581935, 355581936, 312375312, 355581928, 355581926, 312375279]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28442702,"POLYGON ((8.3981176 48.9842239, 8.3981207 48.9842107, 8.3981233 48.9841994, 8.3981264 48.9841864, 8.3981344 48.9841525, 8.3981421 48.9841196, 8.398145 48.9841075, 8.3981512 48.9840811, 8.3981632 48.9840823, 8.3981752 48.9840835, 8.3981883 48.9840281, 8.3981907 48.984018, 8.3981922 48.9840114, 8.3983007 48.9840224, 8.3986286 48.9840557, 8.3986605 48.9839202, 8.3988217 48.9839365, 8.3987693 48.9841588, 8.3987892 48.9841608, 8.3987624 48.9842741, 8.398745 48.9842723, 8.3987344 48.9843177, 8.3987329 48.9843239, 8.3985249 48.9843028, 8.3984971 48.9843, 8.3985058 48.9842634, 8.3981176 48.9842239))",place_of_worship,roman_catholic,St.-Franziskus-Kirche,christian,Karlsruhe,28,76199,Rechts der Alb,,,,https://ka.stadtwiki.net/St._Franziskus,DE,yes,,,,,,,,,,,http://www.st-franziskus-ka.de/,1938,,,,,church,,,,,,,"[312494296, 6281867787, 6281867565, 6281867568, 6281867581, 6281867567, 6281867563, 1447293883, 6281867580, 1447293884, 6281867582, 6281867578, 312494301, 6281867792, 312494302, 1279673568, 312494304, 1447293885, 1447293886, 6281867799, 1447293888, 10782658933, 312494310, 6281867579, 1447293890, 1447293889, 312494296]",Fridolin Bosch;Anton Ohnmacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39959075,"POLYGON ((8.38676 48.9942417, 8.3867474 48.994122, 8.3867739 48.9941206, 8.38686 48.9941171, 8.3868893 48.9941156, 8.3869019 48.9942353, 8.38676 48.9942417))",place_of_worship,,Aussegnungshalle,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,"[479901315, 479901310, 1380892029, 1380892027, 479901311, 479901314, 479901315]",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,52276453,"POLYGON ((8.3595486 49.0137085, 8.3596026 49.0136857, 8.3596501 49.0137342, 8.3597193 49.0137543, 8.3597877 49.0137254, 8.3597885 49.0136758, 8.3597409 49.0136273, 8.3597948 49.0136046, 8.3597478 49.0135567, 8.3597009 49.0135088, 8.3596756 49.0135195, 8.3596525 49.0134961, 8.3595933 49.0135211, 8.3595799 49.0135075, 8.3595414 49.0135238, 8.3595029 49.01354, 8.3595163 49.0135536, 8.359457 49.0135787, 8.35948 49.0136021, 8.3594547 49.0136128, 8.3595486 49.0137085))",place_of_worship,protestant,Karl-Friedrich-Gedächtnis-Kirche,christian,Karlsruhe,56,76185,Hardtstraße,,,,,DE,,,,,,,,,,,,,1786,,,,,church,,,,,,,"[665298817, 1341242237, 4256597886, 1341242317, 1341242255, 1341242334, 1341242276, 665298819, 5129567517, 1341242356, 665298822, 1341242375, 1341242229, 1341242246, 5129567516, 1341242269, 1341242326, 1341242309, 1341242294, 665298820, 665298817]",Johann Friedrich Weyhing,,,,Q1480566,,,,,,de:Karl-Friedrich-Gedächtniskirche,,,,,,,,,,,,,Building heights estimated.,,,,,,,,,,,,,,,,,,,,,,,,
way,52276454,"POLYGON ((8.364783 49.0107433, 8.3647036 49.0107475, 8.3647062 49.0108038, 8.3647176 49.0108033, 8.3647426 49.011051, 8.3647342 49.0110513, 8.3647386 49.0111051, 8.3648115 49.0111025, 8.3648122 49.0111064, 8.3650011 49.0110973, 8.3650009 49.011092, 8.3650697 49.0110886, 8.3650638 49.0110368, 8.3650569 49.0110371, 8.3650304 49.0107928, 8.3650368 49.0107926, 8.3650307 49.0107325, 8.3649533 49.0107374, 8.3649495 49.0107266, 8.364944 49.0107155, 8.3649358 49.0107067, 8.3649222 49.0106981, 8.3649104 49.0106912, 8.3649141 49.010687, 8.3649022 49.0106833, 8.3648988 49.0106868, 8.3648843 49.0106849, 8.3648639 49.0106836, 8.3648437 49.0106856, 8.3648276 49.0106898, 8.3648207 49.0106858, 8.3648098 49.0106925, 8.364814 49.0106955, 8.364804 49.0107015, 8.3647947 49.0107096, 8.364785 49.0107216, 8.3647817 49.0107311, 8.364783 49.0107433))",place_of_worship,,St. Peter und Paul,christian,Karlsruhe,1,76185,Peter-und-Paul-Platz,,,,,DE,yes,,,,,,,,,,,,,,,,,church,,,,,,,"[1083357934, 665298824, 6077656446, 6077657368, 5167968844, 5167968845, 665298823, 5167968848, 5167968849, 5167968847, 5167968846, 665298826, 5167968843, 5167968842, 6077657370, 6077657369, 665298825, 1083357957, 1308003147, 1308003158, 1308003122, 1308003166, 1083357940, 6077656442, 6077656443, 1308003177, 1308003124, 1308003120, 1083357961, 1308003131, 6077656444, 6077656445, 1308003128, 1083357942, 1308003162, 1308003153, 1308003114, 1083357934]",,,,,,,,,,,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,
way,78192106,"POLYGON ((8.4050134 48.9759018, 8.4050604 48.9758482, 8.4051166 48.9758695, 8.4051362 48.9758473, 8.4051554 48.9758254, 8.4050975 48.9758035, 8.4051444 48.9757501, 8.4050166 48.9757018, 8.4049823 48.9757409, 8.4049454 48.9757269, 8.4048983 48.9757805, 8.4049382 48.9757956, 8.404887 48.975854, 8.4050134 48.9759018))",place_of_worship,roman_catholic,Nikolauskirche,christian,Karlsruhe,20,76199,Rastatter Straße,,,,,DE,,,,,,,,,,,,,,,,,,church,,,,,,,"[918443292, 918443262, 1401606246, 9230688324, 1401606244, 918443267, 918443270, 918443272, 918443275, 918443276, 918443282, 918987445, 918443296, 918443292]",,,,,,,,,,,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,
way,80339684,"POLYGON ((8.4052882 48.9714054, 8.4052903 48.9713759, 8.4052783 48.9713759, 8.405284 48.9712494, 8.4052997 48.9712496, 8.4053008 48.9712029, 8.4053805 48.9712038, 8.4053792 48.9712246, 8.4057376 48.9712337, 8.4057394 48.971207, 8.4058482 48.9712079, 8.4058457 48.9712685, 8.4058774 48.9712689, 8.4058745 48.9713783, 8.4058411 48.971378, 8.4058377 48.9714369, 8.4057296 48.9714365, 8.4057299 48.9714096, 8.4053314 48.9714019, 8.4053294 48.9714121, 8.4053153 48.9714181, 8.4053003 48.9714178, 8.405289 48.971412, 8.4052882 48.9714054))",place_of_worship,roman_catholic,Christkönig,christian,Karlsruhe,1,76199,Tulpenstraße,,,,https://www.st-nikolaus-ka.de/ueber-uns/unsere-5-gemeinden/christkoenig/,DE,yes,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,yes,,,,,,,"[937604027, 1390051329, 1390051326, 1390051310, 1390051311, 937604022, 937604024, 937604028, 937604029, 937604025, 937604026, 1390051318, 1390051319, 1390051334, 1390051333, 937604030, 937604033, 937604034, 937604036, 1390051349, 1390051347, 1390051346, 1390051345, 937604027]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,86984129,"POLYGON ((8.3871351 49.01659, 8.3871492 49.0165309, 8.38712 49.0165232, 8.387105 49.0165335, 8.3871002 49.0165295, 8.3871138 49.0165181, 8.3870576 49.0164291, 8.3870384 49.0164256, 8.3870389 49.0164227, 8.3870589 49.0164241, 8.3871537 49.0163504, 8.3871475 49.0163343, 8.3871531 49.0163327, 8.3871635 49.0163463, 8.3873091 49.0163684, 8.3873226 49.0163563, 8.3873281 49.0163588, 8.3873144 49.0163716, 8.3873712 49.0164553, 8.387397 49.0164594, 8.3873955 49.0164645, 8.3873667 49.0164602, 8.3872759 49.0165371, 8.3872852 49.0165551, 8.3872794 49.0165567, 8.3872665 49.0165389, 8.3872389 49.0165403, 8.3872249 49.0165992, 8.3871351 49.01659))",place_of_worship,,Neue Synagoge,jewish,Karlsruhe,11,76133,Knielinger Allee,,,,https://www.jg-karlsruhe.de/,DE,no,,,no,,,,Jüdische Kultusgemeinde Karlsruhe,,,,,1971,,,,,synagogue,"Für die Treppen zum Eingang gibt es einen nicht ganz gut zugänglichen Hublift. Pförtner hat den Schlüssel und kann helfen. Damit kommt man in den Eingangsbereich. Zum Gebetsraum gibt es weitere Treppen, dito zum Gemeindesaal. Toiletten sind auf der Ebene",,,,synagogue,,"[1012054529, 1012054505, 4292633413, 6803092446, 4292633414, 4292633412, 4292633407, 1012054500, 6803092447, 1012054480, 1012054511, 1012054492, 6803092448, 1012054474, 1012054522, 6803092449, 1012054486, 1012054514, 1012054506, 6803092450, 1012054490, 1012054517, 1012054530, 6803092445, 1012054473, 1012054478, 1012054472, 1012054495, 1012054529]",Architekturbüro Backhaus und Brosinsky,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
