element_type,osmid,geometry,amenity,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,addr:suburb,contact:email,contact:fax,contact:phone,website,addr:housename,alt_name,int_name,toilets:wheelchair,operator,contact:website,email,phone,nodes,note,old_name,fax,building,opening_hours,sport,building:levels,roof:shape,roof:levels,start_date,isced:level,short_name,wikidata,wikipedia,leisure,ref,source,grades,building:roof,operator_type
way,499544996,"POLYGON ((6.6337035 49.7510403, 6.6336885 49.7509975, 6.6339884 49.7509556, 6.6342646 49.7509193, 6.6347931 49.7508501, 6.6348676 49.7510073, 6.6350712 49.7513883, 6.6349259 49.7514205, 6.634829 49.7514486, 6.634742 49.751484, 6.6346792 49.7515166, 6.6346109 49.7515513, 6.6345497 49.7516006, 6.6344644 49.7516654, 6.6337465 49.7512878, 6.6336273 49.7512264, 6.6337343 49.7511397, 6.6337035 49.7510403))",school,Humboldt-Gymnasium,,,,,,,,verwaltung@hgt-trier.de,,+49 651 97950,,,,,,Stadt Trier,https://www.hgt-trier.de/start/,,,"[4576048712, 1428884645, 1428884634, 1428884631, 1428870783, 996210503, 996210504, 996210505, 996210506, 996210508, 996210511, 996210513, 996210516, 996210517, 996210484, 4576048710, 4576048711, 4576048712]",,,,,,,,,,,2;3,HGT Trier,Q1636906,de:Humboldt-Gymnasium Trier,,,,,,
way,500430170,"POLYGON ((6.6436108 49.7482083, 6.6437278 49.7482422, 6.6446611 49.7480621, 6.6446237 49.7480001, 6.6448057 49.7479458, 6.6446737 49.7477711, 6.6447869 49.7477307, 6.644852 49.7477099, 6.6448993 49.7476958, 6.6447503 49.7475147, 6.6446712 49.7473197, 6.6447522 49.747307, 6.6448477 49.7472967, 6.6447362 49.7469505, 6.644726 49.7469221, 6.6440429 49.7470694, 6.6439895 49.7470734, 6.6439066 49.7470684, 6.6438333 49.7470547, 6.643763 49.7470247, 6.643716 49.7469963, 6.6436088 49.7469956, 6.643551 49.7472119, 6.6434742 49.7474496, 6.6433946 49.7476041, 6.6433419 49.7477371, 6.6432425 49.7479089, 6.6432472 49.7479262, 6.6432597 49.747972, 6.6433339 49.7480684, 6.643347 49.7480787, 6.6434315 49.7481448, 6.6436108 49.7482083))",school,Friedrich-Wilhelm-Gymnasium,,,,,,,,verwaltung@fwg-trier.com,+49 651 966383 18,,http://www.fwg-trier.com/,,,,,Stadt Trier,,,,"[3325515757, 4914857112, 4914857113, 5756148210, 5756148206, 5756148218, 132280262, 5756148216, 5756148207, 2355430328, 4818572363, 5756148209, 4818572364, 4818572365, 5756148208, 4545285735, 600069030, 1722748922, 1387779345, 4914857115, 1722748919, 4914857116, 4914857117, 4914857118, 3325515751, 3325515752, 3325515753, 4914857119, 3325515754, 3325515755, 4914857120, 3325515756, 3325515757]",,,,,,,,,,,2;3,FWG Trier,Q1457868,de:Friedrich-Wilhelm-Gymnasium (Trier),,,,,,
way,501219290,"POLYGON ((6.6847489 49.8091196, 6.6847561 49.8090902, 6.6849055 49.8091053, 6.684912 49.8090783, 6.6850159 49.8090887, 6.6850703 49.8088541, 6.6849982 49.8088497, 6.6850168 49.8087576, 6.6850219 49.8087364, 6.6849922 49.8087336, 6.684853 49.8087202, 6.6847244 49.8087079, 6.6847176 49.8086632, 6.6845538 49.8086899, 6.6843828 49.8087204, 6.6839642 49.8089138, 6.6839601 49.808974, 6.6839492 49.8090547, 6.683924 49.8092418, 6.683889 49.8092398, 6.6838798 49.8093081, 6.6840229 49.8093161, 6.6840192 49.8093437, 6.6841665 49.8093603, 6.6842441 49.8093677, 6.684339 49.8093706, 6.6844272 49.8092432, 6.6846557 49.8093077, 6.684731 49.8092128, 6.6847489 49.8091196))",school,Grundschule St. Peter,,,,,,,,gs-st.peter@gmx.de,+49 651 7103445,+49 651 64963,,,,,,,http://www.grundschule-st-peter.de/,,,"[4425281113, 4425281110, 4425281111, 4425281108, 4425281109, 4425281104, 4425281103, 4693726503, 4425281102, 4693726502, 4693726496, 4425281101, 4920877446, 6561454618, 4447267737, 4699515464, 3800643067, 3800643060, 4422354822, 3800643068, 3800643062, 4422354821, 3800643069, 3800643064, 4699515465, 3800643061, 3800643071, 4415760148, 4415760149, 4425281113]",,,,,,,,,,,,,,,,,,,,
way,507791226,"POLYGON ((6.6446326 49.7618362, 6.6445944 49.7618555, 6.6440909 49.7614679, 6.6441842 49.7614262, 6.6443924 49.761331, 6.6447993 49.7611586, 6.6450681 49.7610447, 6.6454256 49.7613125, 6.6450453 49.7615223, 6.6451187 49.761578, 6.6450064 49.7616379, 6.6449098 49.7616884, 6.6447533 49.7617719, 6.6446326 49.7618362))",school,Porta-Nigra-Schule,,,,,,,,info@porta-nigra-schule.de,+49 651 26392,+49 651 28011,,,,,,,https://porta-nigra-schule.de/,,,"[2047135888, 4972300063, 4972300062, 2046616182, 4487674208, 2355698536, 4487681553, 4487674205, 2047135826, 2047135834, 2047135839, 2047135857, 2047135880, 2047135888]",,,,,,,,,,,,,,,,,,,,
way,510252740,"POLYGON ((6.6875869 49.77891, 6.6892646 49.7790447, 6.6891569 49.7794005, 6.6888166 49.7793731, 6.6880512 49.7793129, 6.6880585 49.7792745, 6.6879211 49.7792637, 6.6875835 49.7792371, 6.6875848 49.7792302, 6.6875429 49.7792269, 6.6875526 49.7791754, 6.6875869 49.77891))",school,Gregor-von-Pfalzel-Grundschule,Trier,DE,49,54293,Pfalzgrafenstraße,,,,,,,,,,,,,,,"[4458450206, 4456468478, 4456468477, 2201332697, 2201332686, 4458450212, 2201335534, 4454557572, 4454557571, 2201332700, 4454557569, 4458450206]",,,,,,,,,,,,,,,,,,,,
way,516881080,"POLYGON ((6.6417757 49.7415141, 6.6424611 49.74134, 6.6422631 49.7411498, 6.6416669 49.740577, 6.6412263 49.7407325, 6.6416089 49.7412688, 6.6417757 49.7415141))",school,Grundschule Heiligkreuz,Trier,DE,21,54295,Rotbachstraße,,,,,,http://www.grundschule-heiligkreuz.de/,,,,,,,post@grundschule-heiligkreuz.de,+49 651 309872,"[1721683193, 5045158008, 7858753360, 5045158009, 5045158010, 1721683185, 1721683193]",,,+49 651 981297 0,,,,,,,,1,,,,,,,1-4,,
way,518626766,"POLYGON ((6.6455525 49.7560539, 6.6457237 49.7560147, 6.6460466 49.7559365, 6.6461183 49.7559198, 6.6462731 49.7558845, 6.6465996 49.7558051, 6.6467807 49.7557627, 6.6467915 49.7557495, 6.6467962 49.7557325, 6.6467782 49.7557082, 6.6466999 49.7556502, 6.6465325 49.7555488, 6.6464553 49.7554506, 6.646447 49.755427, 6.6464201 49.7553956, 6.6463397 49.7553087, 6.6461222 49.7553796, 6.6460713 49.755397, 6.6459928 49.7554164, 6.6459603 49.7554254, 6.64584 49.7554685, 6.6457524 49.755479, 6.645732 49.7554816, 6.6457329 49.7555363, 6.6458183 49.7556732, 6.645786 49.7556821, 6.6455245 49.7557462, 6.6455525 49.7560539))",school,St. Helena Schule & Grundschule am Dom,,,,,,,,,,,,,,,,,,,,"[4239611333, 1429032118, 1429032108, 4239611337, 1433575481, 1433575475, 1433575466, 4241035998, 1433575462, 1433575460, 4241036000, 1433575444, 1433575424, 1433575415, 1433575408, 1433575400, 1433575411, 1433575417, 1429032039, 4496759502, 1429032054, 1429032055, 4239611340, 1429032068, 1429032087, 4239611336, 4239611335, 4239611333]",,,,,,,,,,,,,,,,,,,,
way,539496525,"POLYGON ((6.636035 49.7587589, 6.6358303 49.758815, 6.6357787 49.7588206, 6.635832 49.75894, 6.6352823 49.7590445, 6.6351603 49.7590678, 6.6351746 49.7590875, 6.635149 49.7590933, 6.6351385 49.759107, 6.6351595 49.7591575, 6.6351821 49.7591653, 6.6351866 49.7591876, 6.6351776 49.7592003, 6.6352002 49.7592479, 6.6352227 49.7592527, 6.6352378 49.7592838, 6.6352288 49.7592936, 6.6352543 49.7593509, 6.6352709 49.7593509, 6.6352844 49.7593762, 6.6352769 49.7593917, 6.635301 49.7594394, 6.6353145 49.7594452, 6.6353296 49.7594724, 6.635304 49.7594724, 6.6352859 49.7594831, 6.6353175 49.7595482, 6.6353762 49.7595725, 6.6353777 49.7595851, 6.6354093 49.7595949, 6.6354334 49.7595881, 6.63547 49.7596028, 6.6355076 49.7596885, 6.6355703 49.7598299, 6.6356021 49.759824, 6.635632 49.7598914, 6.6361602 49.7597938, 6.6362423 49.7597777, 6.6363074 49.7598639, 6.6364497 49.7600482, 6.636548 49.7600166, 6.6365409 49.7600074, 6.6365849 49.7599933, 6.636738 49.7601916, 6.6367825 49.7601773, 6.636875 49.760297, 6.6369618 49.760269, 6.6369449 49.7602472, 6.6369863 49.7602338, 6.6369922 49.7602415, 6.6370841 49.7602119, 6.6370051 49.7601096, 6.6370981 49.7600797, 6.6371105 49.7600958, 6.6371312 49.7601226, 6.6374798 49.7600109, 6.6372566 49.7597242, 6.6371157 49.7595436, 6.636803 49.7596448, 6.6367804 49.7596194, 6.6367545 49.7595875, 6.6367443 49.7595749, 6.6367344 49.7595627, 6.6367172 49.7595428, 6.6366817 49.7594991, 6.6366411 49.7595129, 6.6364133 49.7592323, 6.6364699 49.7592133, 6.6365796 49.759176, 6.6364888 49.7590647, 6.6363792 49.7591019, 6.6363218 49.7591197, 6.6360942 49.7588394, 6.6361434 49.7588227, 6.6361089 49.7587802, 6.636067 49.7587944, 6.636035 49.7587589))",school,,,,,,,,,,,,,,,,,,,,,"[1395188218, 1395188246, 5220383692, 1395188270, 1395188292, 1395188294, 1395188301, 1395188305, 1395188313, 1395188327, 1395188331, 1395188336, 1395188338, 1395188349, 1395188351, 1395188358, 1395188362, 1395188372, 1395188373, 1395188379, 1395188381, 1395188387, 1395188390, 1395188397, 1395188396, 1395188400, 1395188409, 1395188415, 1395188419, 1395188421, 1395188420, 1395188424, 1395188438, 1395188458, 1395188457, 1395188464, 1395188453, 5220383696, 1497347803, 1497347809, 1497347807, 1497347805, 1497310482, 1497310512, 1497310510, 1497310531, 1497310527, 1497310525, 1497310522, 1497310523, 1497310517, 1497310501, 1497310495, 1497310496, 1497310503, 1497310485, 1497310451, 5220383695, 5335637778, 1395188429, 5335637775, 10778280874, 1395188413, 1395188406, 1395188401, 1395188403, 5335637777, 4612541912, 4612541917, 4612541916, 4612541915, 5335637776, 1395188254, 1395188251, 1395188233, 1395188238, 1395188218]",,,,,,,,,,,,,,,,,,,,
way,541567042,"POLYGON ((6.6587496 49.7653357, 6.6582159 49.7657608, 6.65806 49.7658834, 6.6579856 49.7659403, 6.6578085 49.7660758, 6.6572981 49.7658514, 6.6574824 49.7657063, 6.6571175 49.7654974, 6.6574022 49.7652703, 6.6570611 49.7650817, 6.6570045 49.7650533, 6.6575731 49.7646281, 6.6579064 49.7648037, 6.6578543 49.7648431, 6.6584997 49.7652037, 6.6586544 49.7652845, 6.6587496 49.7653357))",school,,,,,,,,,,,,,,,,,,,,,"[3930516638, 5236690553, 3930516639, 5236690555, 3930516653, 3930516652, 2311184978, 2311184977, 2311184976, 2311184975, 5236690549, 5236690550, 2311185016, 3930516650, 9588386641, 5236690564, 3930516638]",,,,,,,,,,,,,,,,,Bing;HiRes aerial imagery,,,
way,543581705,"POLYGON ((6.6507053 49.7611125, 6.6508096 49.7612005, 6.6508328 49.7612232, 6.6509486 49.7613246, 6.651146 49.7612219, 6.6513337 49.7611243, 6.6512422 49.7610479, 6.6514054 49.7609701, 6.6513044 49.7609088, 6.6513405 49.7608454, 6.6513111 49.7608178, 6.6511472 49.7608939, 6.6508564 49.7610377, 6.6507053 49.7611125))",school,,,,,,,,,,,,,,,,,,,,,"[2355515469, 2355515465, 4504699051, 4504699052, 4504699053, 2355515400, 2355515487, 2355515378, 5254824943, 4504699071, 5254824942, 2355515504, 4504699034, 2355515469]",,,,,,,,,,,,,,,,,,,,
way,552574385,"POLYGON ((6.7065721 49.8219159, 6.7066155 49.8218947, 6.7066641 49.821871, 6.7066363 49.8218562, 6.7068937 49.8216514, 6.7069806 49.8215368, 6.7065983 49.8212267, 6.7062684 49.821063, 6.7060564 49.8212315, 6.7059305 49.8211578, 6.7056048 49.8213631, 6.7056256 49.8213749, 6.7062551 49.8217327, 6.7065721 49.8219159))",school,,,,,,,,,,,,,,,,,,,,,"[5334847545, 5335163751, 5334847546, 5334847547, 5334847548, 5334847549, 5334847550, 5334847551, 5334847552, 5334847553, 5334847554, 5335163594, 5335163752, 5334847545]",,,,,,,,,,,,,,,,,Bing,,,
way,552883517,"POLYGON ((6.6870582 49.7524562, 6.6874525 49.7521521, 6.68782 49.7518176, 6.6888231 49.7523479, 6.6880037 49.7529397, 6.6870582 49.7524562))",school,Keune-Grundschule,Trier,DE,33,54296,Am Weidengraben,no,,info@keune-gs.de,+49 651 4368679,+49 651 12384,,,,,,,http://www.keune-gs.de/,,,"[5337438532, 5337438531, 5337438530, 5337438529, 5337438528, 5337438532]",,,,,,,,,,,,,,,,,,,flat,
way,571082879,"POLYGON ((6.6060743 49.7396593, 6.6060579 49.7396478, 6.6059579 49.7395694, 6.6059136 49.7395368, 6.6054853 49.7392592, 6.6056837 49.7391887, 6.6059499 49.7390702, 6.606006 49.7391185, 6.6064287 49.7389218, 6.6069238 49.7393081, 6.6066833 49.7394864, 6.6065832 49.7395637, 6.60649 49.7395659, 6.6062887 49.7395805, 6.6060743 49.7396593))",school,Johann-Herrmann-Grundschule,,,,,,,,,,,,,,,,,https://www.gs-euren.de/,,,"[5489469938, 1627018749, 1627018727, 1627018711, 207507547, 7069903740, 8895679691, 1627018608, 5489469937, 5489469936, 1627018704, 1627018723, 10727764227, 5489469934, 5489469938]",,,,,,,,,,,,,,,,,,,,
way,571783490,"POLYGON ((6.6260299 49.7619917, 6.626333 49.7621607, 6.6263129 49.7621771, 6.6264376 49.7622508, 6.6260688 49.7624751, 6.6259038 49.7623677, 6.6260339 49.7622585, 6.6258542 49.762081, 6.6260299 49.7619917))",school,Grundschule Pallien,Trier,DE,30,54294,Im Sabel,,,,,,,,,,,,http://typo.grundschule-pallien.de,,,"[5494502928, 6064158580, 6064158579, 5494502927, 5494502926, 5494502925, 5494502924, 5494502923, 5494502928]",,,,,,,,,,,,,,,,,,,,
way,571783493,"POLYGON ((6.6203717 49.7524761, 6.6204946 49.7524427, 6.6211043 49.7522974, 6.6213387 49.7528158, 6.6208315 49.7529929, 6.620585 49.7530484, 6.6204849 49.7528518, 6.6205785 49.752829, 6.6204534 49.7525866, 6.6204296 49.7525914, 6.6203717 49.7524761))",school,Kurfürst-Balduin Realschule plus,,,,,,,,,,,,,,,,,http://www.kubawest.de/,,,"[1547608622, 1596547053, 5494502930, 5494502929, 1547608707, 1547608742, 1547608666, 1547608659, 6954870314, 6954870316, 1547608622]",,,,,,,,,,,,,,,,,,,,
way,571783496,"POLYGON ((6.6127918 49.7474008, 6.6122421 49.747553, 6.6118186 49.7476685, 6.6113622 49.7469694, 6.6119775 49.7467928, 6.6120839 49.7469515, 6.6123117 49.7468983, 6.6125683 49.7470938, 6.6127918 49.7474008))",school,Grundschule Reichertsberg,Trier,DE,32a,54294,Jahnstraße,,,,,,,,,,,,https://www.grundschule-reichertsberg-trier.de/,,,"[5494502937, 5494501617, 5494502936, 8391846138, 1914299824, 5494502933, 5494502932, 5494502931, 5494502937]",,,,,,,,,,,,,,,,,,,,
way,734924500,"POLYGON ((6.6431291 49.7638109, 6.6427138 49.763334, 6.6430176 49.7632236, 6.6434328 49.7637005, 6.6431291 49.7638109))",school,Bildungsinstitut der Barmherzigen Brüder Trier,,,,,,,,,,,https://www.bk-trier.de/bkt/bildung-karriere/bildungsinstitut/index.php,,,,,,,sekretariat.bib@bk-trier.de,+49 651 208-1408,"[6883097605, 6883097604, 6883097603, 6883097602, 6883097605]",,,+49 651 208-1409,school,,,2,flat,1,,,,,,,,,,,
way,1141655228,"POLYGON ((6.6634709 49.7414273, 6.6636533 49.7421311, 6.6649434 49.7418971, 6.6648495 49.7416804, 6.6651741 49.7416284, 6.66504 49.741228, 6.6649125 49.7410373, 6.6642031 49.7412089, 6.6634709 49.7414273))",school,Grundschule Olewig,Trier,DE,40,54295,Auf der Ayl,,,,,,,,,,,,,,,"[10634212546, 10634212545, 10634212544, 10634212543, 10634212542, 10634212541, 10634212540, 10634212539, 10634212546]",,,,,,,,,,,,,,,,,,,,
way,1141737759,"POLYGON ((6.6933069 49.7400423, 6.6913266 49.7384274, 6.6895338 49.7393204, 6.6906156 49.7403094, 6.6933069 49.7400423))",school,Wilhelm-Hubert-Cüppers Gehörlosenschule,,,201,54296,Am Trimmelter Hof,,,whc@whc-schule-trier.de,+49 651 910 3534,+49 651 910 350,http://www.whc-schule-trier.de/,,,,,,,,,"[10634540642, 10634540641, 10634540640, 10634540639, 10634540642]",,,,,,,,,,,,,,,,,,,,
way,1165657122,"POLYGON ((6.6522436 49.764376, 6.6519506 49.7642442, 6.651663 49.7641106, 6.651354 49.7639593, 6.6514569 49.763877, 6.6515477 49.7637981, 6.6516003 49.7637573, 6.6517603 49.7636661, 6.6519183 49.7635717, 6.6522318 49.7633843, 6.6522502 49.7633738, 6.6522693 49.7633624, 6.6525181 49.7635129, 6.6527207 49.7636378, 6.6527341 49.7636298, 6.6531203 49.7638569, 6.6529044 49.7640236, 6.6528561 49.7640602, 6.6527305 49.7641555, 6.6525691 49.7642781, 6.6525565 49.7642876, 6.6525004 49.7642572, 6.6524915 49.7642539, 6.6524769 49.764254, 6.652336 49.7643024, 6.6523142 49.7643086, 6.6523069 49.7643155, 6.6522436 49.764376))",school,Balthasar-Neumann-Technikum,Trier,,105,54292,Paulinstraße,,,,,,http://www.bnt-trier.de/,,,,,,,,,"[3324162647, 10842095663, 10842095662, 10842095651, 3249273854, 3249273837, 4604866658, 4604867796, 4502157997, 4502157998, 10842095660, 10842095652, 6676274784, 6676274783, 4604867792, 4604867791, 4602741079, 4604866680, 10842095653, 4604867789, 4602741080, 4602741081, 4602741082, 4602741083, 4602741084, 3324162648, 10842095654, 3324162647]",,,,,,,,,,,,,,,,,,,,
way,1169277615,"POLYGON ((6.6390777 49.7674527, 6.6390475 49.7674855, 6.6388159 49.7677368, 6.6387917 49.7677368, 6.6387463 49.7677148, 6.6383516 49.7675051, 6.6383623 49.7674963, 6.638349 49.7674895, 6.6383921 49.7674543, 6.6384067 49.7674619, 6.6385851 49.7673165, 6.6386239 49.7672621, 6.6390777 49.7674527))",school,Freie Montessori-Schule Trier,Trier,DE,3,54292,An der Jugendherberge,yes,,,,,http://www.montessori-trier.schule/,,,,,Freie Montessori-Schule Trier e. V.,,,,"[6321574368, 10873054810, 10872951479, 10872951480, 1622448023, 1622447885, 1622447858, 1622447794, 1622447734, 1622447761, 1622447535, 6321574373, 6321574368]",,,,,,,,,,,,,,,,,,,,private
way,1172676113,"POLYGON ((6.6478408 49.7340588, 6.647483 49.7340569, 6.6474027 49.7340233, 6.6470942 49.7339783, 6.6469173 49.7339769, 6.646916 49.7340465, 6.646846 49.7340811, 6.6465388 49.7340703, 6.6463284 49.7340661, 6.6463213 49.7337861, 6.6465881 49.7337889, 6.6465914 49.7336119, 6.6465705 49.7334779, 6.6466953 49.7334601, 6.6466722 49.7335018, 6.6470483 49.7335474, 6.6470738 49.7335073, 6.6473448 49.7335428, 6.6474175 49.7335594, 6.6474517 49.7335797, 6.6478408 49.7340588))",school,Treverer-Schule,Trier,DE,42,54295,Trevererstraße,yes,,,,,http://www.tre-sch.de,,,,,,,,,"[10895684073, 10895684074, 2652373001, 2652373002, 2652373003, 2652373004, 10895684022, 10895684023, 10895684075, 10895684076, 10895684077, 2652372993, 10895684026, 10895674277, 10895674278, 10895674275, 10895674276, 10895684078, 10895684079, 10895684080, 10895684073]",,,,,,,,,,,,,,,,,,,,
